Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,89.44,89.44,88.19,89.01,43300,89.01
2013-08-19,89.42,89.91,88.60,89.74,38400,89.74
2013-08-16,89.46,89.99,88.39,89.23,32200,89.23
2013-08-15,90.01,90.01,88.12,89.40,63100,89.40
2013-08-14,90.13,90.54,89.52,90.14,55700,90.14
2013-08-13,90.49,90.50,89.32,90.11,86900,90.11
2013-08-12,91.00,91.00,89.84,90.45,74800,90.45
2013-08-09,91.90,91.98,91.05,91.17,54100,91.17
2013-08-08,92.00,92.07,91.36,91.65,79200,91.65
2013-08-07,92.11,92.45,91.62,91.91,57300,91.91
2013-08-06,92.37,92.50,92.03,92.50,124200,92.50
2013-08-05,90.62,92.09,90.57,92.09,152800,92.09
2013-08-02,89.21,90.75,88.14,90.57,159000,90.57
2013-08-01,83.70,91.40,83.70,89.04,423400,89.04
2013-07-31,84.40,84.40,82.92,83.40,69000,83.40
2013-07-30,83.45,84.34,83.23,84.00,85000,84.00
2013-07-29,84.53,85.65,82.89,83.11,91100,83.11
2013-07-26,84.75,85.99,84.00,84.73,72300,84.73
2013-07-25,84.18,85.30,83.80,84.63,103200,84.63
2013-07-24,82.38,84.26,82.10,84.20,90900,84.20
2013-07-23,81.05,82.79,80.84,82.29,63700,82.29
2013-07-22,82.37,82.37,80.95,81.01,57200,81.01
2013-07-19,81.53,82.76,81.51,82.54,57100,82.54
2013-07-18,81.64,81.97,81.30,81.66,35900,81.66
2013-07-17,81.52,82.85,81.27,81.63,84600,81.63
2013-07-16,82.06,82.60,81.00,81.48,76900,81.48
2013-07-15,81.27,82.15,80.80,82.13,63200,82.13
2013-07-12,81.84,82.24,81.02,81.33,87600,81.33
2013-07-11,80.81,83.02,80.41,81.66,114100,81.66
2013-07-10,78.78,80.37,78.19,80.37,83700,80.37
2013-07-09,78.10,79.55,77.90,78.76,68000,78.76
2013-07-08,76.00,78.05,75.90,77.91,71500,77.91
2013-07-05,76.03,76.71,75.87,75.87,51300,75.87
2013-07-04,75.50,76.11,75.15,76.11,86600,76.11
2013-07-03,75.33,75.82,75.01,75.06,46400,75.06
2013-07-02,76.40,76.48,75.33,75.43,123700,75.43
2013-07-01,77.10,77.36,75.55,76.22,85300,76.22
2013-06-28,78.50,78.63,76.88,77.00,81700,77.00
2013-06-27,77.96,78.76,77.84,78.36,101500,78.36
2013-06-26,75.81,78.14,75.75,77.70,105400,77.70
2013-06-25,75.92,75.92,75.20,75.80,151200,75.80
2013-06-24,77.00,77.50,75.38,75.82,74700,75.82
2013-06-21,77.99,78.45,77.02,77.02,108100,77.02
2013-06-20,77.60,77.97,76.98,77.49,135100,77.49
2013-06-19,80.41,80.41,77.02,78.20,218400,78.20
2013-06-18,80.29,80.85,79.72,80.51,43500,80.51
2013-06-17,80.00,80.49,79.70,80.30,60000,80.30
2013-06-14,79.62,80.29,79.59,79.73,103100,79.73
2013-06-13,79.13,79.90,79.02,79.44,72400,79.44
2013-06-12,79.75,80.31,79.51,79.80,86300,79.80
2013-06-11,80.85,81.36,79.45,79.51,98200,79.51
2013-06-10,81.98,81.98,80.68,80.81,44300,80.81
2013-06-07,80.60,82.14,80.19,81.75,62000,81.75
2013-06-06,81.00,81.47,80.52,80.52,46400,80.52
2013-06-05,81.51,81.98,80.16,80.58,166700,80.58
2013-06-04,82.50,82.92,81.27,81.27,67600,81.27
2013-06-03,82.02,82.84,81.14,81.72,69200,81.72
2013-05-31,83.48,83.50,82.02,82.02,120300,82.02
2013-05-30,82.56,83.92,82.49,83.57,44500,83.57
2013-05-29,83.88,83.88,81.60,82.56,89300,82.56
2013-05-28,81.50,84.53,81.50,83.99,86200,83.99
2013-05-27,81.25,81.64,80.68,81.39,30600,81.39
2013-05-24,81.86,81.94,80.71,81.26,108800,81.26
2013-05-23,85.91,85.91,83.29,83.77,98900,81.21
2013-05-22,86.88,86.91,85.87,86.50,54300,83.86
2013-05-21,85.41,86.92,85.02,86.60,73600,83.95
2013-05-20,83.88,85.09,83.88,84.94,35800,82.34
2013-05-17,84.01,84.64,83.60,83.87,55000,81.31
2013-05-16,84.72,84.89,83.52,84.20,79300,81.63
2013-05-15,83.61,85.17,83.30,84.70,104400,82.11
2013-05-14,84.40,84.88,83.11,83.61,120000,81.05
2013-05-13,84.94,85.86,84.64,85.39,33100,82.78
2013-05-10,83.91,85.17,83.76,84.86,46600,82.27
2013-05-09,81.89,84.00,81.89,83.90,38500,81.34
2013-05-08,83.59,84.45,82.28,82.34,92300,79.82
2013-05-07,85.50,85.50,82.96,83.51,131200,80.96
2013-05-06,82.27,85.54,81.11,85.49,98200,82.88
