Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,58.80,58.80,57.86,58.15,1182500,58.15
2013-08-19,59.44,59.45,58.59,58.91,697100,58.91
2013-08-16,59.11,59.60,58.83,59.27,1190100,59.27
2013-08-15,59.02,59.19,58.37,58.97,773200,58.97
2013-08-14,59.75,59.99,59.18,59.20,1116400,59.20
2013-08-13,59.44,59.78,59.20,59.68,756800,59.68
2013-08-12,59.15,59.21,58.56,59.12,649000,59.12
2013-08-09,59.20,59.42,58.79,59.26,918500,59.26
2013-08-08,59.45,59.45,58.86,59.07,1019200,59.07
2013-08-07,59.45,59.71,59.14,59.45,1092800,59.45
2013-08-06,59.32,60.07,59.23,59.63,1156900,59.63
2013-08-05,59.44,60.01,59.29,59.42,1524000,59.42
2013-08-02,60.12,60.45,59.91,60.39,1195900,60.39
2013-08-01,59.53,60.27,59.53,60.07,1197500,60.07
2013-07-31,59.42,59.61,59.02,59.40,1629000,59.40
2013-07-30,59.80,59.98,59.25,59.65,1410900,59.65
2013-07-29,59.00,59.75,58.62,59.27,2996300,59.27
2013-07-26,58.05,58.56,57.39,57.46,1501800,57.46
2013-07-25,58.50,58.82,57.34,57.68,1716600,57.68
2013-07-24,57.67,58.71,57.50,58.41,1787700,58.41
2013-07-23,57.52,57.90,57.35,57.40,937500,57.40
2013-07-22,57.50,57.87,57.29,57.64,967700,57.64
2013-07-19,57.88,57.93,57.08,57.39,1297700,57.39
2013-07-18,57.22,57.87,56.85,57.85,1002200,57.85
2013-07-17,56.90,57.47,56.52,57.40,1104900,57.40
2013-07-16,57.31,57.41,56.68,56.78,934300,56.78
2013-07-15,57.25,57.42,56.89,57.36,946200,57.36
2013-07-12,57.67,57.75,56.92,57.00,910600,57.00
2013-07-11,57.66,57.93,56.82,57.18,1859100,57.18
2013-07-10,56.41,57.25,56.34,56.99,1448700,56.99
2013-07-09,56.21,56.64,55.94,56.35,1426500,56.35
2013-07-08,55.70,56.47,55.56,56.11,1589300,56.11
2013-07-05,56.35,56.75,55.50,55.50,1588600,55.50
2013-07-04,55.43,56.83,55.04,56.42,2465800,56.42
2013-07-03,56.46,56.50,54.50,55.00,3058900,55.00
2013-07-02,56.61,56.89,56.15,56.59,1729200,56.59
2013-07-01,57.68,58.31,57.42,57.47,1353100,57.47
2013-06-28,57.24,57.98,56.80,57.66,2042300,57.66
2013-06-27,55.96,57.38,55.82,57.13,1693300,57.13
2013-06-26,55.10,56.20,54.86,56.04,1643700,56.04
2013-06-25,55.40,55.43,54.63,55.09,1840600,55.09
2013-06-24,56.14,56.60,54.71,55.09,2528600,55.09
2013-06-21,56.64,57.87,56.21,56.23,4702500,56.23
2013-06-20,56.74,56.90,54.98,55.12,2279400,55.12
2013-06-19,57.86,58.02,56.70,57.89,1398300,57.89
2013-06-18,57.64,57.93,57.34,57.60,1456900,57.60
2013-06-17,56.79,58.36,56.79,58.22,1746400,58.22
2013-06-14,57.25,57.26,56.37,56.66,1127100,56.66
2013-06-13,56.69,57.25,56.37,57.14,1468800,57.14
2013-06-12,56.82,57.76,56.68,57.23,1324600,57.23
2013-06-11,57.46,57.46,55.94,56.70,1737600,56.70
2013-06-10,56.92,57.64,56.50,57.44,1391300,57.44
