Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,49.40,49.49,48.19,49.03,4558800,49.03
2013-08-19,50.77,50.89,49.56,49.78,3720100,49.78
2013-08-16,49.88,51.04,49.70,50.91,3764700,50.91
2013-08-15,50.11,50.67,49.24,49.87,2877900,49.87
2013-08-14,50.22,50.29,49.62,50.22,3335200,50.22
2013-08-13,49.99,50.20,49.45,50.15,2949100,50.15
2013-08-12,50.00,50.15,49.47,49.95,2351100,49.95
2013-08-09,50.00,50.20,49.53,49.76,2952800,49.76
2013-08-08,49.69,50.28,49.43,49.94,3735200,49.94
2013-08-07,48.74,49.85,48.43,49.59,3427900,49.59
2013-08-06,49.42,49.85,48.61,49.09,3366600,49.09
2013-08-05,49.35,49.69,49.19,49.40,2258600,49.40
2013-08-02,49.86,49.96,49.04,49.26,3928000,49.26
2013-08-01,49.00,50.30,48.81,49.75,6079100,49.75
2013-07-31,48.25,48.81,47.24,48.63,6727600,48.63
2013-07-30,48.36,48.47,47.49,47.85,3530700,47.85
2013-07-29,48.10,48.50,47.87,48.22,3342800,48.22
2013-07-26,48.00,48.62,47.85,48.15,4488400,48.15
2013-07-25,47.35,47.84,46.96,47.76,4424200,47.76
2013-07-24,45.88,47.50,45.85,47.28,6055700,47.28
2013-07-23,46.00,46.30,45.65,45.65,3631000,45.65
2013-07-22,45.00,45.99,44.88,45.75,3339300,45.75
2013-07-19,44.88,45.35,44.72,45.00,3433100,45.00
2013-07-18,43.88,45.19,43.72,44.90,3503500,44.90
2013-07-17,43.99,44.50,43.39,44.12,2808500,44.12
2013-07-16,44.53,44.64,43.67,43.78,2245800,43.78
2013-07-15,44.25,44.90,44.11,44.43,2407000,44.43
2013-07-12,44.40,44.72,43.60,44.01,2842500,44.01
2013-07-11,44.87,45.07,43.91,44.12,3535600,44.12
2013-07-10,43.78,44.35,43.31,44.10,3359500,44.10
2013-07-09,44.46,44.75,43.55,43.90,3880400,43.90
2013-07-08,43.33,44.54,43.11,44.13,3573400,44.13
2013-07-05,43.55,44.30,42.96,42.96,5107300,42.96
2013-07-04,41.78,43.51,41.44,43.31,5638700,43.31
2013-07-03,41.58,41.80,40.51,41.33,5720000,41.33
2013-07-02,42.92,42.92,42.10,42.31,3233000,42.31
2013-07-01,42.90,43.00,41.50,42.41,4034300,42.41
2013-06-28,42.78,43.01,41.50,41.97,4507400,41.97
2013-06-27,42.51,43.08,41.84,42.54,4513000,42.54
2013-06-26,41.34,42.85,41.00,42.43,5348600,42.43
2013-06-25,40.94,41.37,40.00,41.31,6341400,41.31
2013-06-24,40.30,40.88,39.33,40.15,7172900,40.15
2013-06-21,41.78,42.42,40.68,40.72,8218900,40.72
2013-06-20,42.80,43.06,41.53,41.79,7059300,41.79
2013-06-19,44.20,44.21,43.40,43.67,3330300,43.67
2013-06-18,43.56,44.58,43.27,44.13,3069500,44.13
2013-06-17,43.40,44.02,42.87,43.75,2914600,43.75
2013-06-14,44.00,44.08,43.15,43.28,3051800,43.28
2013-06-13,41.99,43.40,41.35,43.25,5660000,43.25
2013-06-12,43.10,43.60,42.40,42.56,3121200,42.56
2013-06-11,43.68,43.85,42.45,43.08,4203000,43.08
2013-06-10,44.65,44.92,43.57,43.90,3137000,43.90
2013-06-07,43.71,44.83,43.58,44.44,4367700,44.44
2013-06-06,44.40,45.08,43.55,43.71,4104700,43.71
2013-06-05,45.00,45.69,44.59,44.66,3628900,44.66
2013-06-04,45.89,46.14,45.08,45.24,2847300,45.24
2013-06-03,45.14,46.19,44.63,45.30,3914100,45.30
2013-05-31,45.87,45.97,45.33,45.33,4449200,45.33
2013-05-30,45.33,46.22,45.33,45.63,3905400,45.63
2013-05-29,45.95,46.10,45.26,45.27,4043600,45.27
2013-05-28,45.47,46.80,45.38,46.04,4787400,46.04
2013-05-27,44.44,45.18,44.44,45.10,1623700,45.10
2013-05-24,45.02,45.23,43.77,44.22,4362200,44.22
2013-05-23,44.59,45.21,44.20,44.78,5796000,44.78
2013-05-22,45.42,46.37,44.92,46.05,4250500,46.05
2013-05-21,45.90,45.97,44.67,45.49,4628400,45.49
2013-05-20,46.67,47.25,46.20,46.71,3140900,45.21
2013-05-17,45.84,47.05,45.60,46.49,7931300,45.00
2013-05-16,45.49,46.18,45.31,45.85,3848600,44.38
2013-05-15,44.70,45.79,44.39,45.75,4687500,44.28
2013-05-14,44.52,45.08,44.01,45.04,3649800,43.60
2013-05-13,44.84,44.90,43.82,44.15,3585500,42.74
2013-05-10,44.51,45.18,44.12,44.67,3483600,43.24
2013-05-09,44.56,45.03,44.24,44.54,2186700,43.11
2013-05-08,45.10,45.50,44.30,44.65,3537800,43.22
2013-05-07,44.00,45.30,43.94,44.95,5293700,43.51
