Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,17.90,17.93,17.71,17.73,8200,17.73
2013-08-19,17.80,17.99,17.65,17.99,28300,17.99
2013-08-16,17.73,17.89,17.71,17.87,9600,17.87
2013-08-15,17.90,17.90,17.75,17.79,5800,17.79
2013-08-14,17.75,17.96,17.71,17.89,15300,17.89
2013-08-13,17.85,18.00,17.77,17.77,21300,17.77
2013-08-12,17.82,18.02,17.70,17.87,59800,17.87
2013-08-09,18.20,18.53,18.10,18.40,17800,18.40
2013-08-08,18.70,18.70,18.15,18.20,24300,18.20
2013-08-07,18.80,18.85,18.58,18.59,43400,18.59
2013-08-06,18.50,18.99,18.25,18.85,101000,18.85
2013-08-05,19.25,19.70,19.07,19.70,27400,19.70
2013-08-02,18.92,19.00,18.72,19.00,34200,19.00
2013-08-01,18.62,18.90,18.52,18.90,18400,18.90
2013-07-31,18.56,18.68,18.47,18.64,11400,18.64
2013-07-30,18.46,18.59,18.45,18.55,8200,18.55
2013-07-29,18.58,18.59,18.43,18.45,5500,18.45
2013-07-26,18.33,18.50,18.32,18.40,5300,18.40
2013-07-25,18.55,18.55,18.31,18.34,8300,18.34
2013-07-24,18.66,18.70,18.41,18.51,5500,18.51
2013-07-23,18.30,18.85,18.30,18.62,26600,18.62
2013-07-22,18.60,18.80,18.41,18.45,36600,18.45
2013-07-19,18.60,18.61,18.50,18.60,5300,18.60
2013-07-18,18.56,18.65,18.50,18.65,4600,18.65
2013-07-17,18.39,18.60,18.39,18.56,12600,18.56
2013-07-16,18.50,18.55,18.40,18.50,7600,18.50
2013-07-15,18.59,18.62,18.20,18.47,7400,18.47
2013-07-12,18.49,18.65,18.45,18.59,11600,18.59
2013-07-11,18.70,18.75,18.61,18.75,15800,18.75
2013-07-10,18.97,18.97,18.61,18.61,7600,18.61
2013-07-09,18.80,18.98,18.80,18.98,8400,18.98
2013-07-08,18.31,19.00,18.22,18.83,26000,18.83
2013-07-05,18.35,18.62,18.20,18.62,14100,18.62
2013-07-04,18.20,18.63,18.00,18.63,19500,18.63
2013-07-03,18.35,18.35,17.95,18.16,22400,18.16
2013-07-02,18.45,18.45,18.20,18.40,2700,18.40
2013-07-01,18.36,18.45,18.22,18.44,3700,18.44
2013-06-28,18.25,18.36,17.95,18.36,5400,18.36
2013-06-27,17.94,18.14,17.81,18.14,2500,18.14
2013-06-26,17.73,17.89,17.67,17.89,5300,17.89
2013-06-25,17.70,17.90,17.60,17.73,8600,17.73
2013-06-24,17.77,18.00,17.53,17.55,12100,17.55
2013-06-21,18.00,18.24,17.82,17.82,11600,17.82
2013-06-20,18.27,18.38,18.01,18.03,6600,18.03
2013-06-19,18.40,18.53,18.37,18.45,8600,18.45
2013-06-18,18.30,18.35,18.20,18.35,4800,18.35
2013-06-17,18.15,18.40,18.15,18.28,8400,18.28
2013-06-14,18.10,18.15,17.99,18.08,11500,18.08
2013-06-13,18.21,18.26,18.10,18.13,5400,18.13
2013-06-12,18.30,18.40,18.10,18.25,6700,18.25
2013-06-11,18.65,18.65,18.30,18.35,6300,18.35
2013-06-10,18.83,18.83,18.60,18.60,4900,18.60
2013-06-07,18.70,18.89,18.64,18.71,6800,18.71
2013-06-06,18.80,18.85,18.61,18.67,7100,18.67
2013-06-05,18.70,18.85,18.52,18.75,6500,18.75
2013-06-04,18.70,18.80,18.55,18.80,9300,18.80
2013-06-03,18.90,18.90,18.62,18.70,6600,18.70
2013-05-31,18.95,19.04,18.65,19.04,23700,19.04
2013-05-30,19.25,19.25,18.95,18.95,8000,18.95
2013-05-29,19.00,19.35,19.00,19.12,12300,19.12
2013-05-28,18.98,19.15,18.95,19.08,21800,19.08
2013-05-27,19.00,19.03,18.95,18.98,6300,18.98
2013-05-24,19.10,19.15,18.81,18.96,12100,18.96
2013-05-23,18.60,19.10,18.50,18.90,17000,18.90
2013-05-22,18.64,18.79,18.60,18.69,10200,18.69
2013-05-21,18.69,18.75,18.49,18.63,10300,18.63
2013-05-20,18.40,18.77,18.30,18.65,5600,18.65
2013-05-17,18.40,18.47,18.10,18.47,26200,18.47
2013-05-16,19.00,19.00,18.44,18.53,27200,18.53
2013-05-15,19.28,19.28,18.87,18.91,14300,18.91
2013-05-14,19.65,19.65,19.15,19.29,23500,19.29
2013-05-13,19.90,19.90,19.55,19.55,15700,19.55
2013-05-10,19.70,19.92,19.66,19.90,10100,19.90
2013-05-09,19.76,19.83,19.72,19.83,3400,19.83
2013-05-08,20.10,20.27,19.85,19.87,10400,19.87
2013-05-07,19.50,20.10,19.50,20.10,15700,20.10
2013-05-06,19.64,19.64,19.45,19.45,11200,19.45
2013-05-03,19.25,19.65,19.22,19.65,10500,19.65
2013-05-02,19.38,19.42,18.95,19.28,29200,19.28
2013-05-01,19.37,19.37,19.37,19.37,000,19.37
2013-04-30,18.85,19.37,18.81,19.37,18100,19.37
2013-04-29,18.86,18.94,18.72,18.85,5400,18.85
