Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,22.42,22.65,22.26,22.65,560700,22.65
2013-08-19,22.65,22.68,22.42,22.55,579500,22.55
2013-08-16,22.83,22.92,22.50,22.67,321200,22.67
2013-08-15,22.75,22.86,22.61,22.80,331500,22.80
2013-08-14,22.93,22.95,22.74,22.80,554800,22.80
2013-08-13,22.88,23.00,22.80,22.88,389300,22.88
2013-08-12,22.70,22.92,22.62,22.87,417200,22.87
2013-08-09,22.83,22.91,22.57,22.78,513600,22.78
2013-08-08,22.67,22.76,22.46,22.74,468300,22.74
2013-08-07,22.59,22.70,22.45,22.67,391000,22.67
2013-08-06,22.61,22.77,22.55,22.64,396900,22.64
2013-08-05,22.40,22.73,22.39,22.65,362800,22.65
2013-08-02,22.32,22.60,22.27,22.34,615200,22.34
2013-08-01,22.25,22.55,22.18,22.32,789200,22.32
2013-07-31,21.91,22.31,21.86,22.31,860900,22.31
2013-07-30,21.98,22.17,21.92,21.99,428800,21.99
2013-07-29,22.09,22.30,21.86,21.97,616500,21.97
2013-07-26,22.00,22.25,21.91,22.10,674900,22.10
2013-07-25,21.94,22.16,21.80,21.87,1065900,21.87
2013-07-24,21.63,22.19,21.60,21.95,1182100,21.95
2013-07-23,21.08,21.74,21.07,21.67,1037600,21.67
2013-07-22,21.00,21.15,20.92,21.10,541900,21.10
2013-07-19,21.07,21.25,21.03,21.10,665200,21.10
2013-07-18,21.18,21.32,20.95,21.20,632500,21.20
2013-07-17,21.10,21.33,20.75,21.25,1493700,21.25
2013-07-16,21.42,21.43,21.17,21.26,679300,21.26
2013-07-15,20.84,21.45,20.83,21.45,907300,21.45
2013-07-12,21.17,21.26,20.93,20.95,759900,20.95
2013-07-11,21.33,21.41,21.08,21.16,567600,21.16
2013-07-10,21.36,21.44,21.00,21.30,599600,21.30
2013-07-09,21.12,21.59,21.07,21.42,976200,21.42
2013-07-08,21.20,21.31,21.00,21.10,538200,21.10
2013-07-05,21.25,21.30,20.99,21.07,686700,21.07
2013-07-04,20.77,21.23,20.68,21.11,686200,21.11
2013-07-03,20.59,20.69,20.41,20.62,1047100,20.62
2013-07-02,20.83,20.95,20.60,20.75,1163000,20.75
2013-07-01,20.26,20.95,20.11,20.77,1613200,20.77
2013-06-28,20.19,20.25,19.54,19.90,2380300,19.90
2013-06-27,20.75,20.87,20.26,20.34,1724000,20.34
2013-06-26,21.27,21.33,20.74,20.84,761900,20.84
2013-06-25,20.91,21.23,20.79,21.16,767300,21.16
2013-06-24,21.60,21.64,20.78,20.84,957300,20.84
2013-06-21,21.49,21.81,21.32,21.38,807800,21.38
2013-06-20,21.93,21.93,21.41,21.50,873700,5.38
2013-06-19,21.84,22.11,21.68,22.02,663300,5.51
2013-06-18,21.78,21.85,21.69,21.80,492100,5.45
2013-06-17,21.20,21.89,21.20,21.77,690800,5.44
2013-06-14,21.42,21.42,21.08,21.12,599500,5.28
2013-06-13,21.43,21.43,21.04,21.25,556000,5.31
2013-06-12,21.47,21.56,21.35,21.45,774200,5.36
2013-06-11,21.62,21.62,21.12,21.32,678000,5.33
2013-06-10,21.38,21.62,21.35,21.50,349800,5.38
2013-06-07,21.53,21.55,21.11,21.43,816900,5.36
2013-06-06,21.44,21.76,21.43,21.48,586300,5.37
2013-06-05,21.70,21.72,21.33,21.37,584900,5.34
2013-06-04,22.03,22.07,21.67,21.67,607000,5.42
2013-06-03,22.17,22.22,21.82,21.90,931500,5.47
2013-05-31,22.51,22.57,22.24,22.35,1263900,5.13
2013-05-30,22.14,22.57,22.10,22.50,606100,5.16
2013-05-29,22.60,22.60,22.03,22.10,791800,5.07
2013-05-28,22.48,22.75,22.48,22.65,1128900,5.20
2013-05-27,22.53,22.61,22.40,22.50,373000,5.17
2013-05-24,22.60,22.77,22.36,22.50,973300,5.16
2013-05-23,22.75,22.82,22.42,22.50,954200,5.17
2013-05-22,22.95,23.16,22.82,23.10,828000,5.30
2013-05-21,22.95,23.13,22.84,22.95,561800,5.27
2013-05-20,22.60,23.06,22.52,23.04,598200,5.29
2013-05-17,22.79,22.81,22.48,22.58,808600,5.18
2013-05-16,23.28,23.34,22.77,22.90,936400,5.26
2013-05-15,23.00,23.31,22.98,23.25,523200,5.34
2013-05-14,23.00,23.02,22.79,23.00,853900,5.28
2013-05-13,22.80,23.08,22.79,22.92,696500,5.26
2013-05-10,22.12,22.78,22.12,22.77,1006500,5.23
2013-05-09,21.95,22.16,21.93,22.10,672100,5.07
2013-05-08,22.24,22.32,21.94,21.97,768700,5.04
2013-05-07,22.21,22.41,22.11,22.20,1184100,5.10
2013-05-06,22.01,22.25,22.00,22.19,884000,5.09
2013-05-03,22.06,22.16,21.72,22.00,1337100,5.05
2013-05-02,22.40,22.41,21.50,22.07,3960500,5.07
2013-05-01,23.26,23.26,23.26,23.26,000,5.34
2013-04-30,23.31,23.39,23.09,23.26,1121900,5.34
2013-04-29,23.17,23.31,23.02,23.16,785200,5.32
2013-04-26,23.12,23.30,22.98,23.19,772000,5.32
2013-04-25,22.83,23.21,22.81,23.07,851200,5.29
2013-04-24,23.00,23.09,22.78,22.82,1005700,5.24
2013-04-23,22.73,23.15,22.64,23.00,962300,5.28
2013-04-22,22.87,23.08,22.69,22.72,745800,5.21
2013-04-19,22.92,22.92,22.53,22.91,929100,5.26
2013-04-18,22.52,23.17,22.51,22.80,866200,5.23
2013-04-17,23.23,23.23,22.49,22.54,1040800,5.17
2013-04-16,22.67,22.98,22.62,22.89,1309400,5.25
2013-04-15,23.65,23.65,22.65,22.70,1729300,5.21
2013-04-12,24.40,24.42,23.77,23.85,647700,5.47
2013-04-11,24.13,24.59,24.13,24.35,644600,5.59
2013-04-10,23.71,24.12,23.65,24.12,652900,5.54
2013-04-09,24.12,24.12,23.62,23.62,677500,5.42
2013-04-08,23.87,24.10,23.81,23.98,332400,5.50
2013-04-05,24.09,24.11,23.64,23.75,663200,5.45
2013-04-04,24.78,24.80,23.82,23.92,762300,5.49
2013-04-03,24.62,24.71,24.49,24.67,800700,5.66
2013-04-02,24.27,24.58,24.23,24.55,796500,5.64
2013-04-01,24.27,24.27,24.27,24.27,000,5.57
2013-03-29,24.27,24.27,24.27,24.27,000,5.57
2013-03-28,24.08,24.39,24.08,24.27,797800,5.57
2013-03-27,24.39,24.48,24.05,24.16,475600,5.55
2013-03-26,24.34,24.48,24.33,24.39,455600,5.60
2013-03-25,24.38,24.59,24.29,24.29,555200,5.57
2013-03-22,24.13,24.38,23.91,24.29,808700,5.57
2013-03-21,24.37,24.37,24.01,24.23,836900,5.56
2013-03-20,24.45,24.45,24.18,24.35,670700,5.59
2013-03-19,24.46,24.52,24.19,24.37,764800,5.59
2013-03-18,24.15,24.42,23.88,24.42,982800,5.60
2013-03-15,24.42,24.55,24.29,24.29,788400,5.58
2013-03-14,24.37,24.51,24.20,24.36,908500,5.59
2013-03-13,24.43,24.55,24.21,24.42,1025800,5.61
2013-03-12,24.43,24.62,24.43,24.49,499200,5.62
2013-03-11,24.56,24.71,24.41,24.52,543100,5.63
2013-03-08,25.00,25.01,24.61,24.69,561000,5.67
2013-03-07,24.92,25.01,24.84,24.96,671900,5.73
2013-03-06,25.06,25.20,24.84,24.84,870200,5.70
2013-03-05,25.00,25.40,24.99,25.01,683200,5.74
2013-03-04,24.78,24.93,24.55,24.92,611900,5.72
2013-03-01,24.74,24.89,24.59,24.77,635400,5.69
2013-02-28,24.25,24.78,24.12,24.70,969600,5.67
2013-02-27,23.92,24.20,23.77,24.00,1081900,5.51
2013-02-26,23.77,24.21,23.62,23.95,989600,5.50
2013-02-25,24.18,24.45,23.89,24.03,636400,5.52
2013-02-22,23.88,24.25,23.86,24.17,581300,5.55
2013-02-21,24.05,24.06,23.55,23.80,412200,5.46
2013-02-20,23.81,24.34,23.77,24.07,601300,5.52
2013-02-19,23.35,23.82,23.35,23.75,603800,5.45
2013-02-18,23.29,23.35,23.23,23.31,251500,5.35
2013-02-15,23.01,23.31,23.00,23.28,322100,5.34
2013-02-14,23.12,23.26,22.98,23.07,329200,5.29
2013-02-13,22.69,23.14,22.61,23.14,463200,5.31
2013-02-12,22.65,22.75,22.57,22.61,468900,5.19
2013-02-11,22.91,22.92,22.44,22.55,439700,5.18
2013-02-08,22.62,23.00,22.61,22.87,499500,5.25
2013-02-07,22.56,22.69,22.44,22.52,470300,5.17
2013-02-06,22.44,22.63,22.38,22.52,483100,5.17
2013-02-05,22.37,22.52,22.34,22.41,417300,5.14
2013-02-04,22.43,22.50,22.13,22.35,599300,5.13
2013-02-01,22.01,22.49,22.01,22.41,671200,5.14
2013-01-31,21.97,22.10,21.93,22.05,471100,5.06
2013-01-30,21.92,22.02,21.88,21.98,329200,5.05
2013-01-29,22.00,22.04,21.87,21.92,340800,5.03
2013-01-28,22.20,22.20,22.01,22.02,376400,5.06
2013-01-25,21.97,22.24,21.96,22.07,364400,5.07
2013-01-24,21.95,22.07,21.86,21.98,526100,5.04
2013-01-23,21.75,21.93,21.67,21.93,955500,5.03
2013-01-22,21.83,21.94,21.72,21.75,387400,4.99
2013-01-21,21.80,21.88,21.75,21.84,380200,5.01
2013-01-18,21.58,21.80,21.56,21.73,590600,4.99
2013-01-17,21.44,21.55,21.42,21.52,391800,4.94
2013-01-16,21.25,21.43,21.25,21.40,392000,4.91
2013-01-15,21.07,21.20,21.07,21.20,329800,4.87
2013-01-14,21.27,21.35,21.05,21.07,593100,4.84
2013-01-11,21.11,21.28,21.11,21.25,357500,4.88
2013-01-10,21.09,21.24,21.09,21.18,478900,4.86
2013-01-09,21.15,21.24,21.05,21.11,641900,4.85
2013-01-08,21.05,21.11,21.02,21.09,676000,4.84
2013-01-07,21.08,21.15,21.02,21.07,527400,4.84
2013-01-04,21.33,21.39,21.00,21.07,793200,4.84
2013-01-03,21.55,21.59,21.33,21.37,437900,4.91
2013-01-02,21.35,21.58,21.23,21.54,412600,4.94
2013-01-01,21.16,21.16,21.16,21.16,000,4.86
2012-12-31,21.00,21.17,20.95,21.16,167800,4.86
2012-12-28,21.23,21.25,21.01,21.05,192100,4.83
2012-12-27,21.03,21.24,21.03,21.20,307200,4.87
2012-12-26,21.11,21.11,21.11,21.11,000,4.85
2012-12-25,21.11,21.11,21.11,21.11,000,4.85
2012-12-24,21.15,21.23,21.05,21.11,135200,4.85
2012-12-21,21.33,21.35,21.09,21.15,805700,4.85
2012-12-20,21.14,21.42,21.14,21.33,546400,4.90
2012-12-19,21.38,21.51,21.24,21.26,873400,4.88
2012-12-18,21.52,21.54,21.13,21.28,935600,4.88
2012-12-17,21.64,21.78,21.46,21.50,400600,4.93
2012-12-14,21.41,21.80,21.41,21.64,667000,4.97
2012-12-13,21.40,21.45,21.29,21.44,541700,4.92
2012-12-12,21.50,21.52,21.26,21.37,413800,4.91
2012-12-11,21.63,21.82,21.45,21.51,593800,4.94
2012-12-10,21.62,21.64,21.39,21.61,388200,4.96
2012-12-07,21.62,21.68,21.29,21.65,704500,4.97
2012-12-06,21.55,21.65,21.35,21.60,578700,4.96
2012-12-05,21.25,21.48,21.23,21.47,503700,4.93
2012-12-04,21.34,21.42,21.24,21.30,319900,4.89
2012-12-03,21.42,21.44,21.32,21.33,498000,4.89
2012-11-30,21.37,21.50,21.28,21.33,489600,4.90
2012-11-29,21.18,21.40,21.11,21.34,805800,4.90
2012-11-28,21.08,21.17,20.93,21.16,568100,4.86
2012-11-27,21.00,21.12,20.90,21.08,560700,4.84
2012-11-26,21.11,21.17,20.93,21.02,327900,4.83
2012-11-23,21.07,21.18,20.99,21.15,295200,4.86
2012-11-22,20.90,21.05,20.86,21.04,234700,4.83
2012-11-21,20.81,20.99,20.81,20.90,378700,4.80
2012-11-20,20.62,20.88,20.59,20.83,421600,4.78
2012-11-19,20.62,20.64,20.54,20.64,431700,4.74
2012-11-16,20.47,20.64,20.46,20.52,450300,4.71
2012-11-15,20.57,20.61,20.47,20.55,453900,4.72
2012-11-14,20.67,20.79,20.60,20.64,319500,4.74
2012-11-13,20.60,20.67,20.51,20.66,669800,4.74
2012-11-12,20.57,20.65,20.54,20.65,455000,4.74
2012-11-09,20.58,20.70,20.41,20.55,628200,4.72
2012-11-08,20.59,20.71,20.40,20.61,730800,4.73
2012-11-07,20.93,21.00,20.52,20.52,709800,4.71
2012-11-06,20.74,20.91,20.74,20.82,405900,4.78
2012-11-05,20.83,20.85,20.53,20.70,921500,4.75
2012-11-02,20.68,20.94,20.64,20.93,433800,4.80
2012-11-01,20.47,20.70,20.46,20.70,417800,4.75
2012-10-31,20.68,20.70,20.45,20.48,696600,4.70
2012-10-30,20.50,20.72,20.50,20.65,329900,4.74
2012-10-29,20.63,20.68,20.34,20.59,849100,4.73
2012-10-26,20.94,21.12,20.52,20.63,1191900,4.73
2012-10-25,20.84,21.09,20.80,21.00,542000,4.82
2012-10-24,20.72,20.90,20.57,20.84,544100,4.78
2012-10-23,20.91,20.97,20.50,20.65,1467500,4.74
2012-10-22,20.83,20.87,20.75,20.87,565100,4.79
2012-10-19,20.70,20.82,20.66,20.75,466100,4.76
2012-10-18,20.62,20.83,20.62,20.81,687000,4.78
2012-10-17,20.58,20.64,20.51,20.63,655900,4.74
2012-10-16,20.45,20.60,20.40,20.60,948900,4.73
2012-10-15,20.28,20.45,20.26,20.42,522700,4.69
2012-10-12,20.25,20.31,20.18,20.27,482200,4.65
2012-10-11,20.25,20.37,20.25,20.32,358200,4.66
2012-10-10,20.33,20.35,20.15,20.35,708700,4.67
2012-10-09,20.45,20.45,20.30,20.33,376000,4.67
2012-10-08,20.32,20.50,20.19,20.47,556300,4.70
2012-10-05,19.99,20.39,19.97,20.39,671200,4.68
2012-10-04,20.06,20.07,19.92,19.95,412500,4.58
2012-10-03,19.89,20.00,19.71,19.98,495100,4.58
2012-10-02,19.95,20.17,19.93,20.00,843000,4.59
2012-10-01,19.97,20.05,19.79,20.00,1106800,4.59
2012-09-28,19.82,20.00,19.76,19.98,771600,4.59
2012-09-27,19.54,19.80,19.54,19.76,873000,4.54
2012-09-26,19.40,19.53,19.33,19.53,524000,4.48
2012-09-25,19.45,19.52,19.29,19.52,807000,4.48
2012-09-24,19.34,19.43,19.25,19.43,680600,4.46
2012-09-21,19.18,19.42,19.16,19.37,1041500,4.45
2012-09-20,19.12,19.25,19.02,19.15,835100,4.40
2012-09-19,18.93,19.17,18.93,19.17,438600,4.40
2012-09-18,19.03,19.18,18.87,18.98,527600,4.36
2012-09-17,18.95,19.14,18.89,19.11,377200,4.39
2012-09-14,18.96,18.96,18.80,18.95,680200,4.35
2012-09-13,18.62,18.81,18.62,18.78,252900,4.31
2012-09-12,18.84,18.93,18.62,18.64,632900,4.28
