Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,23.62,23.66,23.15,23.50,2161000,23.50
2013-08-19,24.08,24.12,23.66,23.69,1520300,23.69
2013-08-16,23.97,24.22,23.72,24.08,1931800,24.08
2013-08-15,24.07,24.27,23.42,23.83,1765400,23.83
2013-08-14,24.25,24.58,24.12,24.19,2299900,24.19
2013-08-13,23.83,24.22,23.75,24.22,2058700,24.22
2013-08-12,23.87,23.89,23.47,23.71,1087600,23.71
2013-08-09,23.77,23.93,23.64,23.90,1340700,23.90
2013-08-08,23.14,23.75,23.09,23.75,2586100,23.75
2013-08-07,23.15,23.27,22.97,23.10,1641300,23.10
2013-08-06,23.48,23.65,23.02,23.18,1743100,23.18
2013-08-05,23.65,23.77,23.51,23.56,1258500,23.56
2013-08-02,23.75,23.77,23.39,23.72,1490100,23.72
2013-08-01,23.14,23.83,23.14,23.64,2406500,23.64
2013-07-31,22.86,23.23,22.82,23.07,2201300,23.07
2013-07-30,22.73,23.38,22.65,23.17,2307100,23.17
2013-07-29,22.54,22.75,22.51,22.59,1306600,22.59
2013-07-26,23.04,23.17,22.36,22.50,2207200,22.50
2013-07-25,23.46,23.55,22.73,22.96,2835200,22.96
2013-07-24,23.35,23.60,23.24,23.55,2771300,23.55
2013-07-23,23.40,23.44,23.14,23.17,1700500,23.17
2013-07-22,22.94,23.32,22.94,23.13,2038800,23.13
2013-07-19,22.95,23.05,22.75,22.90,2132300,22.90
2013-07-18,22.50,23.26,22.38,23.24,4283500,23.24
2013-07-17,22.27,22.50,21.90,22.33,2625300,22.33
2013-07-16,21.67,22.25,21.50,22.25,3953700,22.25
2013-07-15,21.65,21.73,21.43,21.58,2234100,21.58
2013-07-12,21.51,21.67,21.15,21.18,1704200,21.18
2013-07-11,21.50,21.52,21.26,21.39,1717400,21.39
2013-07-10,21.35,21.42,20.97,21.15,1625600,21.15
2013-07-09,21.42,21.59,21.25,21.34,1618900,21.34
2013-07-08,21.38,21.59,21.26,21.42,2224800,21.42
2013-07-05,21.74,21.78,21.14,21.20,2310500,21.20
2013-07-04,20.99,21.74,20.94,21.73,3102800,21.73
2013-07-03,20.92,20.92,20.45,20.81,2091300,20.81
2013-07-02,21.42,21.42,20.80,21.16,1773000,21.16
2013-07-01,21.19,21.44,20.77,21.26,1963800,21.26
2013-06-28,21.34,21.41,20.74,21.13,3594600,21.13
2013-06-27,20.64,21.50,20.57,21.27,3268000,21.27
2013-06-26,20.10,21.11,19.93,20.70,3766400,20.70
2013-06-25,20.04,20.14,19.80,20.14,2372800,20.14
2013-06-24,20.25,20.42,19.37,19.75,5347900,19.75
2013-06-21,20.89,21.09,20.41,20.41,5116100,20.41
2013-06-20,21.49,21.65,20.58,20.64,4277000,20.64
2013-06-19,21.94,22.16,21.68,21.97,1861200,21.97
2013-06-18,21.84,22.04,21.74,21.85,1941600,21.85
2013-06-17,21.26,22.04,21.25,21.93,2266400,21.93
2013-06-14,21.46,21.76,21.22,21.40,2141100,21.40
2013-06-13,20.46,21.50,20.27,21.40,3951000,21.40
2013-06-12,21.01,21.23,20.77,20.88,1908900,20.88
2013-06-11,21.67,21.70,20.79,21.12,2938400,21.12
2013-06-10,21.53,22.02,21.50,21.69,2046300,21.69
2013-06-07,21.29,21.74,21.08,21.53,3037500,21.53
2013-06-06,21.50,21.90,21.35,21.35,3231200,21.35
2013-06-05,21.94,21.94,20.95,21.47,6966600,21.47
2013-06-04,22.65,22.78,22.34,22.39,1816900,22.39
2013-06-03,22.70,23.02,22.37,22.45,2109100,22.45
2013-05-31,23.21,23.21,22.66,22.82,2275600,22.82
2013-05-30,22.60,23.28,22.50,23.17,2392900,23.17
2013-05-29,23.49,23.57,22.60,22.60,3149000,22.60
2013-05-28,23.85,24.06,23.66,23.73,2023200,23.73
2013-05-27,23.45,23.66,23.34,23.66,1192000,23.66
2013-05-24,23.35,23.61,23.02,23.15,2601900,23.15
2013-05-23,23.42,23.73,23.00,23.17,5733500,23.17
2013-05-22,23.35,24.42,23.28,24.42,4265400,24.42
2013-05-21,23.42,23.54,23.08,23.32,1646100,23.32
2013-05-20,23.33,23.48,23.13,23.48,1190600,23.48
2013-05-17,23.24,23.50,22.94,23.27,3788100,23.27
2013-05-16,23.60,23.72,23.28,23.33,1620000,23.33
2013-05-15,23.33,23.68,23.17,23.60,1545200,23.60
2013-05-14,23.27,23.40,22.91,23.33,1291600,23.33
2013-05-13,23.59,23.60,23.18,23.18,1780300,23.18
2013-05-10,23.35,23.67,23.27,23.57,1584100,23.57
2013-05-09,23.68,23.72,23.15,23.31,1864900,23.31
2013-05-08,23.15,23.80,23.10,23.78,2663000,23.78
2013-05-07,22.48,23.09,22.47,23.09,2737200,23.09
2013-05-06,22.86,22.87,22.45,22.46,1024000,22.46
2013-05-03,22.63,22.99,22.39,22.99,2420100,22.99
2013-05-02,22.01,22.83,22.01,22.57,3892200,22.57
2013-05-01,22.50,22.50,22.50,22.50,000,21.92
2013-04-30,22.88,22.93,22.32,22.50,3142100,21.92
2013-04-29,22.19,22.88,22.17,22.81,2356200,22.22
2013-04-26,22.32,22.42,21.83,22.15,2796800,21.58
2013-04-25,22.35,22.51,22.17,22.40,2518900,21.82
2013-04-24,22.02,22.42,21.85,22.40,5665800,21.82
2013-04-23,20.83,21.97,20.82,21.95,4526400,21.39
2013-04-22,20.81,21.15,20.67,20.80,2600800,20.26
2013-04-19,20.37,21.10,20.37,21.06,3408700,20.51
2013-04-18,20.88,20.89,20.26,20.41,3611300,19.88
2013-04-17,21.22,21.26,20.59,20.62,3351100,20.09
2013-04-16,21.11,21.45,21.03,21.16,2210600,20.61
2013-04-15,21.45,21.66,21.21,21.38,1747400,20.83
2013-04-12,21.84,21.90,21.49,21.60,2125900,21.05
2013-04-11,21.37,22.00,21.36,21.90,2692500,21.34
2013-04-10,20.80,21.57,20.79,21.50,2679300,20.95
2013-04-09,20.70,21.00,20.65,20.85,3377400,20.32
2013-04-08,20.72,20.90,20.53,20.62,1920000,20.09
2013-04-05,21.27,21.53,20.50,20.68,3896300,20.15
2013-04-04,21.56,21.98,21.34,21.36,3243900,20.81
2013-04-03,21.86,22.25,21.52,21.52,3398200,20.97
2013-04-02,21.33,22.15,21.29,22.07,3519600,21.50
2013-04-01,21.35,21.35,21.35,21.35,000,20.80
2013-03-29,21.35,21.35,21.35,21.35,000,20.80
2013-03-28,20.81,21.50,20.80,21.35,2877800,20.80
2013-03-27,21.42,21.51,20.69,20.86,3113900,20.33
2013-03-26,21.20,21.60,21.20,21.42,1772700,20.86
2013-03-25,22.08,22.18,21.24,21.27,2939500,20.72
2013-03-22,21.80,21.96,21.52,21.84,2672500,21.28
2013-03-21,21.83,22.07,21.61,22.00,2866200,21.44
2013-03-20,21.55,22.17,21.55,22.03,2317400,21.47
2013-03-19,21.70,22.30,21.59,21.75,4299800,21.19
2013-03-18,21.29,21.81,20.86,21.67,3259800,21.12
2013-03-15,22.02,22.03,21.57,21.57,4534000,21.01
2013-03-14,22.10,22.11,21.67,22.07,3125200,21.50
2013-03-13,22.26,22.29,21.81,21.94,2846300,21.38
2013-03-12,22.33,22.59,22.33,22.38,2323900,21.80
2013-03-11,22.63,22.73,22.28,22.33,2466500,21.75
2013-03-08,22.38,23.03,22.24,22.61,4849100,22.03
2013-03-07,22.00,22.62,21.72,22.00,10172700,21.43
2013-03-06,21.17,21.64,21.15,21.39,3700300,20.83
2013-03-05,20.90,21.24,20.80,21.24,3713300,20.69
2013-03-04,20.45,20.84,20.38,20.65,2512400,20.11
2013-03-01,20.73,20.87,20.34,20.58,2515600,20.05
2013-02-28,20.72,20.94,20.67,20.88,2057600,20.34
2013-02-27,20.32,20.76,20.31,20.73,2321400,20.19
2013-02-26,20.36,20.63,20.28,20.30,3500700,19.77
2013-02-25,21.00,21.35,20.63,20.83,3080100,20.29
2013-02-22,20.53,21.18,20.47,21.00,2764000,20.46
2013-02-21,20.55,20.79,20.30,20.49,4221900,19.96
2013-02-20,21.00,21.05,20.65,20.79,2524300,20.25
2013-02-19,20.07,21.00,19.99,21.00,4285400,20.45
2013-02-18,19.94,20.18,19.86,20.08,2400300,19.56
2013-02-15,20.19,20.30,19.86,20.00,3705000,19.48
2013-02-14,20.62,20.73,20.18,20.18,2851700,19.66
2013-02-13,21.00,21.00,20.64,20.75,2736500,20.22
2013-02-12,20.84,21.05,20.70,21.02,2414800,20.48
2013-02-11,20.78,21.02,20.70,20.84,1208200,20.31
2013-02-08,20.85,20.96,20.71,20.86,2563100,20.32
