Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,42.50,42.53,41.62,42.13,713000,42.13
2013-08-19,42.83,42.90,42.52,42.62,403800,42.62
2013-08-16,43.00,43.06,42.60,42.75,604200,42.75
2013-08-15,43.35,43.53,42.68,43.06,362100,43.06
2013-08-14,42.97,43.58,42.92,43.49,591500,43.49
2013-08-13,42.80,43.34,42.72,42.92,605200,42.92
2013-08-12,42.84,43.08,42.58,42.71,312400,42.71
2013-08-09,42.82,42.97,42.31,42.90,799200,42.90
2013-08-08,43.30,43.35,42.65,42.81,806300,42.81
2013-08-07,43.00,43.45,42.94,43.29,665600,43.29
2013-08-06,43.40,43.52,42.97,43.25,724300,43.25
2013-08-05,43.00,43.47,43.00,43.40,496800,43.40
2013-08-02,42.33,43.12,42.31,42.98,924900,42.98
2013-08-01,41.18,42.21,41.15,42.21,805300,42.21
2013-07-31,41.08,41.42,40.85,41.15,698900,41.15
2013-07-30,41.75,41.92,40.94,41.06,726800,41.06
2013-07-29,42.10,42.28,41.43,41.56,725100,41.56
2013-07-26,41.99,42.75,41.79,42.00,936100,42.00
2013-07-25,40.89,41.90,40.81,41.64,1165000,41.64
2013-07-24,40.80,40.94,40.57,40.85,727000,40.85
2013-07-23,41.28,41.32,40.56,40.71,769700,40.71
2013-07-22,41.24,41.62,40.92,41.40,556100,41.40
2013-07-19,40.90,41.41,40.76,41.30,623700,41.30
2013-07-18,40.62,41.12,40.33,41.04,906800,41.04
2013-07-17,40.29,40.97,39.88,40.74,730500,40.74
2013-07-16,40.20,40.25,39.94,40.03,448100,40.03
2013-07-15,40.40,40.83,40.00,40.21,750400,40.21
2013-07-12,39.62,40.15,39.60,39.94,925000,39.94
2013-07-11,39.30,39.45,39.03,39.24,644000,39.24
2013-07-10,38.90,39.00,38.50,39.00,637900,39.00
2013-07-09,39.14,39.29,38.90,38.90,655200,38.90
2013-07-08,38.74,39.38,38.62,39.15,606800,39.15
2013-07-05,38.37,38.83,38.32,38.32,536500,38.32
2013-07-04,37.62,38.62,37.49,38.36,528400,38.36
2013-07-03,37.53,37.72,37.34,37.47,699600,37.47
2013-07-02,37.62,38.08,37.56,37.85,554500,37.85
2013-07-01,37.38,37.88,37.17,37.69,549800,37.69
2013-06-28,37.80,38.10,37.30,37.35,1746100,37.35
2013-06-27,38.29,38.76,38.02,38.51,975000,38.51
2013-06-26,37.62,38.49,37.42,38.40,858600,38.40
2013-06-25,37.48,37.54,37.18,37.53,833300,37.53
2013-06-24,37.74,38.01,37.10,37.15,909200,37.15
2013-06-21,38.20,38.68,37.75,37.76,1550100,37.76
2013-06-20,38.98,39.17,38.41,38.42,1172400,38.42
2013-06-19,39.22,39.42,38.87,39.29,951300,39.29
2013-06-18,39.35,39.44,38.84,39.14,970600,39.14
2013-06-17,38.53,39.46,38.44,39.35,907800,39.35
2013-06-14,38.67,38.67,38.03,38.31,652100,38.31
2013-06-13,36.49,38.56,36.30,38.42,1419400,38.42
2013-06-12,37.07,37.35,36.76,36.81,539800,36.81
2013-06-11,37.26,37.33,36.80,37.06,584300,37.06
2013-06-10,36.94,37.48,36.80,37.24,437500,37.24
2013-06-07,36.42,37.22,36.26,36.94,683600,36.94
2013-06-06,36.68,36.98,36.38,36.40,382200,36.40
2013-06-05,36.80,37.15,36.55,36.56,489000,36.56
2013-06-04,37.15,37.69,36.78,36.91,624800,36.91
2013-06-03,37.00,37.39,36.44,36.90,1058700,36.90
2013-05-31,38.01,38.39,37.33,37.77,1691100,36.77
2013-05-30,38.24,38.73,38.13,38.25,1029400,37.24
2013-05-29,38.61,38.69,37.60,38.19,648500,37.18
2013-05-28,38.89,39.04,38.62,38.62,653500,37.60
2013-05-27,38.94,39.00,38.55,38.62,319600,37.60
2013-05-24,38.19,39.39,38.19,38.67,1060600,37.65
2013-05-23,38.04,38.34,37.64,38.06,1071900,37.06
2013-05-22,40.05,40.08,38.61,38.72,1369300,37.70
2013-05-21,39.94,40.10,39.63,40.01,679600,38.95
2013-05-20,39.41,39.97,39.38,39.97,431200,38.91
2013-05-17,39.20,39.36,38.56,39.28,938600,38.24
2013-05-16,39.43,39.53,39.03,39.38,493400,38.34
2013-05-15,39.17,39.55,38.89,39.55,844100,38.50
2013-05-14,39.28,39.30,38.85,39.15,581700,38.11
2013-05-13,39.30,39.50,38.91,39.12,602600,38.08
2013-05-10,39.15,39.44,38.80,39.31,519800,38.27
2013-05-09,38.94,39.17,38.45,39.09,355700,38.06
2013-05-08,38.30,39.04,38.04,38.90,620900,37.87
2013-05-07,38.20,38.58,37.98,38.24,629200,37.23
2013-05-06,38.15,38.26,37.92,38.01,396500,37.00
2013-05-03,37.69,38.01,37.21,38.01,1115500,37.00
2013-05-02,35.40,37.88,35.40,37.60,2015800,36.60
2013-05-01,34.92,34.92,34.92,34.92,000,34.00
2013-04-30,35.45,35.67,34.92,34.92,912500,34.00
2013-04-29,35.11,35.45,35.05,35.31,500600,34.38
2013-04-26,35.39,35.39,34.91,35.01,581200,34.08
2013-04-25,35.07,35.45,35.07,35.33,750400,34.40
2013-04-24,34.63,35.17,34.46,34.97,841800,34.04
2013-04-23,33.81,34.75,33.63,34.70,857200,33.78
2013-04-22,33.69,34.10,33.47,33.70,589700,32.81
2013-04-19,33.65,33.71,32.92,33.69,1416700,32.79
2013-04-18,33.91,33.97,33.35,33.65,1005800,32.76
2013-04-17,34.46,34.46,33.52,33.65,964600,32.76
2013-04-16,34.00,34.38,33.77,34.10,777600,33.20
2013-04-15,34.19,34.53,33.91,34.30,1084000,33.39
2013-04-12,34.65,34.85,34.06,34.25,1917500,33.34
2013-04-11,35.31,35.87,35.26,35.71,661600,34.76
2013-04-10,34.61,35.35,34.61,35.31,868200,34.38
2013-04-09,34.60,34.85,34.24,34.53,706200,33.62
2013-04-08,34.96,35.00,34.24,34.38,610900,33.47
2013-04-05,35.06,35.27,34.36,34.74,784400,33.82
2013-04-04,35.59,35.81,34.99,35.10,677900,34.17
2013-04-03,35.60,35.86,35.36,35.47,791500,34.53
2013-04-02,35.60,35.79,35.10,35.58,1091100,34.63
2013-04-01,35.50,35.50,35.50,35.50,000,34.56
2013-03-29,35.50,35.50,35.50,35.50,000,34.56
2013-03-28,36.12,36.30,35.15,35.50,1550100,34.56
2013-03-27,36.74,36.90,35.53,36.19,736000,35.24
2013-03-26,36.46,36.56,36.03,36.54,634000,35.58
2013-03-25,36.74,37.28,36.16,36.19,821600,35.23
2013-03-22,36.97,37.05,36.24,36.37,847600,35.41
2013-03-21,38.00,38.06,36.45,36.97,1520900,35.99
2013-03-20,38.36,38.81,38.26,38.47,838400,37.46
2013-03-19,38.22,38.38,37.91,38.01,670300,37.00
2013-03-18,38.17,38.49,38.11,38.28,657100,37.26
2013-03-15,38.44,38.86,38.42,38.65,977200,37.62
2013-03-14,38.15,38.38,37.91,38.38,787100,37.36
2013-03-13,38.22,38.29,37.95,38.12,406300,37.12
2013-03-12,38.26,38.51,38.16,38.19,538900,37.18
2013-03-11,38.71,38.72,37.96,38.28,604900,37.26
2013-03-08,38.74,39.01,38.53,38.74,889600,37.71
2013-03-07,38.63,38.74,38.44,38.53,590800,37.51
2013-03-06,38.28,38.68,38.17,38.55,835500,37.53
2013-03-05,37.69,38.24,37.56,38.15,1007700,37.14
2013-03-04,37.17,37.47,36.95,37.31,857900,36.32
2013-03-01,37.76,37.88,36.85,37.19,1061600,36.21
