Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,19.02,19.04,18.67,18.80,619800,18.80
2013-08-19,19.11,19.15,18.85,19.11,365300,19.11
2013-08-16,18.95,19.31,18.82,19.10,611500,19.10
2013-08-15,19.30,19.43,18.87,18.96,606000,18.96
2013-08-14,19.19,19.40,19.04,19.29,700300,19.29
2013-08-13,18.38,19.15,18.34,19.15,1207900,19.15
2013-08-12,18.10,18.39,17.95,18.33,619300,18.33
2013-08-09,18.08,18.10,17.92,18.01,594500,18.01
2013-08-08,17.84,18.07,17.81,18.05,961600,18.05
2013-08-07,17.61,17.86,17.42,17.81,785700,17.81
2013-08-06,18.00,18.00,17.58,17.72,868100,17.72
2013-08-05,18.11,18.17,17.81,18.00,948600,18.00
2013-08-02,18.55,18.58,17.97,18.18,1231300,18.18
2013-08-01,19.85,20.00,17.86,18.38,4220500,18.38
2013-07-31,18.92,19.01,18.71,19.00,830500,19.00
2013-07-30,18.91,19.00,18.67,18.91,605700,18.91
2013-07-29,18.96,19.00,18.65,18.81,690100,18.81
2013-07-26,19.44,19.49,18.92,19.03,556200,19.03
2013-07-25,19.48,19.84,19.07,19.33,804300,19.33
2013-07-24,19.49,19.56,18.95,19.40,693900,19.40
2013-07-23,19.30,19.69,19.12,19.50,708000,19.50
2013-07-22,18.85,19.32,18.83,19.32,672600,19.32
2013-07-19,18.83,19.05,18.69,18.85,551000,18.85
2013-07-18,18.80,18.99,18.51,18.89,545300,18.89
2013-07-17,19.14,19.17,18.56,18.84,862700,18.84
2013-07-16,19.17,19.21,18.88,19.18,411500,19.18
2013-07-15,19.34,19.39,19.08,19.14,294200,19.14
2013-07-12,19.00,19.53,18.85,19.23,610900,19.23
2013-07-11,18.81,19.38,18.80,19.17,889900,19.17
2013-07-10,18.70,19.14,18.34,18.65,770300,18.65
2013-07-09,18.14,18.48,18.01,18.40,679000,18.40
2013-07-08,18.10,18.20,17.95,17.99,953900,17.99
2013-07-05,17.83,18.77,17.82,18.25,1228000,18.25
2013-07-04,18.01,18.10,17.49,17.86,904800,17.86
2013-07-03,17.25,18.10,16.97,17.85,1474400,17.85
2013-07-02,17.15,17.42,17.01,17.35,725500,17.35
2013-07-01,17.18,17.38,16.91,17.07,744100,17.07
2013-06-28,17.06,17.33,16.76,16.99,989200,16.99
2013-06-27,17.54,17.58,16.99,16.99,1194300,16.99
2013-06-26,17.20,17.58,17.01,17.54,679800,17.54
2013-06-25,17.23,17.38,16.98,17.17,945600,17.17
2013-06-24,17.44,17.44,16.65,16.80,1302700,16.80
2013-06-21,17.94,18.04,17.25,17.33,1144500,17.33
2013-06-20,18.35,18.35,17.78,17.91,1167000,17.91
2013-06-19,18.55,18.87,18.41,18.67,799500,18.67
2013-06-18,18.08,18.63,18.00,18.55,1049600,18.55
2013-06-17,17.99,18.25,17.84,18.09,1152400,18.09
2013-06-14,17.50,18.00,17.38,17.91,989100,17.91
2013-06-13,16.98,17.44,16.68,17.36,1019500,17.36
2013-06-12,17.40,17.60,17.01,17.15,882800,17.15
2013-06-11,17.55,17.55,17.14,17.31,1025100,17.31
2013-06-10,18.06,18.06,17.51,17.53,989300,17.53
2013-06-07,17.99,18.22,17.92,18.01,703500,18.01
2013-06-06,18.14,18.33,17.91,17.93,608900,17.93
2013-06-05,18.50,18.59,18.11,18.12,801300,18.12
2013-06-04,19.05,19.23,18.62,18.64,676200,18.64
2013-06-03,19.00,19.22,18.84,18.88,600000,18.88
2013-05-31,19.50,19.55,19.11,19.11,825200,19.11
2013-05-30,19.09,19.54,19.01,19.50,932800,19.50
2013-05-29,19.94,20.08,19.58,19.58,757800,19.58
2013-05-28,19.99,20.33,19.77,20.15,704900,20.15
2013-05-27,19.88,20.10,19.63,19.93,477900,19.93
2013-05-24,19.40,19.93,19.40,19.65,750400,19.65
2013-05-23,19.37,19.45,18.88,19.40,821300,19.40
2013-05-22,20.05,20.15,19.63,19.97,601200,19.97
2013-05-21,19.99,20.13,19.75,20.12,494800,20.12
2013-05-20,19.99,20.12,19.77,20.07,710500,20.07
2013-05-17,19.32,19.99,19.25,19.93,1329300,19.93
2013-05-16,19.10,19.34,18.93,19.28,674100,19.28
2013-05-15,19.03,19.06,18.69,19.00,695600,19.00
2013-05-14,19.15,19.28,18.92,18.95,597800,18.95
2013-05-13,19.25,19.29,19.00,19.03,543000,19.03
2013-05-10,18.90,19.24,18.90,19.23,678900,19.23
2013-05-09,18.91,19.14,18.85,18.94,485200,18.94
2013-05-08,19.18,19.26,18.82,19.00,621000,19.00
2013-05-07,18.99,19.26,18.90,19.17,964900,19.17
2013-05-06,18.83,18.94,18.51,18.90,645400,18.90
2013-05-03,18.00,18.76,17.95,18.69,3359600,18.69
2013-05-02,16.40,17.00,16.16,16.65,1689500,16.65
2013-05-01,16.44,16.44,16.44,16.44,000,16.44
2013-04-30,16.84,16.84,16.36,16.44,936100,16.44
2013-04-29,16.42,16.85,16.40,16.64,673300,16.64
2013-04-26,17.00,17.00,16.11,16.43,994500,16.43
2013-04-25,16.59,17.16,16.49,17.06,1219700,17.06
2013-04-24,15.99,16.81,15.94,16.59,1435400,16.59
2013-04-23,15.52,15.90,15.38,15.81,1151500,15.81
2013-04-22,15.77,15.78,15.42,15.56,805000,15.56
2013-04-19,15.50,15.84,15.45,15.62,1232200,15.62
2013-04-18,15.76,15.92,15.31,15.36,1246200,15.36
2013-04-17,16.64,16.64,15.71,15.77,1592200,15.77
2013-04-16,16.20,16.82,16.16,16.35,1842200,16.35
2013-04-15,17.09,17.18,16.11,16.29,2015900,16.29
2013-04-12,17.30,17.33,17.02,17.12,975500,17.12
2013-04-11,17.35,17.40,17.18,17.31,954700,17.31
2013-04-10,17.13,17.54,17.11,17.30,1069200,17.30
2013-04-09,17.11,17.26,17.00,17.15,952300,17.15
2013-04-08,17.30,17.45,16.95,17.04,918700,17.04
2013-04-05,17.57,17.57,16.95,17.12,1123900,17.12
2013-04-04,17.40,17.92,17.36,17.50,1365700,17.50
2013-04-03,17.34,17.49,17.07,17.40,1174700,17.40
2013-04-02,17.59,17.73,17.33,17.36,593300,17.36
2013-04-01,17.57,17.57,17.57,17.57,000,17.57
2013-03-29,17.57,17.57,17.57,17.57,000,17.57
2013-03-28,17.97,18.03,17.57,17.57,630300,17.57
2013-03-27,18.30,18.31,17.85,17.90,896000,17.90
2013-03-26,17.91,18.39,17.90,18.26,697100,18.26
2013-03-25,18.30,18.36,17.70,17.77,575100,17.77
2013-03-22,18.31,18.37,18.02,18.07,594000,18.07
2013-03-21,18.44,18.44,18.11,18.32,490600,18.32
2013-03-20,18.48,18.50,18.19,18.36,707700,18.36
2013-03-19,18.31,18.55,18.25,18.26,850100,18.26
2013-03-18,18.10,18.45,18.10,18.27,866800,18.27
2013-03-15,18.59,18.60,18.27,18.33,942200,18.33
2013-03-14,18.63,18.75,18.50,18.56,547200,18.56
2013-03-13,18.60,18.66,18.43,18.60,774800,18.60
2013-03-12,18.56,18.75,18.55,18.60,811900,18.60
2013-03-11,18.54,18.66,18.49,18.52,859800,18.52
2013-03-08,18.70,18.70,18.45,18.48,799600,18.48
2013-03-07,18.73,18.83,18.48,18.50,735400,18.50
2013-03-06,18.79,18.90,18.56,18.60,991300,18.60
2013-03-05,18.03,18.86,18.00,18.62,1661700,18.62
2013-03-04,18.09,18.17,17.71,17.81,1512900,17.81
