Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,45.51,46.40,45.13,46.35,10600,46.35
2013-08-19,46.39,46.39,45.12,46.38,17600,46.38
2013-08-16,45.13,46.40,44.70,46.00,12300,46.00
2013-08-15,44.55,45.06,44.55,44.98,4900,44.98
2013-08-14,45.10,45.10,44.05,44.33,2900,44.33
2013-08-13,43.83,44.97,43.83,44.27,4600,44.27
2013-08-12,44.72,44.72,43.51,44.08,6100,44.08
2013-08-09,44.33,45.05,44.10,44.20,4700,44.20
2013-08-08,45.31,45.31,44.11,44.20,12300,44.20
2013-08-07,44.90,45.79,44.90,45.19,7800,45.19
2013-08-06,45.01,45.79,44.53,45.04,7300,45.04
2013-08-05,44.89,45.89,44.40,45.39,3300,45.39
2013-08-02,44.83,45.77,44.53,45.77,4700,45.77
2013-08-01,45.14,46.40,45.04,46.40,3900,44.90
2013-07-31,45.45,46.10,45.03,45.52,4900,44.05
2013-07-30,45.02,45.48,44.29,45.48,3400,44.01
2013-07-29,45.08,45.85,44.02,45.25,5200,43.79
2013-07-26,45.08,45.72,45.00,45.31,2400,43.84
2013-07-25,45.49,45.85,45.02,45.55,3400,44.08
2013-07-24,45.97,45.97,44.90,45.56,3800,44.09
2013-07-23,45.28,45.92,45.10,45.73,4300,44.25
2013-07-22,45.22,46.20,43.20,45.45,6700,43.98
2013-07-19,45.60,45.60,44.17,45.44,5200,43.98
2013-07-18,44.63,45.60,44.63,45.22,4400,43.76
2013-07-17,45.52,45.63,44.80,45.25,12400,43.79
2013-07-16,45.30,45.66,44.72,45.52,8000,44.05
2013-07-15,45.00,45.65,44.60,45.46,3000,43.99
2013-07-12,44.18,45.30,43.83,45.07,6700,43.61
2013-07-11,44.80,44.90,44.30,44.30,1700,42.87
2013-07-10,43.37,44.60,43.37,44.56,6300,43.12
2013-07-09,43.81,44.50,43.81,44.50,3300,43.06
2013-07-08,43.77,44.11,43.34,43.82,2300,42.40
2013-07-05,43.17,44.19,43.17,43.94,2500,42.51
2013-07-04,43.14,44.10,43.10,43.48,5000,42.07
2013-07-03,43.00,43.34,42.81,43.11,5900,41.72
2013-07-02,43.11,43.50,43.00,43.00,8300,41.61
2013-07-01,44.08,44.08,43.11,43.12,6900,41.72
2013-06-28,44.96,44.96,43.22,43.22,10500,41.82
