Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,14.10,14.10,13.71,13.75,508400,13.75
2013-08-19,14.30,14.40,14.10,14.15,535800,14.15
2013-08-16,14.31,14.40,14.16,14.31,352900,14.31
2013-08-15,14.19,14.48,14.14,14.35,507300,14.35
2013-08-14,13.79,14.11,13.69,14.11,588400,14.11
2013-08-13,13.70,13.80,13.65,13.72,273400,13.72
2013-08-12,13.59,13.70,13.56,13.69,236100,13.69
2013-08-09,13.59,13.68,13.54,13.62,200000,13.62
2013-08-08,13.47,13.60,13.42,13.52,258800,13.52
2013-08-07,13.33,13.47,13.22,13.42,286200,13.42
2013-08-06,13.37,13.50,13.31,13.35,423300,13.35
2013-08-05,13.30,13.61,13.29,13.36,644700,13.36
2013-08-02,12.99,13.15,12.90,13.10,339500,13.10
2013-08-01,12.64,12.95,12.64,12.95,258100,12.95
2013-07-31,12.80,12.83,12.61,12.72,480700,12.72
2013-07-30,12.63,12.89,12.60,12.80,391000,12.80
2013-07-29,12.70,12.73,12.56,12.61,287000,12.61
2013-07-26,12.50,13.07,12.50,12.66,604000,12.66
2013-07-25,12.51,12.57,12.42,12.45,193600,12.45
2013-07-24,12.49,12.60,12.39,12.56,219100,12.56
2013-07-23,12.51,12.54,12.39,12.43,249600,12.43
2013-07-22,12.43,12.56,12.36,12.52,207700,12.52
2013-07-19,12.39,12.47,12.31,12.44,164500,12.44
2013-07-18,12.12,12.40,12.12,12.40,253000,12.40
2013-07-17,12.05,12.11,11.94,12.10,206000,12.10
2013-07-16,12.02,12.20,12.01,12.06,328300,12.06
2013-07-15,11.88,12.09,11.80,12.02,239700,12.02
2013-07-12,11.95,12.10,11.85,11.89,297100,11.89
2013-07-11,11.80,11.94,11.78,11.89,317100,11.89
2013-07-10,11.61,11.80,11.61,11.75,241200,11.75
2013-07-09,11.38,11.62,11.35,11.62,347800,11.62
2013-07-08,11.29,11.45,11.27,11.39,253700,11.39
2013-07-05,11.15,11.37,11.15,11.19,328300,11.19
2013-07-04,11.10,11.29,11.03,11.23,219300,11.23
2013-07-03,11.09,11.10,10.91,11.06,402900,11.06
2013-07-02,11.06,11.15,10.99,11.14,293200,11.14
2013-07-01,11.10,11.20,10.99,11.13,381200,11.13
2013-06-28,11.10,11.10,10.91,11.02,384700,11.02
2013-06-27,11.03,11.13,10.91,11.03,270700,11.03
2013-06-26,10.84,11.10,10.78,11.10,337100,11.10
2013-06-25,10.70,10.89,10.67,10.82,377300,10.82
2013-06-24,10.84,10.98,10.60,10.65,445000,10.65
2013-06-21,11.13,11.20,10.87,10.87,531600,10.87
2013-06-20,11.41,11.45,11.15,11.16,396000,11.16
2013-06-19,11.63,11.73,11.53,11.53,504400,11.53
2013-06-18,11.61,11.87,11.59,11.71,318500,11.71
2013-06-17,11.49,11.71,11.40,11.62,435300,11.62
2013-06-14,11.40,11.56,11.35,11.45,211300,11.45
2013-06-13,11.24,11.47,11.10,11.34,541000,11.34
2013-06-12,11.39,11.50,11.30,11.31,349300,11.31
2013-06-11,11.47,11.49,11.38,11.44,369000,11.44
2013-06-10,11.56,11.75,11.49,11.49,510300,11.49
2013-06-07,11.40,11.70,11.39,11.61,355300,11.61
2013-06-06,11.66,11.70,11.40,11.40,529200,11.40
2013-06-05,11.65,11.85,11.61,11.64,537500,11.64
2013-06-04,11.70,11.80,11.60,11.69,360800,11.69
2013-06-03,11.59,11.73,11.51,11.60,393800,11.60
2013-05-31,11.80,11.90,11.65,11.65,569300,11.65
2013-05-30,11.66,11.80,11.65,11.74,205000,11.74
2013-05-29,11.90,11.90,11.65,11.68,451200,11.68
2013-05-28,11.58,11.98,11.51,11.81,662300,11.81
2013-05-27,11.50,11.53,11.41,11.50,123900,11.50
2013-05-24,11.49,11.53,11.32,11.40,316300,11.40
2013-05-23,11.49,11.53,11.28,11.36,581800,11.36
2013-05-22,11.64,11.73,11.54,11.65,492600,11.65
2013-05-21,11.50,11.65,11.48,11.65,589000,11.65
2013-05-20,11.49,11.57,11.40,11.49,356100,11.49
2013-05-17,11.41,11.60,11.40,11.50,453000,11.50
2013-05-16,11.54,11.55,11.21,11.48,472900,11.48
2013-05-15,11.31,11.55,11.31,11.54,249500,11.54
2013-05-14,11.36,11.36,11.19,11.34,145900,11.34
2013-05-13,11.51,11.51,11.21,11.30,387900,11.30
2013-05-10,11.48,11.53,11.32,11.44,214500,11.44
2013-05-09,11.57,11.60,11.40,11.45,202000,11.45
2013-05-08,11.55,11.60,11.48,11.51,217100,11.51
2013-05-07,11.33,11.55,11.33,11.51,415500,11.51
2013-05-06,11.32,11.44,11.27,11.31,156200,11.31
2013-05-03,11.10,11.40,11.05,11.32,451400,11.32
2013-05-02,10.80,11.13,10.78,11.02,525700,11.02
2013-05-01,10.76,10.76,10.76,10.76,000,10.76
2013-04-30,10.99,11.06,10.76,10.76,491000,10.76
2013-04-29,11.61,11.70,11.60,11.67,501900,10.90
2013-04-26,11.57,11.63,11.49,11.56,277100,10.80
2013-04-25,11.34,11.61,11.34,11.60,369100,10.83
2013-04-24,11.37,11.49,11.26,11.40,467800,10.65
2013-04-23,10.90,11.40,10.88,11.39,443500,10.64
2013-04-22,10.80,11.07,10.76,10.89,271100,10.17
2013-04-19,10.80,10.80,10.57,10.76,237000,10.05
2013-04-18,10.93,10.97,10.61,10.72,309800,10.01
2013-04-17,11.20,11.20,10.81,10.90,331100,10.18
2013-04-16,11.15,11.23,10.91,11.14,258700,10.40
2013-04-15,11.31,11.40,11.13,11.23,210300,10.49
2013-04-12,11.30,11.40,11.26,11.33,284500,10.58
2013-04-11,11.10,11.40,11.05,11.39,393200,10.64
2013-04-10,10.68,11.15,10.68,11.07,510500,10.34
2013-04-09,10.56,10.73,10.56,10.73,348200,10.03
2013-04-08,10.68,10.69,10.44,10.56,398400,9.86
2013-04-05,10.80,10.90,10.48,10.61,326800,9.91
2013-04-04,10.79,10.90,10.70,10.73,442800,10.03
2013-04-03,10.72,10.89,10.70,10.80,446000,10.08
2013-04-02,10.73,10.83,10.69,10.83,325800,10.12
2013-04-01,10.70,10.70,10.70,10.70,000,10.00
2013-03-29,10.70,10.70,10.70,10.70,000,10.00
2013-03-28,10.79,10.80,10.40,10.70,967600,10.00
2013-03-27,11.18,11.18,10.74,10.90,307400,10.19
2013-03-26,11.13,11.24,11.05,11.10,201300,10.36
2013-03-25,11.51,11.55,11.15,11.15,286900,10.41
2013-03-22,11.48,11.62,11.40,11.42,267200,10.67
2013-03-21,11.54,11.60,11.41,11.54,308900,10.78
