Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,77.63,77.74,74.73,74.81,486700,74.81
2013-08-19,78.12,78.21,77.52,77.73,96300,77.73
2013-08-16,77.96,78.50,77.74,78.10,190700,78.10
2013-08-15,79.20,79.20,77.12,78.09,170400,78.09
2013-08-14,78.97,79.21,78.41,79.01,106600,79.01
2013-08-13,78.59,79.20,78.49,78.73,107300,78.73
2013-08-12,78.70,78.78,77.97,78.49,118600,78.49
2013-08-09,78.27,78.89,77.87,78.63,214000,78.63
2013-08-08,78.13,78.57,77.80,78.14,173300,78.14
2013-08-07,77.97,78.08,77.19,77.46,140000,77.46
2013-08-06,78.32,78.60,77.56,77.98,117100,77.98
2013-08-05,78.75,78.88,77.87,78.08,136200,78.08
2013-08-02,79.25,79.41,78.51,78.75,176500,78.75
2013-08-01,77.48,79.00,77.39,79.00,240200,79.00
2013-07-31,77.67,78.04,77.00,77.30,220100,77.30
2013-07-30,77.62,78.28,77.58,77.97,148300,77.97
2013-07-29,78.12,78.48,77.46,77.59,161800,77.59
2013-07-26,78.30,78.93,77.67,77.75,174700,77.75
2013-07-25,79.00,80.00,76.48,78.06,578000,78.06
2013-07-24,75.50,76.82,75.31,76.82,367200,76.82
2013-07-23,75.50,76.04,75.31,75.67,183900,75.67
2013-07-22,75.92,76.15,75.72,75.92,174400,75.92
2013-07-19,75.27,75.84,75.09,75.76,253900,75.76
2013-07-18,73.94,75.69,73.94,75.64,325800,75.64
2013-07-17,73.63,74.37,73.41,74.08,302400,74.08
2013-07-16,73.63,73.78,72.90,73.55,305600,73.55
2013-07-15,73.00,73.59,72.58,73.33,230300,73.33
2013-07-12,72.33,73.33,72.03,72.20,182300,72.20
2013-07-11,72.60,72.76,71.93,72.29,189600,72.29
2013-07-10,72.29,72.93,70.81,71.76,347500,71.76
2013-07-09,71.62,72.11,71.45,72.11,243200,72.11
2013-07-08,71.27,71.69,70.35,71.31,173000,71.31
2013-07-05,70.29,72.31,70.09,70.55,312800,70.55
2013-07-04,68.70,70.17,68.70,70.09,371800,70.09
2013-07-03,70.31,70.49,68.50,68.52,421500,68.52
2013-07-02,72.34,72.42,70.96,71.00,270100,71.00
2013-07-01,72.25,72.69,71.21,72.03,186900,72.03
2013-06-28,73.29,73.29,71.26,71.97,363700,71.97
2013-06-27,71.45,73.27,70.97,73.13,362000,73.13
2013-06-26,70.20,71.96,69.69,71.46,441500,71.46
2013-06-25,69.88,69.88,68.89,69.49,396100,69.49
2013-06-24,69.00,69.81,68.55,68.55,552400,68.55
2013-06-21,71.15,71.99,70.21,70.21,437800,70.21
2013-06-20,73.00,73.00,70.55,70.55,602200,70.55
2013-06-19,74.58,74.58,72.91,73.87,430500,73.87
2013-06-18,75.29,75.29,74.00,74.39,260300,74.39
2013-06-17,74.55,75.56,74.55,75.20,220600,75.20
2013-06-14,73.48,75.31,73.20,74.12,205500,74.12
2013-06-13,73.46,74.04,73.01,73.68,311800,73.68
2013-06-12,74.00,75.41,74.00,74.46,207700,74.46
2013-06-11,76.27,76.80,74.03,74.50,469200,74.50
2013-06-10,76.08,77.16,76.08,76.53,156700,76.53
2013-06-07,76.31,77.16,76.00,76.54,246800,76.54
2013-06-06,77.10,77.30,76.24,76.25,208300,76.25
2013-06-05,79.35,79.35,76.67,77.05,383000,77.05
2013-06-04,80.55,80.84,79.05,79.61,333600,79.61
2013-06-03,80.10,81.09,79.51,80.33,332100,80.33
2013-05-31,81.14,81.49,80.12,80.60,417000,80.60
2013-05-30,81.29,81.90,81.16,81.47,230100,81.47
2013-05-29,83.14,83.24,81.62,81.70,226100,81.70
2013-05-28,83.17,84.03,83.17,83.26,231700,83.26
2013-05-27,83.23,83.23,82.50,83.05,102900,83.05
2013-05-24,83.35,83.63,82.61,82.71,303300,82.71
2013-05-23,85.65,85.65,82.87,83.14,563900,83.14
2013-05-22,85.00,86.80,84.94,86.73,284300,86.73
2013-05-21,85.07,85.10,84.11,85.04,224100,85.04
2013-05-20,84.20,85.09,84.20,85.09,180400,85.09
2013-05-17,83.58,84.18,83.00,84.08,343700,84.08
2013-05-16,83.89,84.10,83.40,83.60,145200,83.60
2013-05-15,82.95,84.00,82.80,83.65,254200,83.65
2013-05-14,83.40,83.48,82.45,82.94,160700,82.94
2013-05-13,82.78,83.50,82.54,83.18,148900,83.18
2013-05-10,82.65,83.61,82.28,82.79,225500,82.79
2013-05-09,84.25,84.55,82.69,83.05,245000,83.05
2013-05-08,84.32,84.72,83.63,84.18,192100,84.18
2013-05-07,83.82,84.04,83.25,83.98,207300,83.98
2013-05-06,83.99,84.00,82.70,83.82,135600,83.82
2013-05-03,82.28,83.93,81.88,83.86,249600,83.86
2013-05-02,82.55,82.79,81.32,81.89,273600,81.89
2013-05-01,82.07,82.07,82.07,82.07,000,82.07
2013-04-30,82.50,82.96,81.72,82.07,231500,82.07
2013-04-29,81.73,82.80,81.33,82.65,193300,82.65
2013-04-26,81.00,81.68,80.92,81.44,198800,81.44
2013-04-25,81.06,81.44,80.71,81.05,240000,81.05
2013-04-24,80.58,81.70,79.89,81.44,498600,81.44
2013-04-23,81.50,82.99,81.32,82.99,383700,79.99
2013-04-22,80.45,81.50,80.28,80.67,307900,77.75
2013-04-19,78.50,80.45,78.06,80.35,567600,77.45
2013-04-18,80.27,80.68,79.50,80.33,307500,77.43
2013-04-17,81.33,81.50,80.11,80.27,317300,77.37
2013-04-16,81.75,81.78,80.35,81.11,231900,78.18
2013-04-15,81.84,82.08,81.25,81.79,151200,78.83
2013-04-12,82.04,82.49,81.51,81.95,283100,78.99
2013-04-11,82.57,83.62,81.51,82.36,257000,79.38
2013-04-10,81.38,82.49,81.13,82.49,270900,79.51
