Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,17.45,17.45,17.33,17.41,18400,17.41
2013-08-19,17.30,17.45,17.30,17.45,9500,17.45
2013-08-16,17.42,17.45,17.42,17.44,11200,17.44
2013-08-15,17.38,17.44,17.38,17.42,3500,17.42
2013-08-14,17.41,17.44,17.40,17.44,15700,17.44
2013-08-13,17.43,17.45,17.40,17.44,3700,17.44
2013-08-12,17.47,17.47,17.40,17.43,19200,17.43
2013-08-09,17.40,17.45,17.39,17.45,8500,17.45
2013-08-08,17.39,17.44,17.38,17.40,15200,17.40
2013-08-07,17.39,17.42,17.37,17.40,27500,17.40
2013-08-06,17.45,17.45,17.36,17.38,152300,17.38
2013-08-05,17.45,17.46,17.42,17.43,16700,17.43
2013-08-02,17.45,17.45,17.42,17.45,20200,17.45
2013-08-01,17.43,17.46,17.42,17.42,87900,17.42
2013-07-31,17.45,17.47,17.33,17.41,98300,17.41
2013-07-30,17.48,17.48,17.41,17.43,23800,17.43
2013-07-29,17.46,17.48,17.41,17.41,15200,17.41
2013-07-26,17.50,17.52,17.41,17.45,228500,17.45
2013-07-25,17.50,17.54,17.47,17.52,28200,17.52
2013-07-24,17.50,17.52,17.50,17.51,67900,17.51
2013-07-23,17.51,17.52,17.49,17.50,41900,17.50
2013-07-22,17.50,17.52,17.49,17.50,58000,17.50
2013-07-19,17.49,17.52,17.47,17.47,450200,17.47
2013-07-18,17.52,17.54,17.49,17.50,51500,17.50
2013-07-17,17.51,17.53,17.49,17.53,506600,17.53
2013-07-16,17.47,17.55,17.47,17.55,119400,17.55
2013-07-15,17.50,17.50,17.47,17.48,84900,17.48
2013-07-12,17.50,17.50,17.47,17.50,25300,17.50
2013-07-11,17.47,17.54,17.46,17.46,142600,17.46
2013-07-10,17.48,17.54,17.46,17.50,59000,17.50
2013-07-09,17.51,17.55,17.48,17.48,26200,17.48
2013-07-08,17.50,17.54,17.49,17.50,44300,17.50
2013-07-05,17.48,17.53,17.47,17.53,106300,17.53
2013-07-04,17.50,17.50,17.46,17.46,97500,17.46
2013-07-03,17.47,17.50,17.47,17.48,69900,17.48
2013-07-02,17.50,17.52,17.46,17.49,312300,17.49
2013-07-01,17.46,17.52,17.46,17.46,30700,17.46
2013-06-28,17.48,17.55,17.46,17.53,84500,17.53
2013-06-27,17.47,17.50,17.45,17.46,200300,17.46
2013-06-26,17.44,17.50,17.44,17.48,169900,17.48
2013-06-25,17.46,17.67,17.37,17.46,561700,17.46
2013-06-24,17.27,17.32,17.11,17.32,129200,17.32
2013-06-21,17.16,17.45,17.16,17.37,34000,17.37
2013-06-20,17.50,17.56,17.21,17.24,146500,17.24
2013-06-19,17.40,17.62,17.40,17.53,53600,17.53
2013-06-18,17.36,17.61,17.36,17.61,37000,17.61
2013-06-17,17.61,17.63,17.49,17.49,30600,17.49
2013-06-14,17.55,17.62,17.40,17.57,58700,17.57
2013-06-13,17.69,17.69,17.54,17.56,79500,17.56
2013-06-12,17.61,17.67,17.60,17.67,30900,17.67
2013-06-11,17.60,17.73,17.60,17.63,28900,17.63
2013-06-10,17.68,17.71,17.64,17.65,55700,17.65
2013-06-07,17.58,17.78,17.57,17.70,50500,17.70
2013-06-06,17.65,17.78,17.65,17.74,40900,17.74
2013-06-05,17.65,17.82,17.63,17.65,214100,17.65
2013-06-04,17.79,17.84,17.67,17.76,39600,17.76
2013-06-03,17.65,17.88,17.65,17.79,105300,17.79
