Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,2.41,2.41,2.33,2.37,452800,2.37
2013-08-19,2.43,2.43,2.38,2.41,208300,2.41
2013-08-16,2.41,2.43,2.40,2.42,172500,2.42
2013-08-15,2.47,2.47,2.40,2.43,260200,2.43
2013-08-14,2.46,2.48,2.42,2.47,369700,2.47
2013-08-13,2.43,2.47,2.38,2.44,419400,2.44
2013-08-12,2.43,2.45,2.38,2.42,323200,2.42
2013-08-09,2.41,2.47,2.36,2.40,568600,2.40
2013-08-08,2.42,2.58,2.39,2.43,777100,2.43
2013-08-07,2.37,2.46,2.33,2.40,557100,2.40
2013-08-06,2.47,2.47,2.38,2.39,502900,2.39
2013-08-05,2.52,2.53,2.45,2.48,676200,2.48
2013-08-02,2.59,2.63,2.53,2.57,461200,2.57
2013-08-01,2.61,2.69,2.57,2.58,612500,2.58
2013-07-31,2.51,2.68,2.45,2.60,1115500,2.60
2013-07-30,2.52,2.63,2.48,2.50,862800,2.50
2013-07-29,3.04,3.05,2.57,2.59,2158300,2.59
2013-07-26,3.05,3.09,2.97,3.04,413200,3.04
2013-07-25,2.88,3.12,2.88,3.05,1078300,3.05
2013-07-24,2.91,2.92,2.88,2.88,353200,2.88
2013-07-23,3.00,3.02,2.87,2.90,814400,2.90
2013-07-22,2.66,3.09,2.63,2.97,2961400,2.97
2013-07-19,2.43,2.47,2.41,2.42,277500,2.42
2013-07-18,2.39,2.47,2.39,2.44,303600,2.44
2013-07-17,2.37,2.42,2.36,2.38,214800,2.38
2013-07-16,2.33,2.40,2.32,2.37,127400,2.37
2013-07-15,2.35,2.37,2.31,2.33,182800,2.33
2013-07-12,2.40,2.40,2.34,2.35,247900,2.35
2013-07-11,2.41,2.41,2.35,2.39,345000,2.39
2013-07-10,2.41,2.43,2.38,2.39,233400,2.39
2013-07-09,2.47,2.47,2.41,2.43,125000,2.43
2013-07-08,2.36,2.48,2.35,2.45,203500,2.45
2013-07-05,2.42,2.45,2.33,2.34,216200,2.34
2013-07-04,2.38,2.45,2.38,2.42,162800,2.42
2013-07-03,2.43,2.43,2.33,2.36,223500,2.36
2013-07-02,2.48,2.48,2.42,2.44,93300,2.44
2013-07-01,2.47,2.47,2.41,2.47,113800,2.47
2013-06-28,2.50,2.55,2.41,2.45,234000,2.45
2013-06-27,2.43,2.49,2.43,2.49,106000,2.49
2013-06-26,2.49,2.56,2.41,2.42,363200,2.42
2013-06-25,2.45,2.50,2.42,2.45,217200,2.45
2013-06-24,2.45,2.55,2.38,2.42,281100,2.42
2013-06-21,2.60,2.66,2.44,2.44,559900,2.44
2013-06-20,2.70,2.73,2.60,2.61,260200,2.61
2013-06-19,2.74,2.78,2.71,2.71,161600,2.71
2013-06-18,2.82,2.84,2.74,2.74,198800,2.74
2013-06-17,2.81,2.85,2.81,2.81,113500,2.81
2013-06-14,2.79,2.84,2.77,2.79,121200,2.79
2013-06-13,2.79,2.79,2.70,2.73,294900,2.73
