Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,99.50,99.66,97.90,99.52,201900,99.52
2013-08-19,100.00,100.95,99.39,100.10,112800,100.10
2013-08-16,99.86,100.15,98.82,99.99,112300,99.99
2013-08-15,100.00,100.85,99.15,99.89,110500,99.89
2013-08-14,99.24,100.00,99.00,99.55,95400,99.55
2013-08-13,99.26,100.20,99.03,99.24,84500,99.24
2013-08-12,98.83,99.64,98.31,99.08,93300,99.08
2013-08-09,99.52,99.52,98.01,98.63,110400,98.63
2013-08-08,99.18,99.74,98.58,99.10,116300,99.10
2013-08-07,100.35,100.35,98.22,99.19,188200,99.19
2013-08-06,100.50,101.60,100.30,100.50,114300,100.50
2013-08-05,99.78,100.70,99.53,100.25,142000,100.25
2013-08-02,99.82,100.15,99.48,99.71,100900,99.71
2013-08-01,99.36,100.05,99.01,99.61,109300,99.61
2013-07-31,98.67,99.15,98.27,98.78,194500,98.78
2013-07-30,98.27,99.47,98.27,98.47,172600,98.47
2013-07-29,96.85,99.13,96.61,98.24,310900,98.24
2013-07-26,99.77,99.77,96.94,97.00,269700,97.00
2013-07-25,100.20,103.00,97.17,99.74,392800,99.74
2013-07-24,99.68,101.25,99.66,100.50,142400,100.50
2013-07-23,100.65,101.10,99.46,99.67,126200,99.67
2013-07-22,101.75,101.80,100.15,100.70,120900,100.70
2013-07-19,102.20,102.20,100.95,101.55,136100,101.55
2013-07-18,100.65,102.45,100.15,102.35,147200,102.35
2013-07-17,100.60,101.45,100.35,100.70,106400,100.70
2013-07-16,100.85,101.30,99.94,100.25,140500,100.25
2013-07-15,101.55,102.35,100.25,100.80,135500,100.80
2013-07-12,99.27,101.55,99.27,101.40,198300,101.40
2013-07-11,99.97,100.10,98.71,99.01,157900,99.01
2013-07-10,98.01,99.76,98.01,99.26,240800,99.26
2013-07-09,97.67,98.58,97.56,98.00,214500,98.00
2013-07-08,97.31,98.48,97.13,97.39,156500,97.39
2013-07-05,96.74,98.00,96.47,96.80,133700,96.80
2013-07-04,95.25,97.15,95.24,96.73,188400,96.73
2013-07-03,94.92,95.97,94.33,95.24,107600,95.24
2013-07-02,94.20,95.31,94.20,95.08,160700,95.08
2013-07-01,94.24,95.14,93.81,94.40,156300,94.40
2013-06-28,95.30,95.46,93.38,93.98,299800,93.98
2013-06-27,93.92,95.73,93.92,95.22,302500,95.22
2013-06-26,92.87,94.31,92.78,93.93,270700,93.93
2013-06-25,92.56,93.56,91.92,92.84,213800,92.84
2013-06-24,94.22,94.49,91.70,92.20,285000,92.20
2013-06-21,97.47,98.23,94.64,94.83,308300,94.83
2013-06-20,95.39,95.91,94.81,95.59,227400,95.59
2013-06-19,96.26,97.12,95.61,96.21,169700,96.21
2013-06-18,95.46,96.22,95.17,95.82,143200,95.82
2013-06-17,95.07,95.94,95.07,95.41,132100,95.41
2013-06-14,96.09,96.55,94.48,94.81,268200,94.81
2013-06-13,95.13,95.82,94.35,95.82,330900,95.82
2013-06-12,96.42,96.47,95.79,95.82,195700,95.82
2013-06-11,96.86,97.70,95.84,96.50,199700,96.50
2013-06-10,96.31,97.07,95.18,96.85,362400,96.85
2013-06-07,97.10,97.14,95.85,96.95,127000,96.95
2013-06-06,97.50,97.50,96.60,96.88,162400,96.88
2013-06-05,97.00,97.38,96.24,96.52,235300,96.52
2013-06-04,97.69,98.38,97.47,97.94,177800,97.14
2013-06-03,97.07,97.98,96.73,97.75,258100,96.95
2013-05-31,95.49,97.81,94.91,97.00,391400,96.21
2013-05-30,93.83,95.63,93.83,95.25,214000,94.47
2013-05-29,94.07,94.50,93.64,94.12,224900,93.35
2013-05-28,92.74,94.83,92.34,94.07,296500,93.30
2013-05-27,92.27,93.37,92.09,92.55,92100,91.79
2013-05-24,91.91,92.58,91.15,92.06,230100,91.31
2013-05-23,92.05,92.20,91.30,91.81,262100,91.06
2013-05-22,92.08,93.44,92.08,93.16,218600,92.40
2013-05-21,92.80,92.80,91.46,92.21,209800,91.46
2013-05-20,92.78,92.87,92.13,92.79,98900,92.03
2013-05-17,93.98,94.00,91.58,92.68,311600,91.92
2013-05-16,93.72,94.60,93.55,93.97,394300,93.20
2013-05-15,92.89,93.58,92.47,93.30,206000,92.54
2013-05-14,92.25,93.67,91.77,93.00,200400,92.24
2013-05-13,92.19,92.41,91.69,91.87,169500,91.12
2013-05-10,91.84,92.46,91.44,92.03,170200,91.28
2013-05-09,91.40,92.02,91.00,91.90,106600,91.15
2013-05-08,91.33,92.00,91.29,91.63,155900,90.88
2013-05-07,91.99,92.35,90.92,91.37,152900,90.62
2013-05-06,92.00,92.30,91.42,91.76,122600,91.01
2013-05-03,92.27,92.63,91.16,91.64,233000,90.89
2013-05-02,92.49,92.76,91.32,92.18,240200,91.43
2013-05-01,92.60,92.60,92.60,92.60,000,91.84
2013-04-30,92.42,93.15,91.48,92.60,231800,91.84
2013-04-29,91.50,92.07,90.96,92.00,205300,91.25
2013-04-26,91.77,91.85,90.03,91.47,236600,90.72
2013-04-25,89.00,91.85,88.50,90.66,381200,89.92
2013-04-24,91.20,91.66,90.02,90.80,224900,90.06
2013-04-23,89.35,90.57,88.92,90.21,192300,89.47
2013-04-22,89.25,89.25,88.25,88.61,144200,87.89
2013-04-19,88.88,89.89,88.43,89.05,223600,88.32
2013-04-18,87.15,89.19,87.10,88.18,306500,87.46
2013-04-17,88.10,88.45,86.52,86.78,267700,86.07
2013-04-16,87.78,88.09,86.50,87.50,171100,86.79
2013-04-15,88.88,89.08,87.55,88.00,206300,87.28
2013-04-12,89.05,89.35,88.43,88.86,219000,88.13
2013-04-11,87.87,90.11,87.87,88.93,219500,88.20
2013-04-10,86.23,87.98,86.09,87.87,292900,87.15
2013-04-09,87.73,87.79,85.68,86.28,281100,85.58
2013-04-08,87.38,88.92,87.38,87.41,160800,86.70
2013-04-05,89.41,89.41,87.27,87.60,197500,86.88
2013-04-04,90.92,91.22,88.77,89.03,184600,88.30
2013-04-03,90.76,91.65,90.19,90.92,191800,90.18
2013-04-02,90.10,91.53,90.10,90.46,168400,89.72
2013-04-01,90.18,90.18,90.18,90.18,000,89.44
2013-03-29,90.18,90.18,90.18,90.18,000,89.44
2013-03-28,89.25,90.49,89.13,90.18,178000,89.44
2013-03-27,90.13,90.14,88.73,89.48,114300,88.75
2013-03-26,89.72,90.10,88.96,89.59,107900,88.86
2013-03-25,89.41,90.22,88.67,89.68,190600,88.95
2013-03-22,88.18,88.65,87.33,88.49,129800,87.77
2013-03-21,90.03,90.04,88.00,88.72,174100,88.00
2013-03-20,90.50,90.63,89.76,90.00,142000,89.26
2013-03-19,90.02,90.35,89.40,89.90,158700,89.17
2013-03-18,87.38,90.99,86.75,90.12,272700,89.38
2013-03-15,89.30,90.29,87.88,88.10,300100,87.38
2013-03-14,89.04,89.39,88.35,89.11,136000,88.38
2013-03-13,89.00,89.31,88.49,88.83,200900,88.10
2013-03-12,89.36,90.34,89.05,89.31,122100,88.58
2013-03-11,88.66,89.61,88.44,89.29,142300,88.56
2013-03-08,89.51,89.52,88.32,88.68,164800,87.96
2013-03-07,89.35,90.47,88.77,89.09,175000,88.36
2013-03-06,90.00,90.37,88.60,88.90,215400,88.17
2013-03-05,88.00,89.80,87.72,89.76,230600,89.03
2013-03-04,87.06,87.93,87.05,87.60,123800,86.88
2013-03-01,87.16,87.53,86.50,87.37,148700,86.66
2013-02-28,86.10,87.18,86.10,86.94,180900,86.23
2013-02-27,87.00,88.25,85.32,86.02,241500,85.32
2013-02-26,85.34,86.99,84.52,86.82,203000,86.11
2013-02-25,86.45,87.81,86.31,86.62,184400,85.91
2013-02-22,86.57,87.42,85.96,86.66,220700,85.95
2013-02-21,85.75,86.51,85.41,86.10,234700,85.40
2013-02-20,85.03,86.73,84.90,86.20,279300,85.50
2013-02-19,84.27,85.07,83.65,84.87,145400,84.18
2013-02-18,84.30,84.90,83.78,84.10,142600,83.41
2013-02-15,83.39,84.27,83.00,84.06,189700,83.37
2013-02-14,82.47,83.49,82.40,83.35,179000,82.67
2013-02-13,82.52,82.83,81.95,82.75,154500,82.07
2013-02-12,80.86,82.50,80.85,82.34,269900,81.67
2013-02-11,81.80,81.87,80.42,80.94,283500,80.28
2013-02-08,81.20,82.00,80.02,81.80,226200,81.13
2013-02-07,78.50,82.65,78.24,81.06,448900,80.40
2013-02-06,82.45,82.68,80.01,80.48,359800,79.82
2013-02-05,81.81,82.82,81.81,82.38,159800,81.71
2013-02-04,83.10,83.42,81.60,81.89,245900,81.22
2013-02-01,82.05,83.25,82.05,82.84,167400,82.16
2013-01-31,82.08,82.84,81.88,81.88,192400,81.21
2013-01-30,84.43,84.56,81.84,82.13,373500,81.46
2013-01-29,83.52,84.65,83.52,84.41,187300,83.72
2013-01-28,84.25,84.30,83.11,83.55,192500,82.87
2013-01-25,83.25,84.93,83.25,84.29,227200,83.60
2013-01-24,83.50,84.45,82.72,83.08,152300,82.40
2013-01-23,82.87,83.66,82.82,83.52,123300,82.84
2013-01-22,83.70,84.36,82.69,83.06,128800,82.38
2013-01-21,83.22,83.70,83.03,83.56,104500,82.88
2013-01-18,83.25,83.67,82.49,82.81,243900,82.13
2013-01-17,84.06,84.26,83.03,83.22,222600,82.54
2013-01-16,83.64,85.13,83.64,84.41,171100,83.72
2013-01-15,84.69,84.87,83.15,83.75,206200,83.07
2013-01-14,84.84,84.98,84.36,84.70,164900,84.01
2013-01-11,85.27,86.11,85.14,85.20,131000,84.50
2013-01-10,85.64,85.87,84.47,84.76,157800,84.07
2013-01-09,85.28,85.89,85.06,85.40,94600,84.70
2013-01-08,84.60,85.27,84.29,84.86,128000,84.17
2013-01-07,85.00,85.14,84.18,84.86,133800,84.17
2013-01-04,86.29,86.29,84.49,85.00,138800,84.31
2013-01-03,86.10,86.50,85.36,85.71,106800,85.01
2013-01-02,85.21,86.46,85.21,85.93,211100,85.23
2013-01-01,84.23,84.23,84.23,84.23,000,83.54
2012-12-31,84.41,84.45,84.00,84.23,28100,83.54
2012-12-28,84.70,85.00,84.32,84.47,68700,83.78
2012-12-27,84.16,84.55,83.79,84.51,64500,83.82
2012-12-26,84.29,84.29,84.29,84.29,000,83.60
2012-12-25,84.29,84.29,84.29,84.29,000,83.60
2012-12-24,83.22,84.50,83.16,84.29,31000,83.60
2012-12-21,85.00,85.33,83.95,84.44,147000,83.75
