Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,44.79,44.87,43.70,43.94,1997400,43.94
2013-08-19,45.39,45.40,44.78,44.88,1224300,44.88
2013-08-16,45.30,45.38,44.65,45.21,2234500,45.21
2013-08-15,45.05,45.50,44.70,45.11,1939800,45.11
2013-08-14,44.90,45.42,44.68,45.05,2131100,45.05
2013-08-13,45.00,45.26,44.42,44.54,1780300,44.54
2013-08-12,46.05,46.10,44.92,44.94,1684800,44.94
2013-08-09,46.00,46.03,45.33,45.96,1557000,45.96
2013-08-08,45.75,45.92,45.38,45.83,1489300,45.83
2013-08-07,45.51,45.74,45.13,45.62,2214200,45.62
2013-08-06,44.90,45.47,44.80,45.40,2804800,45.40
2013-08-05,45.22,45.22,44.79,44.79,2058800,44.79
2013-08-02,45.51,45.51,44.74,45.06,2261200,45.06
2013-08-01,45.50,45.71,45.05,45.28,2567100,45.28
2013-07-31,45.49,45.75,44.26,44.88,4996300,44.88
2013-07-30,44.45,44.73,44.15,44.27,2328300,44.27
2013-07-29,44.26,44.44,44.18,44.35,3242400,44.35
2013-07-26,43.99,44.47,43.60,44.17,3025500,44.17
2013-07-25,42.44,43.49,42.37,43.45,2870000,43.45
2013-07-24,42.21,42.49,41.95,42.32,2450200,42.32
2013-07-23,42.63,42.74,42.23,42.23,1485000,42.23
2013-07-22,42.77,42.77,42.31,42.57,1081300,42.57
2013-07-19,42.29,42.71,42.13,42.64,2836900,42.64
2013-07-18,41.76,42.26,41.60,42.22,2388800,42.22
2013-07-17,41.97,42.19,41.18,41.66,2747400,41.66
2013-07-16,41.84,41.94,41.28,41.62,1735600,41.62
2013-07-15,41.47,41.94,41.42,41.84,1646500,41.84
2013-07-12,41.58,41.80,40.88,41.27,1853000,41.27
2013-07-11,41.99,42.18,41.13,41.36,2152100,41.36
2013-07-10,41.70,41.89,41.12,41.51,1634100,41.51
2013-07-09,42.00,42.00,41.55,41.72,1540200,41.72
2013-07-08,41.62,42.04,41.57,41.66,2096200,41.66
2013-07-05,41.72,41.85,41.03,41.20,1684300,41.20
2013-07-04,40.51,41.70,40.18,41.70,2697600,41.70
2013-07-03,40.50,40.67,39.89,40.24,2436800,40.24
2013-07-02,41.50,41.50,40.74,40.79,1876300,40.79
