Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,21.72,21.76,21.07,21.35,1388000,21.35
2013-08-19,21.89,21.93,21.79,21.82,568500,21.82
2013-08-16,21.83,21.96,21.77,21.89,654600,21.89
2013-08-15,21.88,21.95,21.67,21.81,799600,21.81
2013-08-14,22.04,22.11,21.78,21.89,1265500,21.89
2013-08-13,22.10,22.16,21.85,22.04,866300,22.04
2013-08-12,21.95,22.05,21.83,22.00,773700,22.00
2013-08-09,22.27,22.30,21.75,21.80,1635800,21.80
2013-08-08,22.22,22.26,21.94,22.18,1116100,22.18
2013-08-07,21.72,22.25,21.62,22.19,1250400,22.19
2013-08-06,21.93,22.06,21.64,21.82,1339100,21.82
2013-08-05,22.43,22.46,21.82,21.96,1792500,21.96
2013-08-02,22.50,22.80,22.42,22.43,1274600,22.43
2013-08-01,22.29,22.52,22.10,22.45,1493600,22.45
2013-07-31,21.69,22.18,21.53,22.06,2308800,22.06
2013-07-30,21.00,21.84,20.88,21.73,4013400,21.73
2013-07-29,20.46,20.52,20.11,20.23,1492200,20.23
2013-07-26,20.41,20.51,20.25,20.29,1174900,20.29
2013-07-25,20.41,20.50,20.22,20.41,1267000,20.41
2013-07-24,20.30,20.55,20.21,20.37,1059100,20.37
2013-07-23,20.21,20.45,20.17,20.18,1000800,20.18
2013-07-22,20.11,20.37,20.07,20.17,933300,20.17
2013-07-19,20.14,20.20,20.00,20.15,909500,20.15
2013-07-18,19.79,20.14,19.74,20.11,1389600,20.11
2013-07-17,20.00,20.07,19.62,19.84,1491000,19.84
2013-07-16,19.85,20.00,19.75,19.95,1250300,19.95
2013-07-15,19.98,20.00,19.56,19.81,1192900,19.81
2013-07-12,19.77,20.02,19.70,19.92,1578900,19.92
2013-07-11,19.85,19.95,19.52,19.74,2678900,19.74
2013-07-10,19.74,19.89,19.44,19.81,3516400,19.81
2013-07-09,18.50,19.56,18.50,19.40,6417900,19.40
2013-07-08,17.79,17.87,17.68,17.75,1157400,17.75
2013-07-05,17.85,17.98,17.69,17.72,1544100,17.72
2013-07-04,17.56,17.86,17.50,17.84,1205800,17.84
