Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,88.23,88.41,86.43,86.89,377100,86.89
2013-08-19,88.77,88.77,87.83,88.26,229300,88.26
2013-08-16,88.02,88.83,87.65,88.66,380200,88.66
2013-08-15,88.10,88.30,87.40,88.15,215600,88.15
2013-08-14,88.00,88.48,87.70,88.18,239300,88.18
2013-08-13,88.37,88.54,87.46,87.85,253500,87.85
2013-08-12,88.45,88.68,87.41,87.96,198600,87.96
2013-08-09,88.07,88.64,87.24,88.45,308600,88.45
2013-08-08,87.91,88.26,87.14,88.14,435500,88.14
2013-08-07,88.45,88.50,87.23,88.06,311900,88.06
2013-08-06,87.75,89.09,87.70,88.65,448200,88.65
2013-08-05,87.16,88.13,86.87,87.58,440100,87.58
2013-08-02,85.45,86.98,84.86,86.71,404900,86.71
2013-08-01,84.85,85.28,84.39,85.00,449500,85.00
2013-07-31,83.89,84.49,83.50,84.10,578200,84.10
2013-07-30,85.69,85.87,83.72,84.55,866700,84.55
2013-07-29,82.55,86.35,82.55,85.62,1210500,85.62
2013-07-26,81.03,81.67,80.41,80.64,333300,80.64
2013-07-25,81.69,81.69,80.12,80.64,436200,80.64
2013-07-24,80.31,81.87,80.01,81.46,506800,81.46
2013-07-23,81.26,81.26,80.10,80.24,382300,80.24
2013-07-22,81.41,81.41,80.71,80.92,382300,80.92
2013-07-19,81.53,81.73,81.00,81.29,581800,81.29
2013-07-18,81.68,81.89,81.10,81.63,520900,81.63
2013-07-17,81.75,82.03,81.10,81.72,402800,81.72
2013-07-16,82.89,82.89,81.15,81.45,379100,81.45
2013-07-15,82.60,83.24,82.30,82.59,263700,82.59
2013-07-12,82.56,83.39,82.00,82.22,398200,82.22
2013-07-11,82.44,82.88,81.42,82.02,527500,82.02
2013-07-10,82.01,82.69,81.47,81.86,362000,81.86
2013-07-09,82.95,83.25,81.90,82.01,682000,82.01
2013-07-08,82.41,83.88,82.12,83.06,474000,83.06
2013-07-05,83.82,84.30,82.42,82.42,483800,82.42
2013-07-04,81.35,83.80,81.05,83.70,730500,83.70
2013-07-03,80.49,80.68,78.71,79.43,846100,79.43
2013-07-02,82.11,82.14,80.89,81.21,406700,81.21
2013-07-01,82.03,82.53,81.12,82.10,426000,82.10
2013-06-28,82.92,82.92,81.25,81.74,741100,81.74
2013-06-27,81.44,82.96,81.20,82.65,658000,82.65
2013-06-26,80.50,81.98,79.83,81.76,608100,81.76
2013-06-25,79.32,80.79,78.53,80.61,718400,80.61
2013-06-24,79.12,79.54,77.59,78.66,681000,78.66
2013-06-21,80.40,81.29,79.13,79.13,1067400,79.13
2013-06-20,81.64,81.98,79.66,79.66,914200,79.66
2013-06-19,83.27,83.58,82.21,83.02,411100,83.02
2013-06-18,83.59,84.03,83.15,83.36,447900,83.36
2013-06-17,82.52,84.54,82.35,84.02,555400,84.02
2013-06-14,83.18,83.19,81.66,82.26,417500,82.26
2013-06-13,82.39,83.01,82.12,82.86,368400,82.86
2013-06-12,83.05,84.86,83.04,83.61,445700,83.61
2013-06-11,82.83,83.43,81.16,83.35,656300,83.35
2013-06-10,82.80,83.79,82.76,83.09,361000,83.09
2013-06-07,82.51,83.88,81.51,83.39,603100,83.39
2013-06-06,82.64,83.93,82.43,82.43,434600,82.43
2013-06-05,84.29,84.67,82.62,82.62,585500,82.62
2013-06-04,84.89,85.40,83.80,84.34,393900,84.34
2013-06-03,85.76,85.82,83.95,84.93,619300,84.93
2013-05-31,87.27,87.27,85.13,85.13,1030800,85.13
2013-05-30,86.85,87.96,86.03,87.09,422100,87.09
2013-05-29,88.51,88.80,86.91,86.91,408200,86.03
2013-05-28,88.22,89.75,88.15,88.86,497800,87.96
2013-05-27,88.08,88.79,87.57,88.18,266300,87.29
2013-05-24,89.53,89.98,87.07,87.27,566900,86.39
2013-05-23,88.46,89.43,87.61,89.43,754200,88.52
2013-05-22,88.82,89.90,88.27,89.70,449600,88.79
2013-05-21,88.64,89.52,88.55,89.07,363900,88.17
2013-05-20,88.47,88.72,87.71,88.62,246300,87.72
2013-05-17,88.08,88.73,87.40,88.22,1028900,87.33
2013-05-16,88.93,89.73,88.31,88.63,346500,87.73
2013-05-15,88.97,89.58,88.36,88.90,316400,88.00
2013-05-14,88.78,89.15,87.58,88.73,318400,87.83
2013-05-13,88.20,88.98,87.84,88.16,300900,87.27
2013-05-10,87.00,88.30,86.97,87.84,348200,86.95
2013-05-09,87.28,87.35,86.54,86.93,221100,86.05
2013-05-08,85.34,86.96,84.98,86.96,323700,86.08
2013-05-07,85.85,86.00,84.96,85.56,347100,84.69
2013-05-06,85.34,85.99,84.59,85.45,207900,84.58
2013-05-03,84.48,85.68,83.48,85.56,485700,84.69
2013-05-02,84.44,85.51,83.93,84.49,762300,83.63
2013-05-01,85.44,85.44,85.44,85.44,000,84.57
2013-04-30,86.00,86.00,84.35,85.44,470400,84.57
2013-04-29,85.00,85.95,84.83,85.50,468900,84.63
2013-04-26,85.05,85.62,84.36,84.75,380200,83.89
2013-04-25,85.64,85.79,83.93,85.42,695600,84.56
2013-04-24,85.48,86.72,84.95,86.15,680200,85.28
2013-04-23,81.95,85.08,81.86,85.06,634900,84.20
2013-04-22,83.14,83.60,81.06,81.74,424400,80.91
2013-04-19,83.19,83.36,81.73,82.99,648300,82.15
2013-04-18,80.48,83.26,80.43,82.50,702500,81.66
2013-04-17,83.33,83.77,79.90,79.90,872400,79.09
2013-04-16,84.24,84.46,82.94,82.94,411500,82.10
2013-04-15,84.04,84.83,83.61,84.51,487100,83.65
2013-04-12,84.79,85.16,83.49,84.18,503100,83.33
2013-04-11,84.59,86.11,84.56,85.36,395900,84.50
2013-04-10,83.50,84.88,82.66,84.86,600200,84.00
2013-04-09,84.23,84.33,82.47,82.94,412700,82.10
2013-04-08,83.05,84.54,82.80,83.85,311700,83.00
2013-04-05,85.37,85.60,82.23,82.64,887100,81.80
2013-04-04,87.77,87.80,85.81,85.85,510300,84.98
2013-04-03,88.76,89.26,87.08,87.15,527600,86.27
2013-04-02,85.44,89.04,85.44,89.02,703400,88.12
2013-04-01,86.75,86.75,86.75,86.75,000,85.87
2013-03-29,86.75,86.75,86.75,86.75,000,85.87
2013-03-28,85.54,87.04,85.54,86.75,518700,85.87
2013-03-27,87.70,87.77,84.78,85.51,869200,84.64
2013-03-26,88.49,88.51,86.89,87.41,525900,86.52
2013-03-25,89.31,89.99,87.86,88.02,683600,87.13
2013-03-22,85.89,88.66,85.89,88.28,792800,87.39
2013-03-21,87.41,87.41,84.77,85.59,634100,84.72
2013-03-20,85.89,87.71,85.56,87.68,758600,86.79
2013-03-19,86.09,86.15,85.28,85.29,899600,84.43
2013-03-18,85.09,88.46,84.10,86.00,1106000,85.13
2013-03-15,85.10,85.76,84.55,85.76,1022800,84.89
2013-03-14,82.99,85.22,82.10,85.11,1065400,84.25
2013-03-13,80.34,82.57,80.33,82.49,655300,81.65
2013-03-12,79.01,80.14,78.78,80.14,452400,79.33
2013-03-11,79.38,79.70,78.80,79.56,331400,78.75
2013-03-08,79.97,80.18,78.90,79.44,499400,78.64
2013-03-07,80.11,80.59,79.46,79.85,444200,79.04
2013-03-06,80.36,80.74,79.52,79.72,534100,78.91
2013-03-05,80.51,81.12,80.20,80.50,634100,79.68
2013-03-04,79.62,81.00,79.43,80.36,487100,79.55
2013-03-01,78.59,80.11,78.59,79.59,694800,78.78
2013-02-28,76.00,80.79,74.73,79.05,1835800,78.25
2013-02-27,74.58,75.24,74.14,74.62,649800,73.86
2013-02-26,74.16,75.16,73.85,74.20,708000,73.45
2013-02-25,75.84,77.07,75.71,75.90,648700,75.13
2013-02-22,73.02,75.80,72.74,75.73,820100,74.96
2013-02-21,73.02,73.14,71.90,72.65,612600,71.91
2013-02-20,73.39,73.97,72.92,73.90,576600,73.15
2013-02-19,72.85,73.39,72.69,73.24,466800,72.50
2013-02-18,72.53,73.02,71.90,72.85,414500,72.11
2013-02-15,73.51,74.02,72.66,72.76,547100,72.02
2013-02-14,73.34,74.84,73.17,73.64,479700,72.89
2013-02-13,73.62,74.39,73.19,73.63,500200,72.88
2013-02-12,72.74,73.74,72.70,73.38,402200,72.64
2013-02-11,72.83,73.43,72.65,72.91,342400,72.17
2013-02-08,73.39,73.71,72.50,73.12,489300,72.38
2013-02-07,73.41,74.01,72.44,73.01,423600,72.27
2013-02-06,74.44,74.44,72.37,73.38,539100,72.64
2013-02-05,73.70,74.42,73.58,74.23,544200,73.48
2013-02-04,76.18,76.40,73.62,73.62,615900,72.87
2013-02-01,75.09,76.75,75.09,76.06,573300,75.29
2013-01-31,75.50,75.80,74.01,75.09,1033100,74.33
2013-01-30,77.38,77.60,76.76,76.91,468400,76.13
2013-01-29,76.67,77.26,76.50,77.01,323800,76.23
2013-01-28,77.50,77.55,76.67,76.67,316100,75.89
2013-01-25,77.65,77.96,77.19,77.56,456100,76.77
2013-01-24,78.19,78.55,77.62,77.79,372600,77.00
2013-01-23,76.52,78.20,76.52,78.00,472800,77.21
2013-01-22,76.23,77.01,76.15,76.52,374500,75.75
2013-01-21,75.99,76.37,75.70,76.25,185400,75.48
2013-01-18,76.17,76.49,75.39,75.69,341000,74.92
2013-01-17,75.86,76.39,75.52,76.19,364300,75.42
2013-01-16,75.33,76.35,75.27,76.03,364600,75.26
2013-01-15,75.38,75.69,74.85,75.41,461400,74.65
2013-01-14,75.43,75.64,74.64,75.64,375400,74.87
2013-01-11,75.67,75.99,75.11,75.31,350300,74.55
2013-01-10,76.06,76.12,75.19,75.50,323900,74.74
2013-01-09,77.15,77.20,75.70,76.20,354300,75.43
2013-01-08,74.96,76.23,74.96,76.10,359200,75.33
2013-01-07,76.40,76.50,75.10,75.17,416900,74.41
2013-01-04,76.54,77.04,76.15,76.72,385800,75.94
2013-01-03,77.23,77.23,76.28,76.90,268600,76.12
2013-01-02,77.21,77.39,76.36,77.30,617300,76.52
2013-01-01,76.02,76.02,76.02,76.02,000,75.25
2012-12-31,75.10,76.50,75.10,76.02,149400,75.25
2012-12-28,76.22,76.54,75.35,75.39,276500,74.63
2012-12-27,76.23,76.64,75.89,76.17,321600,75.40
2012-12-26,76.07,76.07,76.07,76.07,000,75.30
2012-12-25,76.07,76.07,76.07,76.07,000,75.30
2012-12-24,75.86,76.19,75.24,76.07,148700,75.30
2012-12-21,75.73,76.15,75.27,75.57,810500,74.80
2012-12-20,76.05,76.34,75.66,75.66,669400,74.89
2012-12-19,77.00,77.03,76.12,76.34,583500,75.57
2012-12-18,76.70,77.40,76.43,76.70,554300,75.92
2012-12-17,77.12,77.52,75.86,76.52,522800,75.75
2012-12-14,77.37,77.89,77.08,77.10,489100,76.32
2012-12-13,77.49,77.75,77.00,77.30,521000,76.52
2012-12-12,78.00,78.24,76.98,77.60,415300,76.81
2012-12-11,77.56,78.00,77.22,78.00,468400,77.21
2012-12-10,76.90,77.69,76.27,77.59,359500,76.80
2012-12-07,76.93,77.40,76.71,76.95,383200,76.17
2012-12-06,76.49,77.41,76.35,76.92,548100,76.14
2012-12-05,76.51,76.66,75.78,76.00,371700,75.23
2012-12-04,75.10,76.17,75.10,75.96,436500,75.19
2012-12-03,74.42,75.64,74.08,75.13,473000,74.37
2012-11-30,75.20,75.61,74.25,74.25,482600,73.50
2012-11-29,75.00,75.44,74.53,75.16,452600,74.40
2012-11-28,74.00,74.99,74.00,74.87,412200,74.11
2012-11-27,74.19,74.95,74.11,74.40,457700,73.65
2012-11-26,73.98,74.20,73.73,73.78,337400,73.03
2012-11-23,74.18,74.33,73.43,74.23,434500,73.48
2012-11-22,73.50,74.01,73.09,74.01,292100,73.26
2012-11-21,72.46,73.42,72.25,73.29,398500,72.55
2012-11-20,70.56,72.55,70.53,72.37,536700,71.64
2012-11-19,70.06,70.60,69.77,70.60,636300,69.89
2012-11-16,70.38,71.60,69.93,69.93,640400,69.22
2012-11-15,70.70,70.95,70.05,70.29,364800,69.58
2012-11-14,70.99,71.65,70.90,71.07,377000,70.35
2012-11-13,70.51,71.45,70.44,71.30,479200,70.58
2012-11-12,71.14,71.14,70.39,70.88,313900,70.16
2012-11-09,70.51,71.30,70.13,71.15,432400,70.43
2012-11-08,70.66,71.02,70.03,70.41,396700,69.70
2012-11-07,72.16,72.76,70.05,70.05,697200,69.34
2012-11-06,71.39,72.30,71.38,72.14,363400,71.41
2012-11-05,72.17,72.19,71.62,71.62,358500,70.89
2012-11-02,72.09,72.62,71.25,72.41,505000,71.68
2012-11-01,69.63,72.13,69.01,71.99,689300,71.26
2012-10-31,70.02,70.32,69.43,69.55,385500,68.85
2012-10-30,69.86,70.16,69.65,70.08,326000,69.37
2012-10-29,69.61,70.12,69.29,69.76,293300,69.05
2012-10-26,69.05,70.35,69.01,69.71,582300,69.00
2012-10-25,69.31,70.24,69.25,69.30,617600,68.60
2012-10-24,68.64,69.58,68.15,69.49,623500,68.79
2012-10-23,69.55,69.61,67.94,68.31,708900,67.62
2012-10-22,70.05,70.36,69.26,69.53,464700,68.83
2012-10-19,69.93,70.21,69.71,70.00,673800,69.29
2012-10-18,71.45,71.50,69.97,70.13,566000,69.42
2012-10-17,71.56,71.71,70.79,71.03,572000,70.31
2012-10-16,70.38,71.81,70.26,71.42,702400,70.70
2012-10-15,69.54,70.57,69.50,69.79,459700,69.08
2012-10-12,70.54,70.54,69.53,69.53,615500,68.83
2012-10-11,69.91,70.60,69.80,70.52,401800,69.81
2012-10-10,70.01,70.65,69.85,70.11,466300,69.40
2012-10-09,70.96,71.06,70.00,70.01,550600,69.30
2012-10-08,71.14,71.54,70.50,70.70,573000,69.98
2012-10-05,71.96,72.17,70.42,71.52,993400,70.80
2012-10-04,72.72,73.15,71.62,71.70,532500,70.97
2012-10-03,73.19,73.20,72.08,72.42,622500,71.69
2012-10-02,73.00,73.99,72.63,73.53,452000,72.79
2012-10-01,72.89,73.90,72.89,73.40,708300,72.66
2012-09-28,74.27,74.75,72.87,72.87,751000,72.13
2012-09-27,73.50,74.04,73.37,73.81,429900,73.06
2012-09-26,73.90,74.15,73.02,73.18,643900,72.44
2012-09-25,73.64,74.26,73.49,73.91,436500,73.16
2012-09-24,73.88,73.94,73.08,73.59,401300,72.84
2012-09-21,73.90,74.35,73.27,74.35,1450900,73.60
2012-09-20,73.19,74.10,72.71,73.62,514000,72.87
2012-09-19,73.22,73.47,72.82,73.34,534700,72.60
2012-09-18,72.88,73.34,72.55,72.83,526000,72.09
2012-09-17,72.84,73.21,72.30,72.66,432100,71.92
2012-09-14,74.00,74.00,72.27,73.12,669700,72.38
2012-09-13,72.62,73.50,72.44,73.15,651300,72.41
2012-09-12,73.72,73.92,72.36,72.72,587600,71.98
2012-09-11,72.30,73.80,72.28,73.61,596700,72.86
2012-09-10,72.60,74.38,71.82,72.27,669700,71.54
2012-09-07,73.85,74.22,72.27,72.37,949700,71.64
2012-09-06,71.08,73.85,71.05,73.85,951700,73.10
2012-09-05,70.11,71.47,69.64,71.19,583700,70.47
2012-09-04,70.44,70.89,69.69,69.69,532200,68.98
2012-09-03,69.27,70.57,69.12,70.57,511000,69.86
2012-08-31,68.95,71.08,68.04,69.39,1318600,68.69
2012-08-30,69.12,71.07,68.85,70.59,898500,69.88
2012-08-29,69.21,69.31,68.43,68.85,365300,68.15
2012-08-28,69.13,69.45,68.60,68.84,313700,68.14
2012-08-27,68.54,69.44,68.38,69.44,425400,68.74
2012-08-24,68.13,69.28,67.87,68.97,533000,68.27
2012-08-23,68.08,68.30,67.43,67.96,584300,67.27
2012-08-22,69.49,69.57,67.51,67.51,434400,66.83
2012-08-21,68.19,69.40,68.19,69.38,416700,68.68
2012-08-20,68.14,68.93,67.78,68.15,392900,67.46
2012-08-17,68.92,69.18,67.96,68.00,558500,67.31
