Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,86.00,87.39,85.50,87.39,14700,87.39
2013-08-19,84.58,87.00,83.70,87.00,31200,87.00
2013-08-16,84.61,84.96,84.50,84.57,9600,84.57
2013-08-15,84.37,84.50,83.60,84.50,11700,84.50
2013-08-14,84.59,84.96,84.10,84.22,8700,84.22
2013-08-13,85.00,85.00,84.26,84.73,9800,84.73
2013-08-12,84.30,85.00,83.55,85.00,6000,85.00
2013-08-09,84.91,84.99,83.78,84.30,24700,84.30
2013-08-08,83.99,85.00,83.99,84.65,3600,84.65
2013-08-07,83.70,84.39,83.45,83.92,7400,83.92
2013-08-06,84.60,85.23,83.70,83.70,14000,83.70
2013-08-05,84.00,84.94,83.50,84.94,10200,84.94
2013-08-02,85.67,86.97,83.69,84.00,22400,84.00
2013-08-01,84.69,86.35,84.60,85.51,16700,85.51
2013-07-31,83.42,84.39,83.00,84.14,13200,84.14
2013-07-30,83.93,83.94,83.04,83.20,11300,83.20
2013-07-29,82.95,83.65,82.78,83.25,7600,83.25
2013-07-26,82.20,83.52,81.74,82.45,17300,82.45
2013-07-25,81.64,82.22,81.17,82.19,4200,82.19
2013-07-24,81.25,81.25,80.77,81.25,11500,81.25
2013-07-23,81.00,81.40,80.93,81.40,6700,81.40
2013-07-22,81.51,81.65,80.65,81.00,4600,81.00
2013-07-19,81.20,81.65,80.63,81.46,8000,81.46
2013-07-18,79.09,80.99,79.09,80.99,16200,80.99
2013-07-17,79.33,79.44,78.70,78.90,14700,78.90
2013-07-16,78.33,79.63,77.71,79.33,15600,79.33
2013-07-15,79.40,79.65,78.48,78.80,14700,78.80
2013-07-12,79.50,79.50,78.84,79.06,8900,79.06
2013-07-11,79.89,79.99,79.42,79.44,4200,79.44
2013-07-10,78.50,79.90,78.42,79.42,11300,79.42
2013-07-09,78.56,78.98,78.06,78.60,14800,78.60
2013-07-08,78.01,78.39,78.00,78.00,12800,78.00
2013-07-05,78.80,78.89,77.40,78.00,17300,78.00
2013-07-04,77.00,78.80,77.00,78.80,16000,78.80
2013-07-03,77.79,77.79,76.39,77.00,14600,77.00
2013-07-02,77.28,77.94,77.28,77.80,23900,77.80
2013-07-01,77.00,77.86,76.42,77.80,12700,77.80
2013-06-28,76.00,77.57,76.00,77.45,18100,77.45
2013-06-27,73.53,76.63,73.53,76.00,19100,76.00
2013-06-26,73.51,74.19,73.45,73.77,7900,73.77
2013-06-25,72.02,73.44,71.84,72.96,12400,72.96
2013-06-24,73.04,73.23,72.03,72.39,16500,72.39
2013-06-21,73.30,73.79,73.12,73.25,25700,73.25
2013-06-20,73.23,74.04,72.64,73.38,18600,73.38
2013-06-19,74.26,74.58,72.35,73.69,30300,73.69
2013-06-18,74.65,74.80,73.90,74.26,14400,74.26
2013-06-17,73.75,74.93,73.75,74.37,32600,74.37
2013-06-14,73.50,74.00,73.40,73.81,7600,73.81
2013-06-13,74.35,74.70,73.57,73.75,12900,73.75
2013-06-12,74.55,75.72,74.55,74.76,16000,74.76
2013-06-11,75.02,75.29,74.23,74.83,10100,74.83
2013-06-10,75.11,75.60,74.90,75.28,11400,75.28
2013-06-07,74.55,75.17,74.43,74.91,17200,74.91
2013-06-06,75.00,75.28,74.60,74.80,13200,74.80
2013-06-05,74.87,75.40,74.87,75.20,20200,75.20
2013-06-04,74.48,74.99,74.38,74.99,9700,74.99
2013-06-03,74.84,74.84,73.57,74.42,17300,74.42
2013-05-31,74.90,74.90,74.00,74.61,18300,74.61
2013-05-30,73.65,74.49,73.60,74.29,11900,74.29
2013-05-29,72.18,73.82,72.18,73.82,25700,73.82
2013-05-28,72.46,72.90,72.18,72.68,33500,72.68
2013-05-27,76.74,77.30,76.02,76.68,13600,72.68
2013-05-24,75.25,75.92,74.23,75.44,10500,71.50
2013-05-23,75.27,76.13,74.15,75.28,11700,71.35
2013-05-22,76.83,76.99,74.94,75.38,10600,71.45
2013-05-21,75.56,76.57,75.15,76.57,29100,72.58
2013-05-20,74.56,75.40,74.56,75.27,14300,71.34
2013-05-17,74.99,74.99,74.00,74.56,6000,70.67
2013-05-16,74.60,74.84,74.00,74.29,9000,70.41
2013-05-15,75.00,75.22,74.24,74.85,17900,70.95
2013-05-14,76.30,76.30,74.20,75.00,29700,71.09
2013-05-13,73.80,74.50,73.00,74.20,28300,70.33
2013-05-10,73.70,74.11,73.04,73.44,7900,69.61
2013-05-09,73.85,74.15,73.49,73.70,4600,69.86
2013-05-08,72.94,73.89,72.82,73.50,8900,69.67
2013-05-07,73.00,73.11,72.53,72.75,12700,68.96
2013-05-06,72.90,73.50,72.40,73.03,9000,69.22
2013-05-03,74.50,74.50,71.45,72.93,28800,69.13
2013-05-02,72.68,73.32,71.00,72.90,22600,69.10
2013-05-01,72.50,72.50,72.50,72.50,000,68.72
2013-04-30,72.40,73.11,72.03,72.50,9200,68.72
2013-04-29,71.12,73.70,71.12,72.40,27800,68.62
2013-04-26,69.61,71.44,69.27,71.44,23500,67.71
2013-04-25,68.70,68.80,68.49,68.70,13000,65.12
2013-04-24,68.70,68.90,68.53,68.74,12000,65.15
2013-04-23,67.67,68.77,67.67,68.72,38400,65.14
2013-04-22,67.00,68.08,66.90,67.43,28600,63.91
