Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,24.40,24.42,23.73,23.90,1225300,23.90
2013-08-19,24.55,24.57,24.15,24.57,715500,24.57
2013-08-16,24.24,24.56,24.10,24.56,749200,24.56
2013-08-15,24.08,24.42,23.93,24.20,869600,24.20
2013-08-14,23.87,24.14,23.76,24.13,828000,24.13
2013-08-13,23.80,23.89,23.61,23.84,502100,23.84
2013-08-12,23.47,23.78,23.45,23.76,777800,23.76
2013-08-09,22.92,23.48,22.89,23.47,1143800,23.47
2013-08-08,22.43,23.10,22.43,22.85,856700,22.85
2013-08-07,22.42,22.62,22.15,22.42,728900,22.42
2013-08-06,22.76,22.83,22.35,22.43,794400,22.43
2013-08-05,22.69,23.00,22.62,22.92,1315500,22.92
2013-08-02,22.58,22.72,22.54,22.72,885800,22.72
2013-08-01,22.00,22.56,21.98,22.54,1228500,22.54
2013-07-31,22.03,22.03,21.69,21.97,1062800,21.97
2013-07-30,21.90,22.19,21.80,22.08,1037100,22.08
2013-07-29,21.98,22.01,21.72,21.85,1274400,21.85
2013-07-26,21.83,22.11,21.77,21.99,1251400,21.99
2013-07-25,21.92,22.05,21.67,21.76,1133700,21.76
2013-07-24,21.99,22.09,21.57,22.00,1437500,22.00
2013-07-23,21.45,22.30,21.33,22.00,3977600,22.00
2013-07-22,20.55,20.63,20.39,20.59,510000,20.59
2013-07-19,20.49,20.60,20.28,20.53,637300,20.53
2013-07-18,20.41,20.47,20.08,20.45,796500,20.45
2013-07-17,20.30,20.53,19.96,20.46,937400,20.46
2013-07-16,20.59,20.73,20.27,20.36,610700,20.36
2013-07-15,20.44,20.60,20.32,20.60,655400,20.60
2013-07-12,20.39,20.78,20.33,20.42,1138300,20.42
2013-07-11,20.10,20.31,20.03,20.24,1065800,20.24
2013-07-10,19.93,20.00,19.62,19.90,579700,19.90
2013-07-09,19.92,20.04,19.84,19.94,711100,19.94
2013-07-08,19.58,20.02,19.58,19.88,798900,19.88
2013-07-05,19.54,19.75,19.42,19.42,1054100,19.42
2013-07-04,19.67,19.99,19.57,19.91,1080000,19.91
2013-07-03,19.52,19.53,19.25,19.47,820700,19.47
2013-07-02,19.61,19.72,19.45,19.61,596000,19.61
2013-07-01,19.77,19.86,19.42,19.66,834600,19.66
2013-06-28,19.82,19.97,19.60,19.61,1011100,19.61
2013-06-27,19.33,19.91,19.25,19.85,1191200,19.85
2013-06-26,19.18,19.44,19.06,19.26,917400,19.26
2013-06-25,18.87,19.22,18.77,19.14,1201100,19.14
2013-06-24,19.00,19.03,18.61,18.61,1007900,18.61
2013-06-21,19.31,19.36,18.96,18.98,1245200,18.98
2013-06-20,19.41,19.43,19.15,19.18,1119200,19.18
2013-06-19,19.71,19.84,19.52,19.58,740100,19.58
2013-06-18,19.97,19.97,19.64,19.66,1057800,19.66
2013-06-17,19.98,20.21,19.93,19.93,915000,19.93
2013-06-14,19.81,20.14,19.79,19.93,1414600,19.93
2013-06-13,19.50,19.78,19.25,19.72,1041200,19.72
2013-06-12,19.72,19.85,19.60,19.62,776700,19.62
2013-06-11,20.00,20.06,19.66,19.73,722000,19.73
2013-06-10,19.90,20.08,19.75,19.91,860000,19.91
2013-06-07,19.69,20.03,19.62,19.80,1031000,19.80
2013-06-06,19.74,20.01,19.57,19.57,1317000,19.57
2013-06-05,20.02,20.07,19.61,19.67,1441300,19.67
2013-06-04,20.50,20.57,20.02,20.06,1135400,20.06
2013-06-03,20.54,20.65,20.20,20.42,915600,20.42
2013-05-31,20.75,20.85,20.41,20.58,1348100,20.58
2013-05-30,20.53,21.23,20.47,20.85,1831800,20.85
2013-05-29,20.58,20.75,20.35,20.47,1550800,20.47
2013-05-28,20.45,20.85,20.36,20.64,1191200,20.64
2013-05-27,20.35,20.41,20.25,20.28,476000,20.28
2013-05-24,20.26,20.47,20.13,20.19,1208800,20.19
2013-05-23,20.08,20.30,19.97,20.04,1629900,20.04
2013-05-22,20.56,20.63,20.36,20.40,961400,20.40
2013-05-21,20.74,20.90,20.43,20.54,930200,20.54
2013-05-20,20.42,20.89,20.42,20.72,999900,20.72
2013-05-17,20.59,20.65,20.10,20.27,2335000,20.27
2013-05-16,21.25,21.29,20.57,20.67,1855200,20.67
2013-05-15,21.34,21.95,21.24,21.34,1752100,21.34
2013-05-14,21.73,21.73,21.06,21.30,1504900,21.30
2013-05-13,21.22,21.75,21.22,21.61,1631700,21.61
2013-05-10,21.25,21.45,21.16,21.25,794600,21.25
2013-05-09,21.07,21.38,21.01,21.20,779500,21.20
2013-05-08,20.82,21.12,20.80,21.01,1045100,21.01
2013-05-07,21.23,21.33,20.56,20.74,2634400,20.74
2013-05-06,21.49,21.57,21.33,21.50,701500,21.50
2013-05-03,21.20,21.77,21.14,21.63,1638300,21.63
2013-05-02,21.15,21.40,21.11,21.18,1768900,21.18
2013-05-01,21.19,21.19,21.19,21.19,000,21.19
2013-04-30,21.18,21.35,20.98,21.19,2235100,21.19
2013-04-29,22.14,22.43,22.10,22.33,1238200,20.73
2013-04-26,22.17,22.27,21.92,22.02,1000200,20.44
2013-04-25,22.11,22.26,21.99,22.14,1048000,20.55
2013-04-24,21.73,22.19,21.73,21.99,1346200,20.41
2013-04-23,21.09,21.83,21.02,21.73,1603200,20.17
2013-04-22,21.12,21.19,20.91,21.02,861400,19.51
2013-04-19,20.87,21.40,20.75,21.00,1808700,19.50
2013-04-18,20.96,21.02,20.42,20.65,1624200,19.17
2013-04-17,21.37,21.38,20.74,20.92,1547700,19.42
2013-04-16,20.99,21.26,20.96,21.13,1167800,19.62
2013-04-15,21.30,21.42,21.00,21.15,1258200,19.63
2013-04-12,21.40,21.62,21.15,21.26,942100,19.74
2013-04-11,21.17,21.61,21.08,21.55,1348700,20.01
