Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,73.18,73.27,71.15,72.10,17500,72.10
2013-08-19,74.70,74.99,73.21,73.26,24000,73.26
2013-08-16,72.45,75.11,71.81,75.11,30000,75.11
2013-08-15,73.80,74.05,71.85,71.88,23900,71.88
2013-08-14,74.86,75.99,73.57,73.92,34100,73.92
2013-08-13,72.31,74.95,72.15,74.60,44700,74.60
2013-08-12,68.75,72.86,68.55,72.00,51600,72.00
2013-08-09,67.38,68.50,66.36,68.34,33300,68.34
2013-08-08,65.70,67.26,65.69,66.91,21400,66.91
2013-08-07,65.63,65.79,64.85,65.51,16000,65.51
2013-08-06,68.45,68.45,65.50,65.97,26000,65.97
2013-08-05,67.37,68.35,67.00,68.35,20300,68.35
2013-08-02,66.82,67.50,66.60,67.20,17200,67.20
2013-08-01,66.42,67.26,66.36,66.92,30600,66.92
2013-07-31,66.11,66.50,65.38,66.10,31800,66.10
2013-07-30,65.60,66.20,64.36,65.95,54500,65.95
2013-07-29,70.88,70.88,65.46,65.50,72300,65.50
2013-07-26,71.71,72.83,71.41,71.50,15000,71.50
2013-07-25,72.89,72.89,70.65,71.03,22300,71.03
2013-07-24,73.98,74.97,72.52,72.82,17000,72.82
2013-07-23,73.25,74.40,73.15,74.07,11200,74.07
2013-07-22,72.68,73.12,71.88,72.71,8900,72.71
2013-07-19,72.51,73.68,71.29,71.86,20500,71.86
2013-07-18,71.45,72.84,70.01,72.70,25500,72.70
2013-07-17,69.64,71.55,68.81,71.34,22400,71.34
2013-07-16,68.00,69.84,67.50,69.28,10400,69.28
2013-07-15,68.51,69.50,67.70,67.76,13100,67.76
2013-07-12,69.88,69.88,67.65,68.08,23300,68.08
2013-07-11,67.05,69.96,67.05,69.14,40900,69.14
2013-07-10,66.95,66.95,65.36,65.89,10600,65.89
2013-07-09,65.73,67.31,65.40,66.95,19000,66.95
2013-07-08,65.82,66.24,64.70,65.01,13900,65.01
2013-07-05,67.15,67.21,64.81,65.54,22600,65.54
2013-07-04,65.85,67.35,65.85,67.15,9400,67.15
2013-07-03,66.00,66.28,64.01,65.42,24800,65.42
2013-07-02,69.00,69.99,66.53,66.65,27400,66.65
2013-07-01,65.60,69.00,65.47,68.35,38100,68.35
2013-06-28,66.10,66.53,65.00,65.00,22000,65.00
2013-06-27,66.20,67.28,65.79,65.79,34100,65.79
2013-06-26,66.11,67.77,65.99,66.10,28900,66.10
2013-06-25,67.90,68.20,65.84,66.06,28700,66.06
2013-06-24,69.74,69.75,67.25,67.25,29900,67.25
2013-06-21,70.00,70.72,68.75,70.10,48200,70.10
2013-06-20,72.35,72.35,69.00,69.33,48100,69.33
2013-06-19,76.96,76.96,72.15,72.76,43300,72.76
2013-06-18,73.56,76.74,73.17,76.00,25300,76.00
2013-06-17,76.98,76.98,73.55,74.24,25000,74.24
2013-06-14,74.72,77.57,74.72,76.00,32100,76.00
2013-06-13,74.20,74.50,72.60,74.02,39100,74.02
2013-06-12,75.61,76.29,74.50,74.93,26200,74.93
2013-06-11,77.30,77.72,75.30,75.94,35200,75.94
2013-06-10,78.70,78.70,77.30,77.57,13300,77.57
2013-06-07,79.04,79.04,78.02,78.40,22500,78.40
2013-06-06,78.99,80.00,78.38,78.38,12500,78.38
2013-06-05,79.70,79.91,78.30,78.74,15800,78.74
2013-06-04,80.50,81.15,79.50,79.85,13600,79.85
2013-06-03,81.73,81.85,80.00,80.27,23500,80.27
2013-05-31,83.15,83.15,81.10,81.15,14500,81.15
2013-05-30,81.67,83.48,81.62,82.90,11300,82.90
2013-05-29,82.03,82.66,80.98,81.10,12800,81.10
2013-05-28,81.10,82.83,80.90,82.44,21400,82.44
2013-05-27,80.30,81.42,80.20,80.81,8800,80.81
2013-05-24,82.09,82.09,80.38,80.38,18700,80.38
2013-05-23,82.64,82.96,80.90,81.20,19200,81.20
2013-05-22,85.10,85.84,84.16,84.64,11200,84.64
2013-05-21,83.49,85.66,83.22,85.10,27100,85.10
2013-05-20,82.00,84.46,82.00,83.64,13700,83.64
2013-05-17,82.50,84.41,82.49,83.02,17700,81.72
2013-05-16,83.99,83.99,82.00,82.91,17900,81.61
2013-05-15,85.56,86.40,83.15,83.26,31300,81.96
2013-05-14,87.95,87.95,84.16,85.73,24300,84.39
2013-05-13,88.26,89.00,87.04,88.14,17900,86.76
2013-05-10,85.45,88.21,85.45,87.66,23700,86.29
2013-05-09,86.04,86.46,85.55,85.65,11300,84.31
2013-05-08,84.80,86.41,84.75,85.71,13900,84.37
2013-05-07,83.00,86.30,82.78,84.01,40200,82.69
2013-05-06,81.10,82.95,81.01,82.74,20400,81.44
2013-05-03,81.00,81.40,80.64,81.08,25300,79.81
2013-05-02,80.70,81.74,80.00,80.58,28700,79.32
2013-05-01,81.11,81.11,81.11,81.11,000,79.84
2013-04-30,82.15,82.97,80.70,81.11,26800,79.84
2013-04-29,82.40,83.25,82.05,83.20,12900,81.90
2013-04-26,83.00,83.68,81.76,82.47,14900,81.18
2013-04-25,83.00,84.26,82.63,83.13,19000,81.83
2013-04-24,81.01,83.44,81.01,83.00,13500,81.70
2013-04-23,80.34,82.37,79.90,81.07,16400,79.80
2013-04-22,81.50,81.97,80.35,80.80,17800,79.53
2013-04-19,77.00,80.33,77.00,80.33,26000,79.07
2013-04-18,78.10,78.10,76.52,76.52,21300,75.32
2013-04-17,79.46,79.46,77.50,77.94,23400,76.72
2013-04-16,78.42,80.41,78.42,78.97,11700,77.73
2013-04-15,81.65,82.13,78.17,79.17,32400,77.93
2013-04-12,84.10,85.00,81.76,82.32,28600,81.03
2013-04-11,86.31,86.34,84.11,84.74,24700,83.41
2013-04-10,83.88,86.50,83.87,85.61,25800,84.27
2013-04-09,83.09,83.61,82.06,83.30,17400,82.00
2013-04-08,81.90,83.50,81.50,81.52,11800,80.24
2013-04-05,82.88,83.00,81.18,82.00,18200,80.72
2013-04-04,81.62,84.22,81.62,82.28,23200,80.99
2013-04-03,81.25,82.50,81.05,81.52,15200,80.24
2013-04-02,83.65,83.65,80.71,81.82,38400,80.54
2013-04-01,84.42,84.42,84.42,84.42,000,83.10
2013-03-29,84.42,84.42,84.42,84.42,000,83.10
2013-03-28,85.18,86.00,84.00,84.42,20500,83.10
2013-03-27,87.29,87.29,84.85,85.38,17000,84.04
2013-03-26,86.60,87.36,86.12,86.70,13900,85.34
2013-03-25,88.12,88.78,86.50,86.67,16500,85.31
2013-03-22,86.93,87.52,85.64,87.20,18900,85.83
2013-03-21,88.10,88.30,85.85,87.05,31800,85.69
2013-03-20,91.00,91.50,87.54,88.00,33900,86.62
2013-03-19,90.70,90.86,88.51,89.43,26600,88.03
2013-03-18,91.01,91.33,89.80,91.00,16200,89.58
2013-03-15,91.82,92.00,91.02,91.07,21900,89.64
2013-03-14,92.50,92.50,91.35,91.75,11700,90.31
2013-03-13,91.95,92.75,91.54,92.01,21300,90.57
2013-03-12,95.13,95.48,92.47,93.31,35800,91.85
2013-03-11,96.50,96.83,94.58,95.60,18200,94.10
2013-03-08,93.50,96.30,92.84,95.36,16500,93.87
2013-03-07,93.76,94.32,92.56,92.56,7200,91.11
2013-03-06,95.00,95.53,93.41,93.41,13600,91.95
2013-03-05,91.75,93.65,91.75,93.29,12600,91.83
2013-03-04,93.85,93.85,91.26,91.26,23300,89.83
2013-03-01,95.51,96.83,92.15,93.73,26900,92.26
2013-02-28,96.50,97.84,94.12,97.84,21400,96.31
2013-02-27,95.50,96.50,94.55,96.40,13700,94.89
2013-02-26,92.50,95.61,92.00,95.50,47300,94.00
2013-02-25,91.40,95.54,89.40,95.44,46800,93.95
2013-02-22,95.00,95.61,91.50,92.98,52400,91.52
2013-02-21,98.40,98.57,96.40,97.43,15300,95.90
2013-02-20,101.10,101.60,98.31,98.31,20800,96.77
2013-02-19,102.00,103.15,100.95,101.40,11200,99.81
2013-02-18,98.51,104.10,98.50,102.95,17900,101.34
2013-02-15,95.51,99.71,95.10,98.39,28600,96.85
2013-02-14,98.86,100.30,97.88,98.69,11400,97.14
2013-02-13,98.99,100.90,98.32,99.78,13500,98.22
2013-02-12,100.50,100.50,99.00,99.00,9600,97.45
2013-02-11,99.66,101.40,98.96,100.50,13600,98.93
2013-02-08,99.75,100.95,99.71,100.50,13400,98.93
2013-02-07,99.97,101.90,99.20,99.75,11400,98.19
2013-02-06,102.85,103.20,97.63,100.00,35300,98.43
2013-02-05,101.80,103.50,101.80,102.45,7700,100.85
2013-02-04,106.00,106.00,101.35,101.90,18800,100.30
2013-02-01,104.90,106.00,104.75,105.65,24500,104.00
2013-01-31,106.55,106.55,102.50,104.50,40500,102.86
2013-01-30,109.95,109.95,106.00,106.80,16300,105.13
2013-01-29,110.10,110.20,109.15,109.65,9400,107.93
2013-01-28,109.30,110.50,108.80,110.00,21900,108.28
2013-01-25,109.25,109.25,108.10,108.75,13900,107.05
2013-01-24,110.00,111.45,109.00,109.00,16300,107.29
2013-01-23,110.20,110.90,109.50,110.00,20600,108.28
2013-01-22,113.00,113.50,110.60,110.60,16500,108.87
2013-01-21,113.05,113.50,111.50,113.10,8100,111.33
2013-01-18,112.80,113.50,111.55,113.00,14500,111.23
2013-01-17,108.85,111.50,108.00,110.80,21200,109.07
2013-01-16,110.50,111.85,109.60,111.35,11900,109.61
2013-01-15,109.95,114.50,109.75,110.90,15800,109.16
2013-01-14,110.75,111.00,109.55,110.40,23300,108.67
