Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,180.00,181.35,177.50,180.00,8400,180.00
2013-08-19,180.00,181.65,179.00,181.65,8700,181.65
2013-08-16,180.00,181.30,176.85,180.00,15600,180.00
2013-08-15,178.60,180.20,177.25,179.35,8900,179.35
2013-08-14,183.50,183.50,178.40,178.40,16200,178.40
2013-08-13,181.95,184.50,181.95,183.50,20300,183.50
2013-08-12,180.00,185.90,180.00,182.00,20900,182.00
2013-08-09,177.25,180.00,176.80,179.25,11000,179.25
2013-08-08,177.50,178.90,176.50,177.95,22500,177.95
2013-08-07,183.00,184.70,178.10,179.95,55300,179.95
2013-08-06,180.00,191.90,178.50,185.35,51600,185.35
2013-08-05,171.90,181.20,170.10,181.20,51000,181.20
2013-08-02,161.10,172.15,161.00,172.15,25800,172.15
2013-08-01,163.00,166.85,163.00,164.80,12600,164.80
2013-07-31,166.00,166.80,164.15,165.00,18500,165.00
2013-07-30,162.00,166.85,161.30,166.65,25400,166.65
2013-07-29,159.10,163.05,159.00,161.60,13300,161.60
2013-07-26,164.05,164.50,157.95,158.45,17700,158.45
2013-07-25,163.55,164.50,161.35,162.00,10200,162.00
2013-07-24,161.80,164.00,161.50,164.00,15700,164.00
2013-07-23,160.20,161.60,159.60,161.60,13900,161.60
2013-07-22,157.75,160.20,157.60,160.10,8100,160.10
2013-07-19,159.75,159.75,156.20,158.45,7300,158.45
2013-07-18,156.00,159.80,153.60,159.80,13500,159.80
2013-07-17,158.70,158.70,155.55,156.45,11000,156.45
2013-07-16,156.60,160.70,156.60,158.15,16800,158.15
2013-07-15,158.60,160.80,155.80,156.60,12500,156.60
2013-07-12,157.45,160.40,157.20,159.45,13800,159.45
2013-07-11,161.85,161.85,157.20,157.45,11800,157.45
2013-07-10,160.20,161.50,158.55,161.50,9300,161.50
2013-07-09,158.25,161.00,157.00,161.00,17500,161.00
2013-07-08,155.00,157.60,155.00,156.50,12700,156.50
2013-07-05,152.80,156.50,152.75,154.00,9400,154.00
2013-07-04,149.25,153.50,149.25,153.50,24800,152.50
2013-07-03,153.75,153.75,147.60,149.75,24000,148.77
2013-07-02,158.35,158.35,152.50,154.15,21100,153.15
2013-07-01,158.90,161.10,155.00,158.35,36900,157.32
2013-06-28,161.00,162.40,161.00,162.30,20800,161.24
2013-06-27,154.05,162.85,153.55,162.85,30200,161.79
2013-06-26,152.00,154.55,149.10,153.00,31600,152.00
2013-06-25,145.70,151.40,145.70,149.10,20200,148.13
2013-06-24,148.00,148.55,145.70,146.60,27500,145.64
2013-06-21,150.55,154.15,148.55,148.55,16700,147.58
2013-06-20,151.00,152.75,148.35,152.10,20900,151.11
2013-06-19,152.90,156.40,149.95,152.00,14600,151.01
2013-06-18,148.50,152.90,148.50,152.55,13700,151.56
2013-06-17,149.15,149.70,147.65,148.65,7100,147.68
2013-06-14,144.40,148.20,144.40,148.00,15300,147.04
2013-06-13,145.00,146.05,142.00,144.20,19800,143.26
2013-06-12,147.25,150.55,145.75,145.75,14800,144.80
2013-06-11,153.50,153.50,147.25,148.60,16400,147.63
2013-06-10,152.70,155.00,152.25,152.25,11100,151.26
2013-06-07,150.80,152.40,149.20,151.65,15400,150.66
2013-06-06,151.00,151.55,150.00,151.00,10100,150.02
2013-06-05,152.00,152.40,148.45,150.50,12800,149.52
2013-06-04,147.10,152.60,147.10,151.60,16600,150.61
2013-06-03,151.50,151.80,147.00,147.00,15000,146.04
2013-05-31,147.10,151.65,145.70,151.25,28200,150.26
2013-05-30,148.20,150.05,147.10,147.65,13100,146.69
2013-05-29,150.15,151.20,147.10,148.20,12700,147.23
2013-05-28,152.00,153.80,150.45,151.40,10200,150.41
2013-05-27,150.25,152.15,150.10,151.75,5300,150.76
2013-05-24,152.85,153.00,150.55,151.50,19300,150.51
2013-05-23,151.00,151.80,150.00,150.00,23900,149.02
2013-05-22,150.65,154.90,150.25,153.50,12100,152.50
2013-05-21,153.50,153.65,150.10,152.20,17600,151.21
2013-05-20,151.60,155.35,151.60,153.50,15300,152.50
2013-05-17,154.50,154.80,151.50,151.60,11100,150.61
2013-05-16,155.10,155.85,153.05,153.55,10800,152.55
2013-05-15,155.20,157.15,154.60,155.65,13900,154.64
2013-05-14,157.80,159.05,153.70,154.40,23700,153.39
2013-05-13,157.65,159.30,156.90,159.15,9400,158.11
2013-05-10,159.60,161.45,157.05,159.65,19200,158.61
2013-05-09,152.25,159.60,151.50,159.40,16300,158.36
2013-05-08,158.65,158.85,151.55,153.50,45000,152.50
2013-05-07,163.90,164.00,160.05,160.80,16900,159.75
2013-05-06,162.00,163.25,161.00,162.15,7800,161.09
2013-05-03,160.00,163.55,160.00,162.00,26500,160.94
2013-05-02,160.05,162.65,157.85,160.00,27200,158.96
2013-05-01,165.00,165.00,165.00,165.00,000,163.93
2013-04-30,163.35,165.00,160.30,165.00,25400,163.93
2013-04-29,161.35,164.95,161.35,163.35,8800,162.29
2013-04-26,160.50,163.60,159.50,163.10,14700,162.04
2013-04-25,160.00,161.60,159.40,161.20,17700,160.15
2013-04-24,159.30,159.95,158.00,159.80,18300,158.76
2013-04-23,152.85,158.80,152.85,158.80,17100,157.77
2013-04-22,151.10,154.70,151.10,153.25,13300,152.25
2013-04-19,151.75,155.95,149.35,151.55,16200,150.56
2013-04-18,149.60,155.20,148.55,149.55,12100,148.58
2013-04-17,152.25,153.00,149.10,150.00,35200,149.02
2013-04-16,154.00,154.35,151.20,152.35,13800,151.36
2013-04-15,156.00,156.30,152.25,154.35,8200,153.34
2013-04-12,156.95,158.45,152.95,155.50,19700,154.49
2013-04-11,155.00,158.45,153.05,154.50,21100,153.49
2013-04-10,153.80,154.80,152.25,153.70,21100,152.70
2013-04-09,155.55,156.60,152.25,153.80,21200,152.80
2013-04-08,151.50,157.55,149.80,155.35,29500,154.34
2013-04-05,156.15,157.30,148.85,153.10,42200,152.10
2013-04-04,164.75,164.75,156.10,158.25,22700,157.22
2013-04-03,163.20,164.35,162.65,163.35,21700,162.29
2013-04-02,163.95,165.65,163.70,163.95,33600,162.88
2013-04-01,163.80,163.80,163.80,163.80,000,162.73
2013-03-29,163.80,163.80,163.80,163.80,000,162.73
2013-03-28,167.65,167.65,163.80,163.80,17100,162.73
2013-03-27,168.70,168.70,164.80,166.40,13800,165.32
2013-03-26,167.00,170.00,165.50,167.00,16200,165.91
2013-03-25,163.25,170.00,162.85,168.25,43700,167.15
2013-03-22,159.65,161.45,159.30,160.10,10800,159.06
2013-03-21,161.50,161.50,159.05,160.55,30600,159.50
2013-03-20,163.00,163.00,161.30,162.00,16200,160.94
2013-03-19,164.45,164.45,161.15,162.55,18300,161.49
2013-03-18,164.50,165.65,162.50,164.45,12100,163.38
2013-03-15,164.50,164.55,162.50,164.55,23600,163.48
2013-03-14,164.50,164.50,162.10,163.75,22000,162.68
2013-03-13,163.85,164.50,162.55,163.10,12000,162.04
2013-03-12,164.40,164.45,160.75,162.55,20500,161.49
2013-03-11,162.90,167.90,162.00,164.00,38100,162.93
2013-03-08,158.00,159.95,156.80,159.05,22400,158.01
2013-03-07,155.50,157.80,152.45,157.00,46400,155.98
2013-03-06,159.40,159.45,155.15,155.45,24000,154.44
