Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,22.20,22.25,21.92,22.04,483400,22.04
2013-08-19,22.33,22.36,22.17,22.25,343600,22.25
2013-08-16,22.23,22.39,22.14,22.33,296800,22.33
2013-08-15,22.17,22.25,22.01,22.16,423200,22.16
2013-08-14,22.46,22.46,22.22,22.24,411000,22.24
2013-08-13,22.22,22.37,22.20,22.34,438000,22.34
2013-08-12,22.01,22.21,21.84,22.17,420900,22.17
2013-08-09,21.91,22.20,21.84,21.89,884200,21.89
2013-08-08,21.73,21.80,21.49,21.77,556400,21.77
2013-08-07,21.15,21.70,20.95,21.60,802800,21.60
2013-08-06,21.44,21.44,20.98,21.05,685400,21.05
2013-08-05,21.43,21.43,21.17,21.33,580600,21.33
2013-08-02,21.34,21.34,20.41,20.94,1248500,20.94
2013-08-01,21.05,21.38,21.05,21.17,716600,21.17
2013-07-31,21.60,21.78,20.91,21.01,2215400,21.01
2013-07-30,22.50,22.57,22.17,22.41,299600,22.41
2013-07-29,22.58,22.86,22.39,22.40,381800,22.40
2013-07-26,22.44,22.60,22.25,22.51,365700,22.51
2013-07-25,22.40,22.57,22.18,22.38,359800,22.38
2013-07-24,22.30,22.42,22.20,22.33,522400,22.33
2013-07-23,22.05,22.39,22.05,22.25,501800,22.25
2013-07-22,22.31,22.39,21.88,22.00,347900,22.00
2013-07-19,22.25,22.52,22.19,22.33,372000,22.33
2013-07-18,22.11,22.33,22.11,22.20,327900,22.20
2013-07-17,22.08,22.20,21.92,22.11,397500,22.11
2013-07-16,22.29,22.30,21.92,22.00,583700,22.00
2013-07-15,22.43,22.89,22.22,22.25,401500,22.25
2013-07-12,22.25,22.50,22.25,22.34,460900,22.34
2013-07-11,22.55,22.58,21.80,22.17,627100,22.17
2013-07-10,22.39,22.75,22.15,22.35,516800,22.35
2013-07-09,22.50,22.58,22.16,22.35,425000,22.35
2013-07-08,22.51,22.61,22.33,22.43,289500,22.43
2013-07-05,22.19,22.50,22.06,22.34,537400,22.34
2013-07-04,21.69,22.08,21.55,21.99,568000,21.99
2013-07-03,21.65,21.69,21.26,21.49,422800,21.49
2013-07-02,21.85,21.89,21.55,21.68,424900,21.68
2013-07-01,21.90,21.97,21.72,21.80,522000,21.80
2013-06-28,22.07,22.13,21.81,21.81,611900,21.81
2013-06-27,22.00,22.23,21.98,22.06,472000,22.06
2013-06-26,21.45,21.93,21.43,21.93,446300,21.93
2013-06-25,21.57,21.70,21.40,21.45,438100,21.45
2013-06-24,22.09,22.12,21.44,21.52,519900,21.52
2013-06-21,22.40,22.67,22.02,22.02,818000,22.02
2013-06-20,22.58,22.62,22.29,22.42,481500,22.42
2013-06-19,22.73,22.90,22.63,22.81,561100,22.81
2013-06-18,22.77,22.90,22.56,22.72,493500,22.72
2013-06-17,22.69,22.80,22.62,22.67,434600,22.67
2013-06-14,22.84,22.84,22.66,22.69,409400,22.69
2013-06-13,22.80,22.86,22.65,22.73,421000,22.73
2013-06-12,22.88,23.03,22.84,22.89,399900,22.89
2013-06-11,23.17,23.21,22.88,22.93,397800,22.93
2013-06-10,23.36,23.36,23.13,23.24,289200,23.24
2013-06-07,23.21,23.58,23.19,23.25,349300,23.25
2013-06-06,23.25,23.38,23.12,23.18,432600,23.18
2013-06-05,23.58,23.58,23.05,23.10,376300,23.10
2013-06-04,23.43,23.60,23.43,23.60,434100,23.60
2013-06-03,23.67,23.76,23.30,23.37,616700,23.37
2013-05-31,23.83,24.09,23.64,23.98,1101500,23.98
2013-05-30,23.50,24.05,23.48,23.97,635400,23.97
2013-05-29,24.09,24.09,23.42,23.58,696400,23.58
2013-05-28,23.79,24.27,23.78,24.14,709300,24.14
2013-05-27,23.71,23.77,23.55,23.72,426000,23.72
2013-05-24,24.30,24.34,23.56,23.65,1512700,23.65
2013-05-23,24.66,24.68,24.23,24.45,758000,24.45
2013-05-22,24.97,25.08,24.81,24.90,568700,24.90
2013-05-21,25.00,25.01,24.68,24.97,543600,24.97
2013-05-20,24.71,25.01,24.70,25.00,305100,25.00
2013-05-17,24.66,24.91,24.48,24.66,1046400,24.66
2013-05-16,25.24,25.42,25.17,25.29,588600,25.29
2013-05-15,25.22,25.25,25.00,25.18,538500,25.18
2013-05-14,24.84,25.08,24.45,25.08,642800,25.08
2013-05-13,24.60,24.97,24.58,24.80,577000,24.80
2013-05-10,24.66,24.75,24.22,24.58,781100,24.58
2013-05-09,24.98,25.10,24.43,24.64,751700,24.64
2013-05-08,25.43,25.83,24.56,24.74,1812900,24.74
2013-05-07,26.72,27.03,26.69,27.00,419500,27.00
2013-05-06,26.91,26.95,26.66,26.76,315600,26.76
2013-05-03,27.36,27.49,26.27,26.88,866200,26.88
2013-05-02,27.20,27.34,26.85,27.30,577300,27.30
2013-05-01,27.42,27.42,27.42,27.42,000,27.42
2013-04-30,27.29,27.42,26.97,27.42,584700,27.42
2013-04-29,27.17,27.32,27.09,27.24,441500,27.24
2013-04-26,27.49,27.67,27.11,27.22,404400,27.22
2013-04-25,27.61,27.73,27.36,27.55,269200,27.55
2013-04-24,27.50,27.69,27.30,27.60,475100,27.60
2013-04-23,27.05,27.49,26.87,27.47,399100,27.47
2013-04-22,26.64,27.05,26.62,26.90,468000,26.90
2013-04-19,26.74,26.74,26.32,26.44,342600,26.44
2013-04-18,26.10,26.76,26.00,26.62,525500,26.62
2013-04-17,26.24,26.30,25.90,25.97,377200,25.97
2013-04-16,26.16,26.27,25.89,26.08,546200,26.08
2013-04-15,26.55,26.66,26.20,26.24,541700,26.24
2013-04-12,26.80,26.88,26.34,26.60,440400,26.60
2013-04-11,26.75,26.97,26.75,26.90,303500,26.90
2013-04-10,26.60,26.77,26.46,26.77,685000,26.77
2013-04-09,27.10,27.10,26.58,26.67,514800,26.67
2013-04-08,27.08,27.47,26.99,27.10,370300,27.10
2013-04-05,27.61,27.64,26.95,27.05,472100,27.05
