Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,60.98,61.29,60.45,60.91,21900,60.91
2013-08-19,61.65,61.67,60.56,61.20,24400,61.20
2013-08-16,61.30,61.95,61.19,61.65,31200,61.65
2013-08-15,61.36,61.46,60.76,61.26,37000,61.26
2013-08-14,62.57,62.75,60.84,61.08,62200,61.08
2013-08-13,62.53,63.10,62.39,62.60,49500,62.60
2013-08-12,62.30,62.70,62.00,62.62,23100,62.62
2013-08-09,63.17,63.17,62.41,62.70,32600,62.70
2013-08-08,62.80,63.12,62.45,62.70,64200,62.70
2013-08-07,63.51,63.51,62.29,62.64,36300,62.64
2013-08-06,63.30,63.78,63.24,63.51,71900,63.51
2013-08-05,63.52,63.57,63.15,63.51,51800,63.51
2013-08-02,63.60,63.64,62.79,62.97,56500,62.97
2013-08-01,62.10,63.79,61.70,63.79,59200,63.79
2013-07-31,61.52,62.11,61.28,61.56,68100,61.56
2013-07-30,61.75,61.94,61.17,61.75,46800,61.75
2013-07-29,61.21,61.54,60.63,61.20,24700,61.20
2013-07-26,61.20,61.45,60.78,61.25,54400,61.25
2013-07-25,60.95,61.17,60.26,60.87,36000,60.87
2013-07-24,61.64,61.64,60.41,60.93,78600,60.93
2013-07-23,60.97,61.43,60.90,61.17,51200,61.17
2013-07-22,61.15,61.55,60.78,61.17,66000,61.17
2013-07-19,60.46,61.46,60.42,61.21,40900,61.21
2013-07-18,60.40,61.09,60.00,60.72,39400,60.72
2013-07-17,60.62,61.10,59.65,60.74,43700,60.74
2013-07-16,61.26,61.62,60.33,60.50,40700,60.50
2013-07-15,60.99,62.20,60.80,61.39,47500,61.39
2013-07-12,61.56,62.10,60.43,60.60,39100,60.60
2013-07-11,60.55,61.85,60.05,61.50,54600,61.50
2013-07-10,60.01,60.66,59.57,59.95,71600,59.95
2013-07-09,59.75,60.50,59.69,60.32,37800,60.32
2013-07-08,59.66,60.09,59.22,59.45,35100,59.45
2013-07-05,58.95,60.33,58.62,59.33,100900,59.33
2013-07-04,57.50,58.67,57.00,58.50,39600,58.50
2013-07-03,57.32,57.50,56.05,57.25,55700,57.25
2013-07-02,57.59,57.89,56.76,57.89,98400,57.89
2013-07-01,58.32,59.51,56.93,57.01,61300,57.01
2013-06-28,58.38,58.46,57.64,57.64,53300,57.64
2013-06-27,58.47,58.52,57.01,58.10,69300,58.10
2013-06-26,56.83,58.80,56.83,58.60,96700,58.60
2013-06-25,55.88,56.88,55.11,56.44,96100,56.44
2013-06-24,58.44,58.62,55.31,55.47,109100,55.47
2013-06-21,59.06,59.14,57.80,58.11,134200,58.11
2013-06-20,59.10,59.18,57.99,58.75,64200,58.75
2013-06-19,60.13,60.13,58.97,59.54,65600,59.54
2013-06-18,60.40,60.50,59.67,60.47,111500,60.47
2013-06-17,60.46,60.86,60.36,60.51,44300,60.51
2013-06-14,60.00,60.80,59.36,60.42,107800,60.42
2013-06-13,59.64,59.64,58.06,58.90,86500,58.90
2013-06-12,60.57,60.78,59.75,59.85,86000,59.85
2013-06-11,62.37,62.37,60.06,60.54,76800,60.54
2013-06-10,63.15,63.15,62.35,62.41,55600,62.41
2013-06-07,61.58,63.15,61.19,62.90,67700,62.90
2013-06-06,64.33,64.35,61.64,61.87,116200,61.87
2013-06-05,64.94,64.97,63.73,64.12,46500,64.12
2013-06-04,65.69,65.69,64.56,65.05,81300,65.05
2013-06-03,65.14,65.52,64.43,65.07,243500,65.07
2013-05-31,65.55,65.73,64.55,65.35,219700,65.35
2013-05-30,65.32,65.83,65.30,65.50,72500,65.50
2013-05-29,65.97,66.07,65.11,65.77,92000,65.77
2013-05-28,65.00,66.65,65.00,65.77,68800,65.77
2013-05-27,65.49,65.50,64.76,65.20,24200,65.20
2013-05-24,65.00,65.41,64.51,65.03,36500,65.03
2013-05-23,65.15,65.84,64.54,65.00,79800,65.00
2013-05-22,67.70,67.89,66.41,66.45,72000,66.45
2013-05-21,67.00,67.70,67.00,67.61,73700,67.61
2013-05-20,66.70,67.53,66.48,67.16,57000,67.16
2013-05-17,66.27,67.00,66.13,66.72,91100,66.72
2013-05-16,64.66,66.30,64.66,65.81,149600,65.81
2013-05-15,63.92,64.70,63.85,64.60,102900,64.60
2013-05-14,63.46,63.68,63.26,63.53,127000,63.53
2013-05-13,62.81,63.49,62.50,63.49,74800,63.49
2013-05-10,62.49,62.98,62.31,62.98,53300,62.98
2013-05-09,62.65,62.67,61.80,62.21,32200,62.21
2013-05-08,61.64,62.82,61.26,62.65,109400,62.65
2013-05-07,60.78,61.80,60.78,61.63,134800,61.63
2013-05-06,61.00,61.35,60.79,61.11,43800,61.11
2013-05-03,60.80,61.09,60.23,61.03,65300,61.03
2013-05-02,60.14,60.90,60.01,60.90,91100,60.90
2013-05-01,60.40,60.40,60.40,60.40,000,60.40
2013-04-30,60.07,60.70,59.87,60.40,106000,60.40
2013-04-29,59.25,60.12,59.05,59.52,83200,59.52
2013-04-26,63.11,63.30,62.71,63.00,82000,58.80
2013-04-25,62.30,63.80,62.13,63.20,67900,58.99
2013-04-24,61.15,62.47,60.85,62.30,71600,58.15
2013-04-23,60.99,61.20,60.57,61.07,104000,57.00
2013-04-22,60.51,61.12,60.43,60.94,232100,56.88
2013-04-19,60.82,61.03,60.50,60.50,64500,56.47
2013-04-18,61.00,61.50,60.50,60.79,42100,56.74
2013-04-17,62.37,62.49,60.97,61.00,83200,56.93
2013-04-16,62.12,62.59,62.12,62.45,81400,58.29
2013-04-15,62.11,62.62,61.61,62.34,44700,58.18
2013-04-12,62.03,63.00,62.03,62.47,42400,58.31
2013-04-11,62.15,63.11,61.59,62.30,43400,58.15
2013-04-10,60.95,62.88,60.95,62.33,51800,58.17
2013-04-09,60.88,61.38,60.33,61.13,54100,57.05
2013-04-08,60.86,60.87,60.20,60.55,44000,56.51
2013-04-05,60.86,61.27,60.11,60.40,64400,56.37
2013-04-04,61.89,62.04,60.89,61.26,50800,57.18
2013-04-03,62.37,62.37,61.61,61.89,65100,57.76
2013-04-02,60.97,62.30,60.97,62.30,58400,58.15
2013-04-01,61.08,61.08,61.08,61.08,000,57.01
2013-03-29,61.08,61.08,61.08,61.08,000,57.01
2013-03-28,60.25,61.08,60.04,61.08,80100,57.01
2013-03-27,61.68,61.68,60.01,60.31,40400,56.29
2013-03-26,61.59,61.75,60.69,61.58,34600,57.47
2013-03-25,62.50,63.11,61.32,61.32,65800,57.23
2013-03-22,61.26,62.40,61.26,62.23,55200,58.08
2013-03-21,62.51,62.51,61.16,61.55,70100,57.45
2013-03-20,62.11,62.58,61.83,62.51,49800,58.34
2013-03-19,63.99,63.99,62.01,62.01,82700,57.88
2013-03-18,62.85,63.62,62.38,63.62,51200,59.38
2013-03-15,63.41,64.00,62.50,63.79,239400,59.54
2013-03-14,62.95,63.60,62.53,63.25,44000,59.03
2013-03-13,62.29,62.82,62.06,62.78,27300,58.59
2013-03-12,63.14,63.29,62.22,62.22,49900,58.07
2013-03-11,63.15,63.72,63.05,63.12,23800,58.91
2013-03-08,64.06,64.43,63.47,63.64,39100,59.40
2013-03-07,63.45,64.33,63.45,64.06,28600,59.79
2013-03-06,63.89,64.43,63.47,63.70,57800,59.45
2013-03-05,62.41,64.02,62.14,63.80,72100,59.55
2013-03-04,63.40,63.76,63.02,63.50,36700,59.27
2013-03-01,63.35,63.99,63.02,63.59,42300,59.35
2013-02-28,63.75,63.75,63.01,63.37,55200,59.15
2013-02-27,62.31,63.98,62.20,63.49,66900,59.26
2013-02-26,62.26,62.78,61.35,62.39,87000,58.23
