Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,44.76,44.92,42.94,43.81,156200,43.81
2013-08-19,44.69,44.99,44.46,44.99,83100,44.99
2013-08-16,44.05,44.86,43.90,44.65,82900,44.65
2013-08-15,44.04,44.34,43.40,44.05,73600,44.05
2013-08-14,44.25,44.25,43.80,44.00,74800,44.00
2013-08-13,44.15,44.35,43.94,44.21,52800,44.21
2013-08-12,43.62,44.15,43.62,44.15,60300,44.15
2013-08-09,44.01,44.05,43.47,43.60,56500,43.60
2013-08-08,42.33,44.15,42.33,44.00,122000,44.00
2013-08-07,42.12,42.53,41.50,42.24,102000,42.24
2013-08-06,42.50,42.65,42.10,42.38,77400,42.38
2013-08-05,41.50,42.58,41.40,42.56,119500,42.56
2013-08-02,41.26,41.50,41.10,41.50,134900,41.50
2013-08-01,40.33,41.29,40.33,41.29,79000,41.29
2013-07-31,40.90,41.01,39.70,40.31,158900,40.31
2013-07-30,40.60,41.24,40.26,41.12,89600,41.12
2013-07-29,41.13,41.30,40.83,41.30,137600,41.30
2013-07-26,41.00,41.25,40.80,41.03,65600,41.03
2013-07-25,40.67,41.25,40.60,40.87,121000,40.87
2013-07-24,40.41,40.85,40.38,40.81,96800,40.81
2013-07-23,40.49,40.93,40.37,40.60,89700,40.60
2013-07-22,39.53,40.55,39.53,40.31,78400,40.31
2013-07-19,39.90,39.97,39.31,39.62,150500,39.62
2013-07-18,39.40,40.22,39.12,40.06,93100,40.06
2013-07-17,38.62,39.55,38.01,39.44,213900,39.44
2013-07-16,38.62,38.75,38.30,38.74,54400,38.74
2013-07-15,38.07,38.75,38.07,38.75,52600,38.75
2013-07-12,38.35,38.55,37.97,38.20,65700,38.20
2013-07-11,38.21,38.35,37.92,38.28,88300,38.28
2013-07-10,38.51,38.66,37.76,38.00,149900,38.00
2013-07-09,38.50,38.79,38.46,38.74,61000,38.74
2013-07-08,38.00,38.88,37.99,38.37,88300,38.37
2013-07-05,38.06,38.42,37.46,37.80,99500,37.80
2013-07-04,36.65,38.65,36.60,38.28,183200,38.28
2013-07-03,36.64,36.74,36.21,36.56,83500,36.56
2013-07-02,36.60,37.05,36.51,36.80,195000,36.80
2013-07-01,36.04,36.75,35.51,36.68,122000,36.68
2013-06-28,36.15,36.43,35.50,36.03,116700,36.03
2013-06-27,35.96,36.17,35.90,36.08,174600,36.08
2013-06-26,35.02,36.31,34.85,36.00,128400,36.00
2013-06-25,34.30,35.19,34.19,35.15,127700,35.15
2013-06-24,35.30,35.39,33.95,34.06,125900,34.06
2013-06-21,35.81,36.05,35.31,35.31,198000,35.31
2013-06-20,37.00,37.00,35.76,35.80,120700,35.80
2013-06-19,38.01,38.01,37.14,37.26,131000,37.26
2013-06-18,37.21,38.15,37.12,38.04,135800,38.04
2013-06-17,36.45,37.55,36.40,37.27,132100,37.27
2013-06-14,36.05,36.55,35.60,36.40,161300,36.40
2013-06-13,35.60,36.30,35.07,36.01,106200,36.01
2013-06-12,36.35,36.36,35.69,35.76,433100,35.76
2013-06-11,36.30,36.40,35.90,36.35,114500,36.35
2013-06-10,36.54,36.75,36.35,36.39,45300,36.39
2013-06-07,35.97,36.55,35.83,36.29,75400,36.29
2013-06-06,35.50,36.49,35.50,35.90,116300,35.90
2013-06-05,36.00,36.09,35.36,35.60,202600,35.60
2013-06-04,36.26,36.55,36.04,36.13,163700,36.13
2013-06-03,36.22,36.45,36.10,36.18,179700,36.18
2013-05-31,36.64,36.77,35.97,36.33,128700,36.33
2013-05-30,36.05,36.95,36.00,36.67,121600,36.67
2013-05-29,36.21,36.42,36.00,36.12,150800,36.12
2013-05-28,35.74,36.60,35.69,36.50,266700,36.50
2013-05-27,34.50,35.80,34.40,35.60,153900,35.60
2013-05-24,35.25,35.28,34.35,34.65,104700,34.65
2013-05-23,35.40,35.50,34.99,35.23,186700,35.23
2013-05-22,35.62,35.76,35.30,35.60,80100,35.60
2013-05-21,35.53,35.91,35.31,35.69,124400,35.69
2013-05-20,35.21,35.70,35.21,35.65,74700,35.65
2013-05-17,34.74,35.45,34.74,35.20,167500,35.20
2013-05-16,35.00,35.15,34.71,34.78,79200,34.78
2013-05-15,34.56,35.26,34.56,35.11,109100,35.11
2013-05-14,34.10,34.83,34.10,34.83,91900,34.83
2013-05-13,34.40,34.65,34.18,34.33,99200,34.33
2013-05-10,34.50,34.91,34.50,34.60,80100,34.60
2013-05-09,34.74,34.90,34.58,34.58,64400,34.58
2013-05-08,34.30,34.95,34.30,34.72,73200,34.72
2013-05-07,34.20,34.85,34.20,34.31,110200,34.31
2013-05-06,34.08,34.25,33.83,34.20,58300,34.20
2013-05-03,33.42,34.42,33.33,34.15,129900,34.15
2013-05-02,33.56,33.67,33.03,33.35,148900,33.35
2013-05-01,33.61,33.61,33.61,33.61,000,33.61
2013-04-30,34.24,34.46,33.50,33.61,144300,33.61
2013-04-29,33.18,34.25,33.18,34.20,140100,34.20
2013-04-26,32.40,33.45,32.40,33.20,221400,33.20
2013-04-25,32.00,33.01,31.93,32.47,202300,32.47
2013-04-24,32.54,33.20,32.46,33.13,144000,31.93
2013-04-23,31.55,32.65,31.46,32.54,127900,31.37
2013-04-22,31.06,31.81,31.06,31.52,121600,30.38
2013-04-19,31.16,31.35,30.70,31.00,140400,29.87
2013-04-18,31.33,31.36,30.69,31.09,141800,29.96
2013-04-17,32.11,32.11,31.26,31.26,151700,30.13
2013-04-16,31.71,32.25,31.63,32.00,94400,30.84
2013-04-15,32.65,32.75,31.62,31.88,106400,30.73
2013-04-12,32.81,33.06,32.60,32.69,78000,31.51
2013-04-11,32.55,33.05,32.39,32.98,93400,31.79
2013-04-10,31.65,32.80,31.59,32.76,109300,31.57
2013-04-09,31.16,31.55,30.92,31.48,99900,30.34
2013-04-08,31.35,31.47,31.00,31.10,107000,29.97
2013-04-05,32.08,32.13,30.91,31.10,159300,29.98
2013-04-04,32.41,32.97,31.83,32.08,127300,30.91
2013-04-03,33.01,33.10,32.40,32.41,108700,31.24
2013-04-02,32.90,33.24,32.74,33.17,92500,31.97
2013-04-01,33.01,33.01,33.01,33.01,000,31.81
2013-03-29,33.01,33.01,33.01,33.01,000,31.81
2013-03-28,33.03,33.46,32.78,33.01,131500,31.81
2013-03-27,34.47,34.55,32.92,33.22,117700,32.02
2013-03-26,34.01,34.46,34.00,34.46,94500,33.21
2013-03-25,34.95,35.05,33.98,34.00,154400,32.77
2013-03-22,35.00,35.05,34.50,34.63,116700,33.38
2013-03-21,35.72,35.90,34.91,34.96,139600,33.69
2013-03-20,35.15,36.19,34.94,35.69,129400,34.40
2013-03-19,35.65,35.70,34.83,34.92,129500,33.65
2013-03-18,35.69,35.83,35.00,35.77,106000,34.47
2013-03-15,36.54,36.54,35.53,35.88,509700,34.58
2013-03-14,35.55,36.54,35.35,36.40,254000,35.08
2013-03-13,35.00,35.55,34.85,35.50,168200,34.21
2013-03-12,34.89,35.10,34.75,35.08,106900,33.81
2013-03-11,34.71,35.07,34.67,34.87,314500,33.61
2013-03-08,34.75,35.05,34.58,34.86,118900,33.60
2013-03-07,34.20,34.72,33.99,34.63,123400,33.38
2013-03-06,34.31,34.45,34.03,34.22,184800,32.98
2013-03-05,34.40,34.87,34.00,34.22,148700,32.99
2013-03-04,33.58,34.45,33.30,34.17,141800,32.93
2013-03-01,33.50,33.90,32.80,33.65,151600,32.43
2013-02-28,34.48,35.08,32.60,33.81,296900,32.58
2013-02-27,31.90,34.01,31.90,33.99,197100,32.76
2013-02-26,32.50,32.50,31.40,31.98,181100,30.82
2013-02-25,32.92,34.05,32.83,33.03,180600,31.84
2013-02-22,31.20,32.85,31.20,32.75,153900,31.56
2013-02-21,32.15,32.25,30.51,31.02,177200,29.90
2013-02-20,32.76,32.94,32.30,32.30,69000,31.13
2013-02-19,32.40,32.99,32.34,32.75,70100,31.56
2013-02-18,32.70,32.76,32.02,32.36,59000,31.19
2013-02-15,32.96,33.15,32.55,32.72,80700,31.54
2013-02-14,32.89,33.69,32.84,32.93,166200,31.74
2013-02-13,32.64,32.95,32.21,32.87,56300,31.68
2013-02-12,32.54,32.65,32.30,32.53,38900,31.35
2013-02-11,32.86,32.95,32.10,32.54,70500,31.37
2013-02-08,32.47,32.85,32.32,32.79,54900,31.60
2013-02-07,31.99,32.62,31.90,32.45,151800,31.27
2013-02-06,33.05,33.05,31.72,32.00,298300,30.84
2013-02-05,32.47,33.25,32.42,32.74,100900,31.55
2013-02-04,33.88,34.25,32.29,32.46,123600,31.28
2013-02-01,33.01,34.07,33.00,34.03,121200,32.80
2013-01-31,33.20,33.42,32.86,33.06,188600,31.86
2013-01-30,34.19,34.23,33.21,33.21,139300,32.01
2013-01-29,35.05,35.20,33.49,34.24,152800,33.00
2013-01-28,34.83,35.36,34.83,35.03,70700,33.77
2013-01-25,35.35,35.50,34.79,34.83,102600,33.56
2013-01-24,34.81,35.50,34.65,35.42,159600,34.14
2013-01-23,34.60,34.95,34.50,34.90,195700,33.64
2013-01-22,35.40,35.40,34.10,34.79,311700,33.53
2013-01-21,36.70,36.81,35.62,35.80,181700,34.50
2013-01-18,37.19,37.25,36.59,36.59,94500,35.26
2013-01-17,37.04,37.22,36.74,37.15,91800,35.80
2013-01-16,36.63,37.15,36.00,37.06,129400,35.71
2013-01-15,36.43,36.75,35.85,36.66,195800,35.33
2013-01-14,36.77,37.55,36.38,36.47,85900,35.14
2013-01-11,37.26,37.44,36.00,36.61,160700,35.28
2013-01-10,37.08,37.75,36.73,37.17,215300,35.83
2013-01-09,35.54,37.10,35.54,37.08,330600,35.73
2013-01-08,34.85,35.95,34.67,35.12,205800,33.84
2013-01-07,35.00,35.25,34.60,35.00,165400,33.73
2013-01-04,35.15,35.32,34.78,35.01,237500,33.74
2013-01-03,35.00,35.35,34.67,35.35,117100,34.07
2013-01-02,34.20,35.18,33.94,35.12,189200,33.84
2013-01-01,33.57,33.57,33.57,33.57,000,32.35
2012-12-31,33.65,33.95,33.40,33.57,14100,32.35
2012-12-28,34.52,34.52,33.58,33.70,78300,32.48
2012-12-27,33.95,34.72,33.94,34.51,105200,33.26
2012-12-26,33.71,33.71,33.71,33.71,000,32.48
2012-12-25,33.71,33.71,33.71,33.71,000,32.48
2012-12-24,33.51,34.10,33.32,33.71,38200,32.48
2012-12-21,34.00,34.32,33.50,33.74,187200,32.52
2012-12-20,33.63,34.69,33.62,34.28,122200,33.04
2012-12-19,34.30,34.62,33.55,33.78,187100,32.56
2012-12-18,34.44,34.75,33.76,34.35,136600,33.11
2012-12-17,33.75,35.00,33.67,34.46,252600,33.21
2012-12-14,33.60,34.10,33.44,33.75,162000,32.53
2012-12-13,33.10,34.10,32.90,33.81,274500,32.59
2012-12-12,33.10,33.33,32.76,33.10,190900,31.90
