Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,21.09,21.10,20.56,20.70,38800,20.70
2013-08-19,21.05,21.18,20.90,21.18,89400,21.18
2013-08-16,20.83,21.04,20.78,21.04,58700,21.04
2013-08-15,20.90,20.98,20.80,20.89,36800,20.89
2013-08-14,20.60,20.95,20.60,20.92,103600,20.92
2013-08-13,20.30,20.62,20.30,20.58,52000,20.58
2013-08-12,20.16,20.36,19.97,20.27,108400,20.27
2013-08-09,20.15,20.25,20.00,20.10,62100,20.10
2013-08-08,19.92,20.17,19.79,20.15,48700,20.15
2013-08-07,19.89,19.92,19.72,19.85,47000,19.85
2013-08-06,20.12,20.17,19.85,19.89,78200,19.89
2013-08-05,20.48,20.48,19.95,20.17,74600,20.17
2013-08-02,20.50,20.50,20.25,20.44,34400,20.44
2013-08-01,20.55,20.59,20.42,20.45,36100,20.45
2013-07-31,20.45,20.62,20.21,20.41,47100,20.41
2013-07-30,20.65,20.82,20.46,20.46,52200,20.46
2013-07-29,20.61,20.78,20.56,20.62,97300,20.62
2013-07-26,20.72,20.78,20.60,20.61,40100,20.61
2013-07-25,20.70,20.80,20.42,20.74,46100,20.74
2013-07-24,20.75,20.82,20.60,20.71,77400,20.71
2013-07-23,20.75,20.90,20.64,20.75,66400,20.75
2013-07-22,20.78,20.94,20.68,20.75,71800,20.75
2013-07-19,20.59,21.09,20.44,20.82,125700,20.82
2013-07-18,20.26,20.42,20.13,20.42,23300,20.42
2013-07-17,20.06,20.38,20.06,20.17,23900,20.17
2013-07-16,20.24,20.24,20.03,20.17,42300,20.17
2013-07-15,20.18,20.32,20.00,20.17,39600,20.17
2013-07-12,20.28,20.45,20.14,20.25,48000,20.25
2013-07-11,20.30,20.40,20.10,20.25,45900,20.25
2013-07-10,20.30,20.39,20.07,20.27,26200,20.27
2013-07-09,20.28,20.37,20.03,20.28,102200,20.28
2013-07-08,20.50,20.50,20.13,20.14,56900,20.14
2013-07-05,20.35,20.78,20.23,20.43,120900,20.43
2013-07-04,20.10,20.42,20.00,20.38,91600,20.38
2013-07-03,20.10,20.33,19.96,20.04,57500,20.04
2013-07-02,20.36,20.47,20.10,20.32,63900,20.32
2013-07-01,20.00,20.27,19.85,20.20,61500,20.20
2013-06-28,19.99,20.11,19.62,19.93,64900,19.93
2013-06-27,19.84,19.98,19.49,19.90,55500,19.90
2013-06-26,19.93,19.99,19.50,19.76,68600,19.76
2013-06-25,19.60,19.99,19.54,19.80,71000,19.80
2013-06-24,19.80,19.94,19.35,19.35,108800,19.35
2013-06-21,20.02,20.44,19.72,19.78,137600,19.78
2013-06-20,20.64,20.75,20.12,20.14,94100,20.14
2013-06-19,21.22,21.40,20.96,20.96,107100,20.96
2013-06-18,20.85,21.49,20.60,21.40,117900,21.40
2013-06-17,20.81,20.96,20.69,20.86,61600,20.86
2013-06-14,20.43,21.25,20.34,20.80,195000,20.80
2013-06-13,19.77,20.33,19.58,20.17,134300,20.17
