Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,5.89,5.89,5.75,5.79,684000,5.79
2013-08-19,5.97,5.97,5.87,5.89,393000,5.89
2013-08-16,5.90,5.98,5.88,5.98,469100,5.98
2013-08-15,5.98,5.99,5.85,5.89,371000,5.89
2013-08-14,5.95,6.00,5.93,5.98,413600,5.98
2013-08-13,5.98,5.99,5.91,5.94,479300,5.94
2013-08-12,5.97,5.99,5.94,5.98,478400,5.98
2013-08-09,5.94,5.99,5.88,5.96,527700,5.96
2013-08-08,5.82,5.94,5.82,5.94,457900,5.94
2013-08-07,5.84,5.85,5.72,5.82,660800,5.82
2013-08-06,5.95,5.98,5.81,5.87,731600,5.87
2013-08-05,5.97,6.01,5.92,5.95,877600,5.95
2013-08-02,5.92,5.97,5.91,5.97,801500,5.97
2013-08-01,5.91,5.94,5.89,5.92,822500,5.92
2013-07-31,5.87,5.91,5.85,5.90,847000,5.90
2013-07-30,5.84,5.91,5.79,5.88,812400,5.88
2013-07-29,5.84,5.88,5.80,5.83,816300,5.83
2013-07-26,5.90,5.94,5.84,5.84,531800,5.84
2013-07-25,5.97,5.97,5.85,5.89,628500,5.89
2013-07-24,5.92,5.97,5.89,5.97,678400,5.97
2013-07-23,5.99,6.04,5.91,5.92,548500,5.92
2013-07-22,6.00,6.01,5.97,5.98,679500,5.98
2013-07-19,6.01,6.05,5.97,6.01,801300,6.01
2013-07-18,5.91,6.01,5.91,6.01,815500,6.01
2013-07-17,5.93,5.93,5.80,5.92,629800,5.92
2013-07-16,5.94,5.94,5.89,5.92,482300,5.92
2013-07-15,5.93,5.97,5.89,5.92,410100,5.92
2013-07-12,5.97,6.01,5.86,5.92,1252200,5.92
2013-07-11,5.95,6.00,5.93,5.96,1077800,5.96
2013-07-10,5.84,5.89,5.79,5.89,1790100,5.89
2013-07-09,5.80,5.86,5.79,5.84,1226600,5.84
2013-07-08,5.60,5.85,5.59,5.78,1658800,5.78
2013-07-05,5.67,5.72,5.59,5.60,1756500,5.60
2013-07-04,5.62,5.70,5.61,5.67,575900,5.67
2013-07-03,5.62,5.70,5.55,5.60,811800,5.60
2013-07-02,5.70,5.71,5.58,5.63,1119800,5.63
2013-07-01,5.85,5.90,5.66,5.67,1387800,5.67
2013-06-28,5.82,5.86,5.70,5.84,1854400,5.84
2013-06-27,5.69,5.88,5.63,5.80,1890700,5.80
2013-06-26,5.32,5.72,5.32,5.66,4100100,5.66
2013-06-25,5.16,5.24,5.15,5.22,3271800,5.22
2013-06-24,5.20,5.24,5.08,5.12,3048500,5.12
2013-06-21,5.47,5.50,5.14,5.14,4951800,5.14
2013-06-20,6.10,6.10,5.49,5.49,3823800,5.49
2013-06-19,6.33,6.33,6.24,6.26,812400,6.26
2013-06-18,6.30,6.35,6.25,6.32,698900,6.32
2013-06-17,6.22,6.34,6.21,6.29,1081600,6.29
2013-06-14,6.09,6.18,6.07,6.17,714600,6.17
2013-06-13,6.04,6.09,6.01,6.08,644100,6.08
2013-06-12,6.05,6.12,6.05,6.05,623700,6.05
2013-06-11,6.11,6.13,6.01,6.06,859100,6.06
2013-06-10,6.05,6.11,6.05,6.10,1081300,6.10
2013-06-07,6.03,6.05,5.97,6.05,1124900,6.05
2013-06-06,6.07,6.07,5.98,6.03,1440800,6.03
2013-06-05,6.10,6.18,6.09,6.10,763400,6.10
2013-06-04,6.10,6.13,6.09,6.11,994100,6.11
2013-06-03,6.12,6.14,6.05,6.08,1183600,6.08
2013-05-31,6.26,6.26,6.17,6.22,1612600,6.10
2013-05-30,6.18,6.27,6.15,6.26,880700,6.14
2013-05-29,6.22,6.24,6.18,6.18,782800,6.06
2013-05-28,6.24,6.30,6.23,6.25,1116100,6.13
2013-05-27,6.22,6.25,6.22,6.24,311300,6.12
2013-05-24,6.28,6.29,6.21,6.23,604100,6.11
2013-05-23,6.36,6.37,6.25,6.29,782100,6.17
2013-05-22,6.41,6.43,6.40,6.41,924000,6.29
2013-05-21,6.42,6.43,6.39,6.41,524200,6.28
2013-05-20,6.38,6.43,6.38,6.42,579400,6.30
2013-05-17,6.38,6.39,6.36,6.38,546500,6.26
2013-05-16,6.41,6.43,6.37,6.38,542600,6.26
2013-05-15,6.40,6.43,6.39,6.42,676200,6.30
2013-05-14,6.39,6.42,6.39,6.40,954900,6.28
2013-05-13,6.43,6.45,6.33,6.38,855200,6.26
2013-05-10,6.45,6.45,6.39,6.45,597400,6.32
2013-05-09,6.45,6.46,6.38,6.45,690000,6.33
2013-05-08,6.39,6.45,6.38,6.44,476500,6.32
2013-05-07,6.33,6.40,6.32,6.39,683800,6.26
2013-05-06,6.29,6.34,6.28,6.34,245000,6.21
2013-05-03,6.31,6.32,6.25,6.29,541400,6.17
2013-05-02,6.34,6.36,6.26,6.31,736500,6.19
2013-05-01,6.36,6.36,6.36,6.36,000,6.23
