Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,91.71,91.74,90.23,91.43,22700,91.43
2013-08-19,92.25,92.34,90.88,92.34,24300,92.34
2013-08-16,92.32,92.88,91.28,92.25,44400,92.25
2013-08-15,94.04,94.20,91.61,91.92,24300,91.92
2013-08-14,94.82,95.05,93.54,94.20,34300,94.20
2013-08-13,93.65,95.12,93.65,94.62,36000,94.62
2013-08-12,93.30,93.92,92.85,93.65,21100,93.65
2013-08-09,94.80,94.80,92.88,93.50,24500,93.50
2013-08-08,94.47,95.15,93.75,94.51,75300,94.51
2013-08-07,94.50,94.55,93.62,94.35,27300,94.35
2013-08-06,94.05,95.00,94.05,94.72,46600,94.72
2013-08-05,93.35,94.62,92.78,94.32,36400,94.32
2013-08-02,94.30,94.56,93.01,93.28,25700,93.28
2013-08-01,92.49,94.30,91.60,94.30,53900,94.30
2013-07-31,92.70,92.78,91.69,92.22,34400,92.22
2013-07-30,92.46,93.50,92.05,92.95,38600,92.95
2013-07-29,92.46,92.60,91.82,92.22,21300,92.22
2013-07-26,92.75,93.21,92.28,92.63,23000,92.63
2013-07-25,92.60,93.30,92.00,92.88,25500,92.88
2013-07-24,92.32,93.83,92.24,93.29,47400,93.29
2013-07-23,92.88,93.40,91.98,92.90,29800,92.90
2013-07-22,92.11,93.08,92.08,92.80,28600,92.80
2013-07-19,92.03,92.83,91.93,92.10,24900,92.10
2013-07-18,90.87,92.75,90.72,92.73,44500,92.73
2013-07-17,91.06,91.63,89.77,91.31,36600,91.31
2013-07-16,91.39,91.93,91.12,91.25,38400,91.25
2013-07-15,90.30,91.80,90.20,91.57,40200,91.57
2013-07-12,91.24,91.77,90.05,90.50,25100,90.50
2013-07-11,89.96,91.28,89.63,90.96,33200,90.96
2013-07-10,89.18,89.59,87.75,89.13,31300,89.13
2013-07-09,89.00,89.96,88.75,89.47,29100,89.47
2013-07-08,87.00,89.22,86.92,88.54,28100,88.54
2013-07-05,88.21,88.86,86.19,86.91,48500,86.91
2013-07-04,86.49,88.16,85.79,87.64,26300,87.64
2013-07-03,85.30,87.38,85.28,86.67,66900,86.67
2013-07-02,85.50,88.24,85.50,87.81,85100,87.81
2013-07-01,85.99,86.31,84.15,85.50,124300,85.50
2013-06-28,85.82,86.60,84.89,84.98,81800,84.98
2013-06-27,85.42,85.75,84.73,85.35,53100,85.35
2013-06-26,82.71,86.02,82.71,85.49,102200,85.49
2013-06-25,84.73,85.41,82.75,84.65,74300,84.65
2013-06-24,87.72,87.85,84.41,84.41,52900,84.41
2013-06-21,89.86,90.32,87.85,87.85,63800,87.85
2013-06-20,90.88,90.88,89.10,89.71,54700,89.71
2013-06-19,91.42,92.07,90.19,91.11,34400,91.11
2013-06-18,91.01,91.55,90.29,91.55,37600,91.55
2013-06-17,90.53,91.32,90.22,91.30,32900,91.30
2013-06-14,87.40,90.36,86.82,90.01,50100,90.01
2013-06-13,87.93,87.93,85.40,86.50,168900,86.50
2013-06-12,88.36,88.97,88.15,88.33,83400,88.33
2013-06-11,91.46,91.65,88.36,88.75,58800,88.75
2013-06-10,92.15,93.33,91.67,92.26,18200,92.26
2013-06-07,92.52,93.39,91.29,93.00,35700,93.00
2013-06-06,93.15,94.02,92.08,92.08,42100,92.08
2013-06-05,93.50,94.49,93.50,93.80,26900,93.80
2013-06-04,94.90,95.29,92.86,94.23,42700,94.23
2013-06-03,94.10,95.41,92.88,94.43,44900,94.43
2013-05-31,94.55,95.73,93.03,94.33,69000,94.33
2013-05-30,95.52,95.86,94.16,94.52,38200,94.52
2013-05-29,95.40,95.72,94.80,95.40,40500,95.40
2013-05-28,95.98,96.81,95.44,95.44,44700,95.44
2013-05-27,95.05,96.38,95.05,96.28,10200,96.28
2013-05-24,95.47,95.50,94.38,95.45,25800,95.45
2013-05-23,95.59,96.25,94.22,94.89,62000,94.89
2013-05-22,99.68,99.78,97.60,98.19,27300,98.19
2013-05-21,98.56,99.96,98.25,99.68,47300,99.68
2013-05-20,97.99,99.28,97.75,98.94,19500,98.94
2013-05-17,96.00,97.98,95.62,97.98,38300,97.98
2013-05-16,96.68,98.26,96.38,97.73,54700,97.73
2013-05-15,96.02,97.57,95.79,97.36,38800,97.36
2013-05-14,95.99,96.37,95.52,96.37,36600,96.37
2013-05-13,96.49,96.75,95.03,96.04,43000,96.04
2013-05-10,95.49,96.90,95.10,96.70,33600,96.70
2013-05-09,96.15,96.15,95.35,95.66,13300,95.66
2013-05-08,94.61,96.17,94.22,96.17,43400,96.17
2013-05-07,93.85,94.95,93.83,94.90,27800,94.90
2013-05-06,93.73,94.75,93.05,94.28,30600,94.28
2013-05-03,92.24,93.40,91.21,93.40,46200,93.40
2013-05-02,91.00,92.17,90.61,92.17,44900,92.17
2013-05-01,91.31,91.31,91.31,91.31,000,91.31
2013-04-30,90.29,91.31,90.28,91.31,69400,91.31
2013-04-29,89.27,90.38,89.27,89.94,27200,89.94
2013-04-26,89.04,89.57,88.09,89.04,33500,89.04
2013-04-25,90.00,90.84,89.12,89.89,48600,89.89
2013-04-24,92.32,93.50,91.60,93.50,36400,89.10
2013-04-23,91.51,91.99,90.19,91.99,69500,87.66
2013-04-22,89.11,93.10,88.47,91.06,68400,86.77
2013-04-19,90.29,90.52,88.11,88.20,58400,84.05
2013-04-18,90.04,90.42,89.12,89.47,33400,85.26
2013-04-17,90.43,90.63,89.03,89.16,26300,84.96
2013-04-16,90.16,90.53,89.96,90.01,49800,85.77
2013-04-15,92.17,92.17,90.41,90.51,29200,86.25
2013-04-12,91.16,92.40,91.03,92.19,33200,87.85
2013-04-11,91.36,92.68,90.30,91.96,49900,87.63
2013-04-10,89.67,91.36,89.67,91.36,56500,87.06
2013-04-09,89.50,90.04,88.84,89.58,41400,85.36
2013-04-08,89.49,89.49,88.04,89.09,42900,84.90
2013-04-05,89.86,90.29,88.48,88.90,55200,84.72
2013-04-04,88.50,90.07,88.50,90.07,122600,85.83
2013-04-03,91.00,92.50,90.83,90.90,88000,86.62
2013-04-02,90.27,91.25,90.20,91.08,68800,86.79
2013-04-01,90.52,90.52,90.52,90.52,000,86.26
2013-03-29,90.52,90.52,90.52,90.52,000,86.26
2013-03-28,88.28,90.53,88.04,90.52,56100,86.26
2013-03-27,89.30,89.37,88.00,88.57,36300,84.40
2013-03-26,89.99,89.99,88.79,89.27,62700,85.07
2013-03-25,89.95,90.46,89.38,89.67,31700,85.45
2013-03-22,88.45,89.90,88.35,89.35,19900,85.15
2013-03-21,88.94,89.09,88.20,88.54,39700,84.37
2013-03-20,88.56,90.00,88.56,89.09,39400,84.90
2013-03-19,89.71,89.71,88.34,88.48,48700,84.32
2013-03-18,87.57,89.93,87.57,89.63,63900,85.41
2013-03-15,89.54,89.99,88.52,89.39,97800,85.18
2013-03-14,87.35,89.90,87.18,89.43,56600,85.22
2013-03-13,86.63,87.37,86.45,87.35,31400,83.24
2013-03-12,87.56,87.61,86.31,86.62,27200,82.54
2013-03-11,87.98,88.50,87.40,87.43,14200,83.32
2013-03-08,87.44,88.82,87.40,88.26,32300,84.11
2013-03-07,87.60,88.50,87.14,87.24,25600,83.13
2013-03-06,88.50,89.42,87.80,87.80,64900,83.67
2013-03-05,87.00,88.03,86.89,88.00,31100,83.86
2013-03-04,86.00,86.98,85.66,86.76,53200,82.68
2013-03-01,86.43,86.85,85.81,86.12,26700,82.07
2013-02-28,85.95,86.95,85.36,86.95,49900,82.86
2013-02-27,84.56,85.61,83.90,85.40,28400,81.38
2013-02-26,83.50,84.93,83.50,84.31,52800,80.34
2013-02-25,85.67,86.15,84.55,84.94,36600,80.94
2013-02-22,86.30,87.00,85.23,86.00,23300,81.95
2013-02-21,86.02,86.30,85.20,85.41,43500,81.39
2013-02-20,86.50,86.84,85.80,86.25,29900,82.19
2013-02-19,86.00,87.22,86.00,86.48,23400,82.41
2013-02-18,85.20,86.60,85.20,85.69,24400,81.66
2013-02-15,85.18,86.00,84.99,85.63,19400,81.60
2013-02-14,85.57,86.00,84.76,85.13,21300,81.12
2013-02-13,85.00,86.77,84.75,85.54,44600,81.51
2013-02-12,83.24,84.83,82.64,84.83,43100,80.84
2013-02-11,83.65,84.26,83.00,83.06,14200,79.15
2013-02-08,82.60,84.27,82.60,83.80,28300,79.86
2013-02-07,83.73,84.47,82.50,82.50,32300,78.62
2013-02-06,84.79,85.44,83.56,83.56,64800,79.63
2013-02-05,83.01,85.00,83.01,84.96,39400,80.96
2013-02-04,84.42,84.44,82.95,83.56,61000,79.63
2013-02-01,83.40,84.50,82.90,84.45,105500,80.48
2013-01-31,85.00,85.00,83.20,83.50,71000,79.57
2013-01-30,85.92,85.92,85.00,85.31,31000,81.30
2013-01-29,86.40,86.73,85.54,85.71,55000,81.68
2013-01-28,86.85,87.13,86.24,86.50,26400,82.43
2013-01-25,86.94,87.65,86.39,87.00,38800,82.91
2013-01-24,86.39,87.37,86.32,87.27,26400,83.16
2013-01-23,87.03,87.20,86.06,87.10,26900,83.00
2013-01-22,87.65,88.05,86.50,87.16,28900,83.06
2013-01-21,89.32,89.90,87.85,87.85,29400,83.72
2013-01-18,87.68,89.22,87.43,89.22,75000,85.02
2013-01-17,87.55,88.20,87.02,88.20,26800,84.05
2013-01-16,87.75,88.28,87.45,87.71,37400,83.58
2013-01-15,87.06,88.16,87.02,88.00,46900,83.86
2013-01-14,86.64,87.74,86.06,87.23,33100,83.13
2013-01-11,86.57,86.89,86.20,86.37,34000,82.31
2013-01-10,87.49,87.49,85.88,86.19,44000,82.13
2013-01-09,87.23,88.05,86.50,87.29,64100,83.18
2013-01-08,86.67,87.25,86.34,87.10,26100,83.00
2013-01-07,86.89,87.38,86.23,86.85,31000,82.76
2013-01-04,86.35,87.42,85.96,87.42,38100,83.31
2013-01-03,86.06,87.27,86.01,86.60,30000,82.52
2013-01-02,86.00,86.32,85.29,86.32,40100,82.26
2013-01-01,84.90,84.90,84.90,84.90,000,80.90
2012-12-31,85.10,85.25,84.68,84.90,10100,80.90
2012-12-28,86.97,86.97,85.28,85.44,18200,81.42
2012-12-27,85.02,87.09,85.02,86.82,17500,82.73
2012-12-26,85.64,85.64,85.64,85.64,000,81.61
2012-12-25,85.64,85.64,85.64,85.64,000,81.61
2012-12-24,87.41,87.41,85.62,85.64,4700,81.61
2012-12-21,87.50,88.10,85.25,85.25,142600,81.24
2012-12-20,87.22,87.70,87.14,87.58,37100,83.46
2012-12-19,86.41,88.81,86.12,87.99,49400,83.85
2012-12-18,86.60,86.75,86.19,86.40,30900,82.33
2012-12-17,86.60,86.60,85.59,86.43,33700,82.36
2012-12-14,86.35,87.36,86.35,86.68,25700,82.60
2012-12-13,87.35,87.41,86.01,86.40,35900,82.33
2012-12-12,87.31,87.35,86.52,87.30,28500,83.19
2012-12-11,86.80,87.68,86.70,87.18,47300,83.08
2012-12-10,86.00,86.78,85.15,86.78,47700,82.70
2012-12-07,85.25,86.27,85.23,86.15,31000,82.10
2012-12-06,84.42,85.27,84.31,85.25,74300,81.24
2012-12-05,84.38,84.63,83.87,84.37,49000,80.40
2012-12-04,84.51,85.00,83.83,84.20,55200,80.24
2012-12-03,85.04,85.90,84.42,84.74,50900,80.75
2012-11-30,84.91,86.31,84.06,84.99,2073500,80.99
2012-11-29,87.65,89.25,86.89,88.69,62800,84.52
2012-11-28,86.47,87.36,86.35,86.71,28400,82.63
2012-11-27,86.12,87.79,86.12,86.80,32700,82.72
2012-11-26,86.00,86.41,85.21,85.91,21300,81.87
2012-11-23,85.42,86.60,85.42,86.30,24800,82.24
2012-11-22,85.05,85.81,84.71,85.81,11200,81.77
2012-11-21,84.07,85.48,83.98,84.86,20700,80.87
2012-11-20,83.67,84.66,83.43,84.46,19500,80.49
2012-11-19,82.97,84.03,82.71,84.03,26500,80.08
2012-11-16,84.75,85.00,82.54,82.96,34100,79.06
2012-11-15,85.87,85.87,84.71,84.95,46500,80.95
2012-11-14,87.21,87.21,85.87,86.30,24700,82.24
2012-11-13,85.65,86.93,85.24,86.93,26100,82.84
2012-11-12,86.69,86.74,85.68,85.99,26200,81.94
2012-11-09,86.72,86.72,85.35,86.01,29700,81.96
2012-11-08,86.94,86.95,86.00,86.40,92900,82.33
2012-11-07,85.82,86.65,85.82,86.65,45300,82.57
2012-11-06,84.89,85.44,84.70,85.10,28500,81.10
2012-11-05,85.35,85.80,84.53,84.91,35000,80.91
2012-11-02,85.88,86.47,85.77,86.47,26400,82.40
2012-11-01,85.07,86.00,85.07,86.00,27600,81.95
2012-10-31,85.22,85.50,84.53,85.44,50300,81.42
2012-10-30,84.02,85.10,83.76,85.10,17000,81.10
2012-10-29,84.04,84.19,83.50,83.83,15400,79.89
2012-10-26,83.35,84.77,83.26,83.92,26800,79.97
2012-10-25,82.06,84.38,82.06,84.38,31700,80.41
2012-10-24,82.78,83.19,81.97,82.40,30300,78.52
2012-10-23,85.00,85.00,83.00,83.00,34300,79.09
2012-10-22,85.50,85.80,84.92,84.99,90400,80.99
2012-10-19,82.97,86.22,82.71,85.80,55400,81.76
2012-10-18,82.21,84.55,81.77,83.30,62600,79.38
2012-10-17,81.69,82.01,81.20,81.67,37400,77.83
2012-10-16,79.25,80.60,79.14,80.60,40000,76.81
2012-10-15,77.70,78.71,77.70,78.59,17600,74.89
2012-10-12,77.85,78.23,77.24,77.80,23300,74.14
2012-10-11,77.70,78.04,77.18,77.96,23200,74.29
2012-10-10,77.00,77.88,76.76,77.88,33100,74.22
2012-10-09,76.73,77.76,76.37,77.30,49600,73.66
2012-10-08,76.00,76.71,76.00,76.63,18600,73.02
2012-10-05,76.38,77.27,76.09,76.56,40600,72.96
2012-10-04,76.62,77.08,75.90,76.10,77400,72.52
2012-10-03,80.15,80.44,75.87,76.98,169800,73.36
2012-10-02,79.85,81.00,79.85,80.71,17800,76.91
2012-10-01,79.63,80.38,79.63,80.16,34900,76.39
2012-09-28,80.51,81.45,79.65,79.66,52500,75.91
2012-09-27,78.89,80.21,78.60,80.00,485600,76.24
2012-09-26,80.87,81.25,79.63,80.65,34200,76.85
