Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,16.77,16.81,16.41,16.55,4133100,15.72
2013-08-19,17.07,17.10,16.77,16.85,2113100,16.01
2013-08-16,16.98,17.11,16.88,17.06,3536200,16.20
2013-08-15,16.97,17.03,16.76,16.97,2016500,16.12
2013-08-14,16.99,17.07,16.90,17.07,2597300,16.21
2013-08-13,17.00,17.01,16.84,17.00,2491500,16.15
2013-08-12,17.05,17.09,16.82,16.92,5145300,16.07
2013-08-09,17.47,17.47,17.11,17.13,6826200,16.27
2013-08-08,17.18,17.43,17.03,17.24,5361600,16.38
2013-08-07,16.68,17.20,16.63,17.11,6277600,16.26
2013-08-06,16.87,16.88,16.50,16.65,4151700,15.81
2013-08-05,16.98,17.02,16.83,16.90,3989800,16.05
2013-08-02,16.80,17.00,16.68,16.95,5911200,16.10
2013-08-01,16.26,16.75,16.20,16.61,10216200,15.78
2013-07-31,15.64,15.82,15.58,15.77,4638600,14.98
2013-07-30,15.90,16.00,15.83,15.85,3617200,15.06
2013-07-29,16.17,16.25,15.69,15.82,4981800,15.03
2013-07-26,16.19,16.27,16.12,16.14,2794300,15.33
2013-07-25,16.10,16.12,15.86,16.09,3793100,15.29
2013-07-24,15.95,16.09,15.93,16.05,3746200,15.24
2013-07-23,15.84,15.99,15.78,15.83,3345100,15.04
2013-07-22,15.74,15.86,15.64,15.74,2242000,14.95
2013-07-19,15.58,15.74,15.52,15.69,3196900,14.91
2013-07-18,15.38,15.60,15.30,15.59,3230900,14.80
2013-07-17,15.42,15.55,15.31,15.45,3084600,14.68
2013-07-16,15.42,15.43,15.26,15.34,2075400,14.57
2013-07-15,15.38,15.51,15.26,15.40,1793200,14.62
2013-07-12,15.52,15.59,15.24,15.31,3272300,14.55
2013-07-11,15.40,15.56,15.38,15.48,3686300,14.70
2013-07-10,15.36,15.40,15.14,15.23,3903400,14.46
2013-07-09,15.33,15.47,15.28,15.34,4423600,14.57
2013-07-08,15.14,15.39,15.10,15.34,3372600,14.57
