Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,63.43,63.43,63.43,63.43,000,63.43
2013-08-19,63.43,63.43,63.43,63.43,000,63.43
2013-08-16,63.43,63.43,63.43,63.43,000,63.43
2013-08-15,63.43,63.43,63.43,63.43,000,63.43
2013-08-14,63.43,63.43,63.43,63.43,000,63.43
2013-08-13,63.43,63.43,63.43,63.43,000,63.43
2013-08-12,63.43,63.43,63.43,63.43,000,63.43
2013-08-09,63.43,63.43,63.43,63.43,000,63.43
2013-08-08,63.43,63.43,63.43,63.43,000,63.43
2013-08-07,63.43,63.43,63.43,63.43,000,63.43
2013-08-06,63.43,63.43,63.43,63.43,000,63.43
2013-08-05,63.43,63.43,63.43,63.43,000,63.43
2013-08-02,63.43,63.43,63.43,63.43,000,63.43
2013-08-01,63.43,63.43,63.43,63.43,000,63.43
2013-07-31,63.43,63.43,63.43,63.43,000,63.43
2013-07-30,63.43,63.43,63.43,63.43,000,63.43
2013-07-29,63.43,63.43,63.43,63.43,000,63.43
2013-07-26,63.43,63.43,63.43,63.43,000,63.43
2013-07-25,63.43,63.43,63.43,63.43,000,63.43
2013-07-24,63.43,63.43,63.43,63.43,000,63.43
2013-07-23,63.43,63.43,63.43,63.43,000,63.43
2013-07-22,63.43,63.43,63.43,63.43,000,63.43
2013-07-19,63.43,63.43,63.43,63.43,000,63.43
2013-07-18,63.43,63.43,63.43,63.43,000,63.43
2013-07-17,63.43,63.43,63.43,63.43,000,63.43
2013-07-16,63.43,63.43,63.43,63.43,000,63.43
2013-07-15,63.43,63.43,63.43,63.43,000,63.43
2013-07-12,63.43,63.43,63.43,63.43,000,63.43
2013-07-11,63.43,63.43,63.43,63.43,000,63.43
2013-07-10,63.43,63.43,63.43,63.43,000,63.43
2013-07-09,63.43,63.43,63.43,63.43,000,63.43
2013-07-08,63.43,63.43,63.43,63.43,000,63.43
2013-07-05,63.43,63.43,63.43,63.43,000,63.43
2013-07-04,63.43,63.43,63.43,63.43,000,63.43
2013-07-03,63.43,63.43,63.43,63.43,000,63.43
2013-07-02,63.43,63.43,63.43,63.43,000,63.43
2013-07-01,63.43,63.43,63.43,63.43,000,63.43
2013-06-28,63.43,63.43,63.43,63.43,000,63.43
2013-06-27,63.43,63.43,63.43,63.43,000,63.43
2013-06-26,63.43,63.43,63.43,63.43,000,63.43
2013-06-25,63.43,63.43,63.43,63.43,000,63.43
2013-06-24,63.43,63.43,63.43,63.43,000,63.43
2013-06-21,63.43,63.43,63.43,63.43,000,63.43
2013-06-20,63.43,63.43,63.43,63.43,000,63.43
2013-06-19,63.43,63.43,63.43,63.43,000,63.43
2013-06-18,63.43,63.43,63.43,63.43,000,63.43
2013-06-17,63.43,63.43,63.43,63.43,000,63.43
2013-06-14,63.43,63.43,63.43,63.43,000,63.43
2013-06-13,63.43,63.43,63.43,63.43,000,63.43
2013-06-12,63.43,63.43,63.43,63.43,000,63.43
2013-06-11,63.43,63.43,63.43,63.43,000,63.43
2013-06-10,63.43,63.43,63.43,63.43,000,63.43
2013-06-07,63.43,63.43,63.43,63.43,000,63.43
2013-06-06,63.43,63.43,63.43,63.43,000,63.43
2013-06-05,63.43,63.43,63.43,63.43,000,63.43
2013-06-04,63.43,63.43,63.43,63.43,000,63.43
2013-06-03,63.43,63.43,63.43,63.43,000,63.43
2013-05-31,63.43,63.43,63.43,63.43,000,63.43
2013-05-30,63.43,63.43,63.43,63.43,000,63.43
2013-05-29,63.43,63.43,63.43,63.43,000,63.43
2013-05-28,63.43,63.43,63.43,63.43,000,63.43
2013-05-27,63.43,63.43,63.43,63.43,000,63.43
2013-05-24,63.43,63.43,63.43,63.43,000,63.14
2013-05-23,63.43,63.43,63.43,63.43,000,63.14
2013-05-22,63.43,63.43,63.43,63.43,000,63.14
2013-05-21,63.43,63.43,63.43,63.43,000,63.14
2013-05-20,63.43,63.43,63.43,63.43,000,63.14
2013-05-17,63.43,63.43,63.43,63.43,000,63.14
2013-05-16,63.43,63.43,63.43,63.43,000,63.14
2013-05-15,63.43,63.43,63.43,63.43,000,63.14
2013-05-14,63.43,63.43,63.43,63.43,000,63.14
2013-05-13,63.43,63.43,63.43,63.43,000,63.14
2013-05-10,63.43,63.43,63.43,63.43,000,63.14
2013-05-09,63.43,63.43,63.43,63.43,000,63.14
2013-05-08,63.43,63.43,63.43,63.43,000,63.14
2013-05-07,63.43,63.43,63.43,63.43,000,63.14
2013-05-06,63.43,63.43,63.43,63.43,000,63.14
2013-05-03,63.43,63.43,63.43,63.43,000,63.14
2013-05-02,63.43,63.43,63.43,63.43,000,63.14
2013-05-01,63.43,63.43,63.43,63.43,000,63.14
2013-04-30,63.43,63.43,63.43,63.43,000,63.14
2013-04-29,64.51,64.85,63.43,63.43,356300,63.14
2013-04-26,64.50,66.20,63.91,64.20,560900,63.91
2013-04-25,61.67,63.55,61.22,63.24,941000,62.95
2013-04-24,63.73,63.73,62.92,63.47,582900,63.18
2013-04-23,60.28,63.58,60.23,63.47,822200,63.18
2013-04-22,60.78,61.70,59.99,60.19,1026100,59.92
2013-04-19,61.71,62.00,59.67,60.74,1198000,60.46
2013-04-18,65.00,65.01,61.29,61.98,936400,61.70
2013-04-17,65.87,67.21,64.90,64.90,560800,64.60
2013-04-16,67.08,67.34,65.10,65.35,613300,65.05
2013-04-15,66.91,67.75,66.70,67.49,514100,67.18
2013-04-12,67.45,67.68,66.60,66.77,417000,66.47
2013-04-11,67.21,67.80,67.17,67.25,403200,66.94
2013-04-10,67.25,67.37,66.87,67.16,296800,66.85
2013-04-09,67.01,67.33,66.90,67.02,361300,66.71
2013-04-08,66.65,67.05,66.60,66.98,365200,66.67
2013-04-05,67.21,67.21,66.10,66.63,581700,66.33
2013-04-04,68.09,68.09,66.44,67.00,667300,66.69
2013-04-03,67.78,68.18,67.60,67.85,475800,67.54
2013-04-02,67.84,67.95,67.23,67.74,508700,67.43
2013-04-01,68.05,68.05,68.05,68.05,000,67.74
2013-03-29,68.05,68.05,68.05,68.05,000,67.74
2013-03-28,67.74,68.46,67.42,68.05,501600,67.74
2013-03-27,69.10,69.17,67.01,67.65,607300,67.34
2013-03-26,69.00,69.60,68.35,69.06,501800,68.75
2013-03-25,70.20,71.13,69.10,69.10,376000,68.79
2013-03-22,69.30,69.40,68.75,69.13,417400,68.82
2013-03-21,70.02,70.07,68.90,69.30,670100,68.98
2013-03-20,70.49,70.84,69.90,70.00,352100,69.68
2013-03-19,70.39,70.49,69.95,70.06,380400,69.74
2013-03-18,70.03,70.48,69.00,70.24,374000,69.92
2013-03-15,70.93,71.47,69.78,70.07,529400,69.75
2013-03-14,70.00,72.88,69.90,71.58,1136100,71.25
2013-03-13,72.50,73.45,71.36,72.15,447200,71.82
2013-03-12,72.31,73.03,72.31,72.68,462100,72.35
2013-03-11,72.24,73.13,72.24,72.81,261000,72.48
2013-03-08,72.81,72.85,71.86,72.18,309900,71.85
2013-03-07,74.09,74.17,72.37,72.75,358500,72.42
2013-03-06,73.00,74.08,72.77,74.00,385100,73.66
2013-03-05,70.29,72.93,70.17,72.81,422200,72.48
2013-03-04,69.72,70.21,69.50,69.94,173900,69.62
2013-03-01,68.65,70.16,68.19,69.95,430900,69.63
2013-02-28,69.71,70.17,69.52,69.74,282200,69.42
2013-02-27,68.70,69.94,68.03,69.60,288500,69.28
2013-02-26,67.92,68.80,67.65,68.38,348900,68.07
2013-02-25,68.34,69.74,67.96,69.11,445800,68.80
2013-02-22,68.29,68.32,67.60,68.18,373400,67.87
2013-02-21,69.49,69.62,66.72,67.90,479700,67.59
2013-02-20,70.59,70.59,69.49,69.69,283100,69.37
2013-02-19,70.46,70.90,69.88,70.38,317600,70.06
2013-02-18,69.86,70.29,69.01,70.29,216400,69.97
2013-02-15,69.74,69.92,69.00,69.83,301400,69.51
2013-02-14,68.11,69.64,67.94,69.48,466400,69.16
2013-02-13,66.50,68.01,65.97,67.97,342900,67.66
2013-02-12,65.70,66.40,65.49,65.90,269000,65.60
2013-02-11,66.40,66.69,65.55,65.70,227000,65.40
2013-02-08,66.70,67.24,66.49,66.67,216800,66.37
2013-02-07,67.49,67.58,66.86,66.86,208600,66.56
2013-02-06,67.97,68.06,66.44,67.18,391000,66.87
2013-02-05,68.55,69.29,67.50,67.84,471400,67.53
2013-02-04,68.07,68.64,67.90,68.26,462300,67.95
2013-02-01,65.78,68.52,65.75,67.84,657800,67.53
2013-01-31,65.25,65.90,65.18,65.58,611800,65.28
2013-01-30,64.47,65.37,64.17,65.09,407100,64.79
2013-01-29,64.67,64.75,62.88,64.67,752300,64.38
2013-01-28,65.32,65.71,64.43,64.57,617900,64.28
2013-01-25,66.02,66.26,65.00,65.04,489900,64.74
2013-01-24,66.38,66.48,65.21,65.87,497800,65.57
2013-01-23,65.85,66.28,65.30,66.24,466300,65.94
2013-01-22,66.68,66.88,65.25,65.44,454000,65.14
2013-01-21,67.00,67.13,66.45,66.75,304100,66.45
2013-01-18,69.50,69.50,66.77,66.86,588400,66.56
2013-01-17,67.82,69.21,67.56,69.16,460400,68.84
2013-01-16,65.70,68.48,65.67,68.15,829300,67.84
2013-01-15,66.08,66.29,65.27,65.44,420700,65.14
2013-01-14,65.88,66.27,65.35,66.09,523100,65.79
2013-01-11,67.00,67.29,65.25,65.49,754700,65.19
2013-01-10,68.20,68.85,65.51,66.45,984600,66.15
2013-01-09,70.68,70.86,69.51,69.67,349200,69.35
2013-01-08,69.97,71.55,69.97,70.30,306000,69.98
2013-01-07,71.20,71.33,69.81,70.30,477000,69.98
2013-01-04,69.80,71.39,69.73,71.39,448500,71.06
2013-01-03,68.90,70.19,68.57,69.64,312700,69.32
2013-01-02,68.50,69.61,68.46,68.80,360800,68.49
2013-01-01,68.00,68.00,68.00,68.00,000,67.69
2012-12-31,67.80,68.10,67.38,68.00,153000,67.69
2012-12-28,68.89,68.99,67.85,67.99,213100,67.68
2012-12-27,68.62,69.10,67.93,68.62,322600,68.31
2012-12-26,68.40,68.40,68.40,68.40,000,68.09
2012-12-25,68.40,68.40,68.40,68.40,000,68.09
2012-12-24,70.00,70.00,68.10,68.40,253000,68.09
2012-12-21,70.52,70.84,69.50,70.07,2534200,69.75
2012-12-20,70.98,71.33,70.44,70.61,384900,70.29
2012-12-19,69.84,72.00,69.77,70.75,555500,70.43
2012-12-18,70.01,70.25,69.14,69.14,470400,68.82
2012-12-17,72.36,72.56,69.51,69.62,546400,69.30
2012-12-14,72.77,73.09,71.59,72.59,441700,72.26
2012-12-13,75.29,75.30,69.41,72.59,1090300,72.26
2012-12-12,73.98,75.00,73.78,75.00,376300,74.66
2012-12-11,73.93,73.99,73.42,73.70,352900,73.36
2012-12-10,74.97,75.95,73.92,74.12,553100,73.78
2012-12-07,74.25,75.39,74.20,74.59,701500,74.25
2012-12-06,72.60,74.25,72.60,74.00,382900,73.66
2012-12-05,72.19,72.43,71.52,72.27,298400,71.94
2012-12-04,71.75,72.34,71.43,71.95,283400,71.62
2012-12-03,70.94,71.31,70.39,71.26,295600,70.94
2012-11-30,70.28,71.01,70.14,70.70,325200,70.38
2012-11-29,71.84,71.84,68.86,70.30,589300,69.98
2012-11-28,71.31,72.40,70.99,72.30,212900,71.97
2012-11-27,70.79,71.78,70.65,71.67,237100,71.34
2012-11-26,71.00,71.35,70.31,70.50,133400,70.18
2012-11-23,70.56,71.15,69.92,71.15,142900,70.83
2012-11-22,69.39,70.75,69.34,70.53,156600,70.21
2012-11-21,69.34,69.92,69.05,69.08,180900,68.77
2012-11-20,69.59,69.64,68.85,69.34,319000,69.02
2012-11-19,70.34,70.50,69.37,69.58,252900,69.26
2012-11-16,70.48,71.31,69.73,69.73,279500,69.41
2012-11-15,70.98,70.98,69.76,70.45,267100,70.13
2012-11-14,71.50,72.75,71.01,71.30,369600,70.98
2012-11-13,69.02,71.53,69.02,71.53,367700,71.20
2012-11-12,70.00,70.00,68.85,69.08,207700,68.77
2012-11-09,69.93,71.48,69.24,69.80,320600,69.48
2012-11-08,69.52,70.01,69.35,69.78,239400,69.46
2012-11-07,70.00,70.00,69.06,69.30,330600,68.98
2012-11-06,69.91,69.92,69.20,69.82,211900,69.50
2012-11-05,69.50,69.67,68.71,69.53,255300,69.21
2012-11-02,68.18,70.00,68.18,69.76,288700,69.44
2012-11-01,69.58,69.91,68.27,68.47,324900,68.16
2012-10-31,69.58,70.09,69.28,69.62,327000,69.30
2012-10-30,69.59,70.05,69.51,69.79,175200,69.47
2012-10-29,69.79,70.50,69.59,69.82,495800,69.50
2012-10-26,68.87,70.00,68.30,69.69,320800,69.37
2012-10-25,70.00,71.00,68.63,69.00,888000,68.69
2012-10-24,65.43,67.56,65.21,66.90,516700,66.60
2012-10-23,64.75,65.95,64.52,65.00,347800,64.70
2012-10-22,65.31,65.35,64.40,64.72,308800,64.43
2012-10-19,65.49,65.85,64.67,65.38,338900,65.08
2012-10-18,65.66,65.76,63.45,65.67,725900,65.37
2012-10-17,68.34,68.34,65.05,65.57,499100,65.27
2012-10-16,67.14,68.31,67.14,68.31,252000,68.00
2012-10-15,65.34,67.38,65.34,67.25,301900,66.94
2012-10-12,65.58,65.97,64.85,65.28,339200,64.98
2012-10-11,65.50,66.06,65.16,65.70,438500,65.40
2012-10-10,66.67,66.70,65.21,65.67,354200,65.37
2012-10-09,69.00,69.03,67.00,67.00,329700,66.69
2012-10-08,69.35,69.47,68.51,68.67,129200,68.36
2012-10-05,68.84,69.56,68.50,69.25,192300,68.93
2012-10-04,69.19,69.27,67.68,68.53,244600,68.22
2012-10-03,69.60,69.60,68.35,68.65,257800,68.34
2012-10-02,69.20,70.00,68.66,69.65,224700,69.33
2012-10-01,68.00,69.80,67.95,69.48,290400,69.16
2012-09-28,68.64,68.87,68.15,68.45,307900,68.14
2012-09-27,68.75,68.94,68.33,68.55,336100,68.24
2012-09-26,68.65,69.03,68.10,68.95,313200,68.64
2012-09-25,68.64,69.77,68.43,69.60,281100,69.28
2012-09-24,69.11,69.47,68.06,68.61,271100,68.30
2012-09-21,70.47,70.63,68.82,69.42,531100,69.10
2012-09-20,69.37,70.27,68.74,70.27,394800,69.95
2012-09-19,68.39,69.20,68.34,69.02,318300,68.71
2012-09-18,68.00,68.75,67.47,68.17,353800,67.86
2012-09-17,68.32,68.72,67.66,68.33,356100,68.02
2012-09-14,67.00,68.23,66.36,68.12,399900,67.81
2012-09-13,63.99,66.32,62.48,66.00,767400,65.70
2012-09-12,63.74,64.72,63.23,64.37,311600,64.08
2012-09-11,63.18,64.32,62.64,63.63,362600,63.34
2012-09-10,63.50,63.70,62.50,62.98,319200,62.69
2012-09-07,64.37,64.68,63.19,63.42,340300,63.13
2012-09-06,63.60,64.48,63.34,64.36,298800,64.07
2012-09-05,62.68,64.13,62.68,63.92,480200,63.63
2012-09-04,64.00,64.28,62.90,63.20,323500,62.91
2012-09-03,63.05,64.69,63.00,64.24,300200,63.95
2012-08-31,63.00,63.65,62.00,63.01,600400,62.72
2012-08-30,62.50,64.82,61.25,62.41,709500,62.13
2012-08-29,59.29,59.45,58.98,59.45,255800,59.18
2012-08-28,59.01,59.46,58.92,59.14,255800,58.87
2012-08-27,59.15,59.41,58.77,59.41,150000,59.14
2012-08-24,59.02,59.43,58.71,59.00,297200,58.73
2012-08-23,59.26,59.84,58.89,59.01,294200,58.74
2012-08-22,58.93,58.93,58.30,58.53,347600,58.26
2012-08-21,57.86,59.11,57.25,58.73,564800,58.46
2012-08-20,57.74,58.02,57.44,57.80,213400,57.54
2012-08-17,57.49,58.08,56.58,57.74,388100,57.48
2012-08-16,57.93,58.05,57.23,57.45,396400,57.19
2012-08-15,58.20,58.20,57.57,57.57,299500,57.31
2012-08-14,57.80,58.60,57.72,58.29,563400,58.02
2012-08-13,58.00,58.95,57.63,57.87,516700,57.61
2012-08-10,60.00,61.00,58.50,58.54,894300,58.27
2012-08-09,61.21,61.59,57.22,58.90,1108600,58.63
2012-08-08,63.34,63.35,61.34,61.57,318100,61.29
2012-08-07,64.88,64.88,63.25,63.54,198000,63.25
2012-08-06,63.55,65.15,63.45,64.80,269700,64.50
2012-08-03,61.46,63.40,60.85,63.40,269300,63.11
2012-08-02,61.90,62.52,60.96,61.36,381200,61.08
2012-08-01,62.30,62.61,61.63,61.80,238600,61.52
2012-07-31,63.80,63.80,61.60,62.29,358300,62.01
2012-07-30,63.36,63.94,63.13,63.65,153000,63.36
2012-07-27,63.28,63.90,62.71,62.96,258500,62.67
2012-07-26,61.63,63.20,60.72,62.85,477500,62.56
2012-07-25,60.82,62.54,60.75,61.60,350100,61.32
2012-07-24,61.21,61.62,60.79,60.94,347600,60.66
2012-07-23,62.40,62.56,61.04,61.08,232900,60.80
2012-07-20,63.00,63.35,62.28,62.77,295100,62.48
2012-07-19,62.37,63.37,62.13,63.20,407100,62.91
2012-07-18,60.50,62.08,60.06,61.90,405200,61.62
2012-07-17,61.83,62.00,60.86,61.06,253100,60.78
2012-07-16,62.00,62.06,61.21,61.81,218600,61.53
2012-07-13,60.63,62.00,60.46,62.00,348300,61.72
2012-07-12,59.46,60.76,59.22,60.76,455900,60.48
2012-07-11,59.17,59.77,58.69,59.52,531400,59.25
2012-07-10,58.08,60.09,58.08,59.77,448100,59.50
2012-07-09,57.41,58.16,57.30,58.11,318100,57.85
2012-07-06,57.90,58.78,57.47,57.48,362600,57.22
2012-07-05,59.54,60.00,56.66,57.89,709500,57.63
2012-07-04,58.36,58.92,57.60,58.40,269000,58.13
2012-07-03,58.65,59.53,58.05,58.88,487800,58.61
2012-07-02,56.89,58.52,56.62,58.52,540300,58.25
2012-06-29,56.76,57.44,55.97,56.59,522900,56.33
2012-06-28,54.98,56.00,54.69,55.92,617000,55.67
2012-06-27,52.06,54.64,51.62,54.64,516400,54.39
2012-06-26,52.30,52.50,51.45,51.62,262600,51.38
2012-06-25,52.08,52.59,51.85,52.31,397800,52.07
2012-06-22,53.35,53.47,51.66,52.01,283900,51.77
2012-06-21,53.10,54.00,52.57,53.70,349100,53.46
2012-06-20,53.83,53.95,52.57,53.32,451100,53.08
2012-06-19,53.55,54.16,53.39,53.82,390600,53.57
2012-06-18,53.45,53.55,52.61,53.17,353300,52.93
2012-06-15,52.49,52.88,52.04,52.80,454400,52.56
2012-06-14,52.80,52.90,51.61,52.30,368000,52.06
2012-06-13,52.60,52.80,52.02,52.60,433400,52.36
2012-06-12,52.50,52.60,52.02,52.59,655700,52.35
2012-06-11,51.82,52.45,51.67,52.21,598600,51.97
2012-06-08,51.50,51.78,50.75,51.22,523900,50.99
2012-06-07,50.92,51.88,50.66,51.84,546200,51.60
2012-06-06,51.03,51.50,49.99,50.50,779400,50.27
2012-06-05,50.12,51.09,50.02,50.95,335600,50.72
2012-06-04,49.36,50.00,48.99,49.83,458100,49.61
2012-06-01,51.28,51.41,49.49,49.97,772400,49.75
