Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,5.83,5.85,5.70,5.75,499200,5.75
2013-08-19,5.80,5.85,5.74,5.85,281500,5.85
2013-08-16,5.78,5.88,5.77,5.82,360100,5.82
2013-08-15,5.90,5.94,5.80,5.85,211900,5.85
2013-08-14,5.86,5.95,5.84,5.92,1777900,5.92
2013-08-13,5.89,5.93,5.79,5.82,3501300,5.82
2013-08-12,5.80,5.89,5.80,5.89,574500,5.89
2013-08-09,5.74,5.80,5.70,5.80,452400,5.80
2013-08-08,5.72,5.76,5.67,5.75,428000,5.75
2013-08-07,5.78,5.79,5.70,5.72,586700,5.72
2013-08-06,5.80,5.83,5.78,5.80,488400,5.80
2013-08-05,5.69,5.94,5.68,5.79,3999000,5.79
2013-08-02,5.72,5.75,5.67,5.72,536000,5.72
2013-08-01,5.66,5.77,5.66,5.73,422500,5.73
2013-07-31,5.63,5.72,5.55,5.69,891400,5.69
2013-07-30,5.66,5.70,5.63,5.68,1819400,5.68
2013-07-29,5.61,5.85,5.60,5.66,2797400,5.66
2013-07-26,5.40,5.43,5.36,5.41,256500,5.41
2013-07-25,5.40,5.43,5.38,5.39,258400,5.39
2013-07-24,5.33,5.43,5.33,5.42,778900,5.42
2013-07-23,5.26,5.41,5.24,5.36,941200,5.36
2013-07-22,5.25,5.27,5.21,5.25,594700,5.25
2013-07-19,5.24,5.26,5.16,5.26,917000,5.26
2013-07-18,5.09,5.33,5.09,5.26,1790700,5.26
2013-07-17,5.03,5.09,5.01,5.08,521700,5.08
2013-07-16,5.03,5.05,5.00,5.03,549700,5.03
2013-07-15,5.00,5.06,5.00,5.04,557300,5.04
2013-07-12,5.03,5.06,5.02,5.03,659100,5.03
2013-07-11,5.05,5.07,5.00,5.03,634700,5.03
2013-07-10,5.03,5.07,4.97,5.02,315900,5.02
2013-07-09,5.02,5.09,5.00,5.05,520900,5.05
2013-07-08,5.03,5.09,5.03,5.05,383200,5.05
2013-07-05,4.98,5.06,4.97,5.01,617000,5.01
2013-07-04,4.93,5.04,4.93,5.03,597600,5.03
2013-07-03,5.01,5.01,4.94,4.96,628600,4.96
2013-07-02,4.98,5.03,4.95,5.01,468700,5.01
2013-07-01,4.90,4.99,4.85,4.97,1119200,4.97
2013-06-28,4.83,4.92,4.83,4.92,428200,4.92
2013-06-27,4.84,4.89,4.82,4.89,588200,4.89
2013-06-26,4.71,4.84,4.71,4.84,365900,4.84
2013-06-25,4.60,4.72,4.59,4.72,359200,4.72
2013-06-24,4.82,4.82,4.56,4.59,565000,4.59
2013-06-21,4.75,4.88,4.75,4.79,1424000,4.79
2013-06-20,4.68,4.77,4.64,4.77,677800,4.77
2013-06-19,4.80,4.82,4.73,4.74,577200,4.74
2013-06-18,4.75,4.81,4.75,4.79,331600,4.79
2013-06-17,4.71,4.78,4.71,4.76,189500,4.76
2013-06-14,4.68,4.72,4.65,4.70,256000,4.70
2013-06-13,4.61,4.66,4.53,4.65,463300,4.65
2013-06-12,4.70,4.72,4.62,4.64,294400,4.64
2013-06-11,4.69,4.72,4.61,4.70,359400,4.70
2013-06-10,4.77,4.78,4.71,4.73,308200,4.73
2013-06-07,4.60,4.74,4.58,4.74,985500,4.74
2013-06-06,4.75,4.78,4.60,4.67,378900,4.56
2013-06-05,4.80,4.83,4.72,4.73,365500,4.62
2013-06-04,4.82,4.87,4.80,4.84,305500,4.73
2013-06-03,4.89,4.91,4.79,4.80,554500,4.69
2013-05-31,4.99,4.99,4.90,4.91,399500,4.80
2013-05-30,4.89,5.01,4.88,4.99,198900,4.87
2013-05-29,5.02,5.02,4.90,4.90,385100,4.78
2013-05-28,4.95,5.05,4.91,5.04,635800,4.93
2013-05-27,4.89,4.95,4.88,4.95,293300,4.83
2013-05-24,4.89,4.92,4.84,4.87,284300,4.76
2013-05-23,4.90,4.91,4.83,4.89,333700,4.78
2013-05-22,4.97,5.00,4.95,5.00,851000,4.88
2013-05-21,4.90,4.98,4.88,4.96,1172800,4.84
2013-05-20,4.89,4.93,4.89,4.89,412500,4.78
2013-05-17,4.88,4.91,4.85,4.89,628700,4.77
2013-05-16,4.96,4.99,4.92,4.92,511800,4.81
2013-05-15,4.94,4.99,4.90,4.99,312100,4.87
2013-05-14,4.86,4.94,4.84,4.94,397200,4.82
2013-05-13,4.88,4.92,4.86,4.86,454300,4.75
2013-05-10,4.89,4.90,4.83,4.87,385300,4.75
2013-05-09,4.82,4.89,4.79,4.87,345800,4.76
2013-05-08,4.78,4.84,4.78,4.82,329600,4.71
2013-05-07,4.72,4.81,4.70,4.78,559900,4.67
2013-05-06,4.78,4.78,4.70,4.72,230800,4.61
2013-05-03,4.64,4.78,4.57,4.78,704200,4.66
2013-05-02,4.60,4.75,4.59,4.74,755200,4.63
2013-05-01,4.64,4.64,4.64,4.64,000,4.53
2013-04-30,4.73,4.76,4.61,4.64,534400,4.53
2013-04-29,4.62,4.76,4.62,4.75,407000,4.64
2013-04-26,4.72,4.72,4.64,4.64,172100,4.53
2013-04-25,4.69,4.75,4.69,4.72,238400,4.61
2013-04-24,4.66,4.74,4.66,4.68,445200,4.57
2013-04-23,4.55,4.69,4.55,4.68,634600,4.57
2013-04-22,4.55,4.60,4.53,4.56,366400,4.46
2013-04-19,4.53,4.60,4.53,4.55,787500,4.44
2013-04-18,4.56,4.61,4.48,4.51,554300,4.41
2013-04-17,4.64,4.71,4.53,4.55,347000,4.44
2013-04-16,4.69,4.72,4.51,4.66,1400900,4.55
2013-04-15,4.95,4.95,4.70,4.72,849100,4.61
2013-04-12,4.96,4.99,4.91,4.95,198800,4.83
2013-04-11,4.90,5.00,4.90,5.00,434200,4.88
2013-04-10,4.85,4.93,4.84,4.92,407700,4.81
2013-04-09,4.90,4.91,4.82,4.87,554900,4.76
2013-04-08,4.95,4.99,4.85,4.87,961700,4.76
2013-04-05,5.18,5.19,4.83,4.94,2405500,4.83
2013-04-04,5.14,5.26,5.11,5.18,1739800,5.06
2013-04-03,5.03,5.16,5.01,5.11,1300300,4.99
2013-04-02,4.90,5.04,4.88,5.04,724400,4.92
2013-04-01,4.94,4.94,4.94,4.94,000,4.82
2013-03-29,4.94,4.94,4.94,4.94,000,4.82
2013-03-28,4.86,4.94,4.81,4.94,772900,4.82
2013-03-27,4.96,4.98,4.88,4.90,819600,4.78
2013-03-26,4.89,4.90,4.84,4.89,391800,4.78
2013-03-25,4.80,4.90,4.78,4.85,638100,4.73
2013-03-22,4.81,4.86,4.78,4.84,715600,4.73
2013-03-21,4.82,4.88,4.79,4.84,546700,4.73
2013-03-20,4.95,4.96,4.81,4.83,398600,4.71
2013-03-19,4.96,4.99,4.92,4.93,772000,4.81
2013-03-18,4.85,5.00,4.78,4.98,1376500,4.86
2013-03-15,4.86,4.91,4.86,4.91,611900,4.79
2013-03-14,4.81,4.89,4.81,4.89,266600,4.78
2013-03-13,4.80,4.85,4.77,4.84,213600,4.72
2013-03-12,4.76,4.85,4.76,4.82,250600,4.71
2013-03-11,4.76,4.86,4.74,4.81,228200,4.69
2013-03-08,4.83,4.86,4.75,4.81,349000,4.70
2013-03-07,4.78,4.86,4.78,4.83,260900,4.72
2013-03-06,4.77,4.90,4.75,4.82,283200,4.71
2013-03-05,4.78,4.88,4.78,4.84,437000,4.73
2013-03-04,4.73,4.78,4.69,4.76,251400,4.64
2013-03-01,4.85,4.85,4.73,4.75,336700,4.64
2013-02-28,4.77,4.85,4.76,4.82,420000,4.71
2013-02-27,4.72,4.77,4.66,4.77,366000,4.66
2013-02-26,4.73,4.77,4.69,4.70,445700,4.59
2013-02-25,4.82,4.92,4.80,4.84,452900,4.73
2013-02-22,4.70,4.83,4.69,4.82,483900,4.70
2013-02-21,4.71,4.71,4.53,4.70,1139300,4.58
2013-02-20,4.89,4.89,4.74,4.74,1487500,4.63
2013-02-19,4.90,4.98,4.89,4.96,664400,4.84
2013-02-18,4.93,4.94,4.89,4.89,285100,4.77
2013-02-15,4.90,5.00,4.88,4.93,753100,4.81
2013-02-14,4.81,4.92,4.81,4.90,426600,4.78
2013-02-13,4.85,4.91,4.83,4.89,241300,4.77
2013-02-12,4.79,4.85,4.73,4.85,443500,4.73
2013-02-11,4.93,4.93,4.79,4.82,372100,4.70
2013-02-08,4.88,4.95,4.85,4.94,444700,4.82
2013-02-07,4.95,4.95,4.85,4.86,496500,4.75
2013-02-06,4.88,5.03,4.87,4.94,1315200,4.82
2013-02-05,4.77,4.87,4.76,4.86,486700,4.75
2013-02-04,4.87,4.89,4.78,4.78,464400,4.67
2013-02-01,4.81,4.88,4.80,4.88,713200,4.77
2013-01-31,4.79,4.84,4.76,4.83,595300,4.71
2013-01-30,4.83,4.85,4.78,4.81,673200,4.70
2013-01-29,4.80,4.84,4.77,4.84,346900,4.72
2013-01-28,4.72,4.85,4.71,4.80,576300,4.69
2013-01-25,4.77,4.82,4.74,4.81,523200,4.70
2013-01-24,4.80,4.86,4.79,4.80,701600,4.69
2013-01-23,4.78,4.84,4.75,4.81,605300,4.70
2013-01-22,4.80,4.90,4.75,4.78,994200,4.66
2013-01-21,4.73,4.79,4.68,4.79,620700,4.68
2013-01-18,4.50,4.85,4.50,4.73,3216200,4.62
2013-01-17,4.45,4.50,4.39,4.48,836500,4.37
2013-01-16,4.55,4.56,4.49,4.49,615900,4.38
2013-01-15,4.61,4.63,4.52,4.56,1113600,4.46
2013-01-14,4.50,4.68,4.46,4.64,1319100,4.53
2013-01-11,4.35,4.50,4.35,4.50,1001200,4.39
2013-01-10,4.20,4.38,4.20,4.38,1140900,4.27
2013-01-09,4.17,4.22,4.14,4.20,1629400,4.10
2013-01-08,4.22,4.25,4.14,4.17,558200,4.07
2013-01-07,4.27,4.27,4.22,4.23,387600,4.13
2013-01-04,4.31,4.32,4.27,4.28,273000,4.18
2013-01-03,4.28,4.32,4.28,4.31,351600,4.21
2013-01-02,4.20,4.32,4.20,4.30,588900,4.20
2013-01-01,4.17,4.17,4.17,4.17,000,4.07
2012-12-31,4.15,4.19,4.11,4.17,66900,4.07
2012-12-28,4.21,4.21,4.17,4.17,350200,4.07
2012-12-27,4.14,4.22,4.13,4.20,213700,4.10
2012-12-26,4.15,4.15,4.15,4.15,000,4.05
2012-12-25,4.15,4.15,4.15,4.15,000,4.05
2012-12-24,4.11,4.17,4.11,4.15,117800,4.05
2012-12-21,4.20,4.21,4.16,4.18,493700,4.08
2012-12-20,4.22,4.24,4.20,4.22,428000,4.12
2012-12-19,4.19,4.24,4.18,4.24,461700,4.14
2012-12-18,4.18,4.19,4.10,4.18,975800,4.09
2012-12-17,4.19,4.24,4.16,4.18,557700,4.08
2012-12-14,4.15,4.28,4.15,4.20,947600,4.10
2012-12-13,4.16,4.17,4.14,4.15,242800,4.05
2012-12-12,4.11,4.15,4.10,4.14,152400,4.04
2012-12-11,4.15,4.18,4.11,4.12,520500,4.02
2012-12-10,4.07,4.18,4.04,4.15,224400,4.06
2012-12-07,4.18,4.19,4.15,4.19,286400,4.09
2012-12-06,4.14,4.19,4.14,4.17,242500,4.08
2012-12-05,4.10,4.14,4.08,4.14,346700,4.04
2012-12-04,4.09,4.10,4.05,4.10,232900,4.00
2012-12-03,4.08,4.10,4.08,4.10,180100,4.00
2012-11-30,4.10,4.11,4.07,4.07,349700,3.98
2012-11-29,4.11,4.11,4.05,4.10,325600,4.00
2012-11-28,4.10,4.11,4.03,4.11,478700,4.01
2012-11-27,4.06,4.13,3.95,4.09,680700,4.00
2012-11-26,4.07,4.08,3.99,4.07,201000,3.97
2012-11-23,3.99,4.10,3.99,4.10,385700,4.00
2012-11-22,3.90,4.03,3.90,3.99,377400,3.89
2012-11-21,3.84,3.88,3.82,3.87,203500,3.78
2012-11-20,3.84,3.91,3.84,3.87,419200,3.78
2012-11-19,3.86,3.88,3.82,3.86,449300,3.77
2012-11-16,3.84,3.88,3.83,3.84,153300,3.75
2012-11-15,3.89,3.89,3.81,3.84,356800,3.75
2012-11-14,3.94,3.94,3.88,3.90,785500,3.81
2012-11-13,3.89,3.93,3.86,3.93,88100,3.84
2012-11-12,4.00,4.01,3.87,3.90,219000,3.81
2012-11-09,3.98,4.04,3.90,4.00,378500,3.91
2012-11-08,3.89,3.96,3.80,3.85,425500,3.76
2012-11-07,3.91,3.93,3.82,3.85,272700,3.76
2012-11-06,3.90,3.94,3.87,3.88,220500,3.79
2012-11-05,3.93,3.95,3.86,3.89,300400,3.80
2012-11-02,3.94,3.96,3.92,3.93,220200,3.84
2012-11-01,3.90,3.94,3.89,3.93,240100,3.84
2012-10-31,3.90,3.90,3.84,3.90,234000,3.81
2012-10-30,3.88,3.89,3.84,3.88,150200,3.79
2012-10-29,3.87,3.88,3.83,3.88,173400,3.79
2012-10-26,3.89,3.96,3.82,3.90,369900,3.81
2012-10-25,3.90,3.95,3.86,3.95,447400,3.86
2012-10-24,3.92,3.97,3.87,3.95,302600,3.86
2012-10-23,4.06,4.08,3.89,3.93,632700,3.84
2012-10-22,3.99,4.00,3.96,3.97,330800,3.88
2012-10-19,4.07,4.10,4.00,4.00,621700,3.91
2012-10-18,4.08,4.10,4.06,4.08,291600,3.98
2012-10-17,4.13,4.14,4.06,4.07,233000,3.97
2012-10-16,4.08,4.13,4.06,4.12,284500,4.03
2012-10-15,4.07,4.13,4.03,4.07,307000,3.97
2012-10-12,4.09,4.13,4.07,4.07,308700,3.97
2012-10-11,4.10,4.15,4.08,4.13,389400,4.03
2012-10-10,4.18,4.18,4.07,4.11,560000,4.02
2012-10-09,4.13,4.18,4.13,4.16,240900,4.06
2012-10-08,4.21,4.25,4.15,4.15,607700,4.05
2012-10-05,4.11,4.20,4.11,4.18,317600,4.08
2012-10-04,4.12,4.18,4.09,4.13,296600,4.03
2012-10-03,4.07,4.20,4.04,4.14,690000,4.04
2012-10-02,4.05,4.07,4.00,4.05,453900,3.96
2012-10-01,4.00,4.06,4.00,4.04,155100,3.95
2012-09-28,4.03,4.04,3.99,4.01,203800,3.91
2012-09-27,4.03,4.05,3.99,4.00,318500,3.91
2012-09-26,3.95,4.10,3.91,4.03,707200,3.93
2012-09-25,3.91,3.99,3.90,3.97,198200,3.88
2012-09-24,3.96,3.96,3.84,3.91,155400,3.82
2012-09-21,3.88,3.98,3.88,3.98,550500,3.88
2012-09-20,3.90,3.92,3.88,3.89,176500,3.80
2012-09-19,3.90,3.90,3.86,3.90,220900,3.81
2012-09-18,3.84,3.91,3.83,3.90,1073900,3.81
2012-09-17,3.92,3.92,3.84,3.86,138400,3.77
2012-09-14,3.84,3.92,3.82,3.89,302000,3.80
2012-09-13,3.84,3.84,3.73,3.77,452300,3.68
2012-09-12,3.82,3.85,3.79,3.82,305100,3.73
2012-09-11,3.88,3.88,3.82,3.83,250400,3.74
2012-09-10,3.85,3.91,3.83,3.87,226700,3.78
2012-09-07,3.90,3.94,3.79,3.92,514700,3.83
2012-09-06,3.71,3.85,3.67,3.85,645700,3.76
2012-09-05,3.83,3.83,3.69,3.69,759000,3.61
2012-09-04,3.90,3.90,3.82,3.82,473800,3.73
2012-09-03,3.81,3.90,3.78,3.84,1134500,3.75
2012-08-31,4.06,4.07,4.01,4.03,295300,3.94
2012-08-30,4.00,4.03,3.98,4.03,361200,3.93
2012-08-29,4.04,4.05,4.02,4.03,89400,3.94
2012-08-28,4.08,4.08,4.03,4.04,146800,3.94
2012-08-27,4.00,4.06,4.00,4.06,59100,3.97
2012-08-24,4.10,4.10,4.00,4.03,276000,3.94
2012-08-23,4.14,4.15,4.09,4.12,114200,4.03
2012-08-22,4.16,4.17,4.12,4.13,121800,4.03
2012-08-21,4.15,4.20,4.11,4.20,292100,4.10
2012-08-20,4.16,4.19,4.12,4.14,194300,4.04
2012-08-17,4.11,4.17,4.08,4.17,158400,4.07
2012-08-16,4.11,4.13,4.07,4.13,85900,4.04
2012-08-15,4.14,4.14,4.08,4.12,74200,4.03
2012-08-14,4.11,4.14,4.07,4.14,217800,4.04
2012-08-13,4.12,4.17,4.09,4.10,126000,4.01
2012-08-10,4.16,4.18,4.11,4.12,263500,4.02
2012-08-09,4.15,4.18,4.11,4.17,339000,4.07
2012-08-08,4.05,4.15,4.05,4.15,400400,4.05
2012-08-07,4.04,4.10,4.03,4.06,318300,3.96
2012-08-06,3.97,4.05,3.96,4.05,424000,3.95
2012-08-03,3.90,3.97,3.90,3.97,141300,3.88
2012-08-02,3.91,4.00,3.87,3.87,241500,3.78
2012-08-01,3.93,4.00,3.93,3.93,206500,3.84
2012-07-31,4.00,4.02,3.92,3.97,193900,3.87
2012-07-30,4.04,4.04,3.98,4.00,251300,3.91
2012-07-27,4.01,4.04,3.98,4.02,298600,3.93
2012-07-26,3.90,4.05,3.88,4.03,409900,3.94
2012-07-25,3.87,3.94,3.84,3.90,419200,3.81
2012-07-24,3.91,3.94,3.86,3.88,431600,3.79
2012-07-23,4.04,4.04,3.80,3.89,672800,3.80
2012-07-20,4.05,4.09,4.01,4.09,609400,3.99
2012-07-19,4.00,4.10,3.99,4.08,564400,3.99
2012-07-18,3.99,4.02,3.95,4.00,384500,3.91
2012-07-17,3.99,4.00,3.93,3.98,284000,3.89
2012-07-16,3.95,4.03,3.93,3.96,635200,3.86
2012-07-13,3.95,3.96,3.89,3.92,651400,3.82
2012-07-12,3.80,3.95,3.80,3.91,1658900,3.82
2012-07-11,3.76,3.80,3.70,3.71,284300,3.62
2012-07-10,3.82,3.82,3.75,3.79,615900,3.70
2012-07-09,3.89,3.89,3.76,3.81,348600,3.72
2012-07-06,3.90,3.91,3.82,3.85,440400,3.76
2012-07-05,3.89,3.90,3.82,3.88,446900,3.79
2012-07-04,3.88,3.90,3.82,3.90,813600,3.81
2012-07-03,3.77,3.87,3.72,3.87,591400,3.78
2012-07-02,3.60,3.78,3.60,3.76,1307400,3.67
2012-06-29,3.59,3.62,3.52,3.60,1186000,3.51
2012-06-28,3.58,3.62,3.51,3.52,440900,3.44
2012-06-27,3.60,3.60,3.53,3.57,613800,3.49
2012-06-26,3.65,3.65,3.48,3.57,1005700,3.48
2012-06-25,3.75,3.75,3.56,3.61,897100,3.52
2012-06-22,3.84,3.87,3.71,3.71,756600,3.62
2012-06-21,3.98,4.04,3.82,3.84,710700,3.75
2012-06-20,3.98,4.03,3.80,3.81,854700,3.72
2012-06-19,3.99,4.00,3.90,3.97,566800,3.88
2012-06-18,3.99,4.05,3.90,3.96,704200,3.87
2012-06-15,4.01,4.29,3.85,3.95,1748400,3.86
2012-06-14,4.10,4.10,4.01,4.10,182100,4.00
2012-06-13,4.22,4.22,4.01,4.01,400300,3.92
2012-06-12,4.15,4.25,4.04,4.25,361100,4.15
2012-06-11,4.05,4.25,4.04,4.06,883200,3.96
2012-06-08,4.10,4.10,3.90,4.10,503000,4.00
2012-06-07,3.90,4.28,3.90,4.28,159600,4.18
2012-06-06,3.85,4.03,3.82,4.03,1020000,3.93
2012-06-05,3.89,3.95,3.80,3.81,557300,3.72
2012-06-04,3.86,3.88,3.82,3.83,498800,3.74
2012-06-01,4.00,4.04,3.84,3.85,664400,3.76
2012-05-31,4.02,4.02,3.98,3.99,449400,3.90
2012-05-30,4.06,4.06,3.96,4.00,378200,3.91
2012-05-29,4.00,4.06,3.98,4.03,288700,3.93
2012-05-28,3.96,4.03,3.96,3.98,583700,3.88
2012-05-25,4.07,4.07,3.94,3.94,558300,3.85
2012-05-24,3.98,4.06,3.90,4.01,586700,3.91
2012-05-23,4.04,4.05,3.95,3.95,473700,3.86
