Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,65.96,66.22,65.10,65.35,41900,65.35
2013-08-19,66.75,66.80,65.60,66.31,36600,66.31
2013-08-16,65.40,66.91,65.01,66.91,101100,66.91
2013-08-15,67.56,67.56,65.01,65.64,64500,65.64
2013-08-14,67.78,67.80,67.07,67.12,58700,67.12
2013-08-13,67.00,67.90,66.94,67.54,49900,67.54
2013-08-12,66.44,66.99,66.05,66.98,32300,66.98
2013-08-09,67.36,67.36,66.30,66.45,51900,66.45
2013-08-08,67.27,67.49,66.75,66.82,56600,66.82
2013-08-07,67.71,67.71,66.51,66.93,72700,66.93
2013-08-06,68.39,68.48,67.20,68.09,62400,68.09
2013-08-05,68.01,68.50,67.80,67.99,45400,67.99
2013-08-02,68.64,68.64,67.72,68.00,71300,68.00
2013-08-01,67.83,68.51,67.58,68.51,85900,68.51
2013-07-31,67.27,68.18,67.12,67.83,71700,67.83
2013-07-30,67.24,68.06,66.78,67.64,87300,67.64
2013-07-29,68.02,68.32,66.96,67.24,62900,67.24
2013-07-26,68.09,68.96,67.52,68.14,67500,68.14
2013-07-25,68.65,68.82,67.34,67.77,141500,67.77
2013-07-24,70.85,70.85,68.24,68.24,447400,68.24
2013-07-23,71.05,72.96,70.85,70.85,796300,70.85
2013-07-22,69.69,71.50,69.42,70.96,138300,70.96
2013-07-19,69.00,69.89,68.85,69.03,52600,69.03
2013-07-18,67.90,69.50,67.46,69.29,61700,69.29
2013-07-17,68.64,68.72,67.26,67.73,95100,67.73
2013-07-16,68.97,69.00,68.20,68.30,89200,68.30
2013-07-15,68.99,69.41,68.63,68.97,99200,68.97
2013-07-12,68.31,69.12,67.71,68.32,88800,68.32
2013-07-11,65.73,67.65,65.34,67.52,81400,67.52
2013-07-10,65.18,65.69,64.50,65.40,36600,65.40
2013-07-09,65.18,65.60,65.10,65.40,37500,65.40
2013-07-08,65.04,65.43,64.75,65.12,35200,65.12
2013-07-05,65.34,65.72,64.35,64.92,75400,64.92
2013-07-04,64.75,65.54,64.03,65.25,46700,65.25
2013-07-03,64.07,64.70,63.48,64.50,67000,64.50
2013-07-02,63.08,64.83,62.30,64.67,148100,64.67
2013-07-01,64.93,64.93,62.30,62.70,151400,62.70
2013-06-28,63.54,63.72,62.95,63.44,122800,63.44
2013-06-27,63.49,63.49,61.54,63.20,122100,63.20
2013-06-26,61.94,64.32,60.94,63.37,151900,63.37
2013-06-25,60.20,60.78,58.60,60.19,135100,60.19
2013-06-24,61.35,61.35,57.99,58.39,76800,58.39
2013-06-21,62.16,62.67,60.93,60.93,84600,60.93
2013-06-20,62.60,62.92,61.60,62.16,58700,62.16
