Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,178.65,178.95,175.30,176.00,54000,176.00
2013-08-19,179.90,180.70,179.05,179.75,29000,179.75
2013-08-16,178.50,179.95,178.50,179.55,32200,179.55
2013-08-15,180.05,180.90,178.40,178.75,38300,178.75
2013-08-14,178.10,180.95,178.10,180.60,58800,180.60
2013-08-13,179.95,180.55,178.20,178.20,37900,178.20
2013-08-12,180.00,180.95,179.10,179.55,20900,179.55
2013-08-09,182.00,182.00,179.85,179.85,42300,179.85
2013-08-08,181.50,181.80,180.30,181.55,39000,181.55
2013-08-07,181.50,182.00,180.80,181.10,74200,181.10
2013-08-06,179.70,183.85,179.70,181.50,115700,181.50
2013-08-05,178.75,179.55,178.60,179.20,60300,179.20
2013-08-02,179.80,180.00,178.15,178.55,70500,178.55
2013-08-01,178.10,179.75,178.00,179.55,76700,179.55
2013-07-31,175.10,177.80,174.30,177.35,105800,177.35
2013-07-30,170.30,175.25,170.05,174.95,119700,174.95
2013-07-29,168.40,169.90,168.25,169.40,94700,169.40
2013-07-26,167.45,168.70,166.30,168.30,91100,168.30
2013-07-25,167.40,167.85,166.20,167.30,69600,167.30
2013-07-24,167.20,168.40,166.30,167.10,71100,167.10
2013-07-23,168.50,169.55,166.80,167.15,76500,167.15
2013-07-22,170.00,170.10,167.80,169.55,73800,169.55
2013-07-19,172.10,172.55,170.70,172.00,89100,172.00
2013-07-18,171.10,173.80,171.10,173.20,94200,173.20
2013-07-17,174.20,174.25,170.65,171.95,77400,171.95
2013-07-16,175.35,175.55,172.20,173.85,72300,173.85
2013-07-15,173.90,175.60,173.90,175.55,64200,175.55
2013-07-12,178.70,178.70,174.00,174.00,118600,174.00
2013-07-11,176.55,179.70,176.50,177.85,143500,177.85
2013-07-10,178.25,178.95,175.55,178.90,84400,178.90
2013-07-09,175.35,177.65,175.30,177.65,119000,177.65
2013-07-08,175.00,176.40,173.65,175.15,80300,175.15
2013-07-05,173.95,176.20,173.70,174.10,104300,174.10
2013-07-04,171.45,175.00,171.10,173.85,81700,173.85
2013-07-03,170.65,170.85,168.70,170.85,64500,170.85
2013-07-02,169.10,170.95,168.00,170.55,79400,170.55
2013-07-01,166.95,168.70,166.10,168.40,65100,168.40
2013-06-28,167.70,168.25,165.05,166.15,132800,166.15
2013-06-27,166.55,169.40,166.35,167.40,109100,167.40
2013-06-26,161.15,167.45,160.95,166.30,148400,166.30
2013-06-25,159.00,161.05,158.50,161.05,69300,161.05
2013-06-24,162.00,162.35,158.55,159.05,75500,158.68
2013-06-21,163.05,166.20,162.40,162.40,87800,162.02
2013-06-20,164.70,164.70,162.15,163.50,110100,163.12
2013-06-19,160.30,167.25,160.30,166.10,159800,165.71
2013-06-18,161.30,162.40,160.20,162.20,63800,161.82
2013-06-17,160.15,162.50,160.15,161.80,64300,161.42
2013-06-14,160.55,160.75,158.95,159.40,102700,159.03
2013-06-13,159.75,160.35,158.60,159.75,136300,159.38
2013-06-12,159.35,164.10,158.05,160.90,160200,160.53
2013-06-11,158.35,159.70,157.45,158.25,72700,157.88
2013-06-10,158.15,160.50,157.95,158.60,102800,158.23
2013-06-07,157.90,159.10,156.65,158.00,111000,157.63
2013-06-06,158.50,160.50,158.00,158.00,84200,157.63
2013-06-05,161.00,161.25,158.90,159.20,77100,158.83
2013-06-04,159.90,161.15,159.30,161.00,98500,160.63
2013-06-03,161.00,161.20,157.70,158.30,181200,157.93
2013-05-31,166.15,166.50,160.70,161.40,244100,161.02
2013-05-30,167.40,167.65,165.50,166.55,151900,166.16
2013-05-29,172.95,172.95,168.40,168.40,77700,168.01
2013-05-28,171.10,175.05,171.10,172.70,95000,172.30
2013-05-27,169.25,171.80,169.25,170.85,45200,170.45
2013-05-24,170.90,172.10,168.40,169.05,153900,168.66
2013-05-23,171.40,172.70,170.00,170.90,143800,170.50
2013-05-22,175.35,176.50,172.35,174.00,107400,173.60
2013-05-21,174.45,175.60,173.05,175.35,90100,174.94
2013-05-20,173.90,174.80,173.00,174.80,61600,174.39
2013-05-17,173.10,174.50,171.80,174.05,122800,173.65
2013-05-16,175.00,175.55,170.15,173.10,167700,172.70
2013-05-15,179.60,179.70,173.80,175.50,283300,175.09
2013-05-14,180.00,180.60,178.85,179.65,127500,179.23
2013-05-13,179.25,180.45,178.75,179.35,59700,178.93
2013-05-10,177.95,180.35,177.45,178.95,83600,178.53
2013-05-09,178.70,178.70,175.80,176.90,53300,176.49
2013-05-08,176.40,178.85,175.70,178.15,73300,177.74
2013-05-07,174.00,176.30,173.40,175.45,89000,175.04
2013-05-06,173.80,174.00,172.05,173.25,83600,172.85
2013-05-03,174.70,175.40,171.50,173.05,78500,172.65
2013-05-02,173.40,174.50,172.80,173.85,103800,173.45
2013-05-01,173.60,173.60,173.60,173.60,000,173.20
2013-04-30,172.25,174.00,169.50,173.60,162400,173.20
2013-04-29,168.50,172.00,168.50,171.65,94000,171.25
2013-04-26,169.40,169.50,166.80,168.20,68900,167.81
2013-04-25,169.60,169.75,168.65,169.50,95600,169.11
2013-04-24,165.55,169.65,164.10,169.45,157600,169.06
2013-04-23,163.95,165.90,162.80,165.90,95800,165.51
2013-04-22,162.70,163.70,161.75,163.30,70000,162.92
2013-04-19,165.25,165.25,160.95,162.05,146600,161.67
2013-04-18,160.40,165.15,160.10,163.90,103500,163.52
2013-04-17,162.75,163.90,160.40,160.40,144300,160.03
2013-04-16,163.75,164.20,162.20,162.60,112700,162.22
2013-04-15,165.50,166.95,163.50,164.75,91800,164.37
2013-04-12,166.50,167.10,163.65,165.50,96100,165.11
2013-04-11,162.90,166.35,162.80,166.35,117200,165.96
2013-04-10,159.80,163.00,159.50,163.00,115300,162.62
2013-04-09,160.50,160.60,158.60,160.00,96700,159.63
2013-04-08,157.60,160.40,156.60,159.90,128000,159.53
2013-04-05,159.90,160.30,156.00,156.90,181900,156.53
2013-04-04,164.50,164.50,159.90,160.50,289000,160.13
2013-04-03,166.65,169.80,166.65,167.60,144300,167.21
2013-04-02,166.10,168.20,165.05,167.60,125200,167.21
2013-04-01,165.95,165.95,165.95,165.95,000,165.56
2013-03-29,165.95,165.95,165.95,165.95,000,165.56
2013-03-28,164.25,165.95,162.30,165.95,124700,165.56
2013-03-27,163.80,165.50,162.00,165.40,202500,165.02
2013-03-26,164.40,164.40,162.80,163.60,100800,163.22
2013-03-25,160.90,164.90,160.35,164.70,238000,164.32
2013-03-22,157.40,160.05,156.70,159.45,148000,159.08
2013-03-21,156.75,157.25,155.35,157.20,131700,156.83
2013-03-20,156.00,157.85,152.85,157.10,322600,156.73
2013-03-19,155.00,161.50,155.00,157.50,478700,157.13
2013-03-18,146.85,149.70,145.10,149.70,143800,149.35
2013-03-15,149.50,150.25,147.15,147.45,148700,147.11
2013-03-14,151.90,152.45,149.50,149.90,131000,149.55
2013-03-13,148.70,151.85,148.15,151.85,125000,151.50
2013-03-12,151.55,151.70,148.50,148.80,123600,148.45
2013-03-11,151.70,152.30,149.75,151.90,121600,151.55
2013-03-08,154.20,154.40,151.45,151.90,63200,151.55
2013-03-07,153.00,153.65,151.90,152.80,81100,152.44
2013-03-06,152.80,153.40,151.85,153.05,108900,152.69
2013-03-05,149.10,153.00,149.10,152.15,163500,151.80
2013-03-04,146.90,148.55,146.65,148.40,103100,148.05
2013-03-01,148.00,148.50,145.20,147.00,101200,146.66
2013-02-28,145.50,151.70,145.10,146.60,356800,146.26
2013-02-27,142.05,144.50,142.05,143.55,83200,143.22
2013-02-26,140.35,143.45,139.80,142.65,117500,142.32
2013-02-25,143.95,144.60,141.80,142.15,78300,141.82
2013-02-22,140.25,144.00,140.20,143.95,93200,143.62
2013-02-21,143.00,143.20,139.30,139.65,80800,139.33
2013-02-20,142.20,143.90,141.70,143.30,57100,142.97
2013-02-19,141.15,142.75,140.80,142.15,54300,141.82
2013-02-18,142.60,142.95,141.00,141.15,38300,140.82
2013-02-15,143.50,144.05,142.55,142.60,78600,142.27
2013-02-14,144.00,145.95,143.50,143.85,98300,143.52
2013-02-13,140.10,144.45,140.10,144.30,117100,143.96
