Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,28.90,28.97,28.80,28.95,17200,28.95
2013-08-19,29.25,29.32,28.88,29.02,41300,29.02
2013-08-16,29.30,29.31,29.00,29.26,28900,29.26
2013-08-15,29.38,29.42,29.11,29.28,22600,29.28
2013-08-14,29.40,29.40,29.20,29.36,31700,29.36
2013-08-13,29.20,29.56,29.20,29.40,24300,29.40
2013-08-12,29.98,30.09,29.20,29.20,34700,29.20
2013-08-09,29.70,30.09,29.70,30.00,117700,30.00
2013-08-08,29.85,29.99,29.41,29.73,25700,29.73
2013-08-07,29.80,30.00,29.80,29.82,31200,29.82
2013-08-06,29.95,30.15,29.81,29.82,30600,29.82
2013-08-05,30.20,30.25,30.00,30.00,24200,30.00
2013-08-02,30.30,30.40,30.17,30.20,21900,30.20
2013-08-01,30.30,30.35,30.19,30.20,34600,30.20
2013-07-31,30.20,30.31,30.11,30.20,32800,30.20
2013-07-30,29.97,30.45,29.97,30.20,40400,30.20
2013-07-29,30.14,30.19,29.96,30.00,17400,30.00
2013-07-26,30.30,30.30,29.98,30.14,23600,30.14
2013-07-25,30.20,30.39,29.96,30.27,67400,30.27
2013-07-24,30.17,30.49,30.14,30.20,36900,30.20
2013-07-23,30.23,30.39,30.02,30.15,21000,30.15
2013-07-22,30.00,30.36,30.00,30.22,34700,30.22
2013-07-19,30.20,30.20,30.00,30.01,25000,30.01
2013-07-18,30.00,30.30,29.97,30.23,25200,30.23
2013-07-17,30.10,30.11,29.70,30.00,66900,30.00
2013-07-16,30.04,30.04,29.88,30.03,34900,30.03
2013-07-15,30.10,30.33,29.94,30.04,57900,30.04
2013-07-12,29.97,30.40,29.85,30.11,262900,30.11
2013-07-11,29.60,30.24,29.60,30.00,211600,30.00
2013-07-10,28.66,29.35,28.66,29.32,54500,29.32
2013-07-09,28.78,28.80,28.61,28.70,29800,28.70
2013-07-08,28.60,28.80,28.57,28.77,62800,28.77
2013-07-05,28.77,28.80,28.51,28.52,37600,28.52
2013-07-04,28.80,28.80,28.68,28.80,27700,28.80
2013-07-03,28.91,28.91,28.60,28.80,22200,28.80
2013-07-02,28.83,29.03,28.74,29.00,41400,29.00
2013-07-01,28.35,28.90,28.21,28.90,42200,28.90
2013-06-28,28.30,28.36,28.03,28.35,60300,28.35
2013-06-27,28.07,28.45,27.93,28.30,51200,28.30
2013-06-26,26.89,28.08,26.89,28.08,52100,28.08
2013-06-25,27.14,27.32,26.76,26.91,54500,26.91
2013-06-24,27.15,27.20,26.51,27.04,78000,27.04
2013-06-21,27.61,27.79,27.18,27.18,35900,27.18
2013-06-20,27.80,27.81,27.43,27.59,37000,27.59
2013-06-19,27.95,28.08,27.76,27.93,62500,27.93
2013-06-18,27.70,28.00,27.20,27.99,68600,27.99
2013-06-17,27.70,28.06,27.60,27.81,59900,27.81
2013-06-14,27.17,27.77,27.17,27.62,44000,27.62
2013-06-13,27.18,27.29,26.72,27.21,78700,27.21
2013-06-12,27.50,27.51,27.14,27.23,43300,27.23
2013-06-11,27.36,27.58,27.00,27.58,50800,27.58
2013-06-10,27.50,27.50,27.37,27.41,22000,27.41
2013-06-07,27.52,27.80,27.38,27.59,98500,27.59
2013-06-06,26.81,27.08,26.41,27.03,60600,27.03
2013-06-05,27.03,27.17,26.83,26.90,32600,26.90
2013-06-04,28.08,28.08,27.67,27.86,53000,27.07
2013-06-03,27.90,28.08,27.46,28.00,66200,27.20
2013-05-31,27.23,27.98,27.02,27.94,67100,27.14
2013-05-30,27.11,27.37,27.04,27.18,18700,26.40
2013-05-29,26.77,27.58,26.71,27.20,45500,26.42
2013-05-28,26.50,27.07,26.37,26.80,193900,26.03
2013-05-27,26.00,26.03,25.81,26.00,75400,25.25
2013-05-24,26.42,26.45,25.78,26.00,37200,25.25
2013-05-23,27.06,27.07,26.24,26.40,27300,25.64
2013-05-22,27.20,27.25,27.06,27.14,14300,26.36
2013-05-21,27.16,27.23,27.08,27.20,26700,26.42
2013-05-20,27.12,27.28,27.12,27.20,13100,26.42
2013-05-17,27.24,27.39,27.00,27.07,15500,26.29
2013-05-16,27.52,27.60,26.84,27.32,32600,26.53
2013-05-15,27.55,27.79,27.40,27.55,16800,26.76
2013-05-14,27.21,27.64,27.21,27.64,15900,26.84
2013-05-13,27.50,27.62,27.23,27.25,25300,26.47
2013-05-10,27.57,27.70,27.41,27.62,10400,26.83
