Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,28.48,28.61,28.42,28.55,53900,28.55
2013-08-19,28.11,28.53,27.93,28.53,58500,28.53
2013-08-16,28.00,28.17,27.95,28.05,30700,28.05
2013-08-15,28.31,28.35,28.02,28.02,37400,28.02
2013-08-14,28.30,28.48,28.11,28.37,64900,28.37
2013-08-13,28.00,28.39,28.00,28.28,60800,28.28
2013-08-12,27.90,28.00,27.76,28.00,25700,28.00
2013-08-09,27.74,28.00,27.65,27.91,22200,27.91
2013-08-08,27.45,27.88,27.45,27.61,87900,27.61
2013-08-07,27.57,27.60,27.16,27.59,37600,27.59
2013-08-06,27.53,27.80,27.31,27.49,43500,27.49
2013-08-05,27.45,27.80,27.36,27.60,110700,27.60
2013-08-02,27.22,27.57,27.19,27.25,105700,27.25
2013-08-01,26.53,27.19,26.53,27.08,97000,27.08
2013-07-31,25.85,26.73,25.64,26.73,109400,26.73
2013-07-30,26.17,26.24,25.71,25.83,43900,25.83
2013-07-29,26.10,26.32,25.92,26.05,65600,26.05
2013-07-26,26.69,26.69,25.64,25.83,80900,25.83
2013-07-25,27.10,27.18,26.35,26.55,185000,26.55
2013-07-24,26.85,26.85,26.38,26.55,44400,26.55
2013-07-23,26.85,27.00,26.71,26.71,28200,26.71
2013-07-22,27.10,27.18,26.80,26.85,59400,26.85
2013-07-19,27.00,27.20,26.94,27.08,47100,27.08
2013-07-18,26.90,27.20,26.90,27.10,68300,27.10
2013-07-17,27.39,27.39,26.73,26.94,57600,26.94
2013-07-16,27.50,27.68,27.35,27.39,93800,27.39
2013-07-15,27.67,27.78,27.40,27.59,86800,27.59
2013-07-12,27.80,27.90,27.67,27.75,34700,27.75
2013-07-11,27.85,28.22,27.70,27.82,114600,27.82
2013-07-10,27.95,27.97,27.45,27.69,83000,27.69
2013-07-09,27.95,28.09,27.84,27.90,68800,27.90
2013-07-08,27.94,28.25,27.68,27.83,76500,27.83
2013-07-05,28.00,28.09,27.69,27.92,162700,27.92
2013-07-04,27.58,28.15,27.55,27.97,112100,27.97
2013-07-03,27.60,27.89,27.33,27.62,160800,27.62
2013-07-02,28.40,28.42,28.08,28.20,133100,28.20
2013-07-01,28.20,28.81,28.00,28.53,93400,28.53
2013-06-28,29.00,29.08,28.60,29.00,78200,28.36
2013-06-27,27.99,29.15,27.94,28.90,134300,28.26
2013-06-26,27.42,28.05,27.35,27.88,95300,27.26
2013-06-25,27.60,27.80,27.22,27.36,114200,26.76
2013-06-24,28.11,28.13,27.25,27.60,118500,26.99
2013-06-21,27.88,28.14,27.78,28.06,86000,27.44
2013-06-20,28.35,28.43,27.93,28.07,48000,27.45
2013-06-19,29.46,29.46,28.30,28.57,84300,27.94
2013-06-18,29.17,29.48,29.08,29.43,43700,28.79
2013-06-17,28.96,29.27,28.91,29.12,28200,28.48
2013-06-14,28.40,29.15,28.31,28.95,193800,28.31
2013-06-13,28.05,28.35,27.87,28.26,30300,27.64
2013-06-12,27.98,28.20,27.90,28.18,165000,27.56
2013-06-11,28.23,28.23,27.62,27.94,40100,27.33
2013-06-10,28.25,28.25,28.04,28.23,88600,27.61
2013-06-07,28.30,28.30,27.75,28.00,50800,27.38
2013-06-06,28.44,28.44,27.72,28.02,34500,27.40
2013-06-05,28.47,28.57,28.11,28.34,58100,27.72
2013-06-04,28.30,28.67,28.25,28.37,184100,27.74
2013-06-03,28.00,28.50,27.76,28.18,174700,27.56
2013-05-31,27.57,27.83,27.41,27.75,74300,27.14
2013-05-30,27.27,28.03,27.20,27.70,78400,27.09
2013-05-29,27.50,27.70,27.06,27.26,72500,26.66
2013-05-28,27.67,27.91,27.12,27.38,66100,26.78
2013-05-27,27.33,27.90,27.19,27.83,15500,27.22
2013-05-24,27.56,27.93,27.26,27.32,31400,26.72
2013-05-23,27.66,27.67,27.05,27.55,53500,26.94
2013-05-22,28.00,28.20,27.75,28.00,69700,27.38
2013-05-21,27.69,28.10,27.55,28.10,85500,27.48
2013-05-20,27.95,27.95,27.67,27.89,32500,27.27
2013-05-17,28.40,28.40,27.75,27.95,44900,27.34
2013-05-16,27.91,28.92,27.91,28.40,124800,27.77
2013-05-15,27.58,28.07,27.58,28.07,33600,27.45
2013-05-14,27.82,28.07,27.36,28.06,79100,27.44
2013-05-13,28.16,28.23,27.75,27.76,68100,27.15
2013-05-10,27.47,28.35,27.26,28.24,94900,27.61
2013-05-09,27.00,27.24,26.85,27.24,36700,26.64
2013-05-08,26.75,27.18,26.75,27.00,25200,26.40
2013-05-07,26.74,27.60,26.60,27.01,67300,26.41
2013-05-06,25.94,26.95,25.85,26.95,52300,26.36
2013-05-03,25.94,26.07,25.72,25.91,49100,25.34
2013-05-02,25.35,25.80,24.97,25.71,119600,25.14
2013-05-01,25.45,25.45,25.45,25.45,000,24.89
2013-04-30,25.59,25.97,25.35,25.45,82400,24.89
2013-04-29,25.45,25.79,25.27,25.60,123800,25.03
2013-04-26,26.25,26.34,25.35,25.54,119000,24.98
2013-04-25,26.00,26.92,26.00,26.48,184700,25.89
2013-04-24,25.56,26.45,25.56,26.32,73700,25.74
2013-04-23,25.71,25.75,25.17,25.58,150000,25.02
2013-04-22,25.93,26.35,25.61,25.68,65700,25.11
2013-04-19,25.64,25.93,25.33,25.75,119600,25.18
2013-04-18,25.54,25.98,25.50,25.64,77800,25.07
2013-04-17,27.24,27.24,25.24,25.71,99000,25.14
2013-04-16,26.94,27.00,25.81,26.88,180700,26.28
2013-04-15,27.83,27.92,26.72,26.82,123200,26.23
2013-04-12,27.78,28.20,27.25,28.04,139400,27.42
2013-04-11,26.86,28.24,26.86,27.75,122700,27.14
2013-04-10,27.25,27.25,26.88,27.03,79100,26.43
2013-04-09,27.24,27.38,26.88,27.01,60700,26.42
2013-04-08,26.74,27.35,26.74,26.95,106200,26.36
2013-04-05,27.50,27.66,26.71,26.79,55900,26.20
2013-04-04,27.45,27.98,27.10,27.61,58900,27.00
2013-04-03,27.03,27.45,26.90,27.21,77100,26.61
2013-04-02,27.10,27.57,26.85,26.99,88100,26.39
2013-04-01,27.30,27.30,27.30,27.30,000,26.70
2013-03-29,27.30,27.30,27.30,27.30,000,26.70
2013-03-28,28.03,28.03,27.16,27.30,54900,26.70
2013-03-27,28.06,28.35,27.80,28.12,52400,27.50
2013-03-26,28.08,28.35,28.06,28.14,10900,27.52
2013-03-25,28.75,28.75,28.03,28.18,35100,27.56
2013-03-22,28.50,28.66,28.25,28.50,27900,27.87
2013-03-21,28.48,28.70,28.20,28.63,54300,28.00
2013-03-20,28.35,28.43,28.17,28.33,46600,27.70
2013-03-19,27.90,28.39,27.90,28.23,86400,27.61
2013-03-18,27.52,27.94,27.00,27.93,232500,27.31
2013-03-15,28.49,28.71,27.55,27.68,128200,27.07
2013-03-14,28.90,29.00,28.24,28.42,65500,27.80
2013-03-13,28.90,28.96,28.50,28.80,57700,28.16
2013-03-12,28.80,29.18,28.73,28.89,66100,28.25
2013-03-11,29.72,29.79,28.44,28.82,83900,28.18
2013-03-08,29.12,29.74,28.68,29.62,281300,28.97
2013-03-07,29.20,29.53,28.85,29.00,101700,28.36
2013-03-06,29.70,29.86,29.30,29.30,146900,28.65
2013-03-05,28.53,30.00,28.45,29.80,141300,29.14
2013-03-04,28.60,28.60,28.12,28.39,89000,27.76
2013-03-01,29.75,29.97,28.25,28.62,138400,27.99
2013-02-28,30.25,30.99,29.75,30.03,443100,29.37
2013-02-27,31.00,31.52,31.00,31.40,48900,30.71
2013-02-26,31.70,31.77,31.01,31.16,64300,30.47
2013-02-25,31.65,32.12,31.48,32.04,45100,31.33
2013-02-22,31.94,32.25,31.58,31.60,44900,30.90
2013-02-21,32.32,32.33,31.68,32.11,37600,31.40
2013-02-20,32.42,33.43,32.26,32.50,86300,31.78
2013-02-19,32.33,32.68,32.25,32.68,17700,31.96
2013-02-18,31.85,32.29,31.85,32.26,21300,31.54
2013-02-15,31.50,32.14,31.33,32.14,56200,31.43
2013-02-14,31.60,31.60,31.40,31.50,18800,30.80
2013-02-13,31.27,32.09,31.25,31.61,65800,30.92
2013-02-12,30.77,31.25,30.75,31.00,48300,30.32
2013-02-11,31.35,31.40,30.76,30.88,37600,30.20
2013-02-08,30.06,31.36,30.06,31.36,99500,30.67
2013-02-07,29.93,30.20,29.80,30.08,30700,29.42
2013-02-06,29.67,30.14,29.66,29.86,54900,29.21
2013-02-05,29.39,29.66,29.27,29.55,24100,28.90
2013-02-04,29.78,29.85,29.25,29.37,35800,28.72
2013-02-01,29.40,29.70,29.40,29.68,36900,29.02
2013-01-31,29.70,29.70,29.35,29.35,25400,28.70
2013-01-30,29.25,29.67,29.08,29.67,57100,29.02
2013-01-29,28.38,29.11,28.38,29.08,46900,28.44
