Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,3.38,3.38,3.29,3.33,5015700,3.33
2013-08-19,3.44,3.44,3.38,3.40,3476200,3.40
2013-08-16,3.38,3.43,3.37,3.43,3510100,3.43
2013-08-15,3.40,3.41,3.35,3.39,5018900,3.39
2013-08-14,3.30,3.44,3.30,3.42,16308400,3.42
2013-08-13,3.92,3.92,3.83,3.88,5666900,3.88
2013-08-12,3.88,3.92,3.87,3.91,4567500,3.91
2013-08-09,3.84,3.88,3.80,3.86,4093000,3.86
2013-08-08,3.82,3.84,3.80,3.83,6297900,3.83
2013-08-07,3.80,3.85,3.67,3.79,13158100,3.79
2013-08-06,3.98,3.99,3.86,3.94,5786700,3.94
2013-08-05,3.91,3.98,3.91,3.96,3824800,3.96
2013-08-02,3.91,3.93,3.88,3.90,3069100,3.90
2013-08-01,3.85,3.90,3.85,3.90,4262300,3.90
2013-07-31,3.80,3.84,3.77,3.84,3564900,3.84
2013-07-30,3.80,3.80,3.75,3.79,2752000,3.79
2013-07-29,3.79,3.82,3.75,3.77,3212300,3.77
2013-07-26,3.80,3.82,3.75,3.76,4146300,3.76
2013-07-25,3.79,3.79,3.73,3.78,3980100,3.78
2013-07-24,3.65,3.79,3.64,3.79,5182700,3.79
2013-07-23,3.65,3.69,3.64,3.64,2926900,3.64
2013-07-22,3.64,3.68,3.63,3.64,3224900,3.64
2013-07-19,3.58,3.64,3.57,3.62,3696800,3.62
2013-07-18,3.49,3.58,3.46,3.58,2736600,3.58
2013-07-17,3.50,3.51,3.43,3.48,2515400,3.48
2013-07-16,3.50,3.53,3.47,3.48,2241200,3.48
2013-07-15,3.46,3.50,3.45,3.50,2662600,3.50
2013-07-12,3.44,3.47,3.40,3.43,1888800,3.43
2013-07-11,3.46,3.48,3.41,3.43,1914200,3.43
2013-07-10,3.42,3.45,3.38,3.43,1913100,3.43
2013-07-09,3.48,3.48,3.41,3.43,2485600,3.43
2013-07-08,3.41,3.47,3.38,3.45,2333900,3.45
2013-07-05,3.42,3.46,3.37,3.38,3508300,3.38
2013-07-04,3.26,3.42,3.24,3.41,4251700,3.41
2013-07-03,3.26,3.26,3.17,3.24,2891300,3.24
2013-07-02,3.32,3.32,3.26,3.29,1960200,3.29
2013-07-01,3.26,3.31,3.20,3.30,3255100,3.30
2013-06-28,3.28,3.31,3.22,3.22,4636000,3.22
2013-06-27,3.31,3.33,3.25,3.28,2077800,3.28
2013-06-26,3.24,3.32,3.22,3.29,2842300,3.29
2013-06-25,3.19,3.24,3.18,3.24,3371900,3.24
2013-06-24,3.26,3.27,3.15,3.18,4357100,3.18
2013-06-21,3.29,3.34,3.23,3.23,5041800,3.23
2013-06-20,3.38,3.39,3.29,3.31,4163700,3.31
2013-06-19,3.44,3.45,3.40,3.42,3491500,3.42
2013-06-18,3.41,3.47,3.40,3.45,2705700,3.45
2013-06-17,3.39,3.44,3.37,3.41,3066100,3.41
2013-06-14,3.39,3.41,3.37,3.40,4577300,3.40
2013-06-13,3.33,3.39,3.26,3.36,4423900,3.36
2013-06-12,3.44,3.47,3.38,3.39,3235600,3.39
2013-06-11,3.49,3.50,3.42,3.45,2502300,3.45
2013-06-10,3.50,3.55,3.46,3.49,2377400,3.49
2013-06-07,3.54,3.55,3.49,3.52,3916900,3.52
2013-06-06,3.56,3.58,3.53,3.53,3928900,3.53
2013-06-05,3.61,3.61,3.56,3.56,2928700,3.56
2013-06-04,3.66,3.66,3.61,3.63,2174100,3.63
2013-06-03,3.62,3.66,3.59,3.61,2713200,3.61
2013-05-31,3.63,3.67,3.61,3.64,4410300,3.64
2013-05-30,3.64,3.69,3.62,3.62,4468500,3.62
2013-05-29,3.67,3.67,3.62,3.66,3579300,3.66
2013-05-28,3.56,3.66,3.55,3.65,6119300,3.65
2013-05-27,3.54,3.55,3.51,3.53,3086700,3.53
2013-05-24,3.58,3.59,3.48,3.50,5185300,3.50
2013-05-23,3.56,3.64,3.53,3.64,7523600,3.54
2013-05-22,3.63,3.66,3.59,3.66,3711800,3.56
2013-05-21,3.65,3.67,3.58,3.63,4624900,3.53
2013-05-20,3.64,3.70,3.62,3.65,3311200,3.55
2013-05-17,3.60,3.65,3.59,3.62,4751700,3.52
2013-05-16,3.59,3.63,3.58,3.61,4368400,3.51
2013-05-15,3.55,3.60,3.51,3.59,3547200,3.49
2013-05-14,3.55,3.57,3.51,3.56,3333500,3.46
2013-05-13,3.53,3.54,3.51,3.52,3895500,3.43
2013-05-10,3.52,3.55,3.48,3.50,3643600,3.41
2013-05-09,3.56,3.56,3.49,3.52,2763000,3.42
2013-05-08,3.49,3.57,3.49,3.56,3754700,3.46
2013-05-07,3.49,3.50,3.43,3.50,6715100,3.40
2013-05-06,3.35,3.44,3.34,3.42,3880500,3.33
2013-05-03,3.28,3.39,3.28,3.35,4534400,3.26
2013-05-02,3.31,3.35,3.25,3.32,5400200,3.23
2013-05-01,3.33,3.33,3.33,3.33,000,3.24
2013-04-30,3.34,3.41,3.33,3.33,5844100,3.24
2013-04-29,3.30,3.37,3.29,3.35,4625600,3.25
2013-04-26,3.34,3.34,3.25,3.29,5877000,3.20
2013-04-25,3.28,3.36,3.26,3.35,4447000,3.25
2013-04-24,3.32,3.34,3.23,3.30,6538500,3.21
2013-04-23,3.24,3.34,3.19,3.33,7388100,3.24
2013-04-22,3.16,3.26,3.15,3.23,8702000,3.14
2013-04-19,3.07,3.11,3.05,3.10,5155700,3.01
2013-04-18,3.08,3.10,2.95,3.05,7531600,2.97
2013-04-17,3.16,3.17,3.02,3.08,8251600,3.00
2013-04-16,3.04,3.16,3.04,3.13,7135100,3.04
2013-04-15,3.07,3.08,2.98,3.07,5312900,2.98
2013-04-12,3.10,3.10,3.04,3.06,8545100,2.98
2013-04-11,3.06,3.14,3.02,3.14,9104500,3.05
