Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,47.16,47.22,45.00,46.44,1432300,46.44
2013-08-19,49.22,49.25,47.12,47.25,1270800,47.25
2013-08-16,49.19,49.45,48.63,49.31,554800,49.31
2013-08-15,50.00,50.02,48.64,49.10,814800,49.10
2013-08-14,49.40,50.58,49.15,50.17,810000,50.17
2013-08-13,48.67,49.12,48.60,49.12,600500,49.12
2013-08-12,48.82,49.31,47.96,48.59,855700,48.59
2013-08-09,48.96,49.24,48.51,48.89,689100,48.89
2013-08-08,48.43,48.97,48.24,48.97,583200,48.97
2013-08-07,48.89,49.06,48.20,48.49,572900,48.49
2013-08-06,49.68,49.71,48.74,49.05,617700,49.05
2013-08-05,49.60,49.99,49.47,49.87,408100,49.87
2013-08-02,49.51,49.65,48.92,49.60,565800,49.60
2013-08-01,48.40,49.48,48.29,49.30,912300,49.30
2013-07-31,48.65,48.94,48.06,48.06,870100,48.06
2013-07-30,49.01,49.31,48.47,48.67,784800,48.67
2013-07-29,50.00,50.24,48.71,48.94,955500,48.94
2013-07-26,49.11,51.17,48.53,50.02,1538100,50.02
2013-07-25,48.56,49.74,48.38,49.31,1039100,49.31
2013-07-24,47.76,48.99,47.15,48.99,903500,48.99
2013-07-23,47.78,48.03,47.62,47.69,603500,47.69
2013-07-22,47.33,47.85,47.00,47.63,562700,47.63
2013-07-19,45.69,47.36,45.55,47.29,1147300,47.29
2013-07-18,46.49,46.49,45.58,46.01,1218300,46.01
2013-07-17,47.27,47.37,46.02,46.54,715200,46.54
2013-07-16,47.92,48.12,46.84,47.00,701200,47.00
2013-07-15,47.40,48.09,47.39,47.99,686900,47.99
2013-07-12,47.22,47.35,46.53,47.24,831300,47.24
2013-07-11,47.81,47.90,46.44,47.05,1052400,47.05
2013-07-10,47.86,48.26,46.63,46.93,589700,46.93
2013-07-09,47.58,48.41,47.51,47.81,802000,47.81
2013-07-08,47.32,48.42,47.03,47.50,807500,47.50
2013-07-05,47.83,47.83,46.54,46.65,1115700,46.65
2013-07-04,45.98,47.96,45.64,47.85,1683100,47.85
2013-07-03,46.00,46.01,45.01,45.52,1011000,45.52
2013-07-02,46.47,46.49,45.81,46.36,648000,46.36
2013-07-01,47.70,47.99,46.85,47.40,764200,46.40
2013-06-28,48.23,48.62,47.24,47.24,1043900,46.24
2013-06-27,48.50,48.51,47.63,48.22,856600,47.20
2013-06-26,48.01,48.70,47.40,48.49,1176400,47.47
2013-06-25,48.02,48.97,47.65,48.00,1121000,46.99
2013-06-24,46.51,47.58,45.63,47.18,1487800,46.18
2013-06-21,47.81,48.59,46.28,46.28,1456200,45.30
2013-06-20,49.21,49.21,47.74,47.76,1130500,46.76
2013-06-19,50.54,50.54,49.67,49.74,555900,48.69
2013-06-18,50.19,50.88,49.87,50.48,473600,49.41
2013-06-17,50.37,51.00,50.00,50.49,619000,49.42
2013-06-14,51.10,51.10,49.87,50.22,572400,49.16
2013-06-13,49.88,50.34,49.22,50.22,875700,49.16
2013-06-12,51.91,52.31,50.31,50.57,829500,49.50
2013-06-11,53.30,53.48,51.48,51.92,848700,50.82
2013-06-10,53.35,53.66,53.09,53.42,384800,52.29
2013-06-07,52.65,53.60,52.01,53.60,742400,52.47
