Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,32.22,32.24,31.85,31.92,107500,31.92
2013-08-19,32.60,32.64,32.12,32.33,163000,32.33
2013-08-16,32.48,32.88,32.46,32.64,218300,32.64
2013-08-15,32.78,32.99,32.35,32.54,131100,32.54
2013-08-14,32.83,33.14,32.67,32.67,210000,32.67
2013-08-13,32.52,32.91,32.45,32.74,129000,32.74
2013-08-12,32.56,32.57,32.10,32.37,77500,32.37
2013-08-09,32.94,32.94,32.40,32.49,111000,32.49
2013-08-08,33.05,33.15,32.79,32.79,202900,32.79
2013-08-07,33.28,33.28,32.88,33.05,99600,33.05
2013-08-06,33.44,33.50,33.18,33.33,104700,33.33
2013-08-05,33.04,33.62,33.04,33.47,118600,33.47
2013-08-02,33.75,33.75,33.10,33.20,91200,33.20
2013-08-01,32.79,33.51,32.61,33.51,192500,33.51
2013-07-31,33.10,33.10,32.44,32.59,204600,32.59
2013-07-30,33.10,33.17,32.90,32.92,161000,32.92
2013-07-29,33.10,33.10,32.65,32.81,154400,32.81
2013-07-26,32.80,33.03,32.76,32.92,165800,32.92
2013-07-25,32.89,32.90,32.45,32.63,158300,32.63
2013-07-24,32.99,32.99,32.42,32.76,149400,32.76
2013-07-23,33.29,33.29,32.47,32.57,136200,32.57
2013-07-22,33.19,33.40,32.86,33.12,129800,33.12
2013-07-19,32.55,33.47,32.49,32.90,313900,32.90
2013-07-18,32.49,32.67,32.18,32.44,161400,32.44
2013-07-17,32.68,32.84,32.26,32.42,172300,32.42
2013-07-16,32.99,32.99,32.31,32.49,157400,32.49
2013-07-15,32.69,33.08,32.60,32.96,101200,32.96
2013-07-12,32.70,32.97,32.55,32.69,136800,32.69
2013-07-11,32.44,32.82,32.33,32.70,185700,32.70
2013-07-10,32.15,32.27,31.93,32.15,269400,32.15
2013-07-09,31.98,32.24,31.84,32.15,166500,32.15
2013-07-08,31.38,31.92,31.34,31.78,139100,31.78
2013-07-05,31.30,31.78,31.05,31.25,228500,31.25
2013-07-04,30.75,31.40,30.52,31.25,165100,31.25
2013-07-03,30.60,30.73,30.42,30.70,200900,30.70
2013-07-02,30.00,30.82,29.92,30.82,220200,30.82
2013-07-01,30.40,30.92,29.81,29.81,197300,29.81
2013-06-28,30.24,30.62,30.24,30.28,309100,30.28
2013-06-27,30.00,30.25,29.75,30.12,205400,30.12
2013-06-26,29.50,30.07,29.39,30.00,417100,30.00
2013-06-25,29.39,29.53,29.06,29.44,485400,29.44
2013-06-24,30.58,30.59,28.97,29.29,382300,29.29
2013-06-21,31.08,31.50,30.59,30.59,467300,30.59
2013-06-20,31.34,31.34,30.75,31.11,293200,31.11
2013-06-19,31.21,31.48,30.85,31.40,184100,31.40
2013-06-18,31.17,31.33,31.00,31.26,173500,31.26
2013-06-17,31.23,31.45,31.00,31.27,138800,31.27
2013-06-14,30.55,31.45,30.49,31.08,279300,31.08
2013-06-13,30.70,30.93,30.34,30.40,401700,30.40
2013-06-12,31.23,31.33,30.81,30.90,237800,30.90
2013-06-11,31.76,31.84,31.03,31.19,263800,31.19
2013-06-10,32.15,32.38,31.87,31.90,170800,31.90
2013-06-07,31.84,33.13,31.63,32.31,289900,32.31
2013-06-06,32.55,32.74,31.72,31.74,218400,31.74
2013-06-05,33.10,33.10,32.63,32.74,225700,32.74
2013-06-04,33.49,33.51,32.90,33.25,233600,33.25
2013-06-03,33.06,33.38,32.33,33.35,217800,33.35
2013-05-31,33.25,33.53,32.67,33.20,385800,33.20
2013-05-30,33.52,33.70,33.00,33.25,160500,33.25
2013-05-29,33.80,33.85,33.40,33.61,222500,33.61
2013-05-28,33.95,34.25,33.85,33.86,201400,33.86
