Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,39.23,39.23,38.54,38.84,475200,38.84
2013-08-19,39.46,39.54,39.16,39.31,390200,39.31
2013-08-16,39.90,40.10,39.13,39.45,551900,39.45
2013-08-15,40.10,40.15,39.67,39.97,344400,39.97
2013-08-14,39.67,40.19,39.67,40.11,355000,40.11
2013-08-13,39.49,39.77,39.43,39.65,409900,39.65
2013-08-12,39.53,39.59,39.08,39.40,359600,39.40
2013-08-09,39.53,39.63,39.20,39.44,304200,39.44
2013-08-08,39.15,39.56,38.98,39.42,438700,39.42
2013-08-07,39.35,39.40,38.78,39.06,685300,39.06
2013-08-06,39.30,39.65,39.26,39.47,819200,39.47
2013-08-05,39.54,39.54,39.15,39.28,344600,39.28
2013-08-02,39.49,39.65,39.34,39.42,499200,39.42
2013-08-01,39.80,39.88,39.13,39.58,900300,39.58
2013-07-31,39.03,39.52,38.89,38.95,655600,38.95
2013-07-30,39.38,39.70,39.09,39.24,419000,39.24
2013-07-29,39.47,39.83,39.15,39.34,600400,39.34
2013-07-26,40.26,40.26,38.92,39.40,1148700,39.40
2013-07-25,40.46,40.64,40.06,40.40,670200,40.40
2013-07-24,40.38,40.47,40.13,40.40,513900,40.40
2013-07-23,40.06,40.30,39.92,40.24,418200,40.24
2013-07-22,40.33,40.35,39.95,40.03,412500,40.03
2013-07-19,39.44,40.47,39.37,40.40,929400,40.40
2013-07-18,39.18,39.56,39.04,39.54,352200,39.54
2013-07-17,38.88,39.26,38.48,39.26,449400,39.26
2013-07-16,38.97,39.12,38.65,38.82,437800,38.82
2013-07-15,38.56,39.11,38.50,38.99,528800,38.99
2013-07-12,38.31,38.65,38.26,38.39,474100,38.39
2013-07-11,38.50,38.50,38.09,38.33,402600,38.33
2013-07-10,38.10,38.50,37.65,38.24,736400,38.24
2013-07-09,38.21,38.57,37.90,38.04,564400,38.04
2013-07-08,38.05,38.32,37.97,38.19,566600,38.19
2013-07-05,37.19,38.09,36.90,37.78,1337200,37.78
2013-07-04,36.28,37.25,36.19,37.24,578400,37.24
2013-07-03,36.05,36.22,35.78,36.17,540200,36.17
2013-07-02,36.40,36.43,36.00,36.35,535300,36.35
2013-07-01,35.80,36.51,35.79,36.42,782400,36.42
2013-06-28,35.60,35.87,35.38,35.64,746100,35.64
2013-06-27,35.44,35.58,35.11,35.52,942400,35.52
2013-06-26,35.39,35.74,35.14,35.45,1037100,35.45
2013-06-25,35.31,35.62,34.94,35.40,852400,35.40
2013-06-24,35.94,36.19,35.08,35.08,924100,35.08
2013-06-21,36.21,36.56,35.94,35.94,997200,35.94
2013-06-20,36.10,36.90,35.92,36.24,1520800,36.24
2013-06-19,35.69,36.26,35.45,36.25,1284000,36.25
2013-06-18,35.55,35.71,35.40,35.55,728600,35.55
2013-06-17,35.18,35.61,35.17,35.45,1100200,35.45
2013-06-14,35.53,35.53,35.03,35.06,825700,35.06
2013-06-13,35.26,35.60,35.24,35.51,957400,35.51
2013-06-12,35.68,35.87,35.58,35.70,962700,35.70
2013-06-11,35.69,35.99,35.17,35.58,3429100,35.58
2013-06-10,37.22,37.30,36.85,37.12,313000,37.12
2013-06-07,36.85,37.41,36.49,37.25,529900,37.25
2013-06-06,37.20,37.34,36.70,36.74,486800,36.74
2013-06-05,37.03,37.19,36.55,36.60,379600,36.60
2013-06-04,38.19,38.34,37.12,37.24,651700,37.24
2013-06-03,38.03,38.20,37.50,37.81,531600,37.81
2013-05-31,38.22,38.35,37.67,38.04,1240200,38.04
2013-05-30,37.53,38.40,37.53,38.33,372100,38.33
2013-05-29,37.40,37.85,37.40,37.62,678200,37.62
2013-05-28,38.49,39.15,38.08,38.94,498400,37.94
2013-05-27,38.38,38.46,38.15,38.46,228800,37.47
2013-05-24,37.93,38.37,37.85,38.03,461700,37.05
2013-05-23,38.40,38.73,37.72,37.99,848800,37.02
2013-05-22,38.71,39.04,38.71,38.90,550800,37.90
2013-05-21,38.93,39.29,38.62,38.90,694600,37.90
2013-05-20,38.78,39.00,38.47,38.99,333100,37.99
2013-05-17,38.17,38.83,38.04,38.69,596400,37.70
2013-05-16,37.99,38.49,37.83,38.40,467100,37.42
2013-05-15,37.65,38.17,37.49,38.00,318700,37.02
2013-05-14,37.75,37.90,37.31,37.68,534500,36.71
2013-05-13,37.48,37.65,37.33,37.51,356600,36.55
2013-05-10,37.40,38.19,37.22,37.37,577400,36.41
2013-05-09,37.48,37.82,37.37,37.40,404700,36.44
2013-05-08,36.60,37.66,36.53,37.54,589800,36.58
2013-05-07,35.85,37.08,35.64,36.74,930000,35.80
2013-05-06,35.29,35.64,34.97,35.44,577300,34.53
2013-05-03,35.63,35.67,35.20,35.56,734300,34.64
2013-05-02,34.60,35.74,34.43,35.69,1100700,34.77
2013-05-01,35.38,35.38,35.38,35.38,000,34.48
2013-04-30,35.60,35.71,35.12,35.38,729900,34.48
2013-04-29,35.06,35.60,35.06,35.52,516800,34.61
2013-04-26,35.08,35.24,34.85,35.04,469100,34.14
2013-04-25,34.49,35.11,34.49,35.06,488900,34.16
2013-04-24,34.12,34.65,33.91,34.50,738700,33.61
2013-04-23,33.15,34.15,32.94,34.13,894200,33.25
2013-04-22,33.21,33.53,32.97,33.08,335900,32.23
2013-04-19,33.11,33.48,32.87,33.20,559400,32.35
2013-04-18,32.92,33.58,32.79,33.01,700400,32.16
2013-04-17,33.72,33.83,32.81,32.97,874000,32.12
2013-04-16,33.67,34.05,33.42,33.64,570600,32.78
2013-04-15,33.91,34.06,33.60,33.88,527400,33.01
2013-04-12,34.33,34.44,33.81,34.00,639500,33.13
2013-04-11,33.85,34.53,33.85,34.50,499900,33.61
2013-04-10,33.42,34.06,33.24,34.05,674200,33.18
2013-04-09,33.21,33.46,33.12,33.35,542300,32.49
2013-04-08,33.12,33.40,33.07,33.16,393800,32.31
2013-04-05,33.99,34.15,32.88,33.04,789400,32.20
2013-04-04,34.39,34.56,33.83,33.97,582500,33.10
2013-04-03,34.53,34.95,34.27,34.42,652600,33.53
2013-04-02,33.78,34.72,33.78,34.68,856500,33.79
2013-04-01,34.02,34.02,34.02,34.02,000,33.15
2013-03-29,34.02,34.02,34.02,34.02,000,33.15
