Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,12.53,12.53,12.21,12.25,270600,12.25
2013-08-19,12.65,12.67,12.52,12.57,98300,12.57
2013-08-16,12.51,12.63,12.51,12.61,105800,12.61
2013-08-15,12.70,12.70,12.45,12.57,123900,12.57
2013-08-14,12.50,12.76,12.46,12.68,261600,12.68
2013-08-13,12.47,12.52,12.40,12.44,214600,12.44
2013-08-12,12.60,12.60,12.40,12.41,264200,12.41
2013-08-09,12.98,12.98,12.38,12.58,662100,12.58
2013-08-08,12.20,12.74,12.19,12.71,334700,12.71
2013-08-07,12.37,12.38,12.10,12.18,276400,12.18
2013-08-06,12.55,12.56,12.23,12.40,273900,12.40
2013-08-05,12.35,12.55,12.33,12.55,264200,12.55
2013-08-02,12.30,12.49,12.27,12.31,279500,12.31
2013-08-01,12.29,12.34,12.19,12.27,289200,12.27
2013-07-31,12.24,12.27,12.10,12.27,171500,12.27
2013-07-30,12.15,12.23,11.91,12.23,305700,12.23
2013-07-29,12.00,12.20,11.98,12.19,171300,12.19
2013-07-26,12.09,12.11,11.93,11.98,135600,11.98
2013-07-25,12.07,12.08,11.91,12.06,117300,12.06
2013-07-24,12.19,12.22,12.01,12.05,191700,12.05
2013-07-23,12.20,12.29,12.12,12.12,201700,12.12
2013-07-22,12.07,12.24,12.02,12.24,178300,12.24
2013-07-19,12.05,12.05,11.90,12.04,246100,12.04
2013-07-18,11.80,12.08,11.74,12.08,293200,12.08
2013-07-17,11.64,11.84,11.54,11.79,239700,11.79
2013-07-16,11.77,11.80,11.61,11.61,180200,11.61
2013-07-15,11.75,11.90,11.72,11.73,191700,11.73
2013-07-12,11.94,11.97,11.74,11.75,164600,11.75
2013-07-11,11.80,11.93,11.69,11.89,332000,11.89
2013-07-10,11.69,11.79,11.64,11.78,149000,11.78
2013-07-09,11.66,11.80,11.60,11.69,281200,11.69
2013-07-08,11.70,11.76,11.53,11.57,263000,11.57
2013-07-05,11.60,11.74,11.53,11.61,213500,11.61
2013-07-04,11.50,11.60,11.43,11.60,224700,11.60
2013-07-03,11.60,11.60,11.34,11.41,228800,11.41
2013-07-02,11.48,11.53,11.33,11.47,175400,11.47
2013-07-01,11.49,11.52,11.34,11.43,225000,11.43
2013-06-28,11.50,11.56,11.31,11.43,277500,11.43
2013-06-27,11.22,11.49,11.19,11.43,350800,11.43
2013-06-26,11.24,11.30,11.12,11.16,285800,11.16
2013-06-25,11.13,11.27,10.98,11.20,461100,11.20
2013-06-24,11.41,11.44,10.88,10.93,476300,10.93
2013-06-21,11.64,11.78,11.31,11.36,590600,11.36
2013-06-20,11.99,12.00,11.81,12.00,635500,11.60
2013-06-19,12.07,12.10,11.93,12.03,335300,11.63
2013-06-18,12.06,12.10,11.93,12.05,272100,11.64
2013-06-17,12.09,12.15,11.98,12.05,315400,11.64
2013-06-14,12.10,12.23,11.95,12.04,472700,11.64
2013-06-13,12.01,12.28,11.80,11.98,829400,11.59
2013-06-12,12.20,12.27,12.06,12.07,297200,11.67
2013-06-11,12.27,12.39,12.07,12.19,437200,11.79
2013-06-10,12.48,12.48,12.06,12.14,572900,11.74
2013-06-07,12.53,12.53,12.36,12.46,451200,12.04
2013-06-06,12.86,12.89,12.41,12.52,252700,12.10
2013-06-05,13.02,13.08,12.77,12.78,218600,12.35
2013-06-04,13.10,13.17,12.98,13.06,224900,12.62
2013-06-03,13.23,13.40,13.02,13.05,400100,12.61
2013-05-31,13.29,13.34,13.12,13.30,327100,12.85
2013-05-30,13.32,13.43,13.26,13.30,273800,12.85
2013-05-29,13.36,13.39,13.22,13.27,249100,12.82
2013-05-28,13.40,13.49,13.31,13.31,240300,12.87
2013-05-27,13.20,13.40,13.18,13.38,117000,12.93
2013-05-24,13.22,13.49,13.09,13.16,303000,12.73
2013-05-23,13.30,13.30,12.79,12.94,367000,12.51
2013-05-22,13.35,13.55,13.32,13.45,220000,13.01
2013-05-21,13.31,13.47,13.28,13.34,208100,12.90
2013-05-20,13.15,13.40,13.15,13.37,142400,12.92
2013-05-17,13.20,13.26,13.10,13.16,196500,12.73
2013-05-16,13.08,13.23,13.05,13.17,254100,12.73
2013-05-15,13.23,13.34,13.06,13.09,194800,12.65
2013-05-14,13.14,13.35,13.04,13.28,195200,12.84
2013-05-13,13.16,13.24,13.02,13.19,180100,12.76
2013-05-10,13.20,13.39,13.17,13.20,190000,12.76
2013-05-09,13.23,13.27,13.16,13.19,129400,12.75
2013-05-08,12.98,13.34,12.98,13.24,227100,12.80
2013-05-07,12.99,13.11,12.96,12.98,148200,12.55
2013-05-06,12.99,13.03,12.91,12.94,114300,12.51
2013-05-03,12.80,13.09,12.72,12.97,253700,12.54
2013-05-02,12.90,12.93,12.65,12.73,290000,12.31
2013-05-01,12.91,12.91,12.91,12.91,000,12.48
2013-04-30,12.61,12.97,12.59,12.91,342800,12.48
2013-04-29,12.55,12.75,12.52,12.59,145800,12.17
2013-04-26,12.67,12.69,12.46,12.54,231200,12.12
2013-04-25,12.47,12.71,12.46,12.68,226500,12.26
2013-04-24,12.37,12.53,12.28,12.45,412700,12.04
2013-04-23,12.10,12.43,12.02,12.32,324100,11.91
2013-04-22,12.12,12.30,11.99,12.07,232300,11.67
2013-04-19,12.05,12.20,11.98,12.12,228500,11.72
2013-04-18,12.10,12.26,11.97,11.99,421600,11.60
2013-04-17,12.39,12.40,12.01,12.03,418700,11.63
2013-04-16,12.57,12.57,12.22,12.36,452300,11.95
2013-04-15,12.98,13.00,12.63,12.63,341900,12.21
2013-04-12,13.19,13.25,12.95,12.95,371000,12.52
2013-04-11,13.01,13.19,12.95,13.15,322900,12.71
2013-04-10,12.94,13.19,12.94,12.99,392100,12.56
2013-04-09,12.91,13.00,12.88,12.93,177200,12.49
2013-04-08,12.78,13.07,12.78,12.90,350500,12.47
2013-04-05,13.22,13.26,12.72,12.72,598200,12.30
2013-04-04,13.47,13.55,13.23,13.23,281800,12.79
2013-04-03,13.66,13.76,13.42,13.47,429800,13.02
2013-04-02,13.61,13.81,13.55,13.70,367000,13.24
2013-04-01,13.63,13.63,13.63,13.63,000,13.18
2013-03-29,13.63,13.63,13.63,13.63,000,13.18
2013-03-28,14.00,14.11,13.50,13.63,1171200,13.18
2013-03-27,14.15,14.19,13.83,14.12,315900,13.65
2013-03-26,14.14,14.23,14.07,14.15,375800,13.68
2013-03-25,14.38,14.40,14.12,14.12,486800,13.65
2013-03-22,14.31,14.38,14.21,14.25,199100,13.77
2013-03-21,14.49,14.50,14.22,14.38,284900,13.90
2013-03-20,14.65,14.80,14.35,14.47,497200,13.98
2013-03-19,14.86,14.92,14.62,14.65,334600,14.16
2013-03-18,14.53,14.91,14.52,14.90,386400,14.40
2013-03-15,14.60,14.81,14.51,14.81,363500,14.32
2013-03-14,14.66,14.77,14.55,14.62,325900,14.14
2013-03-13,14.48,14.64,14.36,14.64,269200,14.15
2013-03-12,14.43,14.76,14.36,14.46,565200,13.98
2013-03-11,14.27,14.51,14.25,14.46,341900,13.98
2013-03-08,14.20,14.29,14.10,14.24,324900,13.77
2013-03-07,14.09,14.21,14.09,14.10,236300,13.63
2013-03-06,13.98,14.16,13.91,14.09,293200,13.62
2013-03-05,13.81,14.03,13.79,13.98,321200,13.52
2013-03-04,13.98,14.03,13.76,13.77,384400,13.32
2013-03-01,13.94,14.10,13.83,14.00,304500,13.53
2013-02-28,14.19,14.30,13.98,13.99,304100,13.52
2013-02-27,13.92,14.17,13.80,14.15,477600,13.68
2013-02-26,13.90,14.09,13.81,13.82,285800,13.36
2013-02-25,13.99,14.32,13.94,14.16,528100,13.69
2013-02-22,13.90,14.07,13.86,13.98,466900,13.52
2013-02-21,14.10,14.15,13.84,13.86,540000,13.40
2013-02-20,14.35,14.43,14.05,14.14,1053600,13.67
2013-02-19,14.50,14.97,14.50,14.95,800100,14.45
2013-02-18,14.82,15.05,14.44,14.48,4108800,14.00
2013-02-15,14.15,14.40,14.14,14.36,813300,13.89
2013-02-14,14.09,14.25,13.97,14.16,347500,13.69
2013-02-13,14.10,14.24,14.01,14.18,456900,13.71
2013-02-12,14.11,14.27,13.94,14.09,411800,13.62
2013-02-11,13.91,14.25,13.73,14.20,709900,13.73
2013-02-08,14.20,14.23,13.84,13.90,516700,13.43
2013-02-07,14.30,14.40,14.06,14.06,457000,13.59
2013-02-06,14.15,14.40,13.97,14.30,524400,13.82
2013-02-05,14.15,14.22,13.70,14.20,852400,13.73
2013-02-04,14.09,14.38,14.05,14.19,837800,13.71
2013-02-01,13.70,14.29,13.65,14.05,1252900,13.58
2013-01-31,13.44,13.70,13.44,13.61,442400,13.16
2013-01-30,13.56,13.63,13.36,13.45,767700,13.01
2013-01-29,13.69,13.69,13.41,13.60,235300,13.14
2013-01-28,13.65,13.69,13.60,13.66,157700,13.20
2013-01-25,13.59,13.69,13.50,13.53,186400,13.08
2013-01-24,13.65,13.68,13.58,13.64,224600,13.19
2013-01-23,13.64,13.69,13.52,13.63,210800,13.18
2013-01-22,13.69,13.69,13.53,13.62,261000,13.17
2013-01-21,13.68,13.75,13.43,13.75,256600,13.29
2013-01-18,13.74,13.75,13.52,13.60,267200,13.15
2013-01-17,13.73,13.73,13.50,13.63,197100,13.18
2013-01-16,13.56,13.73,13.15,13.73,346900,13.28
2013-01-15,13.78,13.78,13.36,13.55,357700,13.09
2013-01-14,13.75,13.79,13.62,13.73,280000,13.28
2013-01-11,13.59,13.78,13.59,13.66,427500,13.20
2013-01-10,13.66,13.70,13.32,13.44,288400,12.99
2013-01-09,13.37,13.69,13.32,13.69,423400,13.24
2013-01-08,13.22,13.36,13.22,13.27,165500,12.83
2013-01-07,13.26,13.44,13.21,13.26,237200,12.81
2013-01-04,13.20,13.31,13.10,13.31,206700,12.87
2013-01-03,13.19,13.25,13.06,13.25,334800,12.81
2013-01-02,12.78,13.17,12.75,13.14,328400,12.70
2013-01-01,12.68,12.68,12.68,12.68,000,12.26
2012-12-31,12.56,12.69,12.52,12.68,42800,12.26
2012-12-28,12.53,12.75,12.53,12.57,245000,12.16
2012-12-27,12.30,12.56,12.30,12.56,150900,12.14
2012-12-26,12.30,12.30,12.30,12.30,000,11.89
2012-12-25,12.30,12.30,12.30,12.30,000,11.89
2012-12-24,12.27,12.43,12.27,12.30,141100,11.89
2012-12-21,12.58,12.58,12.28,12.42,352800,12.01
2012-12-20,12.57,12.60,12.50,12.58,302100,12.16
2012-12-19,12.69,12.69,12.50,12.58,226500,12.16
2012-12-18,12.65,12.70,12.60,12.62,278100,12.20
2012-12-17,12.49,12.69,12.46,12.65,269600,12.23
2012-12-14,12.56,12.74,12.38,12.53,283800,12.12
2012-12-13,12.50,12.57,12.43,12.55,341600,12.13
2012-12-12,12.40,12.50,12.32,12.50,154400,12.08
2012-12-11,12.45,12.54,12.40,12.50,155400,12.08
2012-12-10,12.22,12.44,12.11,12.44,196700,12.03
2012-12-07,12.44,12.44,12.21,12.29,180400,11.88
2012-12-06,12.48,12.48,12.24,12.38,215000,11.97
2012-12-05,12.53,12.55,12.31,12.35,217600,11.94
2012-12-04,12.29,12.55,12.29,12.45,257400,12.03
2012-12-03,12.58,12.58,12.26,12.27,275200,11.86
2012-11-30,12.49,12.59,12.40,12.49,344500,12.08
2012-11-29,12.25,12.55,12.23,12.40,555800,11.99
2012-11-28,11.92,12.40,11.88,12.23,1062600,11.83
2012-11-27,12.30,12.30,11.98,11.98,846100,11.58
2012-11-26,12.44,12.45,12.10,12.23,639300,11.83
2012-11-23,12.30,12.45,12.15,12.44,525300,12.03
2012-11-22,11.90,12.27,11.85,12.27,732300,11.86
2012-11-21,11.78,11.94,11.62,11.85,734600,11.46
2012-11-20,11.52,11.72,11.39,11.72,359200,11.33
2012-11-19,11.38,11.57,11.31,11.57,253700,11.18
2012-11-16,11.39,11.52,11.23,11.27,476500,10.89
2012-11-15,11.21,11.51,11.20,11.34,426600,10.96
2012-11-14,11.37,11.54,11.26,11.28,273700,10.90
2012-11-13,11.45,11.46,11.12,11.36,418400,10.98
2012-11-12,11.90,11.90,11.45,11.45,461200,11.07
2012-11-09,11.75,11.96,11.61,11.88,595100,11.48
2012-11-08,11.65,11.72,11.61,11.65,281400,11.27
2012-11-07,11.71,11.91,11.57,11.57,368500,11.19
2012-11-06,11.84,11.85,11.60,11.70,282900,11.31
2012-11-05,11.90,11.92,11.78,11.83,266900,11.44
2012-11-02,11.73,11.98,11.45,11.86,538700,11.47
2012-11-01,11.95,12.38,11.40,11.64,2290900,11.25
2012-10-31,10.90,11.02,10.72,10.74,209200,10.38
2012-10-30,10.70,10.89,10.70,10.84,162800,10.48
2012-10-29,10.90,11.00,10.69,10.71,226400,10.35
2012-10-26,10.67,10.93,10.67,10.88,314400,10.51
2012-10-25,10.91,10.95,10.67,10.67,339500,10.31
2012-10-24,11.06,11.10,10.91,10.93,191000,10.56
2012-10-23,11.14,11.20,10.97,10.99,371000,10.63
2012-10-22,11.36,11.36,11.12,11.14,144800,10.76
2012-10-19,11.36,11.45,11.32,11.35,227500,10.98
2012-10-18,11.25,11.39,11.20,11.35,304300,10.97
2012-10-17,11.30,11.30,11.13,11.27,222800,10.89
2012-10-16,11.12,11.39,11.12,11.29,282200,10.91
2012-10-15,11.18,11.29,11.09,11.10,177000,10.73
2012-10-12,11.29,11.38,11.19,11.19,152000,10.82
2012-10-11,11.11,11.34,11.11,11.31,189200,10.93
2012-10-10,11.15,11.19,11.04,11.11,153700,10.74
2012-10-09,11.25,11.28,11.10,11.15,245900,10.77
2012-10-08,11.47,11.47,11.20,11.20,176500,10.83
2012-10-05,11.49,11.50,11.39,11.44,123800,11.06
2012-10-04,11.58,11.59,11.23,11.37,302900,10.99
2012-10-03,11.53,11.57,11.44,11.54,173700,11.16
2012-10-02,11.65,11.76,11.47,11.50,214500,11.12
2012-10-01,11.51,11.70,11.45,11.69,212700,11.30
2012-09-28,11.66,11.74,11.51,11.54,198900,11.16
2012-09-27,11.60,11.70,11.52,11.61,241100,11.22
2012-09-26,11.79,11.80,11.56,11.58,201100,11.19
2012-09-25,11.70,12.00,11.69,11.90,316900,11.50
2012-09-24,11.88,11.89,11.65,11.69,204100,11.30
2012-09-21,11.70,11.90,11.65,11.90,346600,11.50
2012-09-20,11.65,11.76,11.57,11.61,182100,11.22
2012-09-19,11.92,11.99,11.63,11.71,358600,11.32
2012-09-18,12.16,12.16,11.89,11.91,190300,11.51
2012-09-17,12.15,12.20,12.06,12.16,179500,11.75
2012-09-14,12.01,12.20,12.01,12.06,341700,11.65
2012-09-13,11.90,12.06,11.84,11.85,180000,11.46
2012-09-12,11.69,11.99,11.69,11.90,463100,11.50
2012-09-11,11.40,11.65,11.40,11.56,368000,11.17
2012-09-10,11.49,11.49,11.36,11.44,243400,11.06
2012-09-07,11.65,11.80,11.49,11.50,572600,11.12
2012-09-06,11.40,11.61,11.35,11.59,406600,11.20
2012-09-05,11.90,11.90,11.31,11.33,708000,10.95
2012-09-04,12.30,12.30,11.83,11.87,241600,11.47
2012-09-03,12.46,12.46,12.20,12.26,245000,11.85
2012-08-31,12.55,12.80,12.20,12.46,434600,12.04
2012-08-30,12.50,12.75,12.43,12.55,359900,12.13
2012-08-29,12.40,12.50,12.38,12.40,206100,11.99
2012-08-28,12.35,12.36,12.24,12.28,166200,11.87
2012-08-27,12.38,12.48,12.28,12.40,83700,11.99
2012-08-24,12.35,12.38,12.20,12.24,134900,11.83
2012-08-23,12.50,12.60,12.37,12.38,159600,11.96
2012-08-22,12.60,12.60,12.44,12.44,168200,12.03
2012-08-21,12.52,12.65,12.51,12.60,144600,12.18
2012-08-20,12.93,12.95,12.40,12.58,429400,12.16
2012-08-17,12.97,13.07,12.91,12.91,155600,12.48
2012-08-16,12.93,12.99,12.85,12.95,137300,12.52
2012-08-15,12.84,12.90,12.73,12.87,115100,12.44
2012-08-14,12.99,13.00,12.77,12.88,126300,12.45
2012-08-13,13.00,13.01,12.81,12.86,130300,12.43
2012-08-10,13.16,13.16,12.90,12.99,221800,12.56
2012-08-09,13.14,13.35,13.10,13.20,368600,12.76
2012-08-08,12.90,13.14,12.86,13.12,655000,12.68
2012-08-07,12.59,12.85,12.59,12.70,235300,12.28
2012-08-06,12.27,12.61,12.27,12.51,229100,12.09
2012-08-03,12.21,12.35,12.19,12.25,317100,11.84
2012-08-02,12.51,12.60,12.20,12.21,187600,11.80
2012-08-01,12.48,12.64,12.43,12.53,228400,12.12
2012-07-31,12.41,12.68,12.31,12.52,453500,12.10
2012-07-30,12.50,12.60,12.42,12.42,241100,12.01
2012-07-27,12.50,12.57,11.64,12.46,428800,12.04
2012-07-26,12.10,12.54,11.95,12.48,320200,12.07
2012-07-25,12.07,12.23,11.98,12.10,323400,11.70
2012-07-24,12.40,12.53,12.10,12.25,315400,11.84
2012-07-23,12.68,12.72,12.23,12.45,689800,12.03
2012-07-20,12.80,13.15,12.62,12.79,735900,12.36
2012-07-19,12.68,12.77,12.56,12.70,454600,12.28
2012-07-18,12.62,12.65,12.35,12.65,453900,12.22
2012-07-17,12.10,12.65,12.03,12.57,1060600,12.15
2012-07-16,11.36,12.08,11.36,12.04,710000,11.64
2012-07-13,11.22,11.42,11.16,11.36,253300,10.98
2012-07-12,11.32,11.32,11.05,11.19,226700,10.81
2012-07-11,11.49,11.49,11.27,11.31,204000,10.93
2012-07-10,11.40,11.65,11.37,11.51,235000,11.13
2012-07-09,11.53,11.57,11.24,11.33,273200,10.95
2012-07-06,11.61,11.85,11.53,11.57,261000,11.18
2012-07-05,11.81,12.00,11.56,11.69,378600,11.30
2012-07-04,11.90,11.97,11.71,11.92,329200,11.52
2012-07-03,11.60,11.95,11.55,11.94,498500,11.54
2012-07-02,11.39,11.65,11.35,11.60,371200,11.21
2012-06-29,11.18,11.39,11.07,11.39,685300,11.01
2012-06-28,10.98,11.02,10.66,10.85,360300,10.49
2012-06-27,10.98,11.01,10.71,10.98,380300,10.61
2012-06-26,11.10,11.17,10.73,10.89,471700,10.53
2012-06-25,11.30,11.38,11.07,11.07,425800,10.70
2012-06-22,11.40,11.50,11.26,11.30,393300,10.92
2012-06-21,11.84,11.90,11.47,11.52,509500,11.14
2012-06-20,11.95,12.19,11.95,12.19,541300,11.40
2012-06-19,11.70,12.22,11.70,11.90,597400,11.13
2012-06-18,12.10,12.35,11.70,11.75,1087100,10.99
2012-06-15,11.69,12.07,11.62,11.85,694000,11.08
2012-06-14,12.49,12.95,11.25,11.58,2573400,10.83
2012-06-13,11.26,12.94,11.25,12.31,3658500,11.50
2012-06-12,10.51,10.55,10.25,10.45,426300,9.77
2012-06-11,10.72,10.84,10.50,10.50,370800,9.82
2012-06-08,10.64,10.65,10.37,10.50,404100,9.82
2012-06-07,10.70,10.89,10.52,10.72,518000,10.02
2012-06-06,10.24,10.69,10.24,10.69,328200,9.99
2012-06-05,10.30,10.40,10.17,10.17,345900,9.51
