Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,140.50,140.55,139.10,139.65,667300,138.45
2013-08-19,140.85,141.25,139.90,140.85,465900,139.64
2013-08-16,139.95,140.90,138.15,140.90,706100,139.69
2013-08-15,141.75,141.90,139.00,140.00,660700,138.80
2013-08-14,140.10,142.00,140.10,142.00,523900,140.78
2013-08-13,140.30,140.95,139.70,140.10,329000,138.90
2013-08-12,139.80,140.10,138.30,139.95,348500,138.75
2013-08-09,139.20,139.50,137.10,139.05,449000,137.86
2013-08-08,139.05,139.65,137.75,138.80,630300,137.61
2013-08-07,140.35,140.50,138.45,138.95,901700,137.76
2013-08-06,140.40,141.25,139.60,140.00,679300,138.80
2013-08-05,140.80,141.00,139.65,140.10,695800,138.90
2013-08-02,140.50,140.80,138.75,140.65,960800,139.44
2013-08-01,137.95,140.00,137.45,140.00,1021500,138.80
2013-07-31,135.75,137.00,135.15,136.65,831800,135.48
2013-07-30,135.30,135.95,134.10,135.80,741000,134.63
2013-07-29,136.00,137.20,133.90,134.45,839300,133.29
2013-07-26,133.50,137.80,133.20,135.05,1896100,133.89
2013-07-25,131.10,131.50,129.25,130.40,564500,129.28
2013-07-24,129.85,132.50,129.80,130.40,732300,129.28
2013-07-23,132.20,132.20,129.25,130.05,825900,128.93
2013-07-22,133.30,133.60,131.55,131.60,753300,130.47
2013-07-19,133.00,133.75,131.80,132.95,732100,131.81
2013-07-18,133.05,134.40,132.30,134.00,679200,132.85
2013-07-17,131.70,133.75,130.40,133.10,671000,131.96
2013-07-16,134.40,134.60,131.35,131.65,639600,130.52
2013-07-15,133.90,134.95,133.35,133.95,354000,132.80
2013-07-12,134.25,134.60,132.90,133.25,498800,132.10
2013-07-11,134.00,134.55,132.40,133.65,696000,132.50
2013-07-10,132.50,134.60,131.70,132.40,1004900,131.26
2013-07-09,131.40,132.00,130.25,131.40,941800,130.27
2013-07-08,126.65,129.40,126.05,128.75,717300,127.64
2013-07-05,126.60,127.95,125.05,125.05,732800,123.98
2013-07-04,125.95,126.50,125.60,126.30,898700,125.21
2013-07-03,125.00,125.10,123.50,124.75,658900,123.68
2013-07-02,128.35,128.45,125.25,126.10,676800,125.02
2013-07-01,125.95,127.90,124.90,127.35,954800,126.26
2013-06-28,127.00,127.25,123.95,124.50,1057100,123.43
2013-06-27,125.30,127.05,124.75,126.50,783100,125.41
2013-06-26,122.75,125.30,122.00,125.20,1077300,124.12
2013-06-25,120.40,122.50,119.40,122.00,945500,120.95
2013-06-24,122.60,123.45,117.80,119.25,1305800,118.23
2013-06-21,124.00,124.45,121.10,121.10,1232500,120.06
2013-06-20,125.40,125.95,122.70,122.95,1311200,121.89
2013-06-19,127.20,129.10,125.65,127.60,1002900,126.50
2013-06-18,127.15,127.50,126.15,126.85,710100,125.76
2013-06-17,125.80,127.75,125.30,127.15,950200,126.06
2013-06-14,127.10,127.10,125.15,125.80,922100,124.72
2013-06-13,126.50,126.75,124.20,126.00,1013300,124.92
2013-06-12,129.60,130.30,127.70,127.70,833200,126.60
2013-06-11,132.00,132.10,128.40,129.60,908800,128.49
2013-06-10,133.05,133.85,131.80,132.70,430100,131.56
2013-06-07,130.55,133.60,130.10,132.65,783900,131.51
2013-06-06,131.95,132.70,130.80,130.80,488900,129.68
2013-06-05,133.65,134.75,130.95,131.00,789700,129.87
2013-06-04,136.00,137.10,134.00,134.55,582500,133.39
2013-06-03,136.10,137.80,134.15,135.50,618900,134.34
2013-05-31,138.15,138.35,135.45,136.65,727800,135.48
2013-05-30,136.90,138.85,136.90,138.35,565600,137.16
2013-05-29,139.10,139.40,135.95,137.10,847600,135.92
2013-05-28,138.50,141.00,138.00,140.35,789300,139.14
2013-05-27,138.35,139.55,137.55,138.20,337100,137.01
2013-05-24,137.75,138.85,136.60,137.50,432500,136.32
2013-05-23,137.00,138.15,135.60,137.40,1046600,136.22
2013-05-22,142.90,143.20,139.55,141.80,986200,140.58
2013-05-21,142.40,143.35,142.25,143.20,561700,141.97
2013-05-20,142.00,142.70,141.75,142.30,392900,141.08
2013-05-17,140.30,141.65,139.65,141.65,1610600,140.43
2013-05-16,138.00,140.40,137.95,140.40,827800,139.19
2013-05-15,136.00,138.40,135.15,137.90,727400,136.72
2013-05-14,133.05,135.80,133.05,135.75,750800,134.58
2013-05-13,134.30,134.50,132.75,133.15,387700,132.01
2013-05-10,134.10,134.70,133.00,134.35,501300,133.20
2013-05-09,133.70,134.05,133.05,133.80,231000,132.65
2013-05-08,133.95,134.20,133.05,133.50,510000,132.35
2013-05-07,134.85,134.85,133.05,133.45,610500,132.30
2013-05-06,135.30,135.35,133.90,134.05,398200,132.90
2013-05-03,132.90,135.20,132.35,135.20,674700,134.04
2013-05-02,132.55,133.45,130.95,132.00,824400,130.87
2013-05-01,131.50,131.50,131.50,131.50,000,130.37
2013-04-30,132.00,132.00,130.35,131.50,674500,130.37
2013-04-29,129.80,131.50,128.90,131.40,615700,130.27
2013-04-26,129.00,130.00,127.85,129.15,564500,128.04
2013-04-25,128.85,129.95,128.50,129.85,664700,128.73
2013-04-24,125.90,128.80,125.30,128.20,1180900,127.10
2013-04-23,122.40,125.65,122.15,125.10,1181000,124.03
2013-04-22,122.00,122.80,121.05,121.85,797000,120.80
2013-04-19,122.75,123.75,121.40,123.30,1245300,120.46
2013-04-18,122.30,122.45,120.35,120.80,1219000,118.01
2013-04-17,126.55,127.50,121.75,121.75,1584500,118.94
2013-04-16,127.70,128.90,126.00,126.25,1684000,123.34
2013-04-15,130.75,131.50,129.25,131.25,599600,128.22
2013-04-12,132.90,133.60,130.45,130.85,694600,127.83
2013-04-11,131.95,133.90,131.85,133.00,630800,129.93
2013-04-10,130.45,132.40,130.40,132.00,656900,128.96
2013-04-09,132.30,132.80,129.05,129.80,752600,126.81
2013-04-08,130.50,132.15,130.15,131.75,522700,128.71
2013-04-05,134.35,134.35,129.65,129.90,1233500,126.90
2013-04-04,135.80,136.20,133.95,134.40,734400,131.30
2013-04-03,136.65,137.80,135.50,135.60,684300,132.47
2013-04-02,133.35,136.75,133.35,136.70,1134100,133.55
2013-04-01,133.90,133.90,133.90,133.90,000,130.81
