Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,74.76,75.00,73.36,74.66,472000,74.66
2013-08-19,75.52,75.60,74.66,75.27,325900,75.27
2013-08-16,75.04,75.74,74.29,75.74,378400,75.74
2013-08-15,76.02,76.15,74.28,74.88,361100,74.88
2013-08-14,75.84,76.20,75.25,76.09,394100,76.09
2013-08-13,75.50,75.94,75.17,75.64,317900,75.64
2013-08-12,75.25,75.41,73.95,75.24,352900,75.24
2013-08-09,73.96,75.13,73.59,74.93,520600,74.93
2013-08-08,74.30,74.43,73.21,73.57,542200,73.57
2013-08-07,74.43,74.50,73.41,73.97,535800,73.97
2013-08-06,75.77,75.91,74.26,74.54,554500,74.54
2013-08-05,75.50,76.10,75.29,75.90,420600,75.90
2013-08-02,76.59,76.75,75.15,75.45,538400,75.45
2013-08-01,75.90,76.49,75.02,76.20,587300,76.20
2013-07-31,76.35,76.72,75.33,75.48,604100,75.48
2013-07-30,75.43,76.74,75.43,76.23,535700,76.23
2013-07-29,75.17,75.94,75.10,75.36,578900,75.36
2013-07-26,76.00,76.12,74.71,75.23,595600,75.23
2013-07-25,74.80,76.02,72.82,75.84,1819700,75.84
2013-07-24,76.90,77.73,75.94,76.92,901700,76.92
2013-07-23,77.65,77.98,75.94,76.30,638600,76.30
2013-07-22,76.49,77.61,75.78,77.61,734700,77.61
2013-07-19,76.00,76.74,75.68,76.11,686500,76.11
2013-07-18,74.64,76.55,74.64,76.55,827100,76.55
2013-07-17,74.23,75.13,73.67,75.03,721500,75.03
2013-07-16,73.05,74.96,73.05,74.36,967200,74.36
2013-07-15,72.99,73.54,72.19,72.49,410900,72.49
2013-07-12,73.07,73.42,72.60,73.08,550800,73.08
2013-07-11,73.00,73.11,72.31,72.98,550500,72.98
2013-07-10,72.47,72.82,71.49,72.80,527100,72.80
2013-07-09,71.48,72.60,71.32,72.48,539300,72.48
2013-07-08,71.24,72.29,71.23,71.48,522300,71.48
2013-07-05,72.58,72.89,70.54,70.59,817100,70.59
2013-07-04,70.95,72.76,70.72,72.76,1009400,72.76
2013-07-03,70.05,70.60,68.66,70.60,755200,70.60
2013-07-02,70.98,71.73,69.73,70.55,970200,70.55
2013-07-01,69.05,69.71,67.95,69.14,447600,69.14
2013-06-28,70.00,70.54,68.33,68.70,860900,68.70
