Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,24.22,24.22,23.65,23.94,289400,23.94
2013-08-19,24.12,24.35,24.01,24.28,251900,24.28
2013-08-16,24.03,24.17,23.84,24.10,220300,24.10
2013-08-15,24.26,24.33,23.84,23.98,131900,23.98
2013-08-14,24.09,24.32,24.06,24.32,177900,24.32
2013-08-13,24.03,24.10,23.96,24.10,156500,24.10
2013-08-12,24.18,24.18,23.82,24.02,210300,24.02
2013-08-09,24.02,24.24,23.97,24.05,152400,24.05
2013-08-08,23.90,24.07,23.90,24.04,197800,24.04
2013-08-07,24.36,24.36,23.83,23.83,269100,23.83
2013-08-06,24.00,24.39,24.00,24.39,320700,24.39
2013-08-05,23.91,24.25,23.90,24.05,195300,24.05
2013-08-02,24.00,24.03,23.74,23.75,240200,23.75
2013-08-01,23.80,24.03,23.80,23.98,204200,23.98
2013-07-31,23.70,23.97,23.56,23.78,295400,23.78
2013-07-30,23.66,23.85,23.47,23.67,296300,23.67
2013-07-29,23.68,23.88,23.50,23.58,522000,23.58
2013-07-26,22.69,23.69,22.66,23.59,871800,23.59
2013-07-25,23.00,23.01,22.55,22.63,354100,22.63
2013-07-24,22.99,23.07,22.67,23.00,389200,23.00
2013-07-23,22.55,23.02,22.55,22.94,665600,22.94
2013-07-22,22.82,22.86,22.41,22.42,406800,22.42
2013-07-19,22.86,23.01,22.73,22.88,296400,22.88
2013-07-18,22.68,23.00,22.65,22.92,329500,22.92
2013-07-17,22.68,22.89,22.52,22.67,195100,22.67
2013-07-16,22.83,22.86,22.50,22.64,210200,22.64
2013-07-15,22.44,22.78,22.44,22.78,225300,22.78
2013-07-12,22.44,22.70,22.36,22.44,262300,22.44
2013-07-11,22.64,22.64,22.33,22.41,275600,22.41
2013-07-10,22.60,22.90,22.38,22.56,396100,22.56
2013-07-09,22.58,22.64,22.50,22.60,298900,22.60
2013-07-08,22.19,22.67,22.10,22.55,456400,22.55
2013-07-05,22.14,22.26,21.88,21.95,243000,21.95
2013-07-04,21.75,22.08,21.75,22.08,310900,22.08
2013-07-03,21.61,21.70,21.41,21.70,360400,21.70
2013-07-02,21.78,21.78,21.47,21.62,342700,21.62
2013-07-01,21.55,21.75,21.39,21.75,434000,21.75
2013-06-28,21.45,21.50,21.25,21.40,494100,21.40
2013-06-27,20.83,21.48,20.81,21.36,483700,21.36
2013-06-26,20.46,20.86,20.42,20.84,508500,20.84
2013-06-25,20.45,20.56,20.22,20.41,528900,20.41
2013-06-24,20.98,21.00,20.11,20.28,584000,20.28
2013-06-21,20.92,21.26,20.76,20.89,635800,20.89
2013-06-20,21.01,21.13,20.77,20.92,396500,20.92
2013-06-19,21.32,21.35,21.02,21.27,529800,21.27
2013-06-18,21.25,21.50,21.05,21.23,878500,21.23
2013-06-17,20.40,20.90,20.40,20.80,462400,20.80
2013-06-14,20.52,20.58,20.32,20.51,506700,20.51
2013-06-13,20.21,20.56,19.94,20.43,723900,20.43
2013-06-12,20.72,20.73,20.40,20.41,679700,20.41
2013-06-11,20.80,20.82,20.40,20.68,523900,20.68
2013-06-10,20.41,20.83,20.41,20.80,477400,20.80
2013-06-07,20.36,20.60,20.19,20.53,500800,20.53
2013-06-06,20.20,20.48,20.02,20.31,617400,20.31
2013-06-05,20.07,20.11,20.00,20.06,723300,20.06
2013-06-04,19.97,20.17,19.90,20.08,875400,20.08
2013-06-03,20.21,20.21,19.54,19.77,675400,19.77
2013-05-31,19.81,19.91,19.46,19.83,1181400,19.83
2013-05-30,19.65,19.84,19.53,19.67,961300,19.67
2013-05-29,19.59,19.68,19.06,19.68,1617100,19.68
2013-05-28,20.03,20.36,19.20,19.58,2123700,19.58
2013-05-27,28.99,29.83,28.82,29.03,988400,29.03
2013-05-24,28.49,28.81,28.42,28.67,865300,28.67
2013-05-23,28.50,28.57,28.20,28.33,916400,28.33
2013-05-22,28.36,28.90,28.18,28.75,1555900,28.75
2013-05-21,27.66,27.80,27.06,27.80,798100,27.80
2013-05-20,27.60,27.69,27.41,27.61,356600,27.61
2013-05-17,27.49,27.79,27.28,27.39,731800,27.39
2013-05-16,27.71,27.71,26.98,27.05,648500,27.05
2013-05-15,27.73,27.82,27.52,27.72,715200,27.72
2013-05-14,28.06,28.30,27.42,27.70,765400,27.70
2013-05-13,27.52,27.74,27.33,27.67,508500,27.67
2013-05-10,27.16,27.38,27.11,27.33,465800,27.33
2013-05-09,26.90,27.19,26.81,27.11,330100,27.11
2013-05-08,26.71,27.19,26.70,26.86,526900,26.86
