Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,14.37,14.47,14.11,14.42,222400,14.42
2013-08-19,14.90,14.90,14.15,14.35,470400,14.35
2013-08-16,15.23,15.27,14.91,14.91,229900,14.91
2013-08-15,15.35,15.44,15.18,15.28,142400,15.28
2013-08-14,15.40,15.44,15.24,15.39,204600,15.39
2013-08-13,15.38,15.59,15.29,15.38,222900,15.38
2013-08-12,15.19,15.35,15.05,15.35,174800,15.35
2013-08-09,15.10,15.24,15.10,15.16,73100,15.16
2013-08-08,14.94,15.11,14.94,15.11,125800,15.11
2013-08-07,14.91,15.03,14.86,14.95,124100,14.95
2013-08-06,15.01,15.20,14.88,14.98,149800,14.98
2013-08-05,15.00,15.28,14.99,15.03,159500,15.03
2013-08-02,15.04,15.05,14.87,15.05,164300,15.05
2013-08-01,14.83,15.00,14.80,15.00,209000,15.00
2013-07-31,14.91,14.98,14.61,14.81,179900,14.81
2013-07-30,14.65,14.98,14.64,14.95,183300,14.95
2013-07-29,14.71,14.74,14.59,14.64,175000,14.64
2013-07-26,14.33,14.79,14.33,14.79,355100,14.79
2013-07-25,13.98,14.38,13.98,14.34,392200,14.34
2013-07-24,14.25,14.29,13.66,13.98,489300,13.98
2013-07-23,14.20,14.40,14.10,14.21,424900,14.21
2013-07-22,13.86,13.98,13.77,13.93,108000,13.93
2013-07-19,13.85,13.93,13.78,13.89,163800,13.89
2013-07-18,13.81,13.88,13.77,13.88,141300,13.88
2013-07-17,13.60,13.85,13.45,13.85,175800,13.85
2013-07-16,13.66,13.68,13.50,13.55,94300,13.55
2013-07-15,13.50,13.68,13.46,13.68,116600,13.68
2013-07-12,13.52,13.65,13.43,13.50,128100,13.50
2013-07-11,13.39,13.54,13.28,13.54,163600,13.54
2013-07-10,13.25,13.41,13.19,13.41,138900,13.41
2013-07-09,13.00,13.28,13.00,13.25,270100,13.25
2013-07-08,12.95,12.98,12.90,12.98,139600,12.98
2013-07-05,12.94,12.98,12.85,12.91,120800,12.91
2013-07-04,12.71,12.91,12.71,12.91,103900,12.91
2013-07-03,12.64,12.71,12.58,12.71,56400,12.71
2013-07-02,12.58,12.73,12.49,12.73,162900,12.73
2013-07-01,12.30,12.55,12.10,12.55,194300,12.55
2013-06-28,12.57,12.58,12.24,12.38,240200,12.38
2013-06-27,12.25,12.56,12.19,12.56,215500,12.56
2013-06-26,11.54,12.27,11.52,12.27,250400,12.27
2013-06-25,11.45,11.54,11.44,11.54,99500,11.54
2013-06-24,11.70,11.73,11.36,11.40,153600,11.40
2013-06-21,12.00,12.22,11.64,11.70,283200,11.70
2013-06-20,12.11,12.15,11.97,12.09,76500,12.09
2013-06-19,12.12,12.24,12.01,12.20,126200,12.20
2013-06-18,12.10,12.15,11.96,12.09,87000,12.09
2013-06-17,11.90,12.11,11.88,12.11,106800,12.11
2013-06-14,11.84,11.91,11.73,11.85,129700,11.85
2013-06-13,11.78,11.82,11.71,11.80,339600,11.80
2013-06-12,11.97,12.02,11.81,11.84,161600,11.84
2013-06-11,11.93,12.00,11.80,11.97,85300,11.97
2013-06-10,11.80,11.98,11.78,11.91,101800,11.91
2013-06-07,11.79,11.85,11.71,11.80,87600,11.80
2013-06-06,11.76,11.85,11.71,11.80,54400,11.80
2013-06-05,11.75,11.87,11.72,11.76,58700,11.76
