Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,51.95,52.00,51.66,52.00,44700,52.00
2013-08-19,52.00,52.00,51.85,51.95,60300,51.95
2013-08-16,51.99,52.00,51.76,51.86,47200,51.86
2013-08-15,51.85,52.00,51.52,51.95,31900,51.95
2013-08-14,51.90,52.15,51.85,52.00,90000,52.00
2013-08-13,51.98,52.00,51.83,51.89,79400,51.89
2013-08-12,52.00,52.00,51.73,51.77,45600,51.77
2013-08-09,52.49,52.50,51.95,51.95,58100,51.95
2013-08-08,52.19,52.50,51.93,52.26,64600,52.26
2013-08-07,53.05,53.07,51.75,51.90,108300,51.90
2013-08-06,53.76,53.85,52.76,53.29,79000,53.29
2013-08-05,53.30,54.20,52.96,53.75,99200,53.75
2013-08-02,53.38,53.59,52.85,53.30,65500,53.30
2013-08-01,52.24,53.37,52.24,52.94,115100,52.94
2013-07-31,55.10,55.14,53.83,54.14,177300,52.04
2013-07-30,54.50,55.49,54.45,55.15,147400,53.01
2013-07-29,53.75,54.46,53.68,54.14,105900,52.04
2013-07-26,53.51,54.15,53.36,53.36,124900,51.29
2013-07-25,53.13,53.57,53.00,53.21,81900,51.15
2013-07-24,52.73,53.24,52.24,53.24,98900,51.17
2013-07-23,52.36,52.96,52.18,52.37,178000,50.34
2013-07-22,51.88,52.26,51.25,52.26,96900,50.23
2013-07-19,51.00,51.85,50.80,51.52,120400,49.52
2013-07-18,49.79,51.27,49.69,51.10,87800,49.12
2013-07-17,49.47,49.58,49.04,49.58,68900,47.66
2013-07-16,49.46,49.58,48.66,49.19,89900,47.29
2013-07-15,49.00,49.72,48.72,49.53,72100,47.61
2013-07-12,49.09,49.45,48.67,48.93,42300,47.03
2013-07-11,49.00,49.00,48.60,48.74,63500,46.85
2013-07-10,49.71,49.99,48.48,48.65,93700,46.76
2013-07-09,50.10,50.20,49.51,49.71,69300,47.78
2013-07-08,49.76,50.36,49.76,50.09,71400,48.15
2013-07-05,50.23,50.35,49.50,49.53,68600,47.61
2013-07-04,50.30,50.95,50.12,50.23,86900,48.28
2013-07-03,50.05,50.51,49.70,50.17,57200,48.22
2013-07-02,50.56,50.68,50.26,50.33,56100,48.38
2013-07-01,50.93,51.34,50.40,50.46,76000,48.50
2013-06-28,50.32,51.25,50.10,51.00,89900,49.02
2013-06-27,49.75,50.19,49.34,50.19,113300,48.24
2013-06-26,49.55,49.78,49.31,49.54,104700,47.62
2013-06-25,48.81,49.51,48.72,49.51,132400,47.58
2013-06-24,50.00,50.08,48.47,48.75,107300,46.86
2013-06-21,50.30,50.79,49.90,50.00,109400,48.06
2013-06-20,50.60,50.60,49.66,49.99,48600,48.05
2013-06-19,51.00,51.20,50.37,50.67,57700,48.70
2013-06-18,50.72,51.20,50.72,50.94,61800,48.96
2013-06-17,50.80,51.00,50.47,50.72,47600,48.75
2013-06-14,49.25,50.56,49.20,50.56,70200,48.60
2013-06-13,49.03,49.15,48.12,49.15,120500,47.24
2013-06-12,49.75,50.07,49.27,49.45,83800,47.53
2013-06-11,50.72,50.72,49.59,49.99,118100,48.06
2013-06-10,51.50,51.72,50.45,50.81,111100,48.84
2013-06-07,51.46,52.03,51.13,51.52,71300,49.52
2013-06-06,52.27,52.37,51.20,51.45,72500,49.45
2013-06-05,52.05,52.76,52.05,52.49,36900,50.45
2013-06-04,53.35,53.89,51.54,52.40,136800,50.37
2013-06-03,51.93,52.50,51.46,52.28,80500,50.25
2013-05-31,51.76,52.50,51.25,51.71,123700,49.70
2013-05-30,51.62,52.74,51.62,51.82,65000,49.81
2013-05-29,52.80,53.22,51.50,51.65,131800,49.65
2013-05-28,51.88,53.19,51.80,52.96,67000,50.91
2013-05-27,50.70,51.89,50.63,51.88,40300,49.87
2013-05-24,51.82,51.90,50.12,50.63,103100,48.67
2013-05-23,50.47,51.08,49.74,51.08,122500,49.10
2013-05-22,52.68,52.86,51.90,52.03,93800,50.01
2013-05-21,54.00,54.17,52.17,52.67,132500,50.63
2013-05-20,53.29,54.46,53.29,54.17,77000,52.07
2013-05-17,53.54,53.74,53.28,53.29,108100,51.22
2013-05-16,53.38,53.80,53.14,53.53,77300,51.45
2013-05-15,52.93,53.55,52.59,53.41,122800,51.34
2013-05-14,53.00,53.53,52.93,53.02,96900,50.96
2013-05-13,52.00,53.09,51.97,52.87,132600,50.82
2013-05-10,51.85,52.15,51.68,51.98,107100,49.96
2013-05-09,51.15,51.85,51.15,51.85,40300,49.84
2013-05-08,51.28,51.46,50.88,51.08,42500,49.10
2013-05-07,50.48,51.20,50.48,51.20,86500,49.21
2013-05-06,50.08,51.00,50.08,50.71,80100,48.74
2013-05-03,49.51,50.63,49.51,50.08,107300,48.14
2013-05-02,49.94,50.09,48.40,49.50,143700,47.58
2013-05-01,49.94,49.94,49.94,49.94,000,48.01
2013-04-30,50.66,51.00,49.70,49.94,117700,48.01
2013-04-29,50.62,50.98,50.15,50.64,73400,48.68
2013-04-26,50.54,51.19,50.13,50.62,97200,48.66
2013-04-25,49.75,51.40,49.55,50.95,200400,48.97
2013-04-24,49.20,49.92,49.12,49.92,82700,47.98
2013-04-23,48.58,49.46,48.58,49.45,147600,47.53
2013-04-22,48.06,48.75,47.91,48.63,84400,46.75
2013-04-19,47.94,48.45,47.56,47.81,77300,45.95
2013-04-18,47.49,47.90,47.02,47.85,120600,46.00
2013-04-17,47.94,48.00,47.30,47.65,152100,45.80
2013-04-16,47.80,47.92,46.97,47.71,81300,45.85
2013-04-15,47.81,48.00,47.27,47.78,70900,45.92
2013-04-12,47.80,47.99,47.28,47.50,78200,45.66
2013-04-11,48.00,48.08,47.76,47.85,76100,45.99
2013-04-10,47.92,48.15,47.60,47.97,124300,46.11
2013-04-09,46.56,47.94,46.38,47.84,123600,45.98
2013-04-08,45.93,46.35,45.74,46.23,125600,44.44
2013-04-05,46.60,46.60,45.35,45.58,81600,43.81
2013-04-04,46.88,47.12,46.26,46.44,86400,44.64
2013-04-03,47.01,47.45,46.66,46.74,82500,44.92
2013-04-02,46.74,47.47,46.67,47.29,113900,45.46
2013-04-01,46.74,46.74,46.74,46.74,000,44.92
2013-03-29,46.74,46.74,46.74,46.74,000,44.92
2013-03-28,46.21,46.90,45.99,46.74,105100,44.92
2013-03-27,46.36,47.12,45.41,46.18,151900,44.39
2013-03-26,46.80,47.37,46.38,46.53,84800,44.73
2013-03-25,47.50,48.00,46.70,46.83,78400,45.01
2013-03-22,47.00,47.18,46.58,47.03,81900,45.21
2013-03-21,48.10,48.12,46.71,47.08,86400,45.26
2013-03-20,48.25,48.60,47.55,48.17,142100,46.31
2013-03-19,47.94,48.50,47.70,48.13,95600,46.26
2013-03-18,47.00,48.15,47.00,47.88,103600,46.03
2013-03-15,47.24,47.96,47.08,47.63,98200,45.78
2013-03-14,46.99,47.70,46.26,47.38,131700,45.55
2013-03-13,47.76,47.76,46.85,46.87,79100,45.05
2013-03-12,47.83,48.29,47.69,47.76,95500,45.91
2013-03-11,47.76,47.92,47.53,47.83,66800,45.98
2013-03-08,47.67,48.00,47.24,47.77,86400,45.92
2013-03-07,47.22,48.00,47.20,47.64,146000,45.79
2013-03-06,48.50,48.50,46.81,47.20,386500,45.37
2013-03-05,46.30,49.50,45.60,48.74,871100,46.84
2013-03-04,43.60,45.15,43.47,44.92,123100,43.18
2013-03-01,44.22,44.29,43.40,43.77,82200,42.07
2013-02-28,44.31,44.60,44.00,44.29,61100,42.58
2013-02-27,43.87,44.49,43.67,44.33,54200,42.62
2013-02-26,43.33,44.14,43.06,43.80,62100,42.10
2013-02-25,44.05,44.31,43.75,44.01,72200,42.31
2013-02-22,43.82,44.76,43.82,44.15,51400,42.44
2013-02-21,44.31,44.37,43.54,43.79,77500,42.09
2013-02-20,44.63,44.79,44.28,44.43,85900,42.71
2013-02-19,43.95,44.75,43.94,44.69,105500,42.96
2013-02-18,44.22,44.22,43.40,43.81,61600,42.11
2013-02-15,44.05,44.72,44.02,44.35,62400,42.63
2013-02-14,44.47,44.53,43.99,44.15,62600,42.43
2013-02-13,43.66,44.62,43.66,44.50,97400,42.77
2013-02-12,43.79,43.80,43.47,43.60,61100,41.91
2013-02-11,43.49,43.89,43.49,43.84,39300,42.14
2013-02-08,43.44,43.68,43.17,43.53,84000,41.85
2013-02-07,43.47,43.60,43.17,43.39,68300,41.71
2013-02-06,43.49,43.92,43.10,43.51,76300,41.82
2013-02-05,43.40,43.63,43.06,43.49,98800,41.81
2013-02-04,44.35,44.43,43.41,43.41,84800,41.73
2013-02-01,42.52,44.19,42.51,44.05,383200,42.34
2013-01-31,42.06,42.17,41.06,42.00,156000,40.37
2013-01-30,42.40,42.40,41.88,42.10,113600,40.47
2013-01-29,42.31,42.75,42.10,42.30,90100,40.66
2013-01-28,42.70,42.70,42.25,42.49,85500,40.84
2013-01-25,42.40,42.74,42.19,42.53,119600,40.88
2013-01-24,42.74,42.75,42.05,42.40,97800,40.76
2013-01-23,42.69,42.75,42.26,42.75,79300,41.09
2013-01-22,42.30,42.62,42.04,42.45,54400,40.80
2013-01-21,42.70,42.70,41.73,42.26,121400,40.62
2013-01-18,42.65,43.60,41.75,41.75,220400,40.13
2013-01-17,43.20,43.89,43.10,43.81,188600,40.38
2013-01-16,42.71,43.17,42.64,43.17,126900,39.79
2013-01-15,43.10,43.37,42.81,42.81,152700,39.46
2013-01-14,42.50,43.47,42.05,43.14,173400,39.76
2013-01-11,42.10,42.44,41.66,42.22,105900,38.92
2013-01-10,41.44,41.91,41.14,41.85,127200,38.57
2013-01-09,41.65,42.57,41.11,41.20,169300,37.97
2013-01-08,41.49,41.76,41.10,41.31,122600,38.08
2013-01-07,41.38,42.09,41.38,41.50,148100,38.25
2013-01-04,40.78,41.68,40.78,41.37,161700,38.13
2013-01-03,40.79,40.94,40.45,40.49,123500,37.32
2013-01-02,40.63,40.77,40.15,40.69,111900,37.50
2013-01-01,40.00,40.00,40.00,40.00,000,36.87
2012-12-31,40.06,40.10,39.92,40.00,27200,36.87
2012-12-28,40.40,40.40,39.76,40.04,51000,36.91
2012-12-27,39.60,40.59,39.60,40.03,105600,36.90
2012-12-26,39.53,39.53,39.53,39.53,000,36.44
2012-12-25,39.53,39.53,39.53,39.53,000,36.44
2012-12-24,39.25,39.91,39.25,39.53,31500,36.44
2012-12-21,38.49,40.03,38.34,39.85,462600,36.74
2012-12-20,39.40,39.40,38.32,38.36,162100,35.36
2012-12-19,39.65,39.98,39.20,39.37,100000,36.29
2012-12-18,39.58,39.67,39.01,39.48,155700,36.39
2012-12-17,38.72,39.74,38.72,39.40,163200,36.32
2012-12-14,38.31,38.95,38.31,38.43,102200,35.42
2012-12-13,38.80,38.90,38.06,38.27,132000,35.27
2012-12-12,39.41,39.50,38.58,38.58,128700,35.56
2012-12-11,38.99,39.48,38.91,39.48,145400,36.39
2012-12-10,38.87,38.98,38.25,38.92,121200,35.87
2012-12-07,37.87,38.71,37.87,38.59,162400,35.57
2012-12-06,37.70,38.00,37.51,37.77,220400,34.81
2012-12-05,38.22,38.37,37.66,37.69,202900,34.73
2012-12-04,38.77,38.77,37.61,38.22,441100,35.23
2012-12-03,40.87,41.35,40.15,40.52,100300,37.35
2012-11-30,39.90,40.50,39.90,40.17,118000,37.03
2012-11-29,40.31,40.75,39.44,39.85,140800,36.73
2012-11-28,40.64,40.85,40.22,40.30,61400,37.15
2012-11-27,40.62,41.12,40.49,40.64,75800,37.46
2012-11-26,41.62,41.70,40.17,40.42,97900,37.26
2012-11-23,40.42,41.75,40.42,41.62,83100,38.36
2012-11-22,40.46,40.73,40.28,40.41,78300,37.25
2012-11-21,40.15,40.58,39.93,40.46,84000,37.29
2012-11-20,40.74,40.74,40.10,40.10,68600,36.96
2012-11-19,40.60,41.01,40.21,40.51,84000,37.33
2012-11-16,40.14,40.23,39.80,40.10,49400,36.96
2012-11-15,39.81,40.45,39.72,40.15,49600,37.01
2012-11-14,40.42,40.51,39.83,39.92,74100,36.80
2012-11-13,40.83,40.85,40.25,40.40,56700,37.24
2012-11-12,41.04,41.10,40.64,40.70,45500,37.51
2012-11-09,41.22,41.35,40.63,41.03,46200,37.82
2012-11-08,41.20,41.36,40.85,41.00,51000,37.79
2012-11-07,41.40,41.50,40.81,40.81,75800,37.62
2012-11-06,40.93,41.39,40.14,41.34,107300,38.10
2012-11-05,42.28,42.28,40.85,40.87,82000,37.67
2012-11-02,43.22,43.26,41.90,42.15,113800,38.85
2012-11-01,42.24,43.38,42.24,43.33,65900,39.94
2012-10-31,42.49,42.62,42.20,42.24,56700,38.93
2012-10-30,41.99,42.60,41.99,42.54,24600,39.21
2012-10-29,43.28,43.28,41.98,41.98,66500,38.69
2012-10-26,42.55,43.53,42.55,43.35,108000,39.95
2012-10-25,42.60,43.19,42.42,42.58,45100,39.24
2012-10-24,42.32,43.50,41.95,42.83,91100,39.48
2012-10-23,42.78,42.78,41.95,42.13,75000,38.84
2012-10-22,43.09,44.36,42.56,42.78,95700,39.43
2012-10-19,43.03,43.28,42.87,43.10,54300,39.73
2012-10-18,43.20,43.42,42.65,43.13,133200,39.75
2012-10-17,42.72,43.60,42.50,43.60,75700,40.19
2012-10-16,42.58,42.80,42.32,42.51,59500,39.18
2012-10-15,42.20,42.40,42.00,42.31,38600,38.99
