Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,43.46,43.46,42.02,42.19,103600,42.19
2013-08-19,43.50,43.70,42.90,43.54,127600,43.54
2013-08-16,42.47,43.62,42.24,43.62,145400,43.62
2013-08-15,43.00,43.00,42.28,42.46,61500,42.46
2013-08-14,42.54,42.99,42.08,42.99,83200,42.99
2013-08-13,41.57,42.48,41.44,42.44,114700,42.44
2013-08-12,41.85,41.90,41.17,41.44,62300,41.44
2013-08-09,41.22,42.00,41.22,41.78,132000,41.78
2013-08-08,40.66,41.31,40.49,41.19,141300,41.19
2013-08-07,39.74,40.60,39.21,40.60,94000,40.60
2013-08-06,40.50,40.76,39.75,39.76,84100,39.76
2013-08-05,40.65,40.90,40.50,40.57,106100,40.57
2013-08-02,40.42,40.85,40.05,40.71,253400,40.71
2013-08-01,40.10,40.50,39.90,40.44,144000,40.44
2013-07-31,39.25,40.17,39.25,40.07,178200,40.07
2013-07-30,39.76,39.97,39.13,39.58,96600,39.58
2013-07-29,39.58,39.80,39.55,39.55,101800,39.55
2013-07-26,39.66,39.92,39.49,39.66,138000,39.66
2013-07-25,38.25,40.00,36.65,39.95,408900,39.95
2013-07-24,40.24,40.80,40.04,40.67,192400,40.67
2013-07-23,40.58,40.71,40.04,40.21,109600,40.21
2013-07-22,39.49,40.69,39.49,40.49,149800,40.49
2013-07-19,40.00,40.42,39.73,40.22,99400,40.22
2013-07-18,40.00,40.35,39.88,40.12,143100,40.12
2013-07-17,39.91,40.06,39.47,39.99,148100,39.99
2013-07-16,38.47,39.92,38.32,39.92,107000,39.92
2013-07-15,38.00,38.33,37.83,38.33,106900,38.33
2013-07-12,37.90,37.98,37.53,37.89,86800,37.89
2013-07-11,37.87,37.87,37.44,37.81,88100,37.81
2013-07-10,37.52,37.74,37.12,37.34,78300,37.34
2013-07-09,38.00,38.12,37.59,37.66,65800,37.66
2013-07-08,36.85,37.94,36.85,37.55,101100,37.55
2013-07-05,37.10,37.47,36.65,36.65,109300,36.65
2013-07-04,36.43,37.15,36.01,37.15,115400,37.15
2013-07-03,36.17,36.21,35.17,36.14,118400,36.14
2013-07-02,37.56,37.62,36.45,36.45,108900,36.45
2013-07-01,36.93,37.57,36.81,37.51,225600,37.51
2013-06-28,37.53,37.87,36.26,36.44,119500,36.44
2013-06-27,37.61,37.80,37.22,37.50,135700,37.50
2013-06-26,37.47,37.51,37.19,37.50,159400,37.50
2013-06-25,37.35,38.33,37.08,37.56,186700,37.56
2013-06-24,37.95,38.01,36.22,36.96,231100,36.96
2013-06-21,37.90,38.52,37.76,37.92,137800,37.92
2013-06-20,38.41,38.41,37.72,37.91,125600,37.91
2013-06-19,39.18,39.53,38.72,38.72,78900,38.72
2013-06-18,38.25,39.29,38.25,39.18,81900,39.18
2013-06-17,39.13,39.33,38.06,38.43,124300,38.43
2013-06-14,38.64,39.58,38.43,39.27,118700,39.27
2013-06-13,38.16,38.61,37.96,38.48,62800,38.48
2013-06-12,38.37,38.96,38.37,38.66,127300,38.66
2013-06-11,39.52,39.62,38.04,38.24,156900,38.24
2013-06-10,40.00,40.10,39.58,39.58,82500,39.58
2013-06-07,40.30,40.51,40.08,40.10,202200,40.10
2013-06-06,40.25,40.33,40.09,40.09,193100,40.09
2013-06-05,40.33,40.75,40.04,40.45,89000,40.45
2013-06-04,41.56,41.65,40.45,40.55,123400,40.55
2013-06-03,42.26,43.00,40.95,40.95,273100,40.95
2013-05-31,41.76,43.17,40.99,43.06,454800,43.06
2013-05-30,39.35,41.99,39.33,41.80,251400,41.80
2013-05-29,39.80,40.17,39.51,39.51,168900,39.51
2013-05-28,39.31,40.28,39.17,40.00,184500,40.00
2013-05-27,38.19,39.60,38.19,39.35,89100,39.35
2013-05-24,38.22,38.63,37.90,38.14,101300,38.14
2013-05-23,38.54,38.54,37.54,38.22,141500,38.22
2013-05-22,40.06,40.21,39.63,39.65,131400,39.65
2013-05-21,39.67,40.36,39.50,40.10,199400,40.10
2013-05-20,38.40,39.81,38.31,39.74,125800,39.74
2013-05-17,38.50,39.22,38.33,38.46,180800,38.46
2013-05-16,38.67,38.95,38.32,38.95,95000,38.45
2013-05-15,38.54,39.04,38.46,38.93,85700,38.43
2013-05-14,38.51,39.25,38.26,38.90,113900,38.40
2013-05-13,38.35,38.77,38.05,38.45,82800,37.96
2013-05-10,38.60,38.78,38.42,38.60,135500,38.10
2013-05-09,37.94,38.87,37.94,38.49,218000,38.00
2013-05-08,37.46,38.12,37.35,38.07,151300,37.58
2013-05-07,36.78,37.65,36.49,37.65,120900,37.17
2013-05-06,36.06,36.60,36.00,36.57,52100,36.10
2013-05-03,34.83,36.19,34.72,36.19,129700,35.73
2013-05-02,34.87,35.03,34.40,34.52,236400,34.08
2013-05-01,34.85,34.85,34.85,34.85,000,34.40
2013-04-30,34.92,35.14,34.42,34.85,105000,34.40
2013-04-29,34.31,34.65,34.27,34.49,124800,34.05
2013-04-26,35.09,35.09,33.88,34.10,193700,33.66
2013-04-25,33.90,35.69,33.77,35.19,190400,34.74
2013-04-24,33.65,34.69,33.65,34.50,233900,34.06
2013-04-23,32.63,33.62,32.55,33.62,126100,33.19
2013-04-22,32.58,33.10,32.29,32.63,210400,32.22
2013-04-19,32.89,33.01,32.24,32.53,182900,32.11
2013-04-18,32.37,33.12,32.37,32.59,205200,32.17
2013-04-17,34.53,34.53,32.40,32.40,407400,31.98
2013-04-16,34.69,34.69,33.47,34.05,206900,33.61
2013-04-15,34.51,35.74,34.51,34.90,298800,34.45
2013-04-12,35.23,35.45,34.55,34.56,116200,34.12
2013-04-11,35.22,35.37,34.67,35.23,121600,34.78
2013-04-10,34.78,35.37,34.63,35.29,169200,34.84
2013-04-09,35.01,35.21,34.44,34.56,132000,34.12
2013-04-08,34.21,35.43,34.15,34.67,150500,34.22
2013-04-05,35.53,35.68,33.79,34.00,266600,33.56
2013-04-04,36.19,36.42,35.35,35.37,144500,34.91
2013-04-03,35.97,36.69,35.83,36.17,131900,35.71
2013-04-02,36.00,36.05,35.75,35.99,204800,35.52
2013-04-01,35.84,35.84,35.84,35.84,000,35.38
2013-03-29,35.84,35.84,35.84,35.84,000,35.38
2013-03-28,36.25,36.44,35.58,35.84,114100,35.38
2013-03-27,36.88,37.24,35.78,36.26,171200,35.80
2013-03-26,36.89,37.46,36.53,36.86,106100,36.39
2013-03-25,37.60,38.49,36.81,36.81,105500,36.34
2013-03-22,37.99,37.99,37.17,37.22,91600,36.74
2013-03-21,38.10,38.52,37.90,38.15,120700,37.66
2013-03-20,39.00,39.00,37.85,38.26,175100,37.77
2013-03-19,39.71,39.76,38.17,38.17,133200,37.68
2013-03-18,39.00,40.00,38.58,39.90,58200,39.39
2013-03-15,40.10,40.17,39.50,39.65,145900,39.14
2013-03-14,39.52,40.08,39.46,40.00,162600,39.49
2013-03-13,39.81,40.15,39.45,39.51,97700,39.00
2013-03-12,39.65,40.19,39.53,39.90,109200,39.39
2013-03-11,39.72,39.92,39.31,39.54,90000,39.04
2013-03-08,38.62,40.22,38.62,40.03,168600,39.51
2013-03-07,38.59,38.99,38.59,38.74,65400,38.24
2013-03-06,38.75,38.89,38.35,38.53,135100,38.03
2013-03-05,38.12,38.69,38.12,38.56,128200,38.07
2013-03-04,38.01,38.03,37.25,37.95,152700,37.46
2013-03-01,38.28,38.28,37.66,38.18,182400,37.69
2013-02-28,38.20,38.48,37.87,38.25,238400,37.76
2013-02-27,38.12,38.49,37.43,37.90,285000,37.41
2013-02-26,38.01,38.51,37.25,37.99,187100,37.50
2013-02-25,40.25,40.70,38.47,38.99,263100,38.48
2013-02-22,39.56,40.25,39.56,40.15,92000,39.64
2013-02-21,39.68,39.90,39.22,39.54,166600,39.03
2013-02-20,40.10,40.31,39.88,40.14,135700,39.62
2013-02-19,39.92,40.22,39.81,40.15,221500,39.63
2013-02-18,39.22,39.91,39.01,39.90,103100,39.39
2013-02-15,38.69,39.60,38.64,39.38,138700,38.87
2013-02-14,39.10,39.23,38.25,38.69,133000,38.19
2013-02-13,38.60,39.29,38.41,39.17,214800,38.67
2013-02-12,38.51,38.82,38.24,38.65,267700,38.15
2013-02-11,37.31,38.54,36.76,38.50,291900,38.01
2013-02-08,37.00,37.78,36.83,37.06,463600,36.58
2013-02-07,36.00,38.37,35.68,37.44,662300,36.96
2013-02-06,38.67,38.94,36.91,37.25,324700,36.77
2013-02-05,37.65,38.78,37.45,38.67,328400,38.17
2013-02-04,39.51,39.53,37.53,37.53,439400,37.05
2013-02-01,38.15,39.51,38.03,39.51,364400,39.00
2013-01-31,38.40,38.76,37.86,38.21,421900,37.72
2013-01-30,38.64,38.97,38.12,38.55,336200,38.06
2013-01-29,38.87,39.20,38.21,38.56,335600,38.06
2013-01-28,38.57,38.94,38.40,38.87,144900,38.37
2013-01-25,38.85,39.19,38.34,38.46,235900,37.97
2013-01-24,38.12,38.84,37.83,38.84,277800,38.34
2013-01-23,38.40,38.83,37.97,38.15,355600,37.66
2013-01-22,37.65,38.49,37.40,38.42,255900,37.92
2013-01-21,37.20,38.00,36.97,37.65,257000,37.17
2013-01-18,37.01,37.58,36.51,37.19,298000,36.72
2013-01-17,34.72,36.91,34.57,36.91,273100,36.44
2013-01-16,35.19,35.25,34.00,34.54,374400,34.10
2013-01-15,35.70,37.35,34.96,34.96,412200,34.51
2013-01-14,35.81,35.81,34.85,34.85,146100,34.40
2013-01-11,35.22,35.96,35.17,35.44,154800,34.98
2013-01-10,34.65,35.25,34.26,35.17,202500,34.71
2013-01-09,34.39,34.75,33.95,34.50,202400,34.06
2013-01-08,34.60,35.41,34.24,34.31,283200,33.87
2013-01-07,33.83,34.41,33.74,34.16,100100,33.72
2013-01-04,33.85,34.11,33.74,33.74,128500,33.31
2013-01-03,34.46,34.62,33.65,34.00,142100,33.56
2013-01-02,34.62,34.62,34.13,34.60,74000,34.16
2013-01-01,33.51,33.51,33.51,33.51,000,33.07
2012-12-31,33.60,33.63,33.51,33.51,28800,33.07
2012-12-28,34.15,34.38,33.52,33.61,86500,33.18
2012-12-27,34.44,34.81,34.20,34.20,58100,33.76
2012-12-26,34.33,34.33,34.33,34.33,000,33.89
2012-12-25,34.33,34.33,34.33,34.33,000,33.89
2012-12-24,34.17,34.79,34.17,34.33,54500,33.89
2012-12-21,34.37,34.37,33.55,33.94,177200,33.50
2012-12-20,34.81,35.24,34.40,34.40,127600,33.96
2012-12-19,35.62,35.62,34.40,35.25,245000,34.80
2012-12-18,35.70,35.76,35.25,35.44,153600,34.99
2012-12-17,35.99,36.00,35.06,35.51,122400,35.05
2012-12-14,35.71,35.82,35.10,35.71,118600,35.25
2012-12-13,35.75,36.00,35.25,35.40,99800,34.95
2012-12-12,35.59,35.76,35.45,35.70,169800,35.24
2012-12-11,34.49,35.19,34.15,35.19,253400,34.74
2012-12-10,34.93,34.93,33.88,34.06,200100,33.62
2012-12-07,34.53,34.65,34.13,34.56,178400,34.11
2012-12-06,35.12,35.15,34.48,34.57,118600,34.13
2012-12-05,35.30,35.35,34.72,34.85,129900,34.40
2012-12-04,35.01,35.45,34.89,34.92,176600,34.48
2012-12-03,35.92,35.94,35.01,35.15,208700,34.70
2012-11-30,36.12,36.60,35.79,35.79,152900,35.33
