Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,52.04,52.06,51.13,51.62,105400,51.62
2013-08-19,51.87,52.44,51.81,52.16,75800,52.16
2013-08-16,51.57,52.00,51.05,51.89,51500,51.89
2013-08-15,51.65,51.65,51.02,51.52,56100,51.52
2013-08-14,51.11,51.96,51.11,51.78,121600,51.78
2013-08-13,50.79,51.20,50.77,51.19,116300,51.19
2013-08-12,50.00,50.83,49.83,50.79,90500,50.79
2013-08-09,49.80,50.10,49.28,49.95,73600,49.95
2013-08-08,48.78,49.70,48.67,49.70,80400,49.70
2013-08-07,48.62,48.85,47.78,48.78,93100,48.78
2013-08-06,48.74,49.03,48.30,48.76,62600,48.76
2013-08-05,47.94,49.06,47.93,48.88,133700,48.88
2013-08-02,49.64,49.74,49.29,49.65,87000,49.65
2013-08-01,49.70,49.99,49.50,49.61,49900,49.61
2013-07-31,49.76,50.11,49.11,49.65,80400,49.65
2013-07-30,50.80,51.68,49.92,49.92,171900,49.92
2013-07-29,51.50,51.90,51.15,51.76,75200,51.76
2013-07-26,51.15,51.45,50.88,51.41,133000,51.41
2013-07-25,50.69,51.04,50.23,51.04,74600,51.04
2013-07-24,50.34,50.91,49.62,50.79,77700,50.79
2013-07-23,50.76,51.08,50.33,50.34,59200,50.34
2013-07-22,51.00,51.08,50.38,50.77,56300,50.77
2013-07-19,50.50,51.15,50.37,50.93,92200,50.93
2013-07-18,49.88,50.80,49.40,50.79,92400,50.79
2013-07-17,49.80,50.11,49.10,49.88,70600,49.88
2013-07-16,49.92,49.92,49.10,49.68,118900,49.68
2013-07-15,47.85,49.88,47.78,49.78,175300,49.78
2013-07-12,47.81,47.85,47.26,47.71,69700,47.71
2013-07-11,47.99,48.00,47.43,47.78,136800,47.78
2013-07-10,47.84,47.90,46.89,47.33,157200,47.33
2013-07-09,47.60,48.23,47.23,47.81,102800,47.81
2013-07-08,47.21,47.81,47.00,47.19,131500,47.19
2013-07-05,46.92,47.28,46.47,46.99,490200,46.99
2013-07-04,46.72,46.97,46.39,46.76,88100,46.76
2013-07-03,46.69,46.77,45.75,46.32,61600,46.32
2013-07-02,47.08,47.38,46.81,46.95,43900,46.95
2013-07-01,47.34,47.56,46.75,47.04,65600,47.04
2013-06-28,47.58,47.95,46.56,47.08,85500,47.08
2013-06-27,47.20,47.67,46.85,47.47,37700,47.47
2013-06-26,47.10,47.32,46.22,47.16,76000,47.16
2013-06-25,46.17,46.87,45.80,46.83,104900,46.83
2013-06-24,47.26,47.29,45.31,45.76,89100,45.76
2013-06-21,47.65,48.00,46.99,46.99,90100,46.99
2013-06-20,48.30,48.70,47.50,47.50,76600,47.50
2013-06-19,49.20,49.30,48.55,48.97,62000,48.97
2013-06-18,48.97,49.24,48.63,49.10,128600,49.10
2013-06-17,48.63,49.28,48.28,48.81,89200,48.81
2013-06-14,48.10,48.99,47.96,48.15,86900,48.15
2013-06-13,48.00,48.75,47.69,48.13,168900,48.13
2013-06-12,48.51,49.36,48.19,48.49,217500,48.49
2013-06-11,48.01,48.22,47.33,47.80,151300,47.80
2013-06-10,48.31,48.31,47.30,47.63,68700,47.63
2013-06-07,47.80,48.04,47.25,47.56,70800,47.56
2013-06-06,47.97,48.28,47.66,47.66,62900,47.66
2013-06-05,48.59,48.79,47.72,47.74,54000,47.74
2013-06-04,49.12,49.33,48.28,48.74,59900,48.74
2013-06-03,48.25,49.35,47.65,48.76,106200,48.76
2013-05-31,48.80,48.80,47.89,48.28,160800,48.28
2013-05-30,48.63,49.30,48.50,48.69,63000,48.69
2013-05-29,49.20,49.20,48.50,48.75,46200,48.75
2013-05-28,49.73,50.20,49.38,49.38,63900,49.38
2013-05-27,48.30,50.16,48.30,49.96,30400,49.96
2013-05-24,49.33,49.33,47.99,48.26,54200,48.26
2013-05-23,49.80,49.80,48.56,48.99,69900,48.99
2013-05-22,50.50,51.00,50.36,50.50,54000,50.50
2013-05-21,50.03,50.83,49.71,50.56,84800,50.56
2013-05-20,50.02,50.59,49.50,49.94,27900,49.94
2013-05-17,50.28,50.70,49.83,50.07,54100,50.07
2013-05-16,51.34,51.40,50.44,50.73,54000,50.73
2013-05-15,51.35,51.79,51.00,51.25,50700,51.25
2013-05-14,50.74,51.36,50.04,51.36,51500,51.36
2013-05-13,50.06,50.68,49.88,50.54,30100,50.54
2013-05-10,50.57,50.57,49.51,50.06,41700,50.06
2013-05-09,50.52,50.82,50.00,50.10,25800,50.10
2013-05-08,50.45,51.10,50.19,50.50,47500,50.50
2013-05-07,51.48,51.98,51.19,51.83,106700,50.28
2013-05-06,51.47,51.62,50.87,51.08,49600,49.55
2013-05-03,49.61,51.77,49.24,51.62,63000,50.08
2013-05-02,49.69,49.76,48.92,49.38,57300,47.90
2013-05-01,49.75,49.75,49.75,49.75,000,48.26
2013-04-30,50.20,50.59,49.38,49.75,116500,48.26
2013-04-29,49.49,50.07,49.37,50.07,50700,48.57
2013-04-26,49.05,50.01,49.00,49.43,106200,47.95
2013-04-25,49.00,49.46,48.21,49.10,191500,47.63
2013-04-24,46.37,47.54,45.98,47.49,149100,46.07
2013-04-23,45.90,46.53,45.78,46.48,63000,45.09
2013-04-22,45.98,46.20,45.62,46.00,74200,44.62
2013-04-19,47.00,47.00,45.69,45.90,68500,44.53
2013-04-18,46.97,47.00,46.19,46.36,41500,44.97
2013-04-17,47.95,48.30,46.45,46.75,59200,45.35
2013-04-16,48.03,48.34,47.83,47.85,49900,46.42
2013-04-15,48.73,49.02,47.85,48.24,54900,46.80
2013-04-12,50.17,50.17,48.85,49.00,47000,47.53
2013-04-11,50.50,50.63,49.87,50.20,63900,48.70
2013-04-10,49.72,50.63,49.36,50.50,153000,48.99
2013-04-09,49.15,49.78,48.76,49.24,69000,47.77
2013-04-08,49.10,50.04,48.60,48.67,50900,47.21
2013-04-05,50.30,50.37,47.59,48.94,100800,47.48
2013-04-04,51.59,52.00,49.98,50.04,45900,48.54
2013-04-03,51.60,52.14,51.48,51.73,62900,50.18
2013-04-02,50.75,51.64,50.64,51.34,85000,49.80
2013-04-01,50.79,50.79,50.79,50.79,000,49.27
2013-03-29,50.79,50.79,50.79,50.79,000,49.27
2013-03-28,50.77,51.00,50.42,50.79,69100,49.27
2013-03-27,51.59,51.99,50.62,51.00,52800,49.47
2013-03-26,51.72,52.30,51.48,51.80,63500,50.25
2013-03-25,52.19,52.38,51.20,51.60,72600,50.06
2013-03-22,52.23,52.60,51.15,51.84,64400,50.29
2013-03-21,52.15,52.56,51.45,52.46,49400,50.89
2013-03-20,52.54,52.93,52.15,52.15,54600,50.59
2013-03-19,53.54,53.55,52.25,52.63,62500,51.06
2013-03-18,52.71,53.70,52.60,53.55,38600,51.95
2013-03-15,53.84,53.84,52.87,53.27,86600,51.68
2013-03-14,53.17,53.84,52.77,53.77,83800,52.16
2013-03-13,54.31,54.31,53.31,53.36,57300,51.76
2013-03-12,53.21,54.32,53.03,54.31,49400,52.69
2013-03-11,53.59,53.60,53.05,53.22,56400,51.63
2013-03-08,53.54,53.87,53.16,53.40,45700,51.80
2013-03-07,53.68,53.77,53.26,53.32,33100,51.73
2013-03-06,53.17,53.47,52.73,53.42,76300,51.82
2013-03-05,51.18,53.20,51.17,53.09,115100,51.50
2013-03-04,51.06,51.51,50.80,50.80,35200,49.28
2013-03-01,51.37,51.69,50.68,51.42,43000,49.88
2013-02-28,51.52,51.70,51.06,51.62,94700,50.08
2013-02-27,51.18,51.79,50.85,51.26,82900,49.73
2013-02-26,50.99,51.74,50.55,51.08,73300,49.55
2013-02-25,51.90,52.18,51.24,51.84,67300,50.29
2013-02-22,51.70,52.10,51.59,51.83,88900,50.28
2013-02-21,51.74,51.87,51.04,51.56,54900,50.02
2013-02-20,51.89,52.55,51.58,51.90,79600,50.35
2013-02-19,52.05,52.50,51.75,51.89,88200,50.34
2013-02-18,52.77,52.77,52.00,52.05,51200,50.49
2013-02-15,52.10,53.24,51.88,52.60,148300,51.03
2013-02-14,50.85,52.27,50.85,52.10,56900,50.54
2013-02-13,49.95,51.00,49.95,50.85,60800,49.33
2013-02-12,49.96,50.22,49.42,49.92,31300,48.43
2013-02-11,50.09,50.38,49.62,49.92,30200,48.43
2013-02-08,49.78,50.20,49.33,50.10,173200,48.60
2013-02-07,49.12,49.88,49.12,49.42,40000,47.94
2013-02-06,49.05,49.27,48.37,49.12,43700,47.65
2013-02-05,48.86,49.38,48.86,49.03,109800,47.56
2013-02-04,49.13,49.28,48.10,48.20,58100,46.76
2013-02-01,48.67,49.15,48.06,48.81,89400,47.35
2013-01-31,49.21,49.21,47.40,48.68,106500,47.22
2013-01-30,48.97,48.99,47.74,48.99,86000,47.53
2013-01-29,49.00,49.00,48.41,48.60,34900,47.15
2013-01-28,49.74,49.78,48.98,49.00,35600,47.53
2013-01-25,49.86,49.99,49.35,49.73,57200,48.24
2013-01-24,49.92,50.17,49.67,50.00,54100,48.50
2013-01-23,48.76,49.88,48.76,49.75,51400,48.26
2013-01-22,49.88,50.49,49.64,49.83,101200,48.34
2013-01-21,48.94,49.88,48.56,49.88,45400,48.39
2013-01-18,49.45,49.55,48.37,48.37,56200,46.92
2013-01-17,47.26,49.35,47.26,49.01,39100,47.54
2013-01-16,47.22,47.58,47.22,47.58,68000,46.15
2013-01-15,48.32,48.43,47.06,47.44,59200,46.02
2013-01-14,48.80,48.90,48.32,48.36,34400,46.91
2013-01-11,48.54,48.80,48.19,48.61,81000,47.16
2013-01-10,49.05,49.46,48.44,48.71,46800,47.25
2013-01-09,49.03,49.40,48.38,49.05,36600,47.58
2013-01-08,48.78,49.26,48.51,48.76,22700,47.30
2013-01-07,50.04,50.20,48.80,48.80,88200,47.34
2013-01-04,49.55,50.27,49.41,50.22,64900,48.72
2013-01-03,49.65,50.25,49.38,49.99,37400,48.50
2013-01-02,48.48,49.93,48.47,49.65,45400,48.16
2013-01-01,48.19,48.19,48.19,48.19,000,46.75
2012-12-31,48.00,48.46,47.93,48.19,7400,46.75
2012-12-28,48.03,48.62,48.03,48.20,19700,46.76
2012-12-27,48.00,48.70,48.00,48.17,26300,46.72
2012-12-26,48.35,48.35,48.35,48.35,000,46.90
2012-12-25,48.35,48.35,48.35,48.35,000,46.90
2012-12-24,47.40,48.42,47.17,48.35,12300,46.90
2012-12-21,48.15,48.35,47.00,48.02,58000,46.58
2012-12-20,48.15,48.38,47.67,48.34,34200,46.89
2012-12-19,48.00,48.50,47.72,48.46,69400,47.01
2012-12-18,47.80,48.25,47.80,48.09,106700,46.65
2012-12-17,47.39,47.95,47.28,47.83,61700,46.40
2012-12-14,47.54,47.89,47.11,47.74,49600,46.31
2012-12-13,46.59,47.99,46.17,47.82,67300,46.39
2012-12-12,46.67,47.27,46.47,46.47,34200,45.09
2012-12-11,46.12,47.27,46.12,46.67,65400,45.27
2012-12-10,45.90,46.36,45.44,46.28,18300,44.90
2012-12-07,45.60,46.22,45.51,46.00,39800,44.62
2012-12-06,44.99,45.69,44.56,45.66,51400,44.29
2012-12-05,45.78,46.26,44.92,45.02,36700,43.67
2012-12-04,44.99,45.37,44.80,45.28,25200,43.93
2012-12-03,45.56,46.02,44.94,45.10,47700,43.75
2012-11-30,45.53,45.90,45.01,45.67,53200,44.30
2012-11-29,45.25,45.89,45.25,45.56,45700,44.19
2012-11-28,45.01,45.17,44.83,44.91,50200,43.57
2012-11-27,44.65,45.24,44.53,45.24,35600,43.89
2012-11-26,45.17,45.35,44.29,44.50,40600,43.17
2012-11-23,44.31,45.35,44.26,45.27,28900,43.92
2012-11-22,44.39,44.66,44.12,44.47,28900,43.14
2012-11-21,44.11,44.70,44.10,44.40,48200,43.07
2012-11-20,44.26,44.69,44.00,44.38,51400,43.06
2012-11-19,44.10,44.44,43.33,44.13,52700,42.81
2012-11-16,44.17,44.65,43.55,43.67,76600,42.36
2012-11-15,43.90,44.35,43.62,44.29,36200,42.97
2012-11-14,44.35,44.52,43.90,44.12,40000,42.80
2012-11-13,43.60,44.47,43.42,44.35,52200,43.03
2012-11-12,44.37,44.42,43.71,43.93,26300,42.62
2012-11-09,44.48,44.76,43.76,44.40,35800,43.07
2012-11-08,44.71,45.04,44.28,44.50,59100,43.17
2012-11-07,44.88,45.06,43.90,44.47,91300,43.14
2012-11-06,44.40,45.06,44.40,44.78,43400,43.44
2012-11-05,44.54,45.09,44.42,44.42,31100,43.09
2012-11-02,44.50,45.30,44.44,44.78,37600,43.44
2012-11-01,43.25,44.62,43.25,44.51,22500,43.17
2012-10-31,44.13,44.40,43.26,43.35,63800,42.05
2012-10-30,43.98,44.88,43.98,44.34,54700,43.01
2012-10-29,44.44,44.50,43.19,43.97,60300,42.66
2012-10-26,44.55,44.58,43.00,44.44,100100,43.11
2012-10-25,45.98,46.99,45.98,46.08,56300,44.70
2012-10-24,45.20,45.99,44.62,45.89,48000,44.52
2012-10-23,46.76,46.76,44.84,45.18,58400,43.83
2012-10-22,46.62,46.99,46.13,46.58,54400,45.18
2012-10-19,47.00,47.45,46.70,46.85,51700,45.45
2012-10-18,47.00,47.36,46.50,47.36,71900,45.94
2012-10-17,46.65,46.96,45.85,46.96,49800,45.56
2012-10-16,46.40,46.49,45.83,46.20,69800,44.82
2012-10-15,46.19,46.78,46.08,46.20,42800,44.82
2012-10-12,46.60,46.88,46.36,46.49,59300,45.09
