Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,29.25,29.45,29.00,29.34,27800,29.34
2013-08-19,29.25,29.39,29.13,29.39,18800,29.39
2013-08-16,29.30,29.34,29.19,29.34,15400,29.34
2013-08-15,29.47,29.53,29.06,29.39,16900,29.39
2013-08-14,29.34,29.59,29.31,29.47,37300,29.47
2013-08-13,29.26,29.36,29.25,29.36,12700,29.36
2013-08-12,29.46,29.49,29.15,29.35,18700,29.35
2013-08-09,29.35,29.46,29.13,29.46,32800,29.46
2013-08-08,29.48,29.52,29.08,29.49,17300,29.49
2013-08-07,29.50,29.55,29.27,29.50,17200,29.50
2013-08-06,29.50,29.67,29.33,29.65,35000,29.65
2013-08-05,29.70,29.72,29.26,29.69,21200,29.69
2013-08-02,29.76,29.76,29.50,29.70,30300,29.70
2013-08-01,29.76,29.77,29.55,29.75,33500,29.75
2013-07-31,29.67,29.74,29.30,29.73,38200,29.73
2013-07-30,29.57,29.75,29.30,29.67,21900,29.67
2013-07-29,29.75,29.76,29.30,29.55,21800,29.55
2013-07-26,29.75,29.95,29.53,29.82,79300,29.82
2013-07-25,29.42,29.85,29.42,29.72,52800,29.72
2013-07-24,29.89,30.05,29.61,30.02,46900,30.02
2013-07-23,29.70,30.00,29.59,29.59,22400,29.59
2013-07-22,29.58,30.00,29.45,29.85,40800,29.85
2013-07-19,29.73,29.75,29.30,29.53,42600,29.53
2013-07-18,29.33,29.95,29.25,29.90,26700,29.90
2013-07-17,29.62,29.62,28.85,29.34,28800,29.34
2013-07-16,29.85,29.85,29.55,29.74,10500,29.74
2013-07-15,29.80,29.97,29.70,29.85,12900,29.85
2013-07-12,29.53,29.95,29.53,29.89,24400,29.89
2013-07-11,29.66,29.68,29.23,29.52,32700,29.52
2013-07-10,29.06,29.61,29.00,29.61,25800,29.61
2013-07-09,28.80,29.44,28.80,29.24,49600,29.24
2013-07-08,28.05,29.09,28.05,28.82,63400,28.82
2013-07-05,28.50,28.61,27.85,27.98,62900,27.98
2013-07-04,28.15,28.50,27.95,28.50,37500,28.50
2013-07-03,28.33,28.33,27.69,28.10,54300,28.10
2013-07-02,28.73,28.85,28.33,28.50,28100,28.50
2013-07-01,28.50,28.70,28.03,28.70,26400,28.70
2013-06-28,28.01,28.49,28.00,28.49,57900,28.49
2013-06-27,28.34,28.34,27.93,28.00,33100,28.00
2013-06-26,27.27,28.39,27.25,28.10,49100,28.10
2013-06-25,26.94,27.67,26.80,27.42,33900,27.42
2013-06-24,27.40,27.51,26.16,26.94,84500,26.94
2013-06-21,28.32,28.42,27.25,27.25,96200,27.25
2013-06-20,28.50,28.52,28.06,28.06,33600,28.06
2013-06-19,28.90,29.12,28.60,28.77,47400,28.77
2013-06-18,28.86,29.36,28.71,28.88,146600,28.88
2013-06-17,26.77,29.42,26.75,28.94,282900,28.94
2013-06-14,27.19,27.20,26.45,26.45,54700,26.45
2013-06-13,26.81,27.05,26.50,26.94,17800,26.94
2013-06-12,27.00,27.41,26.81,27.07,28400,27.07
2013-06-11,27.50,27.66,27.00,27.17,38400,27.17
2013-06-10,27.80,28.00,27.30,27.58,70400,27.58
2013-06-07,26.35,28.00,26.33,27.80,58900,27.80
2013-06-06,26.42,26.64,26.16,26.25,21900,26.25
2013-06-05,26.55,26.82,26.45,26.46,43900,26.46
2013-06-04,27.28,27.44,26.72,26.81,48000,26.81
2013-06-03,27.55,27.75,27.20,27.25,36200,27.25
2013-05-31,27.05,27.61,26.89,27.61,50900,27.61
2013-05-30,27.07,27.39,27.00,27.23,19600,27.23
2013-05-29,27.85,28.20,27.01,27.01,60800,27.01
2013-05-28,27.66,28.74,27.66,27.90,68600,27.90
2013-05-27,27.41,27.64,27.14,27.53,80000,27.53
2013-05-24,28.63,29.34,28.63,29.08,88100,27.08
2013-05-23,29.30,29.30,28.56,29.03,77400,27.03
2013-05-22,29.50,29.50,28.89,29.22,30500,27.21
2013-05-21,28.66,29.66,28.65,29.54,58800,27.51
2013-05-20,28.50,28.69,28.47,28.64,14100,26.67
2013-05-17,28.25,28.55,27.77,28.30,35500,26.35
2013-05-16,28.25,28.55,28.17,28.35,11400,26.40
2013-05-15,28.55,28.58,28.33,28.38,20200,26.43
2013-05-14,27.92,28.60,27.92,28.60,41200,26.64
2013-05-13,28.00,28.23,27.79,27.93,11900,26.01
2013-05-10,28.01,28.11,27.81,28.08,12100,26.15
2013-05-09,28.10,28.20,27.80,27.91,12900,25.99
2013-05-08,28.00,28.27,27.85,28.11,18500,26.18
2013-05-07,27.60,28.11,27.60,28.06,32300,26.13
2013-05-06,27.68,27.84,27.08,27.60,29800,25.71
2013-05-03,27.35,27.90,27.35,27.68,24300,25.78
2013-05-02,27.01,27.48,27.01,27.42,34000,25.53
2013-05-01,27.30,27.30,27.30,27.30,000,25.42
2013-04-30,26.95,27.30,26.90,27.30,64200,25.42
2013-04-29,27.50,27.65,26.73,26.95,46700,25.10
2013-04-26,27.24,27.68,26.80,27.41,115000,25.52
2013-04-25,25.16,27.15,25.16,27.10,92500,25.24
2013-04-24,24.90,25.50,24.90,25.35,13600,23.61
2013-04-23,24.76,25.21,24.59,24.99,36100,23.27
2013-04-22,24.60,24.80,24.42,24.74,12800,23.04
2013-04-19,24.50,24.67,24.32,24.43,13300,22.75
2013-04-18,24.73,24.74,24.27,24.35,25300,22.68
2013-04-17,24.74,24.85,24.32,24.40,21900,22.72
2013-04-16,24.81,25.01,24.71,24.71,22600,23.01
2013-04-15,25.34,25.34,24.80,24.86,31400,23.15
2013-04-12,25.75,25.90,25.16,25.23,27600,23.49
2013-04-11,25.11,25.91,25.06,25.89,38000,24.11
2013-04-10,25.06,25.19,24.82,25.11,65500,23.38
2013-04-09,24.78,25.00,24.75,24.85,26000,23.14
2013-04-08,25.05,25.17,24.71,24.89,44100,23.17
2013-04-05,25.90,25.92,24.89,25.00,129500,23.28
2013-04-04,26.15,26.15,25.30,25.30,81700,23.56
2013-04-03,26.50,26.65,26.07,26.07,46200,24.27
2013-04-02,26.73,26.79,26.38,26.70,37300,24.87
2013-04-01,26.85,26.85,26.85,26.85,000,25.00
2013-03-29,26.85,26.85,26.85,26.85,000,25.00
2013-03-28,26.80,27.07,26.65,26.85,31600,25.00
2013-03-27,26.70,27.05,26.62,26.77,49800,24.93
2013-03-26,26.60,26.86,26.38,26.80,31500,24.96
2013-03-25,26.58,26.83,26.33,26.50,129100,24.68
2013-03-22,27.42,27.47,26.58,26.91,119300,25.06
2013-03-21,28.70,29.01,27.75,27.75,165500,25.84
2013-03-20,28.70,29.01,28.57,28.83,46600,26.85
2013-03-19,28.69,28.78,28.41,28.65,75800,26.68
2013-03-18,28.30,28.85,28.00,28.71,86900,26.74
2013-03-15,27.73,29.24,27.58,28.70,163800,26.73
2013-03-14,26.69,27.69,26.69,27.69,114700,25.79
2013-03-13,26.40,26.67,26.28,26.67,97000,24.84
2013-03-12,26.20,26.53,26.20,26.43,41600,24.61
2013-03-11,27.00,27.07,26.27,26.27,26400,24.47
2013-03-08,26.91,27.25,26.87,27.06,73100,25.20
2013-03-07,26.40,26.99,26.40,26.94,68900,25.09
2013-03-06,26.20,26.43,25.81,26.10,41100,24.30
2013-03-05,25.71,26.35,25.70,26.21,27700,24.41
2013-03-04,25.75,25.95,25.42,25.71,28900,23.94
2013-03-01,26.05,26.05,25.60,26.01,27100,24.22
2013-02-28,26.41,26.41,25.83,26.05,29200,24.26
2013-02-27,25.78,26.14,25.61,26.13,34300,24.33
2013-02-26,25.60,26.09,25.60,25.78,62900,24.01
2013-02-25,26.45,26.70,26.27,26.66,42000,24.82
2013-02-22,26.25,26.44,26.18,26.37,53200,24.56
2013-02-21,26.50,26.50,25.85,26.25,84300,24.44
2013-02-20,25.66,26.89,25.66,26.66,218600,24.83
2013-02-19,24.55,25.73,24.20,24.67,162900,22.97
2013-02-18,25.35,25.35,24.69,24.69,51700,22.99
2013-02-15,24.86,25.35,24.82,25.23,39700,23.49
2013-02-14,24.98,24.98,24.38,24.68,59300,22.99
2013-02-13,25.23,25.23,24.90,24.90,26200,23.19
2013-02-12,24.80,25.30,24.72,25.17,139800,23.44
2013-02-11,24.90,25.00,24.62,24.96,71000,23.24
2013-02-08,24.35,25.12,24.35,24.91,114300,23.19
2013-02-07,22.53,25.75,22.53,24.00,392100,22.35
2013-02-06,22.90,23.27,22.61,22.67,58800,21.11
2013-02-05,22.90,23.08,22.90,23.00,27700,21.42
2013-02-04,23.39,23.39,22.81,22.88,72300,21.31
2013-02-01,22.58,23.51,22.58,23.23,86400,21.63
2013-01-31,22.60,22.79,22.33,22.50,112300,20.95
2013-01-30,22.86,22.92,22.58,22.60,130600,21.05
2013-01-29,23.57,23.89,22.84,22.85,140300,21.28
2013-01-28,23.17,23.57,23.17,23.56,49600,21.94
2013-01-25,23.36,23.43,23.11,23.20,39500,21.61
2013-01-24,22.70,23.35,22.61,23.30,76000,21.70
2013-01-23,22.75,22.84,22.40,22.66,58600,21.10
2013-01-22,22.59,22.75,22.42,22.75,98900,21.19
2013-01-21,22.29,22.40,22.25,22.40,64000,20.86
2013-01-18,22.77,22.80,22.22,22.30,149600,20.77
2013-01-17,22.32,22.92,22.31,22.92,34900,21.34
2013-01-16,22.75,22.80,22.25,22.34,38700,20.80
2013-01-15,22.80,22.94,22.65,22.71,30100,21.15
2013-01-14,22.97,23.06,22.75,22.80,47600,21.23
2013-01-11,23.10,23.10,22.81,23.08,74000,21.49
2013-01-10,24.19,24.30,22.75,23.00,336300,21.42
2013-01-09,24.79,24.80,24.46,24.56,21800,22.87
