Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,126.65,126.80,125.05,125.65,627200,125.65
2013-08-19,130.20,130.35,126.45,127.00,810800,127.00
2013-08-16,129.00,130.10,128.85,129.45,493800,129.45
2013-08-15,129.15,129.85,127.70,128.95,281800,128.95
2013-08-14,128.90,130.00,128.25,129.20,328900,129.20
2013-08-13,127.55,129.75,127.40,128.60,667900,128.60
2013-08-12,127.55,127.75,125.70,127.00,270600,127.00
2013-08-09,128.10,128.10,126.45,127.25,357800,127.25
2013-08-08,128.25,128.65,126.55,127.85,383800,127.85
2013-08-07,128.85,128.85,127.40,128.30,358900,128.30
2013-08-06,127.90,130.20,127.90,128.85,478400,128.85
2013-08-05,127.45,128.05,127.25,127.65,266900,127.65
2013-08-02,128.00,128.05,126.60,127.20,435200,127.20
2013-08-01,126.80,128.50,126.05,127.85,534300,127.85
2013-07-31,125.45,126.70,125.20,125.95,544200,125.95
2013-07-30,125.25,126.25,123.95,125.75,541700,125.75
2013-07-29,125.40,126.95,124.45,125.00,550100,125.00
2013-07-26,126.30,127.20,124.90,125.35,368700,125.35
2013-07-25,127.50,127.55,125.05,125.55,517700,125.55
2013-07-24,126.95,128.00,126.25,127.35,397200,127.35
2013-07-23,127.50,127.90,126.60,126.90,347700,126.90
2013-07-22,128.75,128.90,127.00,127.40,389900,127.40
2013-07-19,128.80,128.85,127.40,128.50,469400,128.50
2013-07-18,127.35,129.00,126.85,129.00,497500,129.00
2013-07-17,125.50,128.55,123.40,128.00,933000,128.00
2013-07-16,131.00,131.00,128.35,128.80,452000,128.80
2013-07-15,130.00,130.95,129.70,130.85,334200,130.85
2013-07-12,130.00,130.95,129.45,129.65,403900,129.65
2013-07-11,130.00,130.20,128.80,129.45,491800,129.45
2013-07-10,128.45,129.80,127.75,129.05,353700,129.05
2013-07-09,128.95,129.60,128.50,128.70,415200,128.70
2013-07-08,126.65,129.65,126.65,128.95,466100,128.95
2013-07-05,129.00,129.25,126.60,126.70,487000,126.70
2013-07-04,126.25,128.90,126.25,128.90,595700,128.90
