Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,36.15,36.15,35.64,35.71,43300,35.71
2013-08-19,36.25,36.27,36.02,36.15,70100,36.15
2013-08-16,35.85,36.24,35.68,36.24,56000,36.24
2013-08-15,35.79,35.94,35.60,35.85,27900,35.85
2013-08-14,35.98,35.98,35.58,35.90,25400,35.90
2013-08-13,35.60,35.92,35.51,35.92,109300,35.92
2013-08-12,35.90,36.00,35.59,35.60,27000,35.60
2013-08-09,35.93,36.06,35.80,35.97,37700,35.97
2013-08-08,35.80,36.11,35.80,35.93,32400,35.93
2013-08-07,35.82,35.95,35.50,35.80,32200,35.80
2013-08-06,35.88,36.05,35.76,35.95,44000,35.95
2013-08-05,35.34,36.02,35.31,35.80,61300,35.80
2013-08-02,35.45,35.54,34.74,35.31,70600,35.31
2013-08-01,35.55,35.90,35.35,35.46,36800,35.46
2013-07-31,35.60,35.63,35.20,35.50,54500,35.50
2013-07-30,35.90,35.90,35.20,35.55,71500,35.55
2013-07-29,35.60,35.88,35.31,35.64,30100,35.64
2013-07-26,35.54,35.83,35.19,35.42,43600,35.42
2013-07-25,36.45,36.45,35.80,36.12,37700,35.52
2013-07-24,36.07,36.47,36.07,36.43,44900,35.82
2013-07-23,35.81,36.29,35.78,36.05,55300,35.45
2013-07-22,35.56,35.85,35.56,35.82,77100,35.22
2013-07-19,35.44,35.56,35.05,35.51,43100,34.92
2013-07-18,35.00,35.50,35.00,35.40,72000,34.81
2013-07-17,35.64,35.64,34.26,35.00,123100,34.42
2013-07-16,35.80,35.96,35.36,35.49,70100,34.90
2013-07-15,36.10,36.22,35.68,35.78,55100,35.19
2013-07-12,36.15,36.15,35.77,35.99,43400,35.39
2013-07-11,35.93,36.16,35.83,35.97,61600,35.37
2013-07-10,36.13,36.16,35.65,35.89,120500,35.29
2013-07-09,36.74,36.89,35.92,35.96,113200,35.36
2013-07-08,36.19,36.70,36.08,36.37,40000,35.77
2013-07-05,36.70,36.70,35.85,35.92,151200,35.32
2013-07-04,35.95,36.70,35.92,36.70,67300,36.09
2013-07-03,35.95,36.00,35.64,35.95,59800,35.35
2013-07-02,35.95,36.04,35.53,36.01,60000,35.41
2013-07-01,35.78,35.95,35.50,35.95,69900,35.35
2013-06-28,35.58,35.75,35.40,35.53,114900,34.94
2013-06-27,35.67,35.72,35.47,35.58,67000,34.99
2013-06-26,35.06,35.83,35.06,35.55,62100,34.96
2013-06-25,34.85,35.06,34.67,35.06,121400,34.47
2013-06-24,35.90,35.92,34.45,34.83,98800,34.26
2013-06-21,35.27,35.99,35.27,35.46,65400,34.87
2013-06-20,36.19,36.20,35.21,35.27,98500,34.68
2013-06-19,35.82,36.20,35.78,36.20,78700,35.60
2013-06-18,35.60,35.94,35.53,35.81,85700,35.22
2013-06-17,35.60,35.81,35.42,35.60,69200,35.01
2013-06-14,35.35,35.46,35.18,35.36,49200,34.77
2013-06-13,35.28,35.52,34.95,35.35,65800,34.76
2013-06-12,35.65,35.81,35.48,35.61,37500,35.02
2013-06-11,35.85,35.90,35.21,35.65,42300,35.06
2013-06-10,35.70,36.14,35.63,35.87,106500,35.27
2013-06-07,35.84,35.88,35.56,35.69,74600,35.10
2013-06-06,35.75,36.13,35.65,35.84,52300,35.24
2013-06-05,35.85,35.98,35.64,35.72,46500,35.13
2013-06-04,35.82,36.00,35.72,35.85,61800,35.25
2013-06-03,35.99,35.99,35.62,35.82,93200,35.22
2013-05-31,35.70,35.99,35.60,35.99,81500,35.39
2013-05-30,35.55,35.70,35.35,35.65,54300,35.06
2013-05-29,35.61,35.83,35.56,35.56,105200,34.97
2013-05-28,35.59,35.80,35.42,35.61,119200,35.02
2013-05-27,35.25,35.97,35.20,35.56,81000,34.97
2013-05-24,34.89,35.90,34.89,35.16,114900,34.58
2013-05-23,35.25,35.27,34.36,34.89,107300,34.31
2013-05-22,35.62,35.65,35.42,35.60,85400,35.01
2013-05-21,35.16,35.68,35.16,35.62,79200,35.03
2013-05-20,34.93,35.60,34.87,35.29,72500,34.70
2013-05-17,34.50,35.50,34.24,35.10,109300,34.52
2013-05-16,35.00,35.00,34.00,34.56,134600,33.98
2013-05-15,34.65,35.10,34.65,35.00,112600,34.42
2013-05-14,34.27,34.88,34.26,34.72,91200,34.14
2013-05-13,33.90,34.27,33.73,34.25,171900,33.68
2013-05-10,33.79,33.88,33.55,33.81,58100,33.24
2013-05-09,33.80,33.80,33.65,33.80,23100,33.24
2013-05-08,33.40,33.80,33.30,33.74,70600,33.18
2013-05-07,33.30,33.37,33.13,33.37,58100,32.81
2013-05-06,33.00,33.32,32.90,33.22,72300,32.67
2013-05-03,33.10,33.10,32.54,32.81,41000,32.26
2013-05-02,33.00,33.19,32.21,33.13,99100,32.58
2013-05-01,33.00,33.00,33.00,33.00,000,32.45
2013-04-30,31.80,33.05,31.59,33.00,226800,32.45
2013-04-29,31.35,31.56,31.22,31.39,62700,30.87
2013-04-26,31.48,31.52,31.33,31.34,64800,30.82
2013-04-25,31.70,31.75,31.27,31.48,85800,30.96
2013-04-24,31.83,31.91,31.60,31.60,56100,31.08
2013-04-23,31.89,31.95,31.45,31.84,55400,31.31
2013-04-22,31.91,31.98,31.50,31.89,37900,31.36
2013-04-19,31.53,32.13,31.50,31.69,56100,31.16
2013-04-18,31.75,31.75,31.30,31.44,53700,30.92
2013-04-17,32.54,32.60,31.52,31.56,58600,31.04
2013-04-16,32.52,32.72,32.40,32.54,64900,32.00
2013-04-15,32.54,32.70,32.15,32.53,52400,31.99
2013-04-12,32.35,32.62,32.35,32.51,43700,31.97
2013-04-11,31.86,32.62,31.86,32.50,62300,31.96
2013-04-10,31.60,31.86,31.59,31.86,38900,31.33
2013-04-09,31.81,31.81,31.50,31.57,126900,31.05
2013-04-08,31.80,31.89,31.51,31.55,43600,31.03
2013-04-05,32.06,32.06,31.61,31.69,61800,31.16
2013-04-04,32.22,32.25,31.88,32.03,61700,31.50
2013-04-03,32.58,32.58,32.11,32.28,41600,31.74
2013-04-02,32.57,32.60,32.15,32.54,60300,32.00
2013-04-01,32.49,32.49,32.49,32.49,000,31.95
2013-03-29,32.49,32.49,32.49,32.49,000,31.95
2013-03-28,31.31,32.61,31.29,32.49,108500,31.95
2013-03-27,32.35,32.45,31.21,31.50,279000,30.98
2013-03-26,32.30,32.30,32.01,32.20,68200,31.67
2013-03-25,32.35,32.36,31.98,32.20,99900,31.67
2013-03-22,32.40,32.41,32.15,32.24,66800,31.70
2013-03-21,32.87,32.90,32.31,32.40,60700,31.86
2013-03-20,32.70,32.95,32.69,32.87,52700,32.32
2013-03-19,33.10,33.15,32.62,32.63,47700,32.09
2013-03-18,33.28,33.28,32.90,33.09,48000,32.54
2013-03-15,32.50,33.50,32.30,33.40,196400,32.85
2013-03-14,32.01,32.55,32.00,32.45,118400,31.91
2013-03-13,32.13,32.24,31.97,32.00,69400,31.47
2013-03-12,31.95,32.12,31.86,32.08,43200,31.55
2013-03-11,32.10,32.24,31.87,31.96,72200,31.43
2013-03-08,32.20,32.27,31.85,32.01,69100,31.48
2013-03-07,32.14,32.29,32.00,32.15,61300,31.62
2013-03-06,32.45,32.54,32.08,32.08,113600,31.55
2013-03-05,32.55,33.00,32.32,32.45,87600,31.91
2013-03-04,32.38,32.53,32.36,32.44,50100,31.90
2013-03-01,32.24,32.38,32.12,32.38,42900,31.84
2013-02-28,32.48,32.51,32.15,32.24,68500,31.71
2013-02-27,32.51,32.58,32.42,32.48,69100,31.94
2013-02-26,32.77,32.78,31.16,32.49,150000,31.95
2013-02-25,33.40,33.54,32.78,33.00,63900,32.45
2013-02-22,33.31,33.54,33.28,33.40,79700,32.85
2013-02-21,33.40,33.49,33.00,33.28,88100,32.72
2013-02-20,33.00,33.53,33.00,33.43,79500,32.87
2013-02-19,32.78,33.30,32.65,33.00,151400,32.45
2013-02-18,32.79,32.83,32.45,32.62,131800,32.07
2013-02-15,32.48,32.74,32.28,32.53,92800,31.99
2013-02-14,32.70,32.80,32.23,32.23,74500,31.69
2013-02-13,32.34,32.80,32.01,32.53,164000,31.99
2013-02-12,31.45,32.19,31.33,31.99,108300,31.45
2013-02-11,31.39,31.50,31.20,31.30,42000,30.78
2013-02-08,31.30,31.35,31.19,31.28,47600,30.76
2013-02-07,31.40,31.42,31.20,31.28,70000,30.76
2013-02-06,31.30,31.59,31.23,31.39,54400,30.86
2013-02-05,31.24,31.60,31.20,31.20,120300,30.68
