Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,22.30,23.25,22.04,23.10,201100,23.10
2013-08-19,23.15,23.15,22.14,22.37,100200,22.37
2013-08-16,23.64,23.67,22.70,23.05,88300,23.05
2013-08-15,23.81,23.81,23.36,23.72,51900,23.72
2013-08-14,24.12,24.13,23.85,23.99,48500,23.99
2013-08-13,24.11,24.18,24.02,24.18,63400,24.18
2013-08-12,24.27,24.30,24.06,24.12,27200,24.12
2013-08-09,24.27,24.27,24.05,24.14,26400,24.14
2013-08-08,24.25,24.34,23.92,24.30,91400,24.30
2013-08-07,24.32,24.48,24.25,24.31,33600,24.31
2013-08-06,24.33,24.40,24.27,24.36,59400,24.36
2013-08-05,24.56,24.59,24.35,24.35,49300,24.35
2013-08-02,24.49,24.60,24.44,24.50,28100,24.50
2013-08-01,24.61,24.63,24.41,24.42,95300,24.42
2013-07-31,24.40,24.63,24.31,24.63,59700,24.63
2013-07-30,24.59,24.59,24.52,24.53,66700,24.53
2013-07-29,24.76,24.76,24.60,24.61,47800,24.61
2013-07-26,24.62,24.78,24.56,24.73,43700,24.73
2013-07-25,24.63,24.64,24.55,24.60,120100,24.60
2013-07-24,24.65,24.68,24.60,24.65,58800,24.65
2013-07-23,24.52,24.68,24.49,24.68,155300,24.68
2013-07-22,24.69,24.78,24.52,24.52,98900,24.52
2013-07-19,24.70,24.71,24.58,24.58,45700,24.58
2013-07-18,24.66,24.75,24.61,24.70,57900,24.70
2013-07-17,24.59,24.78,24.57,24.68,37400,24.68
2013-07-16,24.47,24.62,24.42,24.56,58100,24.56
2013-07-15,24.34,24.49,24.33,24.48,63100,24.48
2013-07-12,24.39,24.51,24.30,24.34,60600,24.34
2013-07-11,24.29,24.38,24.25,24.30,300300,24.30
2013-07-10,24.29,24.29,24.10,24.18,85800,24.18
2013-07-09,24.15,24.25,24.13,24.19,66600,24.19
2013-07-08,24.23,24.26,24.10,24.11,67100,24.11
2013-07-05,24.48,24.48,24.15,24.30,42800,24.30
2013-07-03,24.61,24.62,24.54,24.54,19700,24.54
2013-07-02,24.56,24.80,24.52,24.61,52800,24.61
2013-07-01,24.73,24.73,24.57,24.71,148500,24.71
2013-06-28,24.41,24.71,24.27,24.50,84400,24.50
2013-06-27,24.55,24.69,24.40,24.46,712900,24.46
2013-06-26,24.50,24.93,24.28,24.50,90300,24.50
2013-06-25,24.28,24.50,24.09,24.50,62600,24.50
2013-06-24,24.00,24.16,23.66,24.00,77200,24.00
2013-06-21,24.50,24.50,24.30,24.37,104000,24.37
2013-06-20,24.47,24.47,24.17,24.36,98200,24.36
2013-06-19,24.90,24.93,24.36,24.61,91300,24.61
2013-06-18,25.00,25.00,24.84,24.89,85200,24.89
2013-06-17,24.92,25.22,24.80,24.80,81200,24.80
2013-06-14,24.90,25.00,24.89,25.00,91500,25.00
2013-06-13,24.27,24.80,24.00,24.80,135400,24.80
2013-06-12,24.82,24.95,24.35,24.40,153200,24.40
2013-06-11,25.00,25.00,24.71,24.90,166200,24.90
2013-06-10,25.07,25.11,24.97,25.10,374900,25.10
2013-06-07,25.13,25.23,25.04,25.10,96300,25.10
2013-06-06,24.75,25.15,24.70,25.13,101300,25.13
2013-06-05,24.61,24.83,24.56,24.83,304500,24.83
2013-06-04,25.10,25.10,24.56,24.57,387300,24.57
2013-06-03,25.37,25.38,24.53,25.00,188200,25.00
2013-05-31,25.35,25.44,25.32,25.37,235800,25.37
2013-05-30,25.40,25.48,25.38,25.38,52100,25.38
2013-05-29,25.60,25.67,25.31,25.38,84200,25.38
2013-05-28,26.12,26.12,25.81,25.94,80900,25.54
2013-05-24,26.13,26.13,25.96,26.06,37500,25.66
2013-05-23,26.04,26.14,25.88,26.09,65500,25.69
2013-05-22,26.29,26.39,26.04,26.04,66300,25.64
2013-05-21,26.15,26.29,26.11,26.29,36400,25.89
2013-05-20,26.00,26.17,25.95,26.17,31400,25.77
2013-05-17,26.15,26.15,26.03,26.03,31700,25.63
2013-05-16,25.93,26.16,25.86,26.07,62700,25.67
2013-05-15,25.95,25.99,25.82,25.85,72600,25.45
2013-05-14,26.10,26.14,25.93,26.00,50000,25.60
2013-05-13,26.23,26.23,26.03,26.12,56700,25.72
2013-05-10,26.33,26.34,26.15,26.22,185000,25.82
2013-05-09,26.30,26.35,26.15,26.23,94300,25.83
2013-05-08,26.17,26.40,26.07,26.34,66900,25.94
2013-05-07,25.99,26.19,25.89,26.17,60500,25.77
2013-05-06,25.75,26.00,25.74,25.93,152500,25.53
2013-05-03,25.74,25.80,25.66,25.80,101100,25.40
2013-05-02,25.70,25.77,25.63,25.72,175500,25.33
2013-05-01,25.66,25.80,25.56,25.70,209400,25.31
2013-04-30,25.50,25.66,25.48,25.66,106500,25.27
