Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,92.73,92.82,91.60,92.26,395500,92.26
2013-08-19,93.40,93.48,92.45,93.00,308700,93.00
2013-08-16,93.06,93.50,92.83,93.50,352800,93.50
2013-08-15,93.33,93.55,92.63,93.14,446200,93.14
2013-08-14,93.30,93.62,93.12,93.40,368400,93.40
2013-08-13,92.75,93.42,92.71,93.10,367000,93.10
2013-08-12,92.60,92.87,92.17,92.65,324500,92.65
2013-08-09,92.34,92.80,92.00,92.76,263300,92.76
2013-08-08,92.44,92.44,91.79,92.15,450700,92.15
2013-08-07,92.31,92.65,92.23,92.49,498700,92.49
2013-08-06,91.55,92.81,91.55,92.57,338600,92.57
2013-08-05,91.70,92.17,91.61,91.90,251600,91.90
2013-08-02,92.00,92.00,91.02,91.50,464100,91.50
2013-08-01,89.95,91.58,89.91,91.50,496300,91.50
2013-07-31,89.70,89.74,88.90,89.50,538600,89.50
2013-07-30,89.58,90.10,89.40,89.60,298700,89.60
2013-07-29,88.75,89.51,88.68,89.45,426500,89.45
2013-07-26,88.30,88.91,87.64,88.80,399200,88.80
2013-07-25,89.60,89.60,88.03,88.19,521700,88.19
2013-07-24,87.85,89.55,87.40,89.29,674600,89.29
2013-07-23,87.76,87.88,87.18,87.79,381000,87.79
2013-07-22,87.28,88.02,86.90,87.68,380300,87.68
2013-07-19,86.69,86.98,86.37,86.98,662700,86.98
2013-07-18,86.75,87.14,85.50,86.72,1107600,86.72
2013-07-17,87.80,88.95,87.15,88.17,597000,88.17
2013-07-16,88.50,88.89,87.44,87.93,422200,87.93
2013-07-15,87.63,88.52,87.36,88.23,271400,88.23
2013-07-12,89.80,90.20,87.47,87.53,501700,87.53
2013-07-11,89.11,89.90,88.90,89.70,579100,89.70
2013-07-10,88.14,88.67,87.87,88.41,391500,88.41
2013-07-09,88.32,88.41,87.77,88.23,460300,88.23
2013-07-08,86.90,87.97,86.79,87.93,455900,87.93
2013-07-05,87.80,87.96,86.29,86.29,497500,86.29
2013-07-04,86.44,87.82,86.31,87.59,418300,87.59
2013-07-03,86.43,86.43,85.38,85.89,590700,85.89
2013-07-02,87.99,87.99,86.32,86.84,470400,86.84
2013-07-01,85.74,88.15,85.52,87.90,726800,87.11
2013-06-28,85.93,86.14,84.91,85.19,775100,84.42
2013-06-27,85.81,86.23,85.40,85.96,647400,85.19
2013-06-26,85.58,87.16,85.00,85.81,602900,85.04
2013-06-25,85.34,85.79,84.54,85.69,673800,84.92
2013-06-24,85.59,86.05,83.99,84.90,791200,84.14
2013-06-21,85.86,87.29,85.60,85.68,1117400,84.91
2013-06-20,89.33,89.33,85.36,85.36,1062500,84.59
2013-06-19,89.48,89.98,88.82,89.71,425800,88.90
2013-06-18,87.88,90.00,87.60,89.56,699500,88.76
2013-06-17,88.01,88.63,87.84,88.00,858400,87.21
2013-06-14,88.01,88.82,88.00,88.51,655000,87.71
2013-06-13,88.95,89.66,88.30,89.52,536900,88.72
2013-06-12,89.68,90.54,89.44,89.44,612300,88.64
2013-06-11,90.56,90.57,89.09,89.85,616400,89.04
2013-06-10,90.49,91.28,90.30,90.61,543200,89.80
2013-06-07,90.59,91.34,89.94,90.93,715000,90.11
