Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,11.33,11.33,11.11,11.21,49800,11.21
2013-08-19,11.39,11.39,11.22,11.38,43300,11.38
2013-08-16,11.25,11.40,11.20,11.40,29500,11.40
2013-08-15,11.16,11.44,11.11,11.31,67600,11.31
2013-08-14,11.46,11.46,11.11,11.17,120600,11.17
2013-08-13,11.32,11.48,11.32,11.48,79100,11.48
2013-08-12,11.20,11.33,11.11,11.33,66400,11.33
2013-08-09,11.13,11.22,11.06,11.21,90100,11.21
2013-08-08,10.78,11.14,10.78,11.14,97300,11.14
2013-08-07,10.71,10.80,10.70,10.75,33300,10.75
2013-08-06,10.90,10.98,10.69,10.74,93400,10.74
2013-08-05,10.71,10.98,10.69,10.89,104800,10.89
2013-08-02,10.77,10.78,10.63,10.66,91300,10.66
2013-08-01,10.60,10.78,10.60,10.76,95700,10.76
2013-07-31,10.69,10.70,10.54,10.60,177800,10.60
2013-07-30,10.68,10.79,10.58,10.65,193600,10.65
2013-07-29,11.26,11.39,10.63,10.63,543900,10.63
2013-07-26,12.00,12.02,11.76,11.77,73700,11.77
2013-07-25,11.92,12.00,11.89,11.97,139400,11.97
2013-07-24,11.84,11.96,11.79,11.95,79700,11.95
2013-07-23,11.74,11.84,11.74,11.83,64000,11.83
2013-07-22,11.78,11.78,11.59,11.75,61600,11.75
2013-07-19,11.77,11.85,11.71,11.73,72100,11.73
2013-07-18,11.56,11.87,11.56,11.84,98100,11.84
2013-07-17,11.28,11.63,11.16,11.62,118600,11.62
2013-07-16,11.30,11.30,11.20,11.24,34600,11.24
2013-07-15,11.19,11.30,11.15,11.29,63100,11.29
2013-07-12,10.94,11.15,10.84,11.15,111800,11.15
2013-07-11,10.86,11.00,10.84,10.84,35800,10.84
2013-07-10,10.82,10.95,10.55,10.76,80700,10.76
2013-07-09,10.80,10.99,10.75,10.80,68800,10.80
2013-07-08,10.80,10.85,10.68,10.71,81900,10.71
2013-07-05,10.89,10.89,10.70,10.71,61400,10.71
2013-07-04,10.54,10.85,10.54,10.85,64700,10.85
2013-07-03,10.65,10.65,10.50,10.51,97400,10.51
2013-07-02,10.90,10.94,10.67,10.71,44000,10.71
2013-07-01,10.61,10.89,10.55,10.89,60900,10.89
2013-06-28,10.69,10.69,10.50,10.62,81400,10.62
2013-06-27,10.66,10.76,10.54,10.69,47400,10.69
2013-06-26,10.55,10.80,10.54,10.56,96500,10.56
2013-06-25,10.64,10.80,10.50,10.51,111500,10.51
2013-06-24,10.94,10.94,10.57,10.60,133000,10.60
2013-06-21,11.15,11.27,10.90,10.90,79500,10.90
2013-06-20,11.30,11.30,11.06,11.18,70600,11.18
2013-06-19,11.60,11.71,11.38,11.46,74400,11.46
2013-06-18,11.29,11.58,11.29,11.54,105400,11.54
2013-06-17,10.99,11.21,10.99,11.18,55200,11.18
2013-06-14,11.00,11.07,10.92,10.92,41600,10.92
2013-06-13,10.90,10.99,10.77,10.88,78000,10.88
2013-06-12,11.11,11.18,10.92,10.92,83900,10.92
2013-06-11,11.25,11.27,11.07,11.10,76000,11.10
2013-06-10,11.49,11.49,11.13,11.25,71200,11.25
2013-06-07,11.08,11.44,11.03,11.34,133200,11.34
2013-06-06,11.50,11.50,11.20,11.20,103800,11.00
2013-06-05,11.55,11.59,11.40,11.40,97900,11.20
2013-06-04,11.71,11.80,11.56,11.57,62400,11.36
2013-06-03,11.85,11.85,11.52,11.63,88400,11.42
2013-05-31,12.01,12.01,11.78,11.85,135100,11.64
2013-05-30,11.96,12.19,11.86,12.05,59600,11.83
2013-05-29,12.18,12.20,11.95,11.95,59500,11.74
2013-05-28,11.90,12.19,11.90,12.18,98100,11.96
2013-05-27,11.77,11.90,11.72,11.83,36400,11.62
2013-05-24,11.84,11.92,11.70,11.74,47800,11.53
2013-05-23,12.09,12.09,11.66,11.83,125900,11.62
2013-05-22,11.89,12.33,11.89,12.21,326500,11.99
2013-05-21,11.90,12.04,11.68,11.90,188800,11.69
2013-05-20,11.57,11.95,11.56,11.92,139500,11.71
2013-05-17,11.59,11.62,11.45,11.57,92200,11.36
2013-05-16,11.61,11.64,11.40,11.54,91900,11.33
2013-05-15,11.72,11.75,11.52,11.55,116700,11.34
2013-05-14,11.86,11.87,11.63,11.71,62400,11.50
2013-05-13,11.89,11.97,11.75,11.87,95300,11.66
2013-05-10,12.04,12.14,11.72,11.85,85000,11.64
2013-05-09,11.99,12.00,11.90,12.00,50500,11.79
2013-05-08,11.77,12.00,11.66,12.00,115600,11.79
2013-05-07,11.64,11.86,11.56,11.72,133100,11.51
2013-05-06,11.43,11.68,11.32,11.52,105800,11.31
2013-05-03,11.20,11.50,11.19,11.40,95300,11.20
2013-05-02,11.27,11.27,11.03,11.19,72300,10.99
2013-05-01,11.21,11.21,11.21,11.21,000,11.01
2013-04-30,11.32,11.39,11.16,11.21,66700,11.01
2013-04-29,11.33,11.39,11.21,11.31,84900,11.11
2013-04-26,11.49,11.49,11.12,11.32,153200,11.12
2013-04-25,11.40,11.56,11.35,11.45,164400,11.25
2013-04-24,11.47,11.57,11.27,11.39,180000,11.19
2013-04-23,11.32,11.45,11.14,11.45,107100,11.25
2013-04-22,11.13,11.30,10.99,11.27,68100,11.07
2013-04-19,10.81,11.15,10.81,10.99,119300,10.79
2013-04-18,10.80,10.98,10.70,10.78,227900,10.59
2013-04-17,11.00,11.02,10.72,10.75,179100,10.56
2013-04-16,11.04,11.14,10.84,10.93,281700,10.73
2013-04-15,11.33,11.33,11.01,11.01,136800,10.81
2013-04-12,11.85,11.89,11.15,11.25,296800,11.05
2013-04-11,11.90,12.13,11.62,11.94,270000,11.73
2013-04-10,11.37,11.94,11.35,11.77,287000,11.56
2013-04-09,10.78,11.31,10.78,11.31,213200,11.11
2013-04-08,10.87,10.90,10.65,10.69,133000,10.50
2013-04-05,10.71,10.95,10.58,10.73,247900,10.54
2013-04-04,10.50,10.93,10.45,10.60,204000,10.41
2013-04-03,10.58,10.77,10.40,10.45,164300,10.26
2013-04-02,10.56,10.61,10.35,10.55,188400,10.36
2013-04-01,10.54,10.54,10.54,10.54,000,10.35
2013-03-29,10.54,10.54,10.54,10.54,000,10.35
2013-03-28,10.95,11.04,10.37,10.54,380600,10.35
2013-03-27,10.95,11.33,10.92,10.92,219700,10.73
2013-03-26,11.12,11.22,10.79,10.85,160000,10.66
2013-03-25,11.54,11.60,11.12,11.12,144600,10.92
2013-03-22,11.64,11.65,11.35,11.46,289800,11.26
2013-03-21,12.20,12.20,11.77,11.95,161200,11.74
2013-03-20,12.35,12.40,12.01,12.17,141700,11.95
2013-03-19,12.48,12.49,12.30,12.30,149800,12.08
2013-03-18,12.45,12.50,12.34,12.43,180000,12.21
2013-03-15,12.50,12.70,12.40,12.60,86500,12.38
2013-03-14,12.31,12.50,12.31,12.50,62800,12.28
2013-03-13,12.60,12.67,12.30,12.30,121300,12.08
2013-03-12,12.41,12.77,12.41,12.59,81700,12.37
2013-03-11,12.55,12.60,12.41,12.41,121300,12.19
2013-03-08,12.47,12.65,12.36,12.55,122800,12.33
2013-03-07,12.44,12.50,12.33,12.36,106900,12.14
2013-03-06,12.24,12.67,12.21,12.34,329900,12.12
