Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,257.45,257.45,254.30,256.00,9600,256.00
2013-08-19,256.15,260.05,255.05,258.50,10600,258.50
2013-08-16,260.40,261.50,255.95,255.95,24300,255.95
2013-08-15,262.40,263.00,258.50,260.80,13500,260.80
2013-08-14,261.10,263.20,260.50,262.15,11300,262.15
2013-08-13,262.35,263.20,259.85,261.10,8500,261.10
2013-08-12,261.25,263.15,259.70,261.95,5800,261.95
2013-08-09,260.95,263.75,259.85,261.65,8300,261.65
2013-08-08,258.50,261.10,257.85,261.05,9200,261.05
2013-08-07,262.65,262.65,258.55,259.35,14100,259.35
2013-08-06,261.90,264.80,261.75,262.65,12900,262.65
2013-08-05,262.50,264.30,261.00,262.45,11600,262.45
2013-08-02,258.00,262.80,258.00,261.95,10500,261.95
2013-08-01,256.10,260.15,255.90,258.50,13000,258.50
2013-07-31,258.35,259.00,254.75,255.40,12500,255.40
2013-07-30,253.85,258.40,253.85,258.15,13500,258.15
2013-07-29,254.60,256.95,253.50,253.90,9300,253.90
2013-07-26,255.00,256.50,253.40,254.25,12900,254.25
2013-07-25,259.15,259.15,253.25,254.20,16000,254.20
2013-07-24,260.10,261.00,257.50,258.40,16400,258.40
2013-07-23,262.65,262.65,257.90,259.20,16700,259.20
2013-07-22,258.00,265.00,258.00,262.35,17800,262.35
2013-07-19,261.00,264.85,258.90,260.05,26900,260.05
2013-07-18,254.50,264.15,254.50,262.45,28000,262.45
2013-07-17,250.80,253.10,249.20,251.20,11000,251.20
2013-07-16,252.55,253.50,250.75,250.75,9000,250.75
2013-07-15,253.85,255.60,252.85,252.85,15000,252.85
2013-07-12,253.55,254.30,252.65,253.50,12800,253.50
2013-07-11,256.85,256.85,253.45,254.00,13400,254.00
2013-07-10,253.50,257.50,252.10,254.95,19000,254.95
2013-07-09,256.70,257.00,252.60,252.90,14600,252.90
2013-07-08,250.75,256.00,250.75,254.00,15500,254.00
2013-07-05,250.30,253.45,248.80,248.80,16200,248.80
2013-07-04,248.00,252.15,247.95,250.35,11200,250.35
2013-07-03,248.50,249.30,245.20,247.70,12500,247.70
2013-07-02,252.00,252.00,248.50,249.20,25100,249.20
2013-07-01,248.75,250.70,246.85,250.70,17500,250.70
2013-06-28,253.05,253.20,244.80,248.00,33600,248.00
2013-06-27,247.55,250.45,246.95,247.70,11000,247.70
2013-06-26,245.35,248.65,243.90,248.65,22300,248.65
2013-06-25,238.00,244.40,236.60,243.40,20500,243.40
2013-06-24,238.90,239.95,235.50,236.60,20700,236.60
2013-06-21,248.05,250.00,240.10,240.10,56500,240.10
2013-06-20,252.00,253.50,248.10,249.25,46900,249.25
2013-06-19,255.00,257.70,253.00,254.15,18100,254.15
2013-06-18,256.50,257.45,254.85,256.30,9100,256.30
2013-06-17,256.10,258.75,256.10,257.05,13400,257.05
2013-06-14,255.50,258.95,255.35,256.85,8100,256.85
2013-06-13,259.80,259.80,255.00,256.65,13800,256.65
2013-06-12,260.45,264.00,257.65,260.50,15400,260.50
2013-06-11,260.20,262.70,258.30,258.45,23400,258.45
2013-06-10,263.80,263.80,259.30,261.40,13300,261.40
2013-06-07,260.00,263.75,259.00,261.75,12400,261.75
2013-06-06,262.00,266.00,260.15,261.10,15700,261.10
2013-06-05,267.00,267.40,262.60,262.60,15800,261.60
2013-06-04,268.15,269.65,266.25,266.55,15800,265.53
2013-06-03,273.90,273.90,266.55,268.00,23500,266.98
2013-05-31,276.10,277.10,271.75,275.20,18700,274.15
2013-05-30,276.60,277.00,274.85,276.85,15000,275.80
2013-05-29,279.35,281.50,276.70,277.95,14600,276.89
2013-05-28,278.20,283.20,277.55,281.75,20500,280.68
2013-05-27,278.85,279.00,275.85,276.50,15100,275.45
2013-05-24,274.30,278.05,273.25,275.00,12300,273.95
2013-05-23,275.00,276.00,271.50,274.40,19600,273.36
2013-05-22,279.20,281.85,276.75,280.10,22800,279.03
2013-05-21,277.60,282.30,277.10,281.20,35400,280.13
2013-05-20,276.10,278.00,275.10,277.70,12400,276.64
2013-05-17,273.60,277.00,273.00,276.60,19900,275.55
2013-05-16,271.00,274.95,269.65,273.45,30200,272.41
2013-05-15,269.40,272.85,267.00,271.60,22700,270.57
2013-05-14,268.60,269.50,266.50,269.05,21500,268.03
2013-05-13,266.50,268.55,264.00,267.10,15100,266.08
2013-05-10,263.40,267.70,263.40,266.85,11900,265.83
2013-05-09,263.30,264.70,263.25,263.95,6100,262.94
2013-05-08,263.00,267.50,262.50,263.95,17900,262.94
2013-05-07,262.00,262.50,259.00,260.35,12600,259.36
2013-05-06,264.05,264.95,260.50,262.10,12300,261.10
