Date,Open,High,Low,Close,Volume,Adj Close
2013-08-20,11.06,11.06,10.73,10.86,5537400,10.86
2013-08-19,11.19,11.38,11.12,11.19,3518500,11.19
2013-08-16,10.64,11.18,10.55,11.14,3385900,11.14
2013-08-15,11.02,11.11,10.52,10.70,3759200,10.70
2013-08-14,10.68,11.15,10.68,11.04,3846500,11.04
2013-08-13,10.69,10.70,10.51,10.65,1915200,10.65
2013-08-12,10.73,10.85,10.43,10.61,3351000,10.61
2013-08-09,10.61,10.90,10.60,10.61,5709100,10.61
2013-08-08,9.90,10.48,9.83,10.40,7249300,10.40
2013-08-07,9.69,9.81,9.46,9.77,3362600,9.77
2013-08-06,9.88,10.18,9.73,9.80,5268400,9.80
2013-08-05,9.63,9.90,9.55,9.90,4446200,9.90
2013-08-02,9.49,9.64,9.45,9.59,3955600,9.59
2013-08-01,9.70,9.77,9.26,9.57,5684500,9.57
2013-07-31,9.70,9.94,9.53,9.60,14030200,9.60
2013-07-30,8.68,9.14,8.50,9.00,8058000,9.00
2013-07-29,8.52,8.69,8.45,8.65,3647700,8.65
2013-07-26,8.70,8.75,8.38,8.42,3755500,8.42
2013-07-25,8.70,8.75,8.45,8.58,3487000,8.58
2013-07-24,8.39,8.76,8.31,8.68,5659100,8.68
2013-07-23,8.50,8.54,8.22,8.41,4737900,8.41
2013-07-22,8.53,8.75,8.43,8.50,4782400,8.50
2013-07-19,8.50,8.67,8.36,8.53,5752300,8.53
2013-07-18,8.15,8.65,8.11,8.50,12193800,8.50
2013-07-17,7.89,8.07,7.82,7.95,5040100,7.95
2013-07-16,7.80,7.96,7.71,7.90,4405000,7.90
2013-07-15,7.95,7.99,7.78,7.87,5718100,7.87
2013-07-12,7.59,7.97,7.55,7.87,10546200,7.87
2013-07-11,7.50,7.58,7.40,7.55,5352300,7.55
2013-07-10,7.33,7.50,7.09,7.46,6844900,7.46
2013-07-09,7.26,7.44,7.16,7.36,5930800,7.36
2013-07-08,7.13,7.34,7.13,7.26,5189900,7.26
2013-07-05,6.90,7.25,6.80,7.10,9122800,7.10
2013-07-04,6.60,6.86,6.51,6.86,10898800,6.86
2013-07-03,5.94,6.24,5.77,6.23,6270000,6.23
2013-07-02,6.16,6.20,5.94,5.99,3212800,5.99
2013-07-01,6.31,6.36,6.07,6.17,3750300,6.17
2013-06-28,6.45,6.54,6.17,6.32,5095800,6.32
2013-06-27,6.29,6.55,6.09,6.50,9916100,6.50
2013-06-26,6.13,6.28,6.09,6.16,3879600,6.16
2013-06-25,5.94,6.18,5.89,6.11,5627900,6.11
2013-06-24,5.91,5.98,5.65,5.82,5609400,5.82
2013-06-21,6.25,6.25,5.89,5.90,6137500,5.90
2013-06-20,6.40,6.42,6.13,6.15,4779800,6.15
2013-06-19,6.60,6.62,6.41,6.45,3133700,6.45
2013-06-18,6.63,6.70,6.57,6.60,1829800,6.60
2013-06-17,6.70,6.80,6.62,6.64,2558700,6.64
2013-06-14,6.78,6.81,6.63,6.69,2467700,6.69
2013-06-13,6.59,6.76,6.52,6.66,3545900,6.66
2013-06-12,6.80,6.89,6.61,6.65,3683900,6.65
2013-06-11,6.84,6.87,6.64,6.66,3614000,6.66
2013-06-10,6.96,6.97,6.84,6.88,1784400,6.88
2013-06-07,6.86,6.96,6.77,6.89,3038800,6.89
2013-06-06,6.72,6.94,6.71,6.76,2654500,6.76
2013-06-05,6.75,6.86,6.71,6.81,2360900,6.81
2013-06-04,6.90,6.97,6.79,6.82,2212600,6.82
2013-06-03,6.78,6.99,6.67,6.80,4418100,6.80
2013-05-31,7.02,7.12,6.80,6.83,19695400,6.83
2013-05-30,6.99,7.24,6.92,7.07,5337100,7.07
2013-05-29,7.20,7.29,6.99,7.05,9541800,7.05
2013-05-28,7.28,7.52,7.24,7.36,6074500,7.36
2013-05-27,7.03,7.24,7.03,7.17,3050800,7.17
2013-05-24,7.04,7.10,6.96,7.00,4565900,7.00
2013-05-23,7.05,7.20,6.83,6.99,8144900,6.99
2013-05-22,7.51,7.52,7.33,7.38,3881000,7.38
2013-05-21,7.50,7.68,7.31,7.52,6299800,7.52
2013-05-20,7.14,7.59,7.14,7.56,11358600,7.56
2013-05-17,6.51,7.24,6.50,7.14,15944400,7.14
2013-05-16,6.49,6.61,6.44,6.49,4583000,6.49
2013-05-15,6.30,6.80,6.26,6.56,9900200,6.56
2013-05-14,6.22,6.35,6.13,6.28,4289700,6.28
2013-05-13,6.18,6.22,6.07,6.18,1967900,6.18
2013-05-10,6.03,6.20,6.03,6.19,3564000,6.19
2013-05-09,6.04,6.08,5.88,6.05,2953600,6.05
2013-05-08,6.08,6.15,6.02,6.05,1739100,6.05
2013-05-07,6.05,6.14,5.97,6.06,2795500,6.06
2013-05-06,5.99,6.07,5.94,6.01,1225400,6.01
2013-05-03,5.92,5.99,5.82,5.98,2727400,5.98
2013-05-02,6.02,6.04,5.80,5.90,5072500,5.90
2013-05-01,6.08,6.08,6.08,6.08,000,6.08
2013-04-30,6.13,6.20,6.01,6.08,3801100,6.08
2013-04-29,6.27,6.27,6.08,6.11,4163200,6.11
2013-04-26,6.12,6.25,5.91,6.25,5357900,6.25
2013-04-25,6.07,6.32,5.93,6.15,7049600,6.15
2013-04-24,5.70,6.09,5.65,6.01,11879200,6.01
2013-04-23,5.28,5.45,5.23,5.45,4200400,5.45
2013-04-22,5.42,5.46,5.24,5.28,2562300,5.28
2013-04-19,5.44,5.47,5.28,5.35,4150500,5.35
2013-04-18,5.36,5.41,5.17,5.32,3411500,5.32
2013-04-17,5.61,5.61,5.28,5.34,4211500,5.34
2013-04-16,5.48,5.63,5.46,5.55,2946300,5.55
2013-04-15,5.65,5.72,5.50,5.53,3270400,5.53
2013-04-12,5.82,5.83,5.61,5.64,3463700,5.64
2013-04-11,5.88,5.90,5.78,5.84,3044100,5.84
2013-04-10,5.68,5.93,5.65,5.86,4709600,5.86
2013-04-09,5.60,5.73,5.57,5.63,3379800,5.63
2013-04-08,5.61,5.66,5.54,5.55,2492000,5.55
2013-04-05,5.72,5.79,5.51,5.56,4130600,5.56
2013-04-04,5.66,5.93,5.65,5.65,5122900,5.65
2013-04-03,5.71,5.79,5.59,5.64,4034700,5.64
2013-04-02,5.69,5.75,5.52,5.70,4887100,5.70
2013-04-01,5.65,5.65,5.65,5.65,000,5.65
2013-03-29,5.65,5.65,5.65,5.65,000,5.65
2013-03-28,5.71,5.87,5.56,5.65,5611000,5.65
2013-03-27,5.86,5.90,5.65,5.70,3511200,5.70
2013-03-26,5.90,5.98,5.77,5.84,4406100,5.84
2013-03-25,6.28,6.28,5.91,5.95,4792100,5.95
2013-03-22,6.32,6.34,6.12,6.16,4423100,6.16
2013-03-21,6.60,6.60,6.28,6.37,3954100,6.37
2013-03-20,6.59,6.62,6.45,6.57,2817500,6.57
2013-03-19,6.69,6.87,6.47,6.47,6318800,6.47
2013-03-18,6.40,6.71,6.26,6.62,5719400,6.62
2013-03-15,6.53,6.60,6.45,6.53,3594200,6.53
2013-03-14,6.60,6.61,6.42,6.56,3017100,6.56
2013-03-13,6.68,6.74,6.51,6.54,2853000,6.54
2013-03-12,6.49,6.75,6.41,6.67,4158500,6.67
2013-03-11,6.60,6.65,6.40,6.54,2981300,6.54
2013-03-08,6.38,6.70,6.37,6.60,9113300,6.60
2013-03-07,6.12,6.38,6.11,6.32,8730100,6.32
2013-03-06,5.60,6.05,5.60,6.05,8692100,6.05
2013-03-05,5.54,5.63,5.49,5.55,3232200,5.55
2013-03-04,5.58,5.65,5.46,5.46,4282300,5.46
2013-03-01,5.80,5.83,5.50,5.56,5683600,5.56
2013-02-28,5.83,5.86,5.70,5.80,2435000,5.80
2013-02-27,5.71,5.80,5.55,5.78,2651300,5.78
2013-02-26,5.55,5.74,5.52,5.65,3778600,5.65
2013-02-25,5.76,5.91,5.68,5.75,4427200,5.75
2013-02-22,5.86,5.95,5.71,5.72,3918900,5.72
2013-02-21,6.06,6.07,5.79,5.86,5070800,5.86
2013-02-20,6.21,6.29,6.10,6.11,3384300,6.11
2013-02-19,6.30,6.39,6.23,6.23,2699600,6.23
2013-02-18,6.50,6.55,6.32,6.35,3095000,6.35
2013-02-15,6.20,6.45,6.20,6.39,4472400,6.39
2013-02-14,6.39,6.50,6.26,6.38,6056000,6.38
2013-02-13,6.25,6.43,6.05,6.40,15043100,6.40
2013-02-12,6.00,6.01,5.82,5.97,2923100,5.97
2013-02-11,5.99,6.21,5.85,6.02,6122900,6.02
2013-02-08,5.80,6.17,5.57,5.99,11121700,5.99
2013-02-07,5.85,5.90,5.76,5.87,3504200,5.87
2013-02-06,5.69,5.89,5.63,5.81,4386900,5.81
2013-02-05,5.65,5.72,5.52,5.67,3594900,5.67
2013-02-04,5.95,5.95,5.66,5.67,3098600,5.67
2013-02-01,5.73,5.97,5.62,5.88,5162700,5.88
2013-01-31,5.93,5.95,5.55,5.74,9651100,5.74
2013-01-30,6.19,6.21,5.93,5.96,4938600,5.96
2013-01-29,6.34,6.48,6.12,6.20,5254000,6.20
2013-01-28,6.19,6.37,6.14,6.31,3684800,6.31
2013-01-25,6.15,6.20,6.09,6.14,3108000,6.14
2013-01-24,6.18,6.18,6.05,6.14,4277500,6.14
2013-01-23,6.23,6.28,6.13,6.17,2743200,6.17
2013-01-22,6.24,6.28,6.09,6.18,3056500,6.18
2013-01-21,6.28,6.29,6.05,6.24,5111800,6.24
2013-01-18,6.55,6.55,6.24,6.25,3909900,6.25
2013-01-17,6.36,6.47,6.31,6.44,3708700,6.44
2013-01-16,6.44,6.51,6.23,6.38,6285500,6.38
2013-01-15,6.42,6.68,6.30,6.60,6123200,6.60
2013-01-14,6.14,6.48,6.12,6.40,6776500,6.40
2013-01-11,6.20,6.20,6.01,6.10,3896800,6.10
2013-01-10,6.39,6.39,6.07,6.15,5099700,6.15
2013-01-09,6.20,6.36,6.04,6.31,6060700,6.31
2013-01-08,6.54,6.71,6.20,6.22,8233500,6.22
2013-01-07,6.22,6.83,6.19,6.52,11733600,6.52
2013-01-04,5.66,6.22,5.60,6.18,12498900,6.18
2013-01-03,5.51,5.65,5.45,5.65,3083600,5.65
2013-01-02,5.58,5.60,5.47,5.50,2591200,5.50
2013-01-01,5.47,5.47,5.47,5.47,000,5.47
2012-12-31,5.40,5.49,5.36,5.47,633400,5.47
2012-12-28,5.59,5.59,5.42,5.44,1749800,5.44
2012-12-27,5.50,5.61,5.50,5.52,2824300,5.52
2012-12-26,5.51,5.51,5.51,5.51,000,5.51
2012-12-25,5.51,5.51,5.51,5.51,000,5.51
2012-12-24,5.54,5.54,5.40,5.51,1616500,5.51
2012-12-21,5.52,5.61,5.42,5.55,5989200,5.55
2012-12-20,5.50,5.88,5.50,5.63,8226100,5.63
2012-12-19,5.92,5.92,5.41,5.59,10604600,5.59
2012-12-18,5.66,5.89,5.48,5.86,7710700,5.86
2012-12-17,5.30,5.60,5.28,5.60,7692600,5.60
2012-12-14,5.17,5.30,5.11,5.26,2820800,5.26
2012-12-13,5.39,5.40,5.15,5.20,6990600,5.20
2012-12-12,5.15,5.47,5.08,5.42,16005200,5.42
2012-12-11,4.78,4.93,4.69,4.93,4974300,4.93
2012-12-10,4.53,4.78,4.47,4.74,4501300,4.74
2012-12-07,4.54,4.56,4.44,4.53,2821500,4.53
2012-12-06,4.55,4.56,4.50,4.51,2492600,4.51
2012-12-05,4.51,4.57,4.49,4.51,2444300,4.51
2012-12-04,4.61,4.64,4.49,4.49,4556700,4.49
2012-12-03,4.72,4.76,4.63,4.63,2632000,4.63
2012-11-30,4.76,4.79,4.71,4.72,2272900,4.72
2012-11-29,4.81,4.85,4.74,4.75,2441400,4.75
2012-11-28,4.80,4.82,4.71,4.78,1817700,4.78
2012-11-27,4.76,4.87,4.72,4.80,3437900,4.80
2012-11-26,4.77,4.77,4.66,4.71,1902900,4.71
2012-11-23,4.77,4.79,4.67,4.75,2575000,4.75
2012-11-22,4.61,4.70,4.59,4.70,1962700,4.70
2012-11-21,4.65,4.69,4.53,4.57,3872800,4.57
2012-11-20,4.63,4.78,4.61,4.67,4431200,4.67
2012-11-19,4.49,4.70,4.47,4.67,5726300,4.67
2012-11-16,4.45,4.49,4.38,4.40,2984700,4.40
2012-11-15,4.44,4.47,4.40,4.44,3020500,4.44
2012-11-14,4.46,4.62,4.36,4.45,7649000,4.45
2012-11-13,4.62,4.62,4.45,4.47,6173900,4.47
2012-11-12,4.49,4.59,4.43,4.58,4369300,4.58
2012-11-09,4.50,4.64,4.32,4.42,8561500,4.42
2012-11-08,4.72,4.74,4.45,4.46,8660800,4.46
2012-11-07,4.87,4.91,4.73,4.75,4264500,4.75
2012-11-06,4.83,4.87,4.76,4.81,4123300,4.81
2012-11-05,4.80,4.98,4.76,4.81,5096600,4.81
2012-11-02,5.00,5.00,4.78,4.80,5203800,4.80
2012-11-01,4.95,5.09,4.89,4.99,4447200,4.99
2012-10-31,4.89,4.99,4.86,4.94,5005700,4.94
2012-10-30,4.95,4.99,4.77,4.86,6426900,4.86
2012-10-29,5.29,5.30,4.91,4.91,9309400,4.91
2012-10-26,5.31,5.35,5.21,5.28,4819900,5.28
2012-10-25,5.52,5.55,5.29,5.37,8614500,5.37
2012-10-24,5.91,5.95,5.36,5.56,14519200,5.56
2012-10-23,6.00,6.15,5.79,5.83,7092300,5.83
2012-10-22,6.07,6.07,5.93,5.98,3372100,5.98
2012-10-19,6.20,6.26,6.06,6.10,2587100,6.10
2012-10-18,6.05,6.24,6.00,6.18,5460000,6.18
2012-10-17,5.85,6.09,5.85,6.03,8186200,6.03
2012-10-16,6.02,6.05,5.75,5.80,5652100,5.80
2012-10-15,6.04,6.20,5.88,6.00,4826400,6.00
2012-10-12,5.85,6.20,5.72,6.02,9681000,6.02
2012-10-11,5.90,5.95,5.84,5.89,3008900,5.89
2012-10-10,5.94,6.03,5.86,5.89,3264300,5.89
2012-10-09,6.12,6.15,5.96,5.98,3236900,5.98
2012-10-08,6.23,6.24,6.05,6.09,2854400,6.09
2012-10-05,6.16,6.28,6.08,6.28,3403000,6.28
2012-10-04,6.18,6.24,6.11,6.13,2436200,6.13
2012-10-03,6.12,6.20,6.09,6.13,2065000,6.13
2012-10-02,6.16,6.29,6.07,6.17,2571000,6.17
2012-10-01,6.17,6.33,6.13,6.19,3677000,6.19
2012-09-28,6.05,6.19,5.94,6.15,5704100,6.15
2012-09-27,6.07,6.35,5.95,5.99,5898100,5.99
2012-09-26,6.29,6.29,5.98,6.03,7293400,6.03
2012-09-25,6.57,6.57,6.30,6.37,5404100,6.37
2012-09-24,6.45,6.58,6.34,6.55,3931100,6.55
2012-09-21,6.68,6.78,6.47,6.50,14099400,6.50
2012-09-20,6.81,7.28,6.52,6.64,13139500,6.64
2012-09-19,6.91,6.93,6.73,6.86,3966200,6.86
2012-09-18,7.08,7.08,6.72,6.78,7127900,6.78
2012-09-17,7.02,7.24,6.95,7.09,6061100,7.09
2012-09-14,6.92,7.15,6.85,7.04,8768200,7.04
2012-09-13,6.92,6.92,6.68,6.70,4166100,6.70
2012-09-12,6.49,6.95,6.47,6.87,9636700,6.87
2012-09-11,6.40,6.49,6.26,6.45,3908600,6.45
2012-09-10,6.45,6.52,6.28,6.46,3698700,6.46
2012-09-07,6.00,6.43,5.85,6.43,10904800,6.43
2012-09-06,5.78,6.08,5.78,6.04,5774100,6.04
2012-09-05,5.89,5.93,5.71,5.75,5227800,5.75
2012-09-04,6.00,6.00,5.86,5.88,3243200,5.88
2012-09-03,6.02,6.09,5.94,5.96,2803700,5.96
2012-08-31,5.96,6.16,5.92,6.01,4327200,6.01
2012-08-30,6.15,6.16,5.92,5.96,5324600,5.96
2012-08-29,6.35,6.39,6.13,6.20,3398200,6.20
2012-08-28,6.38,6.43,6.30,6.34,2510800,6.34
2012-08-27,6.51,6.56,6.40,6.41,2293800,6.41
2012-08-24,6.76,6.76,6.34,6.46,5784700,6.46
2012-08-23,6.90,6.96,6.67,6.76,3042400,6.76
2012-08-22,6.80,6.88,6.71,6.85,2348900,6.85
2012-08-21,6.86,6.98,6.82,6.87,2685300,6.87
2012-08-20,7.04,7.04,6.71,6.85,3518100,6.85
2012-08-17,6.68,7.07,6.64,6.99,6259000,6.99
2012-08-16,6.41,6.66,6.36,6.64,2720200,6.64
2012-08-15,6.42,6.46,6.36,6.36,1369800,6.36
2012-08-14,6.49,6.56,6.42,6.42,2081000,6.42
