DATE,DATA
2001-01-02,6.60500
2001-01-03,6.57875
2001-01-04,6.08125
2001-01-05,6.05250
2001-01-08,6.03750
2001-01-09,6.03000
2001-01-10,6.02625
2001-01-11,6.02500
2001-01-12,6.02625
2001-01-15,6.03625
2001-01-16,6.03125
2001-01-17,6.03125
2001-01-18,6.00500
2001-01-19,6.00000
2001-01-22,5.99500
2001-01-23,5.98625
2001-01-24,5.98875
2001-01-25,5.91625
2001-01-26,5.79125
2001-01-29,5.70125
2001-01-30,5.63625
2001-01-31,5.59500
2001-02-01,5.58000
2001-02-02,5.57500
2001-02-05,5.58875
2001-02-06,5.58375
2001-02-07,5.58500
2001-02-08,5.58500
2001-02-09,5.58500
2001-02-12,5.58500
2001-02-13,5.58500
2001-02-14,5.58000
2001-02-15,5.58125
2001-02-16,5.58000
2001-02-19,5.57875
2001-02-20,5.58000
2001-02-21,5.57875
2001-02-22,5.57500
2001-02-23,5.57250
2001-02-26,5.55625
2001-02-27,5.49125
2001-02-28,5.39750
2001-03-01,5.52125
2001-03-02,5.55375
2001-03-05,5.56125
2001-03-06,5.57875
2001-03-07,5.56406
2001-03-08,5.56000
2001-03-09,5.55750
2001-03-12,5.55250
2001-03-13,5.49375
2001-03-14,5.41828
2001-03-15,5.12000
2001-03-16,5.06281
2001-03-19,5.02125
2001-03-20,5.01750
2001-03-21,5.08406
2001-03-22,5.12250
2001-03-23,5.15125
2001-03-26,5.15125
2001-03-27,5.15750
2001-03-28,5.16500
2001-03-29,5.12063
2001-03-30,5.11750
2001-04-02,5.10297
2001-04-03,5.09875
2001-04-04,5.10047
2001-04-05,5.09922
2001-04-06,5.09922
2001-04-09,5.08875
2001-04-10,5.08500
2001-04-11,5.08797
2001-04-12,5.09547
2001-04-17,5.09500
2001-04-18,5.08750
2001-04-19,4.56906
2001-04-20,4.56750
2001-04-23,4.56531
2001-04-24,4.55375
2001-04-25,4.54875
2001-04-26,4.55625
2001-04-27,4.55750
2001-04-30,4.56875
2001-05-01,4.58750
2001-05-02,4.57625
2001-05-03,4.56656
2001-05-04,4.55250
2001-05-08,4.46875
2001-05-09,4.39750
2001-05-10,4.17875
2001-05-11,4.15078
2001-05-14,4.16625
2001-05-15,4.14500
2001-05-16,4.10500
2001-05-17,4.09547
2001-05-18,4.09250
2001-05-21,4.09000
2001-05-22,4.08625
2001-05-23,4.08375
2001-05-24,4.09297
2001-05-25,4.09297
2001-05-29,4.09547
2001-05-30,4.08750
2001-05-31,4.08625
2001-06-01,4.07875
2001-06-04,4.07625
2001-06-05,4.07750
2001-06-06,4.06625
2001-06-07,4.07531
2001-06-08,4.07750
2001-06-11,4.07531
2001-06-12,4.07156
